['AHRR'],[[1.01086328]],[[1.41016546]],[[1.70378778]],[[1.52702111]],[[1.28359734]],[[1.29573436]],[[1.54050263]],[[1.70137881]],[[1.39589294]],[[0.57249454]],[[1.13183998]],[[2.47401332]],[[2.89824107]]
['SPAG6'],[[1.06186239]],[[1.68267907]],[[1.4762662]],[[0]],[[0]],[[1.99842224]],[[2.40467324]],[[1.03961536]],[[1.64526892]],[[1.59910492]],[[1.21040569]],[[1.00002808]],[[0.99169848]]
['DHDH'],[[1.66687017]],[[0]],[[0]],[[1.12180349]],[[1.83249414]],[[1.65064251]],[[1.28197637]],[[0]],[[1.27423655]],[[1.14908469]],[[1.08863821]],[[1.5164912]],[[0.91225491]]
['TPD52L1'],[[1.66687012]],[[1.41016547]],[[0]],[[1.46690551]],[[1.34307423]],[[1.19146194]],[[1.28197639]],[[0]],[[1.64526864]],[[1.78050446]],[[1.71957187]],[[1.62288935]],[[0.93388237]]
['IFIT3'],[[1.04591992]],[[1.13565145]],[[1.04108077]],[[0.87291833]],[[0.88069628]],[[0.63344651]],[[0.628701]],[[0.56605703]],[[0.56271357]],[[0.74925075]],[[0.60978117]],[[1.07683206]],[[0.77977936]]
['CXCL6'],[[0.50167504]],[[0.79187882]],[[0.83697327]],[[1.02702173]],[[0.85890382]],[[0.61224869]],[[0.11665585]],[[0.42389363]],[[0.35800813]],[[0.51580081]],[[0.61497629]],[[0.71102506]],[[0.48397123]]
['C3'],[[1.10418553]],[[0.5899519]],[[0.62589721]],[[0.48878708]],[[0.55423773]],[[0.59792322]],[[1.15522295]],[[0.87537859]],[[0.79888387]],[[0.71181155]],[[1.20194923]],[[1.05468969]],[[1.28126145]]
['IFI6'],[[1.01249192]],[[1.18529984]],[[1.22521737]],[[1.04385843]],[[1.02221967]],[[0.58247538]],[[0.53802813]],[[0.5766557]],[[0.66446313]],[[0.80669967]],[[0.58993543]],[[1.2066152]],[[0.86942234]]
['CHI3L1'],[[0.84170994]],[[0.95819639]],[[0.9673586]],[[0.92342851]],[[0.90954866]],[[0.80442454]],[[0.45088201]],[[0.43886296]],[[0.66185389]],[[1.16953818]],[[1.33230109]],[[1.23516139]],[[1.29101586]]
['RSAD2'],[[1.11006706]],[[1.14015116]],[[1.06624818]],[[0.93808479]],[[0.75352878]],[[0.45699008]],[[0.42870976]],[[0.66529147]],[[0.97231158]],[[1.05814679]],[[0.51956617]],[[1.50550243]],[[0.75781746]]
['NOV'],[[0.71140562]],[[0.91878256]],[[0.71220295]],[[0.6167226]],[[0.34263015]],[[0.25588609]],[[0.24260473]],[[0.67498643]],[[1.0402663]],[[1.31919071]],[[0.8606507]],[[0.87038943]],[[0.80431887]]
