['CEP170B'],[[1.09806913]],[[0.1121827]],[[0.12027276]],[[0]],[[0.49809005]],[[0.52444938]],[[0.64036151]],[[0.64751004]],[[0.85160806]],[[1.12963324]],[[0.96112648]],[[1.47591888]],[[1.28174065]]
['HCN2'],[[1.21990856]],[[0.54642852]],[[0.48136264]],[[0.37189022]],[[0.32901132]],[[0.8355758]],[[0.52353155]],[[0.66583735]],[[0.98211693]],[[0.83025161]],[[1.03765967]],[[1.13344934]],[[1.03662721]]
['MMP11'],[[1.08590719]],[[0.61798906]],[[0.42756]],[[0.29589863]],[[0.20004426]],[[0.76896055]],[[0.75938363]],[[0.91487741]],[[1.13837226]],[[0.95810799]],[[0.83095307]],[[0.90109548]],[[0.85356805]]
['P2RX6'],[[1.20486048]],[[0.41309066]],[[0.4398416]],[[0.23441344]],[[0.38668151]],[[0.17425819]],[[0.19304233]],[[0.96355663]],[[1.18703095]],[[1.36907655]],[[1.21931073]],[[1.15382989]],[[0.91236201]]
['FOXRED2'],[[1.09104088]],[[0.17634043]],[[0.43238884]],[[0.35247632]],[[0.34621371]],[[0.7481865]],[[0.85926564]],[[1.19116779]],[[1.07433925]],[[1.13346789]],[[1.27337397]],[[1.43581091]],[[1.57431173]]
['CD40'],[[0.90640214]],[[0.44788471]],[[0.47653942]],[[0.36027333]],[[0.47065164]],[[0.5785984]],[[0.6938588]],[[0.71517982]],[[1.01003427]],[[0.86502591]],[[0.92808209]],[[0.94342756]],[[0.82479728]]
['CDC25B'],[[1.00403267]],[[0.33813214]],[[0.3361805]],[[0.31166749]],[[0.3818715]],[[0.43291466]],[[0.56972611]],[[0.60467766]],[[0.82944576]],[[0.85269053]],[[0.84756204]],[[1.04803006]],[[0.89838897]]
['SNPH'],[[1.07142585]],[[0.37436123]],[[0.60000574]],[[0.39541222]],[[0.48433759]],[[0.57694143]],[[0.67541587]],[[0.89027377]],[[1.19846143]],[[1.05507179]],[[0.91676592]],[[1.11840601]],[[1.01561505]]
['PPP1R16B'],[[1.14838307]],[[0.39851488]],[[0.3698842]],[[0.37758022]],[[0.49520939]],[[0.57956461]],[[0.61017623]],[[0.64515131]],[[0.89362114]],[[0.96346073]],[[0.96296687]],[[1.19517278]],[[1.07977519]]
['KLF8'],[[0.95991728]],[[0.43852327]],[[0.39863915]],[[0.45160304]],[[0.42060308]],[[0.39321663]],[[0.50343492]],[[0.72004392]],[[0.83108485]],[[0.86893804]],[[0.81254348]],[[0.83197288]],[[0.58523441]]
['EEF2K'],[[1.00920751]],[[0.31263759]],[[0.40703013]],[[0.32720185]],[[0.40590286]],[[0.52117854]],[[0.56602855]],[[0.68008416]],[[0.80425987]],[[0.89702305]],[[0.95497443]],[[1.15975081]],[[1.02028681]]
