['NDUFAF7'],[[0.93604259]],[[1.84815752]],[[1.85287475]],[[1.986563]],[[1.8117517]],[[1.2901564]],[[0.90216428]],[[0.91567265]],[[0.86100123]],[[0.81741388]],[[0.93825956]],[[1.01654366]],[[0.90043238]]
['CREBBP'],[[0.96283638]],[[1.31127474]],[[1.3274476]],[[1.34205526]],[[1.42236341]],[[1.30673081]],[[1.2288341]],[[0.99184253]],[[1.01383171]],[[0.96476491]],[[1.02883897]],[[1.16713221]],[[1.01543148]]
['NADK'],[[0.9434357]],[[1.38912055]],[[1.40582549]],[[1.42012639]],[[1.46776948]],[[1.63483332]],[[1.48012714]],[[1.07129794]],[[0.96055409]],[[0.98224793]],[[1.0472969]],[[1.22925651]],[[1.05289256]]
['ZNF200'],[[0.90100297]],[[1.6389169]],[[1.65429804]],[[1.60065458]],[[1.51101038]],[[1.05347231]],[[0.96678421]],[[0.87806148]],[[0.81794242]],[[0.92882536]],[[0.94932785]],[[1.140644]],[[0.96055657]]
['MVP'],[[1.02839332]],[[1.66569606]],[[1.6746353]],[[1.70397019]],[[1.80997237]],[[1.61820922]],[[1.38036026]],[[1.0043939]],[[0.92972846]],[[0.9308654]],[[0.99418886]],[[1.2047682]],[[1.01016369]]
['ZC3H3'],[[1.13025333]],[[1.79240143]],[[1.85871051]],[[2.01842311]],[[2.07861842]],[[1.5927384]],[[1.3144269]],[[1.11426462]],[[1.15761944]],[[1.06188383]],[[1.05280463]],[[1.25601548]],[[1.09147692]]
['SLC45A4'],[[0.91747455]],[[1.40928083]],[[1.41527618]],[[1.40023145]],[[1.46431886]],[[1.32533478]],[[1.34166512]],[[0.97483401]],[[0.9627344]],[[0.94022984]],[[0.98758801]],[[1.11447204]],[[1.00537742]]
['RB1CC1'],[[0.82299149]],[[1.73765959]],[[1.73530821]],[[1.73133133]],[[1.64191545]],[[1.19575867]],[[1.01108146]],[[0.96098511]],[[0.79593511]],[[0.96173523]],[[0.87078325]],[[0.96907652]],[[0.85957115]]
['NSMAF'],[[0.98663486]],[[1.50683684]],[[1.50696428]],[[1.50324577]],[[1.4891287]],[[1.17843771]],[[1.09134503]],[[0.99511052]],[[0.91358099]],[[0.94466077]],[[0.97190191]],[[1.13018192]],[[0.98131515]]
['CELF2'],[[0.98473567]],[[1.60231663]],[[1.62874544]],[[1.65249816]],[[1.63024992]],[[1.18420264]],[[1.09935305]],[[1.0367259]],[[0.93066427]],[[0.85165724]],[[0.95277099]],[[1.0720286]],[[0.9285035]]
['H6PD'],[[1.12135257]],[[1.85714321]],[[1.8602271]],[[1.94206464]],[[2.07873173]],[[1.53354025]],[[1.32661935]],[[1.1442144]],[[1.02159412]],[[0.96653988]],[[1.16931603]],[[1.32568005]],[[1.16433031]]
['VAMP3'],[[0.89999282]],[[1.98160001]],[[1.94000399]],[[1.94500789]],[[1.90354155]],[[1.67557233]],[[1.34801569]],[[1.13447742]],[[0.89155924]],[[1.01137587]],[[0.96224918]],[[1.1072112]],[[0.99174499]]
['RFC2'],[[0.99186184]],[[1.6967197]],[[1.75041578]],[[1.68723541]],[[1.73430912]],[[1.28943353]],[[1.18207151]],[[1.11745892]],[[0.97177715]],[[0.94126985]],[[1.03785494]],[[1.1812486]],[[0.99373677]]
['ARID4B'],[[0.86838463]],[[1.5121865]],[[1.56667271]],[[1.55027542]],[[1.41847346]],[[1.11955081]],[[1.003159]],[[0.89971341]],[[0.7465362]],[[0.87486001]],[[0.82998949]],[[0.97397049]],[[0.81503855]]
['ITIH4'],[[0.81667131]],[[1.99415158]],[[1.80537005]],[[2.26099155]],[[1.97090349]],[[1.23145242]],[[1.40407288]],[[1.11186424]],[[0.92935632]],[[0.57249454]],[[0.98559503]],[[1.24767102]],[[1.06503596]]
['PRDM1'],[[1.04664921]],[[1.87268548]],[[1.79247554]],[[1.62083384]],[[1.72802408]],[[1.04939515]],[[1.00987298]],[[0.78210947]],[[0.76365971]],[[0.81610359]],[[0.96370812]],[[1.23481431]],[[1.08762929]]
['ATP2B4'],[[1.07657218]],[[1.24920253]],[[1.37196707]],[[1.43611056]],[[1.65341452]],[[1.61438891]],[[1.22086021]],[[0.79962595]],[[0.74132631]],[[0.7337019]],[[0.97495721]],[[1.21451348]],[[1.04371239]]
['ZC3H11A'],[[1.20486054]],[[1.99415158]],[[1.94547414]],[[1.71965118]],[[1.79038063]],[[0.17425818]],[[1.19443184]],[[0.96355663]],[[1.31593889]],[[1.14908479]],[[1.22171895]],[[1.34838101]],[[1.26503865]]
['DNAJC25'],[[0.71920084]],[[1.3970648]],[[1.30586309]],[[1.42630494]],[[1.10986437]],[[0.90650589]],[[0.98201972]],[[0.79442479]],[[0.82459416]],[[0.67810948]],[[0.82992712]],[[0.877462]],[[0.78483198]]
['CYB5R4'],[[0.78690163]],[[1.50850758]],[[1.50612591]],[[1.55404423]],[[1.45165938]],[[1.42653496]],[[1.24316444]],[[1.09580796]],[[0.75365409]],[[0.88123612]],[[0.85827938]],[[0.98542158]],[[0.84652268]]
['TBC1D1'],[[0.9097367]],[[1.36913722]],[[1.33068469]],[[1.3125996]],[[1.26499801]],[[1.26429714]],[[1.18109036]],[[1.0312194]],[[0.89623999]],[[0.9382596]],[[0.93241252]],[[1.06455811]],[[0.93603116]]
