['FGR'],[[1.10055139]],[[1.94256526]],[[2.0016279]],[[2.03401243]],[[2.25282292]],[[2.54989371]],[[2.14916733]],[[1.33216345]],[[1.03005802]],[[1.04542921]],[[1.29135139]],[[1.52108746]],[[1.28661271]]
['LAMP2'],[[0.81252702]],[[1.65487098]],[[1.57653111]],[[1.54137802]],[[1.56520282]],[[1.5486978]],[[1.34730805]],[[1.14591995]],[[0.86784894]],[[1.00095823]],[[0.89112737]],[[1.01794164]],[[0.87392579]]
['KDM7A'],[[0.87775503]],[[1.60580684]],[[1.5775537]],[[1.63117574]],[[1.61551426]],[[1.56753943]],[[1.24348632]],[[1.15530348]],[[1.13546757]],[[1.17079382]],[[1.05463141]],[[1.11002873]],[[0.96645279]]
['IFRD1'],[[0.82021891]],[[1.59782427]],[[1.64005079]],[[1.65312184]],[[1.64924733]],[[1.39945618]],[[1.20540385]],[[1.08658374]],[[0.86952061]],[[0.95215083]],[[0.92278567]],[[1.02949041]],[[0.82472786]]
['CDKL5'],[[0.80351374]],[[1.59754205]],[[1.51175942]],[[1.53891973]],[[1.59661005]],[[1.72559684]],[[1.46493461]],[[1.12863459]],[[0.87084104]],[[0.91102199]],[[0.95572611]],[[1.02744331]],[[0.88893689]]
['TYROBP'],[[1.02306592]],[[1.70206538]],[[1.67688343]],[[1.59443281]],[[1.70627228]],[[1.93244945]],[[1.69261337]],[[1.32488223]],[[1.12686378]],[[1.05631712]],[[1.03819878]],[[1.2803495]],[[1.08444904]]
['SEMA3B'],[[0.6871781]],[[1.17208109]],[[1.06126077]],[[0.99256515]],[[1.13720325]],[[1.08900629]],[[1.30254643]],[[1.39074562]],[[1.3690868]],[[0.61787572]],[[0.65732287]],[[0.95267091]],[[0.76059152]]
['EXTL3'],[[0.98766558]],[[1.47762442]],[[1.50698917]],[[1.52208916]],[[1.67358246]],[[1.62243803]],[[1.42129887]],[[1.0953841]],[[1.02688711]],[[1.02930914]],[[1.03687613]],[[1.17880509]],[[1.0398283]]
['WAS'],[[1.00159972]],[[1.61266292]],[[1.63794708]],[[1.58679006]],[[1.68844656]],[[1.68683094]],[[1.50572678]],[[1.12784362]],[[1.05837178]],[[0.95303146]],[[1.09567083]],[[1.26665791]],[[1.08550441]]
['RTFDC1'],[[0.96949862]],[[1.88138668]],[[1.93783703]],[[1.82708469]],[[1.80444718]],[[1.68822536]],[[1.37096523]],[[1.15965436]],[[1.01911538]],[[0.98642255]],[[1.00432191]],[[1.15284525]],[[1.00608072]]
['RRAGD'],[[0.83387981]],[[1.63275706]],[[1.53750066]],[[1.49675118]],[[1.46119136]],[[1.52089889]],[[1.36573668]],[[1.20091519]],[[1.01841892]],[[1.05529597]],[[0.8697329]],[[0.94258668]],[[0.82122531]]
['HMGB3'],[[1.27137329]],[[2.36294423]],[[2.51678027]],[[2.23419284]],[[2.50781641]],[[2.25922113]],[[1.92290249]],[[1.68568315]],[[1.51705078]],[[1.61830622]],[[1.05302063]],[[1.26719623]],[[1.23550357]]
['GRN'],[[1.0228119]],[[1.81312414]],[[1.79471727]],[[1.755142]],[[1.93567065]],[[2.09089285]],[[1.75194465]],[[1.32202115]],[[1.13723973]],[[1.18954122]],[[1.13965387]],[[1.30312825]],[[1.11885521]]
['TIMP2'],[[0.97323021]],[[1.81829287]],[[1.83770121]],[[1.7971768]],[[1.87116475]],[[1.96359032]],[[1.68896155]],[[1.32603687]],[[1.09118028]],[[0.94129204]],[[1.06456205]],[[1.22976037]],[[1.04375883]]
