['CFLAR'],[[0.87673131]],[[1.82657627]],[[1.84627177]],[[1.94725957]],[[1.94598293]],[[1.6326892]],[[1.42604944]],[[1.09576712]],[[0.88640716]],[[0.79576238]],[[0.90349817]],[[1.09824366]],[[0.90921518]]
['SKAP2'],[[0.79907101]],[[1.80988076]],[[1.80406006]],[[1.84013818]],[[1.86205425]],[[1.74085084]],[[1.28358392]],[[1.11211778]],[[0.90055121]],[[0.96024378]],[[0.74848624]],[[0.8581244]],[[0.72161481]]
['ABHD5'],[[0.7876073]],[[1.89019446]],[[1.93381712]],[[1.92093742]],[[1.83930948]],[[1.47168396]],[[1.27032255]],[[1.10748061]],[[0.94603155]],[[0.91740671]],[[0.94691406]],[[1.10485946]],[[0.94216983]]
['GAB2'],[[0.94126951]],[[1.86007161]],[[1.8466573]],[[1.80521027]],[[1.8506548]],[[1.71851663]],[[1.46376145]],[[1.17577983]],[[1.00748091]],[[0.94903736]],[[1.05126071]],[[1.1776238]],[[1.01056534]]
['ZFYVE16'],[[0.74975464]],[[1.70501334]],[[1.69976426]],[[1.84115985]],[[1.70317098]],[[1.38239845]],[[1.14191301]],[[1.04253216]],[[0.70443629]],[[0.84673321]],[[0.86147515]],[[1.0098459]],[[0.84623924]]
['FAM184B'],[[2.09182663]],[[2.10947853]],[[3.02309715]],[[3.53427291]],[[3.35353224]],[[1.19146192]],[[1.28197638]],[[1.03961533]],[[3.07864657]],[[2.82551256]],[[3.05804828]],[[3.42419006]],[[3.26973042]]
['FAM160A2'],[[1.07498901]],[[1.90061063]],[[1.98102024]],[[2.09792997]],[[2.14226506]],[[1.97794632]],[[1.53653355]],[[1.26049948]],[[1.0719093]],[[0.95461414]],[[1.04649881]],[[1.16775076]],[[1.01695523]]
['EIF2AK2'],[[0.88251951]],[[2.20353871]],[[2.11892307]],[[2.2342151]],[[2.0978572]],[[1.30506356]],[[0.86291904]],[[0.77266456]],[[0.61893288]],[[0.82460185]],[[0.70830668]],[[0.98672162]],[[0.81205951]]
['TMCC3'],[[0.82695786]],[[2.15305377]],[[2.24689646]],[[2.23117133]],[[2.1063526]],[[1.7398983]],[[1.4677966]],[[1.17720241]],[[0.91841766]],[[0.95310367]],[[1.06512793]],[[1.22676346]],[[1.05913226]]
['ATP11B'],[[0.86518243]],[[2.45143826]],[[2.51499354]],[[2.55245231]],[[2.50424229]],[[1.96807713]],[[1.36690485]],[[1.11921126]],[[0.80079804]],[[0.91504127]],[[0.84057834]],[[0.97149502]],[[0.81238768]]
['CDK14'],[[0.74051911]],[[1.74616398]],[[1.79300551]],[[1.76801077]],[[1.49301421]],[[1.25377024]],[[1.0553527]],[[1.09222093]],[[0.96488785]],[[0.90925474]],[[0.70738557]],[[0.8459548]],[[0.71408448]]
['YIPF1'],[[0.91168952]],[[2.15555688]],[[2.30444404]],[[2.18759211]],[[2.22797525]],[[1.83570557]],[[1.45264773]],[[1.08208274]],[[0.84700263]],[[0.88097372]],[[0.92121202]],[[1.08164369]],[[0.91690753]]
['MXD1'],[[0.84552755]],[[2.01822643]],[[2.069036]],[[2.05156943]],[[2.03544683]],[[1.61024953]],[[1.3616132]],[[1.14426465]],[[0.8174182]],[[0.86463028]],[[0.90241272]],[[1.03265745]],[[0.84144774]]
['CTDP1'],[[1.0077868]],[[2.64515166]],[[2.68184268]],[[2.57850737]],[[2.52492682]],[[1.72698966]],[[1.34654804]],[[1.11377302]],[[0.98976402]],[[0.97833469]],[[1.00192375]],[[1.24631569]],[[1.05708829]]
['ELMO2'],[[1.02254085]],[[2.17171216]],[[2.24286692]],[[2.17324097]],[[2.21739181]],[[1.83593195]],[[1.37242844]],[[1.06458895]],[[0.95940888]],[[0.95475633]],[[0.99196469]],[[1.1486281]],[[1.00640377]]
['VMP1'],[[0.88943719]],[[1.84269629]],[[1.82463115]],[[1.80412467]],[[1.7836782]],[[1.61254351]],[[1.45847558]],[[1.23228479]],[[0.96117274]],[[0.86732135]],[[0.93831338]],[[1.06758548]],[[0.91157046]]
['HIPK2'],[[1.14940504]],[[2.23739668]],[[2.21369517]],[[2.23211316]],[[2.33236439]],[[1.49195551]],[[1.19832983]],[[1.17043646]],[[1.16374584]],[[1.03792247]],[[1.17803087]],[[1.3059831]],[[1.18687373]]
['TNPO3'],[[0.95619385]],[[1.99688017]],[[1.97662386]],[[1.99506456]],[[1.96522038]],[[1.6418518]],[[1.20378731]],[[1.05364912]],[[0.90714506]],[[0.9268678]],[[0.87162803]],[[0.99023459]],[[0.88577434]]
['ANKS1A'],[[1.04821457]],[[2.12475445]],[[2.1259332]],[[2.24652391]],[[2.31272302]],[[2.04476983]],[[1.60518873]],[[1.19596583]],[[1.11286158]],[[0.97481006]],[[1.17337216]],[[1.34663344]],[[1.17469225]]
['SEC61A2'],[[0.98467129]],[[1.52832945]],[[1.54280422]],[[1.6487925]],[[1.42358662]],[[0.86739106]],[[1.03910376]],[[1.08566529]],[[0.84416304]],[[0.72572337]],[[1.0003979]],[[1.10612699]],[[0.90540379]]
['PPP2R5A'],[[0.89354341]],[[1.69098072]],[[1.59888627]],[[1.59238093]],[[1.60808579]],[[1.47982147]],[[1.1247097]],[[0.90144401]],[[0.82867188]],[[1.07321973]],[[1.15653828]],[[1.29938624]],[[1.08706409]]
['SPI1'],[[0.98653764]],[[1.90628419]],[[1.92535291]],[[1.9145155]],[[2.12430923]],[[2.09208934]],[[1.72854438]],[[1.15807293]],[[1.00647886]],[[0.98831383]],[[1.04096616]],[[1.23458385]],[[1.00611928]]
['TNFRSF1A'],[[0.93231387]],[[1.73236579]],[[1.74977159]],[[1.70125834]],[[1.79352361]],[[1.67056162]],[[1.42862589]],[[0.99413104]],[[0.91445413]],[[0.88949929]],[[1.02026551]],[[1.21872317]],[[1.01128541]]
['ROCK1'],[[0.83349233]],[[1.76758053]],[[1.77744251]],[[1.8049921]],[[1.79486363]],[[1.49115118]],[[1.20344898]],[[1.04412088]],[[0.80261656]],[[0.87902258]],[[0.80311723]],[[0.93213161]],[[0.80422406]]
['HDAC4'],[[1.04533074]],[[1.85020145]],[[1.99477905]],[[2.05274627]],[[2.14624735]],[[1.73038323]],[[1.54774809]],[[1.10999904]],[[0.99229162]],[[0.85572935]],[[0.99620087]],[[1.1632394]],[[1.00989949]]
['ATP11A'],[[0.9619163]],[[2.13616973]],[[2.24975186]],[[2.35692861]],[[2.39007744]],[[1.77400378]],[[1.43967336]],[[1.17195059]],[[1.07042562]],[[0.97924772]],[[1.11744935]],[[1.23514124]],[[1.09335389]]
