['GCLC'],[[1.08772734]],[[1.13869352]],[[1.16360682]],[[1.12990316]],[[1.07577795]],[[1.12106231]],[[1.09989203]],[[1.3977137]],[[2.01905321]],[[2.03864629]],[[1.19605684]],[[1.27795669]],[[1.22494786]]
['PRKAR2B'],[[0.81526246]],[[0.96362126]],[[1.06798336]],[[0.96701878]],[[0.95018572]],[[1.05684016]],[[1.49692456]],[[1.85278684]],[[1.98668897]],[[1.66080525]],[[1.26103244]],[[1.16784061]],[[1.09328836]]
['MPO'],[[1.20107392]],[[1.94668863]],[[2.00718458]],[[1.56575032]],[[2.04142482]],[[2.03654364]],[[1.91987304]],[[1.74241778]],[[1.60378286]],[[1.94162236]],[[2.36039188]],[[3.07921804]],[[2.74862515]]
['E2F2'],[[1.23746717]],[[1.38952495]],[[1.62059499]],[[1.49522142]],[[1.41254994]],[[1.47140737]],[[1.92382321]],[[2.19194227]],[[2.53794157]],[[1.7893007]],[[1.44397752]],[[1.79731476]],[[1.77161825]]
['TSPAN9'],[[0.94356332]],[[0.89684668]],[[1.06019181]],[[0.95092342]],[[1.02734544]],[[1.37086527]],[[1.86674537]],[[1.99763125]],[[2.43872901]],[[1.77367014]],[[1.45393952]],[[1.4110568]],[[1.30858814]]
['EHD3'],[[0.94257214]],[[0.86635858]],[[0.92713842]],[[0.84477028]],[[0.87825758]],[[1.11298076]],[[1.30257018]],[[1.64605755]],[[2.0509682]],[[1.46912682]],[[1.11196902]],[[1.09537597]],[[1.06703147]]
['SLC25A39'],[[1.26525694]],[[1.07686635]],[[1.26132131]],[[1.15192632]],[[1.0502776]],[[1.46276522]],[[1.72389568]],[[1.88149471]],[[2.45096817]],[[2.31322382]],[[1.47361781]],[[1.87758156]],[[1.75170603]]
['HEBP1'],[[1.10972604]],[[1.04778462]],[[0.86949865]],[[0.83236342]],[[0.95181951]],[[1.43020724]],[[1.28502859]],[[1.15727676]],[[1.10571967]],[[1.12030439]],[[1.61498624]],[[1.62010807]],[[1.41067434]]
['FHL1'],[[0.9809785]],[[0.81195764]],[[0.92870994]],[[0.78418991]],[[0.8398806]],[[0.92500315]],[[1.23785005]],[[1.7204926]],[[2.21719127]],[[1.85015105]],[[1.36695812]],[[1.34616765]],[[1.25372709]]
['EHD2'],[[1.17309658]],[[1.54235888]],[[1.32658374]],[[1.15148644]],[[1.04545482]],[[1.12768846]],[[2.02987757]],[[2.26804128]],[[2.27705646]],[[1.81931459]],[[1.55325266]],[[1.47778877]],[[1.28166733]]
['MAP2K3'],[[1.08669367]],[[1.30488962]],[[1.41145849]],[[1.33798876]],[[1.31804165]],[[1.52345909]],[[1.55774549]],[[1.77873057]],[[2.63885642]],[[2.47991874]],[[1.39594085]],[[1.615802]],[[1.49247099]]
['RIPOR3'],[[1.10418558]],[[1.0187628]],[[1.21659597]],[[1.37643257]],[[0.99663053]],[[1.35899412]],[[1.62584033]],[[1.80463778]],[[2.33726877]],[[2.01383038]],[[1.22351966]],[[1.58444526]],[[1.48425617]]
['AP2S1'],[[1.0618625]],[[1.05253715]],[[1.17425299]],[[1.04305468]],[[1.0259634]],[[1.3617423]],[[1.45210053]],[[1.49661634]],[[1.83227023]],[[1.7390033]],[[1.21546571]],[[1.47644191]],[[1.27073745]]
['ARHGAP6'],[[0.90088357]],[[0.82905354]],[[0.84272867]],[[0.90109889]],[[0.85746981]],[[1.12248008]],[[1.47700517]],[[1.68866855]],[[2.10726829]],[[1.5367698]],[[1.4143902]],[[1.34960776]],[[1.26215234]]
['LTBP1'],[[0.9603695]],[[0.98741887]],[[1.12658816]],[[1.05865595]],[[1.00809165]],[[1.23946083]],[[1.64797567]],[[1.99301485]],[[2.16185827]],[[1.75149162]],[[1.6138175]],[[1.51978364]],[[1.46630553]]
['NEDD4L'],[[0.93713374]],[[0.96188323]],[[1.06503179]],[[1.00633957]],[[0.82570219]],[[1.13419417]],[[1.5368567]],[[1.78874062]],[[2.05919522]],[[2.11489631]],[[1.08730622]],[[1.30949412]],[[1.28151306]]
['PTPRN'],[[1.18875455]],[[0.37019903]],[[0.87870074]],[[0.95161172]],[[0.85890404]],[[1.41220742]],[[1.78339117]],[[2.41870688]],[[2.78313477]],[[1.95056206]],[[1.73233764]],[[1.80152539]],[[1.83979427]]
['KCNH2'],[[1.0618625]],[[0.68389133]],[[0.85135785]],[[0.77401004]],[[0.66086313]],[[1.34161351]],[[1.3228273]],[[1.61952407]],[[2.4152121]],[[1.89437954]],[[1.20198078]],[[1.61256087]],[[1.52942506]]
['PITHD1'],[[1.16450815]],[[1.21915641]],[[1.44862488]],[[1.31422663]],[[1.19473267]],[[1.2278387]],[[1.58363606]],[[1.93811883]],[[2.58227322]],[[2.8179878]],[[1.38752003]],[[1.64110512]],[[1.57169811]]
['YBX3'],[[1.20284061]],[[1.09310242]],[[1.24864817]],[[1.15316622]],[[1.0954721]],[[1.38516859]],[[1.56910537]],[[1.70489653]],[[2.24914085]],[[2.36078329]],[[1.15187217]],[[1.43957942]],[[1.36156887]]
['WNK1'],[[1.03422924]],[[1.09396716]],[[1.15872877]],[[1.10318978]],[[1.05041345]],[[1.34041611]],[[1.39851439]],[[1.51559988]],[[2.11329216]],[[2.0199232]],[[1.14807087]],[[1.30705181]],[[1.25508743]]
['GUCY1B3'],[[0.89880608]],[[0.82320468]],[[0.92967617]],[[0.98671313]],[[0.80307149]],[[1.02640924]],[[1.57823875]],[[1.89230716]],[[1.90903064]],[[1.49107601]],[[1.33566058]],[[1.24037228]],[[1.12742487]]
['HAGH'],[[1.17330326]],[[1.03468321]],[[1.24548498]],[[1.14124104]],[[0.99182596]],[[1.42285531]],[[1.49631972]],[[1.64941727]],[[2.16176256]],[[2.05654246]],[[1.27438809]],[[1.62432922]],[[1.51532508]]
['TBC1D22B'],[[1.1036047]],[[1.01661345]],[[1.15886605]],[[1.12986133]],[[0.99091634]],[[1.20036378]],[[1.30164662]],[[1.54186655]],[[1.7968878]],[[1.64445541]],[[1.01836026]],[[1.24460742]],[[1.22807116]]
['MYLK'],[[0.87954399]],[[0.92932393]],[[1.05918528]],[[0.95402894]],[[0.94602011]],[[1.16050861]],[[1.34155925]],[[1.75265459]],[[2.05858265]],[[1.42773321]],[[1.15887704]],[[1.09562881]],[[1.10065165]]
['FECH'],[[1.10961004]],[[1.18836695]],[[1.44292026]],[[1.35561087]],[[1.16165314]],[[1.27818908]],[[1.50344783]],[[1.84480576]],[[2.60126016]],[[2.27262635]],[[1.83155524]],[[1.93607939]],[[1.87090704]]
['PPP2R5B'],[[1.09517661]],[[1.18519359]],[[1.22762935]],[[1.28826023]],[[1.28353411]],[[1.45153628]],[[1.4956337]],[[1.75559504]],[[2.35698329]],[[2.47800239]],[[0.94461832]],[[1.25407882]],[[1.13133586]]
['RHOBTB1'],[[0.92784015]],[[0.93235303]],[[0.97499192]],[[0.99179198]],[[0.98910758]],[[0.87866231]],[[1.27406535]],[[1.99066628]],[[2.19767593]],[[1.59490947]],[[1.23227904]],[[1.1194263]],[[1.1360821]]
['MGLL'],[[1.00051517]],[[0.96623231]],[[0.93776126]],[[0.89059856]],[[0.97707184]],[[1.27421575]],[[1.85790845]],[[2.18747847]],[[2.25627171]],[[1.67014429]],[[1.56143926]],[[1.44704512]],[[1.33905781]]
['MBNL3'],[[0.95077547]],[[0.97885379]],[[1.17311954]],[[1.13493802]],[[0.93539677]],[[0.93402699]],[[1.01459381]],[[1.55195729]],[[2.30754158]],[[2.45828665]],[[1.37623774]],[[1.39822068]],[[1.31151647]]
['CTTNBP2'],[[0]],[[0]],[[2.19047386]],[[1.46690551]],[[0]],[[3.12151993]],[[2.74993626]],[[2.38480062]],[[3.54105713]],[[2.55358835]],[[2.97956764]],[[3.75038476]],[[3.79906997]]
['HOXA9'],[[2.68664088]],[[1.80178586]],[[1.47626631]],[[2.84297709]],[[2.48819134]],[[3.22418914]],[[3.79550463]],[[3.77274703]],[[3.16675289]],[[2.55358853]],[[2.385738]],[[2.76598629]],[[2.39215497]]
['ARG2'],[[1.08446104]],[[1.2365114]],[[1.16491069]],[[1.08591792]],[[0.87838505]],[[0.73237542]],[[1.20261365]],[[1.30541789]],[[2.10058159]],[[3.18290087]],[[1.37849004]],[[1.35283218]],[[1.33536948]]
['CDC14B'],[[0.85867393]],[[0.83317256]],[[0.83338615]],[[0.86850492]],[[0.75715237]],[[0.84480794]],[[1.10918949]],[[1.64849384]],[[1.8466643]],[[1.37879318]],[[1.0881828]],[[1.05648652]],[[1.00422621]]
['STRADB'],[[1.05963949]],[[1.16738557]],[[1.34354913]],[[1.2519953]],[[1.02076857]],[[1.36358525]],[[1.46386854]],[[1.80382021]],[[1.98811358]],[[2.33398202]],[[1.16470618]],[[1.28502848]],[[1.23597829]]
['ITGB5'],[[0.95799514]],[[0.87488476]],[[0.97977014]],[[0.97519029]],[[1.0590795]],[[1.27578322]],[[1.39893947]],[[1.88585354]],[[2.27410056]],[[1.69539627]],[[1.35407739]],[[1.36370325]],[[1.32159277]]
['FAT1'],[[0.96471049]],[[0.69744345]],[[1.13949363]],[[1.04164219]],[[0.99927397]],[[0.97297206]],[[1.07695721]],[[1.00208701]],[[1.91321674]],[[2.71613984]],[[1.38255384]],[[1.49608798]],[[1.4484014]]
['CTTN'],[[0.97961879]],[[0.99810275]],[[1.05642666]],[[0.95749275]],[[1.01611983]],[[1.19652708]],[[1.37043802]],[[1.68721304]],[[2.13189583]],[[1.51805962]],[[1.38099886]],[[1.29964077]],[[1.24397745]]
['EIF2AK1'],[[1.07384879]],[[1.12996182]],[[1.27284986]],[[1.19985926]],[[1.05267953]],[[1.29582025]],[[1.38105559]],[[1.76844408]],[[2.1315965]],[[2.43068072]],[[1.11634627]],[[1.27385007]],[[1.18114269]]
['HBQ1'],[[1.14551339]],[[0.98103785]],[[1.07230047]],[[0.96493646]],[[0.89383577]],[[1.21492405]],[[1.52264095]],[[1.57821266]],[[2.16857319]],[[2.33162979]],[[1.12754657]],[[1.46444375]],[[1.26808458]]
['NID2'],[[0.68622708]],[[0.73384948]],[[0.83527876]],[[0.82886266]],[[1.03217228]],[[0.78152813]],[[1.50212695]],[[2.3130587]],[[1.8634615]],[[1.32768006]],[[1.40486194]],[[1.15268789]],[[1.21892747]]
['GP6'],[[0.9088248]],[[0.93629419]],[[1.13417922]],[[1.02326018]],[[1.10613732]],[[1.34019509]],[[1.68376689]],[[1.93777438]],[[2.17005988]],[[1.61765622]],[[1.42270125]],[[1.2694104]],[[1.29831484]]
['TMEM40'],[[0.94133018]],[[0.99026705]],[[1.1217837]],[[1.06054026]],[[1.03234765]],[[1.11389564]],[[1.62336092]],[[1.9387247]],[[2.13288746]],[[1.66861801]],[[1.36454226]],[[1.31011794]],[[1.21346733]]
['SMOX'],[[1.11395585]],[[1.01377914]],[[1.13627912]],[[1.03184758]],[[0.98406849]],[[1.24291823]],[[1.70816899]],[[1.77643635]],[[2.1634137]],[[2.12060449]],[[1.13007822]],[[1.44881786]],[[1.31543983]]
['SLC4A11'],[[0.47346214]],[[0.16144331]],[[0.71063786]],[[0.588882]],[[0.28635963]],[[0.5444997]],[[0.86245137]],[[0.98569986]],[[1.33344865]],[[1.03123283]],[[0.78591823]],[[0.59905508]],[[0.50808527]]
['BLVRB'],[[1.16661171]],[[1.04203114]],[[1.20761933]],[[1.08502905]],[[0.99278133]],[[1.29526577]],[[1.46600791]],[[1.61321698]],[[1.7682278]],[[1.71836383]],[[1.04735709]],[[1.34465499]],[[1.16012008]]
