['AHRR'],[[1.08847485]],[[1.66164045]],[[0.71097548]],[[1.58383991]],[[1.46949052]],[[0.91844294]],[[1.53936003]],[[0.91976762]],[[0.60318523]],[[0.89070547]],[[0.99820993]],[[1.21614847]],[[2.85797668]]
['SPAG6'],[[0.8568454]],[[0.45515518]],[[0.65372008]],[[0.46310492]],[[1.18513941]],[[1.58624472]],[[0.63144601]],[[1.31137388]],[[0.39115188]],[[0]],[[0]],[[0.32276153]],[[0.75626652]]
['DHDH'],[[0.8158882]],[[0.94660075]],[[1.28276547]],[[1.75088861]],[[2.06510145]],[[0.58560388]],[[0.42567203]],[[1.16015521]],[[0]],[[0]],[[0]],[[0.39330959]],[[0.82257047]]
['TPD52L1'],[[0]],[[0]],[[1.28276509]],[[0]],[[1.0437257]],[[0]],[[0]],[[1.16015515]],[[0]],[[0]],[[0]],[[1.17223841]],[[0.61247743]]
['IFIT3'],[[0.83813861]],[[1.461816]],[[1.50468845]],[[1.50463278]],[[1.37809129]],[[0.70025689]],[[0.64473047]],[[0.77682053]],[[0.71293512]],[[0.9660728]],[[1.10623315]],[[1.01286091]],[[1.25201619]]
['CXCL6'],[[0.92690496]],[[0.7543813]],[[0.96743866]],[[0.8805859]],[[0.39454902]],[[0.60332144]],[[0.3267913]],[[0.12626956]],[[0.23023043]],[[1.04084749]],[[0.83972061]],[[1.04816064]],[[0.6628122]]
['C3'],[[1.18237871]],[[0.61560891]],[[0.43180083]],[[0.57889285]],[[0.60115079]],[[0.21005272]],[[0.84783697]],[[0.96764025]],[[0.81417211]],[[1.1766004]],[[1.48815238]],[[1.38589669]],[[1.3320059]]
['IFI6'],[[0.96559558]],[[1.03417569]],[[0.96052095]],[[0.99272247]],[[0.9392497]],[[0.58896554]],[[0.54865089]],[[0.80553743]],[[0.81207269]],[[0.87857119]],[[1.02565683]],[[0.91354199]],[[1.32092985]]
['CHI3L1'],[[0.82390493]],[[1.28653802]],[[1.28241145]],[[1.34376057]],[[1.48982917]],[[1.19120919]],[[0.56686932]],[[0.53440635]],[[0.64114651]],[[0.73345047]],[[0.89565493]],[[0.8656632]],[[1.25436139]]
['RSAD2'],[[1.04974686]],[[0.97075344]],[[1.05150553]],[[0.86751832]],[[0.97704293]],[[0.56004571]],[[0.49511101]],[[1.06626328]],[[1.89639729]],[[2.07850065]],[[1.15948389]],[[0.94114273]],[[1.50363086]]
['NOV'],[[1.01252388]],[[1.85501635]],[[1.88094205]],[[1.67560142]],[[1.43375144]],[[0.29543266]],[[0.19665954]],[[0.55437168]],[[0.79445652]],[[1.37225533]],[[0.94949439]],[[1.10226902]],[[1.21549232]]
