['FGR'],[[0.94535081]],[[1.41461519]],[[1.46649893]],[[1.50381769]],[[1.52724251]],[[2.00802802]],[[1.71465702]],[[1.45295618]],[[1.27790432]],[[1.0488136]],[[1.08027011]],[[1.04977545]],[[0.96559975]]
['LAMP2'],[[0.85319]],[[1.77396788]],[[1.85516948]],[[1.81839349]],[[1.93006962]],[[1.60752742]],[[1.28279324]],[[1.10941223]],[[0.93886585]],[[1.12345235]],[[0.91252421]],[[0.99207386]],[[0.89154733]]
['KDM7A'],[[0.95245421]],[[1.80127053]],[[1.80071138]],[[1.79715609]],[[1.73480566]],[[1.65739501]],[[1.31440834]],[[1.13169723]],[[1.14672971]],[[1.66900987]],[[0.98465727]],[[1.02116765]],[[0.9141511]]
['IFRD1'],[[0.92124759]],[[1.66174441]],[[1.62702825]],[[1.59936584]],[[1.77796003]],[[1.67171775]],[[1.35997441]],[[1.2016167]],[[1.06154603]],[[1.30361339]],[[0.97685107]],[[1.09217426]],[[0.86470685]]
['CDKL5'],[[0.93422617]],[[1.94010141]],[[1.97420677]],[[1.982852]],[[2.00684023]],[[1.75259793]],[[1.48454315]],[[1.15430037]],[[0.86408093]],[[1.08089902]],[[0.94646527]],[[0.97632459]],[[0.88977545]]
['TYROBP'],[[0.96204409]],[[1.60971168]],[[1.68794676]],[[1.64875328]],[[1.51742208]],[[1.45348911]],[[1.24812159]],[[1.21054831]],[[1.20121055]],[[1.13627581]],[[1.04382139]],[[1.083146]],[[1.01751555]]
['SEMA3B'],[[1.33386052]],[[2.12484314]],[[1.57067761]],[[2.18538661]],[[2.06510126]],[[2.08893334]],[[1.72969906]],[[1.76232895]],[[1.93448828]],[[1.546801]],[[1.17790901]],[[1.12118835]],[[1.61671808]]
['EXTL3'],[[0.98014067]],[[2.26460978]],[[2.1766411]],[[2.21421962]],[[2.05004]],[[1.53242381]],[[1.14906021]],[[1.04732759]],[[0.93155989]],[[1.0963853]],[[0.99256858]],[[1.03416306]],[[1.01418076]]
['WAS'],[[1.00244897]],[[1.73863279]],[[1.75225665]],[[1.80313009]],[[1.77734587]],[[1.53054415]],[[1.24909999]],[[1.15885269]],[[1.11720926]],[[1.07854249]],[[1.12358962]],[[1.11317561]],[[1.04380797]]
['RTFDC1'],[[0.98136698]],[[1.90476819]],[[1.95244001]],[[1.98315143]],[[1.96337346]],[[1.56357011]],[[1.18044858]],[[1.09908539]],[[1.11035502]],[[1.26386511]],[[1.05096897]],[[1.12212454]],[[1.02885669]]
['RRAGD'],[[0.84442638]],[[1.88523309]],[[1.91774937]],[[1.96528259]],[[1.82853819]],[[1.40810166]],[[1.35280328]],[[1.17608596]],[[1.09355972]],[[1.32951385]],[[0.85575805]],[[0.94479349]],[[0.83272019]]
['HMGB3'],[[1.7748212]],[[0.94660061]],[[1.28276521]],[[1.42344129]],[[0.9587277]],[[1.47516199]],[[1.24658556]],[[1.28724594]],[[1.44901846]],[[1.3010851]],[[1.20742123]],[[0.87636251]],[[1.4587847]]
['GRN'],[[0.93019647]],[[1.50717133]],[[1.5253383]],[[1.51558275]],[[1.36764057]],[[1.60471987]],[[1.4870882]],[[1.41277632]],[[1.46287742]],[[1.28412343]],[[1.04834945]],[[1.10458879]],[[1.00580536]]
['TIMP2'],[[0.93455134]],[[1.87630238]],[[1.91580415]],[[1.97384782]],[[1.94938619]],[[1.79308495]],[[1.53820789]],[[1.35103933]],[[1.27059838]],[[1.21643288]],[[1.0501723]],[[1.06890376]],[[0.97927903]]
['CAPG'],[[0.94591066]],[[1.389937]],[[1.52372376]],[[1.46131276]],[[1.27917071]],[[1.75559294]],[[1.48864537]],[[1.28316479]],[[1.38860012]],[[1.16536705]],[[1.01194488]],[[1.12396353]],[[1.00674875]]
['PHKA2'],[[0.97192171]],[[1.87280588]],[[1.87737039]],[[1.87093843]],[[1.84868536]],[[1.77784238]],[[1.51641445]],[[1.29530598]],[[1.15419352]],[[1.11923059]],[[1.00311098]],[[1.0461171]],[[0.96557404]]
['WWC3'],[[0.9438141]],[[1.53074167]],[[1.55725677]],[[1.64554231]],[[1.70666161]],[[1.40323778]],[[1.18829137]],[[1.14880485]],[[1.3819327]],[[1.87337816]],[[1.0427562]],[[1.01299215]],[[0.92962159]]
['HEBP2'],[[0.86634005]],[[1.77232235]],[[1.7994199]],[[1.8437015]],[[1.9699834]],[[1.69278818]],[[1.3716703]],[[1.21443022]],[[1.04608561]],[[1.08407179]],[[0.89371959]],[[0.92081506]],[[0.91861902]]
['PPP1R12A'],[[0.84991759]],[[1.63632234]],[[1.64783289]],[[1.72640076]],[[1.85373564]],[[1.78736786]],[[1.34799219]],[[1.11384256]],[[0.90397873]],[[1.11190766]],[[0.89593874]],[[0.9612108]],[[0.93439587]]
['TBXAS1'],[[1.00664286]],[[2.10614744]],[[2.18000713]],[[2.206451]],[[2.20299497]],[[1.86888785]],[[1.49679452]],[[1.26278275]],[[1.2048568]],[[1.1629962]],[[1.10210081]],[[1.09217832]],[[1.01220304]]
['LPAR2'],[[0.93812718]],[[1.89783674]],[[1.82809167]],[[1.96492738]],[[2.05612277]],[[1.89815577]],[[1.73240102]],[[1.5064176]],[[1.23646369]],[[1.02956625]],[[1.02091154]],[[1.06826496]],[[1.10225667]]
['CNN2'],[[0.92339361]],[[1.53794357]],[[1.59554567]],[[1.64996053]],[[1.66060009]],[[1.53284138]],[[1.20364227]],[[1.0581414]],[[0.94636267]],[[1.07645529]],[[1.01317792]],[[1.03109433]],[[0.930224]]
['FAR2'],[[0.93957418]],[[2.05784083]],[[2.15814638]],[[2.17311353]],[[2.22682055]],[[2.08192883]],[[1.75400428]],[[1.37024648]],[[1.01237223]],[[1.04104699]],[[1.04354356]],[[0.99606068]],[[1.20497429]]
['GNAI3'],[[0.88558429]],[[1.36134524]],[[1.4566884]],[[1.48579437]],[[1.68109193]],[[1.78366752]],[[1.58363644]],[[1.24728868]],[[0.99026631]],[[1.07380652]],[[0.96938482]],[[1.00908408]],[[0.9666373]]
['OAT'],[[0.99728097]],[[1.60942693]],[[1.72141361]],[[1.63393132]],[[1.59187644]],[[1.61928602]],[[1.25039533]],[[1.12922271]],[[1.42432166]],[[1.733221]],[[0.91161508]],[[1.02890475]],[[0.84958722]]
['PYGM'],[[1.17231077]],[[1.51749283]],[[1.6726326]],[[1.71792004]],[[1.88060506]],[[1.75624058]],[[1.64742031]],[[1.51208583]],[[1.36628294]],[[1.12852198]],[[1.02292338]],[[0.98505147]],[[0.97352527]]
['NEDD4'],[[0.95413817]],[[0.94310779]],[[1.00588492]],[[1.00581633]],[[1.25516339]],[[1.57166514]],[[1.10570537]],[[1.00376481]],[[0.91398198]],[[1.18216336]],[[0.83043038]],[[0.90252769]],[[1.03360067]]
['CLTCL1'],[[1.13454245]],[[2.36883534]],[[2.37619823]],[[2.09507846]],[[1.70691904]],[[1.94628206]],[[1.36344633]],[[1.29028424]],[[1.56850187]],[[1.51943174]],[[1.00382747]],[[1.16217218]],[[0.9799329]]
['WIPI1'],[[1.16285172]],[[2.12173881]],[[1.98881698]],[[1.99749381]],[[1.89105029]],[[1.69219059]],[[1.29193862]],[[1.32895825]],[[1.51855629]],[[1.97941014]],[[1.11752813]],[[1.15253097]],[[1.18837468]]
['NDST1'],[[1.09964667]],[[2.28642558]],[[2.25908232]],[[2.17951153]],[[1.7972972]],[[1.28040665]],[[0.98793356]],[[1.04428973]],[[1.15231115]],[[1.35917914]],[[1.03009678]],[[1.09181776]],[[0.96322666]]
['ST6GALNAC2'],[[1.0442822]],[[2.23809999]],[[2.09673584]],[[2.21365162]],[[2.20861371]],[[1.74585352]],[[1.47147841]],[[1.20661005]],[[1.00277028]],[[1.13793812]],[[1.05926239]],[[1.13520612]],[[1.13298832]]
['CYBRD1'],[[0.9352221]],[[1.61321946]],[[1.73297388]],[[1.8199072]],[[2.07001874]],[[1.43121709]],[[0.97345777]],[[0.94911006]],[[1.27058145]],[[1.72296704]],[[0.92039449]],[[1.00159644]],[[0.93435498]]
['ACTN1'],[[1.00379065]],[[1.51252118]],[[1.51537828]],[[1.55627963]],[[1.58140709]],[[1.68483897]],[[1.28264608]],[[1.2550444]],[[1.19360948]],[[1.2456521]],[[1.07319792]],[[1.066193]],[[0.91334044]]
['P4HA2'],[[1.04259282]],[[2.12832503]],[[1.99869234]],[[2.33431819]],[[1.96166882]],[[2.40010807]],[[2.3019324]],[[2.03105554]],[[1.9109215]],[[1.20022963]],[[1.18601808]],[[1.40734669]],[[1.06901205]]
['TMEM38A'],[[1.00995049]],[[2.14289151]],[[2.436237]],[[2.11663858]],[[1.60373106]],[[1.52150959]],[[1.45104116]],[[1.45338017]],[[1.64658003]],[[1.35640673]],[[1.10550502]],[[1.17223879]],[[0.98344476]]
