['GCLC'],[[1.12797816]],[[0.96553704]],[[0.92736865]],[[0.83325088]],[[0.88009038]],[[0.89117432]],[[0.83112104]],[[1.04534651]],[[1.74188056]],[[2.90847209]],[[1.08905466]],[[1.02748018]],[[1.18912201]]
['PRKAR2B'],[[1.09285774]],[[0.97412866]],[[0.92620144]],[[0.98425122]],[[1.06516504]],[[0.86353402]],[[0.8790649]],[[1.33576652]],[[1.38604372]],[[1.53733652]],[[0.8564946]],[[0.88960665]],[[0.81113272]]
['MPO'],[[1.61179735]],[[1.49197565]],[[1.38021491]],[[1.2698563]],[[0.97055054]],[[0.9886751]],[[1.26066375]],[[1.58937513]],[[2.25260733]],[[1.83027302]],[[1.47919318]],[[1.45165947]],[[1.23380916]]
['E2F2'],[[1.25856244]],[[0.92000282]],[[0.94552919]],[[0.94780951]],[[0.90644793]],[[0.913194]],[[0.81398456]],[[1.43489535]],[[1.91525938]],[[2.20545844]],[[1.00335989]],[[0.9993251]],[[1.2496575]]
['TSPAN9'],[[1.16351294]],[[0.95607827]],[[0.94519731]],[[0.96207875]],[[1.00392963]],[[0.88787435]],[[0.89713233]],[[1.38903415]],[[1.56532978]],[[1.41087202]],[[0.91122244]],[[1.02522167]],[[0.81196332]]
['EHD3'],[[1.20675778]],[[1.06606933]],[[0.99767383]],[[1.01073937]],[[1.00885949]],[[1.09939675]],[[0.83564132]],[[1.38857785]],[[1.47595416]],[[1.27448535]],[[0.95190167]],[[0.99788928]],[[1.07249119]]
['SLC25A39'],[[1.3393911]],[[1.00913553]],[[1.05354664]],[[0.98235661]],[[0.8681916]],[[0.80189568]],[[0.88469925]],[[1.27112117]],[[1.9254873]],[[2.73227501]],[[1.13076604]],[[1.12299584]],[[1.24406435]]
['HEBP1'],[[1.14302597]],[[0.86858555]],[[0.91087345]],[[0.82677822]],[[0.79707928]],[[0.99679925]],[[1.01415028]],[[1.30003164]],[[1.98076517]],[[2.93581191]],[[1.19004751]],[[1.1156922]],[[1.02024529]]
['FHL1'],[[1.0562478]],[[0.82804216]],[[0.86928621]],[[0.82533909]],[[0.84750124]],[[0.63728151]],[[0.77048948]],[[1.33257734]],[[1.45169957]],[[1.50277952]],[[0.84314145]],[[0.90922438]],[[0.76564344]]
['EHD2'],[[1.09540596]],[[0.69440537]],[[0.76112482]],[[0.65397056]],[[0.65903334]],[[0.44797194]],[[0.84027817]],[[1.36265628]],[[1.12412764]],[[1.48382915]],[[0.91392564]],[[1.09737265]],[[0.72688372]]
['MAP2K3'],[[1.26474208]],[[1.13679331]],[[1.18544302]],[[1.19136583]],[[1.15702481]],[[1.1648212]],[[0.97083246]],[[1.29328671]],[[2.21483336]],[[3.00483378]],[[1.21102363]],[[1.12105361]],[[1.14676442]]
['RIPOR3'],[[1.1574567]],[[0.95095972]],[[1.01967978]],[[0.83639028]],[[1.00105067]],[[0.80167856]],[[0.8844989]],[[1.35670277]],[[1.90767249]],[[2.27498268]],[[0.97076364]],[[0.96060205]],[[1.250556]]
['AP2S1'],[[1.09850254]],[[0.88355089]],[[0.89707164]],[[0.84489324]],[[0.7751968]],[[0.89806094]],[[0.9390786]],[[1.21321949]],[[1.69231457]],[[2.31163665]],[[1.04378533]],[[1.0573646]],[[0.96019997]]
['ARHGAP6'],[[1.06819465]],[[0.88272244]],[[0.96512938]],[[0.96872048]],[[0.97270245]],[[0.79699614]],[[0.80214293]],[[1.35168904]],[[1.38444824]],[[1.21807067]],[[0.91618253]],[[0.87904742]],[[0.8483811]]
['LTBP1'],[[1.17989046]],[[1.01004225]],[[0.96119501]],[[0.99050875]],[[1.0311646]],[[0.85867557]],[[0.90803175]],[[1.4362606]],[[1.56284797]],[[1.52611425]],[[0.92365718]],[[0.92648343]],[[0.89497661]]
['NEDD4L'],[[1.18549166]],[[1.01315869]],[[1.02237446]],[[0.91068374]],[[0.82283265]],[[1.08291496]],[[1.42950222]],[[1.52516064]],[[2.14167551]],[[2.93646723]],[[1.09090486]],[[1.00123843]],[[1.33052066]]
['PTPRN'],[[1.16851726]],[[0.65137288]],[[0.73240562]],[[0.90571567]],[[0.98541825]],[[0.94433967]],[[1.00230219]],[[1.60511187]],[[1.8137205]],[[1.98420272]],[[0.93085113]],[[1.00901196]],[[1.56542623]]
['KCNH2'],[[1.22375734]],[[0.58431735]],[[0.82508679]],[[0.74269836]],[[0.74301722]],[[0.47001961]],[[0.53485581]],[[1.56514912]],[[3.03070764]],[[2.81981145]],[[1.01028227]],[[1.14103749]],[[1.44804049]]
['PITHD1'],[[1.14923367]],[[0.90643128]],[[0.94491479]],[[0.94460484]],[[0.92292215]],[[0.82391868]],[[0.55289622]],[[1.0493509]],[[1.82383139]],[[2.96829058]],[[1.00958623]],[[0.98705986]],[[1.07297056]]
