['CFLAR'],[[0.93202304]],[[1.97305321]],[[2.00950238]],[[2.15473136]],[[2.34265854]],[[2.04882402]],[[1.59360131]],[[1.28082676]],[[1.06232515]],[[1.05047523]],[[0.99011117]],[[0.98201591]],[[1.01108158]]
['SKAP2'],[[0.84808676]],[[1.75611755]],[[1.82537929]],[[1.84427249]],[[1.96551386]],[[1.68826322]],[[1.25978669]],[[1.1221258]],[[1.04704578]],[[1.16871201]],[[0.87985456]],[[0.93074732]],[[0.82505987]]
['ABHD5'],[[1.00422667]],[[2.32042552]],[[2.33293676]],[[2.37872529]],[[2.41727135]],[[1.60130178]],[[1.19600351]],[[1.06338415]],[[0.85885098]],[[1.19260313]],[[0.92669801]],[[0.9514909]],[[0.97695627]]
['GAB2'],[[0.96955001]],[[2.11085922]],[[2.12700762]],[[2.20479618]],[[2.26475924]],[[1.72712081]],[[1.36641366]],[[1.15933764]],[[1.05257857]],[[1.2119631]],[[1.089343]],[[1.08533393]],[[1.03079671]]
['ZFYVE16'],[[0.87309548]],[[1.58918224]],[[1.63635562]],[[1.70264037]],[[1.97647713]],[[1.80369103]],[[1.43570276]],[[1.08514955]],[[0.93791071]],[[1.15770965]],[[0.88675078]],[[1.01135179]],[[0.88744929]]
['FAM184B'],[[1.33386051]],[[2.81303595]],[[2.89699237]],[[2.63330263]],[[2.06510125]],[[2.00144223]],[[1.61314868]],[[1.51208622]],[[2.17111081]],[[0.63138656]],[[1.56748093]],[[1.52627778]],[[1.81186622]]
['FAM160A2'],[[1.05567694]],[[2.231065]],[[2.19953609]],[[2.24222112]],[[2.16240818]],[[2.16811192]],[[1.5590003]],[[1.3009285]],[[1.30243398]],[[1.18702739]],[[1.08067926]],[[1.10749537]],[[1.04264175]]
['EIF2AK2'],[[0.9065441]],[[2.56520137]],[[2.57735169]],[[2.61209803]],[[2.82045897]],[[1.8226346]],[[1.14702217]],[[1.00469894]],[[0.7980544]],[[1.09016832]],[[0.92186295]],[[0.98060826]],[[0.98789086]]
['TMCC3'],[[0.94736915]],[[2.37930133]],[[2.4521636]],[[2.45779486]],[[2.49158735]],[[1.75162322]],[[1.27625094]],[[1.13748737]],[[0.90435888]],[[1.19356212]],[[1.06189326]],[[1.06795385]],[[0.95648333]]
['ATP11B'],[[0.92070437]],[[2.07180797]],[[2.16524219]],[[2.2132711]],[[2.4647388]],[[2.1585013]],[[1.46668242]],[[1.10250151]],[[0.87016365]],[[1.20371383]],[[0.91923928]],[[0.96883177]],[[0.88495238]]
['CDK14'],[[0.8224674]],[[2.03378118]],[[2.04035558]],[[1.96929496]],[[1.92329109]],[[1.26344007]],[[1.01731358]],[[1.03550949]],[[1.03052532]],[[1.24648875]],[[0.78639613]],[[0.8861034]],[[0.77784944]]
