['TSPAN6'],[[1.88892002]],[[0.69440537]],[[0]],[[1.53233002]],[[1.27225773]],[[0.73773496]],[[1.71720435]],[[1.40404175]],[[0.60318523]],[[1.3010851]],[[2.12652026]],[[1.62730446]],[[1.60812492]]
['NIPAL3'],[[0.97384943]],[[0.50334037]],[[0.54622911]],[[0.52135992]],[[0.45806633]],[[0.55765681]],[[0.78973273]],[[0.92445587]],[[0.84484531]],[[0.8362971]],[[0.94462019]],[[0.97278521]],[[1.0617331]]
['SARM1'],[[1.12901492]],[[0.57538415]],[[0.5618601]],[[0.47123008]],[[0.44658057]],[[0.49118966]],[[0.74462203]],[[0.80435055]],[[0.71856824]],[[0.70704192]],[[1.00489167]],[[1.05041374]],[[1.08271791]]
['COPZ2'],[[1.4982078]],[[1.51331486]],[[1.28276521]],[[0.64870275]],[[1.0437256]],[[1.00096165]],[[1.32772821]],[[1.07815423]],[[1.80385532]],[[1.06908765]],[[1.23060389]],[[1.64668778]],[[1.72090875]]
['OSBPL7'],[[1.10117898]],[[0.50757805]],[[0.49809918]],[[0.49580092]],[[0.53856141]],[[0.45785607]],[[0.59184895]],[[0.68485244]],[[0.78631621]],[[0.69273405]],[[1.04293751]],[[0.99178106]],[[1.01017987]]
['BAIAP2L1'],[[2.21717839]],[[0.45515532]],[[0.65371996]],[[0]],[[0.88692904]],[[0.48597642]],[[1.06917524]],[[0.99121012]],[[1.35456507]],[[1.46308346]],[[1.48312491]],[[1.32442684]],[[2.34874004]]
['SCIN'],[[0.45277446]],[[0.41922545]],[[0.33405828]],[[0.89548812]],[[1.1097273]],[[0.6287101]],[[0.80636165]],[[0.83656333]],[[1.09255195]],[[0.67714014]],[[0.86088551]],[[1.09737265]],[[0.48831275]]
['PRSS21'],[[1.13103785]],[[1.03441403]],[[0.80543906]],[[0.79954635]],[[0.63584659]],[[0.60638055]],[[0.77925067]],[[0.71743063]],[[1.35456507]],[[1.03587891]],[[1.24255291]],[[0.94604388]],[[1.96161909]]
['TRAPPC6A'],[[1.14338997]],[[0.50380639]],[[0.64629721]],[[0.58261917]],[[0.47377091]],[[0.67114676]],[[0.61818008]],[[0.71166906]],[[0.81584022]],[[0.70395312]],[[1.11042345]],[[1.08687238]],[[1.17881799]]
['SCN4A'],[[1.00995053]],[[0.80062933]],[[0.65371996]],[[0.46310475]],[[0.71098972]],[[0.26335503]],[[0.7539433]],[[1.16015516]],[[1.43984658]],[[0.90956952]],[[1.15990748]],[[1.39489543]],[[0.84673644]]
['ADAM22'],[[0.96282937]],[[0.65276627]],[[0.44983579]],[[0.3354059]],[[0.49215976]],[[0.27863866]],[[0.81509728]],[[0.68191785]],[[0.70443505]],[[0.96932356]],[[0.90419774]],[[0.89026978]],[[1.00911239]]
['PKD1'],[[1.03262848]],[[0.42778694]],[[0.37693958]],[[0.423225]],[[0.38180308]],[[0.57643384]],[[0.76694767]],[[0.84690884]],[[0.88356359]],[[0.67645577]],[[1.00819247]],[[0.96516159]],[[1.0482159]]
['RHOBTB2'],[[0.98349457]],[[0.46259498]],[[0.44901504]],[[0.45382351]],[[0.44902483]],[[0.63877366]],[[0.90642095]],[[0.84347835]],[[0.84275986]],[[0.69197983]],[[0.96396378]],[[0.9517519]],[[0.97075563]]
['ZBTB32'],[[0.69788975]],[[0.11676711]],[[0.33405828]],[[0.42663583]],[[0.36682535]],[[0.44797194]],[[0.39176569]],[[0.47808708]],[[0.39891749]],[[0.7645116]],[[0.84048171]],[[0.65060226]],[[0.98323494]]
['ANGEL1'],[[0.97981012]],[[0.53164193]],[[0.53334006]],[[0.56363569]],[[0.49548581]],[[0.75424294]],[[0.9146614]],[[0.95656997]],[[0.9561129]],[[0.80620544]],[[1.05068603]],[[1.02489313]],[[1.02256811]]
['DDX11'],[[1.03866861]],[[0.52157073]],[[0.45024729]],[[0.4719368]],[[0.50988784]],[[0.63547835]],[[0.83243892]],[[0.94495188]],[[0.9891869]],[[0.87852131]],[[1.11093512]],[[1.02526334]],[[0.82042759]]
['TTC27'],[[0.96218368]],[[0.42753674]],[[0.47120463]],[[0.49895856]],[[0.4860273]],[[0.6626491]],[[0.72355296]],[[0.77870764]],[[0.76989631]],[[0.94814808]],[[0.94530532]],[[0.94549371]],[[0.89767562]]
['PHLDB1'],[[1.43874978]],[[0.76170609]],[[0.77949033]],[[0.30633898]],[[0.48344607]],[[0.70117951]],[[0.89374656]],[[0.94569081]],[[1.17965442]],[[1.16051325]],[[1.38580476]],[[1.06826496]],[[1.42427349]]
['PRDM11'],[[1.03297054]],[[0.48844054]],[[0.44054571]],[[0.60406299]],[[0.44307688]],[[0.36504678]],[[0.53779244]],[[0.66345757]],[[0.68879346]],[[0.74898952]],[[0.97938583]],[[0.90235704]],[[1.01402309]]
['CD74'],[[0.94536723]],[[0.42522751]],[[0.43734035]],[[0.41367052]],[[0.36839205]],[[0.6058183]],[[0.7096725]],[[0.76356394]],[[0.85364079]],[[0.74803276]],[[0.98647526]],[[1.00912558]],[[0.96412674]]
['RUNX3'],[[1.10604063]],[[0.67131853]],[[0.65712011]],[[0.69912739]],[[0.66596384]],[[0.38081284]],[[0.55333618]],[[0.67121889]],[[0.58538424]],[[0.61668601]],[[1.03614954]],[[1.01739999]],[[1.26602371]]
['MIPEP'],[[1.1495655]],[[0.62712584]],[[0.75159763]],[[0.58834036]],[[0.60966304]],[[0.61618801]],[[0.77001504]],[[0.86049196]],[[0.87074102]],[[0.93107266]],[[1.05014116]],[[1.0573436]],[[1.07196027]]
['SH2D2A'],[[1.22149261]],[[0.52017612]],[[0.55140541]],[[0.57648635]],[[0.5524151]],[[0.28315052]],[[0.43036013]],[[0.58062681]],[[0.46142582]],[[0.63788598]],[[1.18869356]],[[1.10554763]],[[1.16065743]]
['SH3YL1'],[[0.96231423]],[[0.56081334]],[[0.52113237]],[[0.50240315]],[[0.58840065]],[[0.4922261]],[[0.7483613]],[[0.77791077]],[[0.84148758]],[[0.83131068]],[[0.98361107]],[[0.89800962]],[[0.86224781]]
['PER3'],[[1.21202042]],[[0.64364386]],[[0.53993482]],[[0.68527293]],[[0.6389457]],[[0.54809523]],[[0.84904881]],[[0.7594432]],[[0.70854386]],[[0.91414158]],[[1.08901526]],[[1.03520389]],[[1.05279515]]
['LIMA1'],[[0.90870786]],[[0.42918578]],[[0.39501427]],[[0.35113091]],[[0.35610749]],[[0.38139502]],[[0.69466684]],[[0.71172518]],[[0.70007679]],[[0.62575631]],[[0.88341787]],[[0.98912479]],[[1.01772153]]
['SLC4A8'],[[1.05151847]],[[0.59885715]],[[0.52985375]],[[0.50093946]],[[0.6430169]],[[0.85916435]],[[0.96829425]],[[1.10244488]],[[1.14115436]],[[1.02456445]],[[1.13871663]],[[1.01368721]],[[1.26853282]]
['PLEKHA5'],[[1.00995053]],[[0.29166475]],[[0.42893558]],[[0.56818555]],[[0.5277875]],[[0.52961481]],[[0.63487397]],[[0.65244234]],[[0.54581454]],[[0.99099735]],[[0.80374734]],[[0.79940896]],[[0.9473914]]
['MCF2L2'],[[1.16043996]],[[0.65588451]],[[0.37461424]],[[0.58527315]],[[0.4240046]],[[0.47646025]],[[0.80043253]],[[0.82084201]],[[0.65330153]],[[0.85423684]],[[1.0679223]],[[0.95353067]],[[1.06478083]]
['USP36'],[[1.02483292]],[[0.43336725]],[[0.43959825]],[[0.40043021]],[[0.41493708]],[[0.5112477]],[[0.68124363]],[[0.74667413]],[[0.72273531]],[[0.75254011]],[[1.07796187]],[[0.98634879]],[[1.07870535]]
['DCBLD2'],[[0.73725527]],[[0.4240045]],[[0.46165227]],[[0.53429063]],[[0.35541531]],[[0.21176644]],[[0.69076905]],[[0.40593924]],[[0.65416541]],[[0.98733251]],[[0.69614402]],[[0.61149008]],[[0.9442321]]
['MTA3'],[[0.97161732]],[[0.36713548]],[[0.33198594]],[[0.381038]],[[0.42918886]],[[0.35405514]],[[0.61717011]],[[0.74625515]],[[0.63367149]],[[0.76686464]],[[0.95246402]],[[0.88998141]],[[0.96263681]]
['USP13'],[[0.98333224]],[[0.39048668]],[[0.49395346]],[[0.39745597]],[[0.38122934]],[[0.57751412]],[[0.63073146]],[[0.78025481]],[[0.69002427]],[[0.58788631]],[[0.9656462]],[[0.8909655]],[[0.8704551]]
['CROCC'],[[0.97520092]],[[0.50399967]],[[0.43760473]],[[0.41178616]],[[0.43432101]],[[0.54837157]],[[0.78353186]],[[0.78109745]],[[0.78406386]],[[0.61078598]],[[0.97610034]],[[1.01678355]],[[0.98589231]]
['ALDH18A1'],[[0.99018587]],[[0.36738577]],[[0.33348248]],[[0.36583642]],[[0.40913585]],[[0.45538711]],[[0.63341902]],[[0.72314845]],[[0.60128061]],[[0.72502386]],[[0.85272712]],[[0.96249642]],[[1.03056149]]
['TARBP1'],[[1.09037744]],[[0.43275613]],[[0.47786997]],[[0.48617955]],[[0.43840721]],[[0.52079202]],[[0.77262904]],[[0.7131495]],[[0.81037128]],[[0.75512838]],[[0.98290597]],[[0.89263205]],[[0.97688367]]
['CA11'],[[1.03201479]],[[0.40242241]],[[0.43397503]],[[0.49112587]],[[0.51932397]],[[0.33988982]],[[0.41812941]],[[0.61278301]],[[0.6815053]],[[0.41808731]],[[0.77397065]],[[0.75767658]],[[0.83976061]]
['ZNF275'],[[0.97827]],[[0.54605814]],[[0.53650039]],[[0.499865]],[[0.42598448]],[[0.4015436]],[[0.71077911]],[[0.77693838]],[[0.81999792]],[[0.80838234]],[[1.07376444]],[[0.93632626]],[[1.00758073]]
['RRP15'],[[0.93654402]],[[0.44227637]],[[0.47199666]],[[0.40558988]],[[0.41487753]],[[0.47994058]],[[0.66556755]],[[0.71760254]],[[0.73053354]],[[0.81677208]],[[0.85999794]],[[0.96130582]],[[0.93393849]]
['SDK2'],[[1.04053074]],[[0.5023606]],[[0.52648627]],[[0.38320486]],[[0.28787584]],[[0.3284455]],[[0.66372444]],[[0.75610713]],[[0.85002224]],[[0.67543589]],[[1.0191346]],[[1.03291761]],[[0.54558597]]
['PFN2'],[[0.80596278]],[[0.2878173]],[[0.26869937]],[[0.39552469]],[[0.32509707]],[[0.30849228]],[[0.60688582]],[[0.88955942]],[[0.49348148]],[[0.44999488]],[[0.84926167]],[[0.59207592]],[[0.7899088]]
