['NDUFAF7'],[[0.85858722]],[[1.675768]],[[1.45540734]],[[1.64338809]],[[1.81252965]],[[1.70256956]],[[1.15357764]],[[1.0468591]],[[0.91886617]],[[1.05818211]],[[1.01527761]],[[1.03927749]],[[0.9626917]]
['CREBBP'],[[0.93985447]],[[1.72879575]],[[1.68646531]],[[1.75656229]],[[1.71511589]],[[1.36228641]],[[1.14536349]],[[1.07039541]],[[1.01764089]],[[1.21461218]],[[1.0236597]],[[1.0531892]],[[0.98122607]]
['NADK'],[[0.86588123]],[[1.53536206]],[[1.53925086]],[[1.56546254]],[[1.59590554]],[[1.64342119]],[[1.30587516]],[[1.21524944]],[[1.07418566]],[[1.11736428]],[[1.04776838]],[[1.03311486]],[[0.99097882]]
['ZNF200'],[[0.83518554]],[[1.28617189]],[[1.28072603]],[[1.51066378]],[[1.7118601]],[[1.31405379]],[[1.10140754]],[[0.9418041]],[[0.87106534]],[[1.01935016]],[[1.02961221]],[[1.04664475]],[[1.03406416]]
['MVP'],[[0.92304792]],[[1.3269935]],[[1.40334946]],[[1.50891087]],[[1.63957019]],[[1.64953971]],[[1.31688457]],[[1.16608354]],[[1.09595056]],[[1.02605264]],[[1.06640153]],[[1.07560811]],[[1.02801579]]
['ZC3H3'],[[1.065418]],[[1.47781542]],[[1.45506181]],[[1.53041992]],[[1.61796671]],[[1.51545828]],[[1.1862645]],[[1.11928124]],[[1.15583048]],[[1.19546818]],[[1.05122141]],[[1.129414]],[[1.11713061]]
['SLC45A4'],[[0.9698278]],[[1.47931566]],[[1.47323604]],[[1.54562609]],[[1.54537128]],[[1.16219039]],[[1.03834967]],[[1.00488364]],[[0.95018209]],[[1.06409266]],[[1.00033238]],[[1.03763262]],[[1.08651287]]
['RB1CC1'],[[0.90999744]],[[1.7623518]],[[1.82253866]],[[1.83718086]],[[2.08488786]],[[1.42377966]],[[1.17719978]],[[1.0004056]],[[0.87364608]],[[1.24367726]],[[0.91900239]],[[0.96319142]],[[0.91275541]]
['NSMAF'],[[0.9704009]],[[1.55618082]],[[1.60826119]],[[1.61799419]],[[1.80577874]],[[1.36831133]],[[1.08014971]],[[0.9493661]],[[0.98396722]],[[0.94906654]],[[0.94876068]],[[0.98800226]],[[0.95534386]]
['CELF2'],[[1.00172211]],[[2.34582296]],[[2.35875345]],[[2.37362839]],[[2.35154668]],[[1.45334376]],[[1.20791478]],[[1.05895051]],[[0.97216789]],[[1.04685285]],[[0.99346125]],[[1.00361871]],[[0.98096392]]
['H6PD'],[[1.06434801]],[[1.46690307]],[[1.5450526]],[[1.57879061]],[[1.80104236]],[[1.6618219]],[[1.17652479]],[[1.07666168]],[[1.03199389]],[[1.07461234]],[[1.07996398]],[[1.07785659]],[[1.1826499]]
['VAMP3'],[[0.89548071]],[[1.40161277]],[[1.49680856]],[[1.52163411]],[[1.6330329]],[[1.58852965]],[[1.30108902]],[[1.11883581]],[[1.00945581]],[[1.13271777]],[[0.93621711]],[[1.01468952]],[[0.93954438]]
['RFC2'],[[0.9527276]],[[1.5839586]],[[1.71093567]],[[1.77482264]],[[1.8975838]],[[1.3296965]],[[1.09997889]],[[0.98896326]],[[0.98205857]],[[0.9830237]],[[1.00365193]],[[0.97889852]],[[0.88472209]]
['ARID4B'],[[0.93292502]],[[1.39549052]],[[1.44135262]],[[1.53207278]],[[1.770516]],[[1.45657366]],[[1.18975989]],[[0.96509106]],[[0.8430794]],[[1.01884451]],[[0.96622785]],[[1.00822067]],[[0.94938521]]
['ITIH4'],[[1.33386052]],[[1.95791986]],[[1.8268605]],[[2.09063351]],[[2.35846057]],[[2.04098359]],[[1.50100043]],[[1.51208623]],[[1.44901846]],[[0.68711352]],[[0.95246402]],[[1.08019463]],[[1.26903595]]
['PRDM1'],[[1.5875107]],[[2.34861078]],[[2.46564858]],[[2.68656219]],[[2.7711553]],[[1.12047849]],[[1.0553571]],[[0.86086151]],[[0.76543347]],[[0.83859627]],[[1.00772091]],[[1.04140861]],[[1.14015851]]
['ATP2B4'],[[0.92392709]],[[0.7938566]],[[0.8240618]],[[0.96285316]],[[1.36913437]],[[1.96585151]],[[1.30922422]],[[0.95557022]],[[0.83565676]],[[0.80702351]],[[0.96479431]],[[0.98014646]],[[1.08805243]]
['ZC3H11A'],[[0.62585929]],[[0.67458551]],[[1.01692858]],[[1.05758443]],[[1.53386987]],[[1.19372689]],[[1.05562756]],[[0.94569081]],[[0.83074214]],[[0.30487133]],[[0.56652014]],[[0.44166907]],[[0.66203432]]
['DNAJC25'],[[0.84900825]],[[1.24855433]],[[1.30991894]],[[1.74433138]],[[1.74965979]],[[1.64702502]],[[1.23305979]],[[0.89251046]],[[0.89060113]],[[0.96821244]],[[1.03548972]],[[1.05077026]],[[0.95212673]]
['CYB5R4'],[[0.86644402]],[[1.85102783]],[[1.91379669]],[[1.88419501]],[[2.011728]],[[1.74186639]],[[1.41103263]],[[1.11121853]],[[0.89373412]],[[1.14355699]],[[0.92975675]],[[0.98617553]],[[0.90935019]]
['TBC1D1'],[[0.88495287]],[[2.18710581]],[[2.23825535]],[[2.24884524]],[[2.117955]],[[1.2479293]],[[1.15012757]],[[1.07667257]],[[0.90456505]],[[1.11779523]],[[0.94767808]],[[0.9461462]],[[0.92793843]]
['DIP2B'],[[0.88513114]],[[1.5493254]],[[1.59604187]],[[1.71987516]],[[1.9031713]],[[1.42168841]],[[1.21342251]],[[1.01711525]],[[0.91185813]],[[1.10399625]],[[0.97505833]],[[1.0107453]],[[0.92072987]]
['SP100'],[[0.9503632]],[[1.38535044]],[[1.41800994]],[[1.47419841]],[[1.64750775]],[[1.59053447]],[[1.32855]],[[1.11149139]],[[1.04512256]],[[1.22639093]],[[0.98513456]],[[0.97972003]],[[1.01721442]]
['KLF6'],[[1.12313916]],[[2.01737661]],[[2.0340255]],[[2.00526533]],[[2.07608207]],[[1.7193722]],[[1.21520837]],[[1.05649707]],[[1.01432684]],[[1.12788831]],[[1.00092953]],[[1.05863211]],[[1.06122267]]
['PDK3'],[[0.87357589]],[[1.80260007]],[[1.82204866]],[[1.85716408]],[[1.78793315]],[[1.40092111]],[[1.19084336]],[[1.10173493]],[[0.9191934]],[[1.05651794]],[[0.84784228]],[[0.95676341]],[[0.87052253]]
['SRBD1'],[[0.9474018]],[[2.14232308]],[[2.24611659]],[[2.2029133]],[[2.0321034]],[[1.09054394]],[[1.09855263]],[[1.01769098]],[[0.96643482]],[[1.21448219]],[[1.00025186]],[[0.97460126]],[[1.02855669]]
['SNX13'],[[0.92374653]],[[1.65607613]],[[1.62019639]],[[1.64198594]],[[1.78405815]],[[1.62600453]],[[1.38236516]],[[1.07920581]],[[0.98673618]],[[1.30258111]],[[0.89724561]],[[1.00163253]],[[0.96621209]]
['MARK2'],[[0.89840354]],[[1.61444435]],[[1.60606395]],[[1.64974846]],[[1.64801282]],[[1.46854549]],[[1.2749961]],[[1.11777686]],[[0.98224706]],[[1.05429917]],[[1.01501383]],[[1.01678063]],[[0.96291126]]
['ACAP1'],[[0.98183725]],[[1.43173088]],[[1.43787336]],[[1.55800198]],[[1.67988677]],[[1.58342009]],[[1.16734478]],[[1.05685964]],[[0.9891929]],[[0.92796527]],[[1.03929]],[[0.99749804]],[[0.9751537]]
['PICALM'],[[0.91822113]],[[1.39694]],[[1.44244539]],[[1.45728829]],[[1.60673249]],[[1.39157627]],[[1.19837538]],[[1.02780186]],[[0.99018093]],[[1.5364815]],[[0.90338208]],[[0.96903328]],[[0.94404686]]
['CLASP1'],[[1.03034407]],[[1.67529344]],[[1.74340395]],[[1.82358038]],[[1.90987096]],[[1.47384701]],[[1.18169651]],[[1.07483492]],[[1.08036677]],[[1.22878693]],[[1.01759205]],[[1.03019342]],[[1.04509407]]
