['UGCG'],[[1.09869559]],[[3.19174989]],[[3.2674521]],[[3.27715474]],[[3.18297037]],[[2.33926556]],[[1.7114629]],[[1.22555323]],[[0.80590108]],[[1.08010636]],[[0.86855888]],[[1.05775113]],[[0.90661879]]
['VSIG4'],[[0.9107257]],[[2.9528979]],[[3.1950076]],[[3.46222051]],[[3.21962649]],[[3.65399904]],[[1.67785804]],[[1.66565195]],[[1.43174948]],[[1.31748008]],[[1.15072414]],[[1.3731612]],[[1.06901206]]
['SYN2'],[[1.64768803]],[[3.44399284]],[[3.12896749]],[[3.46463451]],[[4.20178568]],[[3.97321655]],[[3.45330821]],[[2.67732869]],[[2.11435658]],[[1.8332957]],[[1.51874966]],[[2.19523791]],[[1.46260835]]
['SLC37A3'],[[2.59145651]],[[3.52017673]],[[3.50784317]],[[3.3516449]],[[3.25565108]],[[2.56316131]],[[2.44805148]],[[2.12155089]],[[1.1117075]],[[1.26158284]],[[0.93336295]],[[1.10074375]],[[0.94281008]]
['GALNT14'],[[1.6051271]],[[2.85169144]],[[3.07610453]],[[3.17034097]],[[2.80791313]],[[2.98177549]],[[2.53430413]],[[2.62490145]],[[1.76801771]],[[1.3224883]],[[0.53673315]],[[0.97846109]],[[0.71765007]]
['GYG1'],[[1.80254483]],[[3.54666927]],[[3.68275289]],[[3.78343669]],[[4.00058886]],[[3.1279127]],[[2.8010243]],[[2.32398361]],[[1.33776043]],[[1.36745751]],[[0.98465082]],[[1.20177524]],[[1.03072988]]
['CYYR1'],[[1.67548295]],[[3.05216052]],[[3.0716789]],[[3.26385955]],[[3.85898327]],[[2.08283571]],[[2.07015243]],[[1.78614643]],[[1.59884729]],[[1.61270199]],[[1.3499825]],[[1.62955947]],[[1.02672763]]
['PLIN4'],[[2.22241159]],[[3.22835578]],[[3.36970281]],[[3.20984023]],[[3.02602087]],[[2.59094275]],[[2.2401649]],[[2.11545219]],[[1.19454998]],[[1.3207654]],[[0.88370396]],[[1.1527846]],[[0.82726538]]
['ZNF608'],[[2.24034177]],[[3.54923653]],[[3.86725778]],[[3.87742529]],[[3.63619345]],[[3.26857286]],[[2.14341522]],[[1.61515543]],[[1.83839143]],[[1.50149086]],[[1.18048708]],[[1.39521224]],[[0.97250089]]
['PFKFB3'],[[1.76258636]],[[4.53506127]],[[4.65942363]],[[4.68181325]],[[4.37037891]],[[3.52407227]],[[2.87823975]],[[2.65064704]],[[1.45113599]],[[1.47107121]],[[1.10422144]],[[1.42941067]],[[1.15128149]]
['LRG1'],[[1.94313408]],[[3.84448108]],[[3.91989455]],[[3.90637563]],[[3.83787492]],[[2.68056965]],[[2.41505281]],[[2.2980665]],[[1.36486143]],[[1.50852044]],[[1.11417288]],[[1.45368454]],[[1.12646666]]
['SULT1B1'],[[1.79587885]],[[2.73305433]],[[2.72818689]],[[2.79192628]],[[2.84912435]],[[2.54490327]],[[2.18986375]],[[1.67784978]],[[1.21391278]],[[1.2329558]],[[0.87478789]],[[1.09997882]],[[0.87743963]]
['SH3PXD2B'],[[1.43081112]],[[3.04034541]],[[3.06233471]],[[3.48665395]],[[3.64143485]],[[3.34571188]],[[2.33698605]],[[1.78258524]],[[1.36232207]],[[1.22168001]],[[0.63863472]],[[0.86395338]],[[0.67092809]]
['KCNE5'],[[1.28687195]],[[3.14142838]],[[3.43750879]],[[3.4549549]],[[2.5013707]],[[1.75903134]],[[1.82080682]],[[1.59634556]],[[0.90360271]],[[1.19872497]],[[0.92821486]],[[0.92516674]],[[0.99234954]]
['B3GNT5'],[[1.40024946]],[[2.85422335]],[[3.03254412]],[[3.08644292]],[[3.186672]],[[2.27224855]],[[1.94140888]],[[1.67832335]],[[1.28066411]],[[1.30957733]],[[1.13425165]],[[1.38280365]],[[1.02244411]]
['NSUN7'],[[2.35373891]],[[3.95651076]],[[4.02257669]],[[3.92350577]],[[4.34745249]],[[3.1819754]],[[2.8162189]],[[2.28734969]],[[1.90301274]],[[1.91298752]],[[1.54833036]],[[1.81076955]],[[1.37911014]]
