['CFLAR'],[[1.65164222]],[[2.27866479]],[[2.25626051]],[[2.23668565]],[[2.17703658]],[[1.70516695]],[[1.6104219]],[[1.38596332]],[[1.06462711]],[[1.20864697]],[[0.93983061]],[[1.13977066]],[[0.9457106]]
['SKAP2'],[[1.73378239]],[[2.06001513]],[[2.05316567]],[[2.09574054]],[[2.15268268]],[[1.68347065]],[[1.49601485]],[[1.27151783]],[[1.1629335]],[[1.34719588]],[[0.99043034]],[[1.12384164]],[[0.95738762]]
['ABHD5'],[[2.32632392]],[[2.22652812]],[[2.32793789]],[[2.31237037]],[[2.14662997]],[[1.17816683]],[[1.23153662]],[[1.03425686]],[[0.89865712]],[[1.24380122]],[[0.8943393]],[[1.04628727]],[[0.88978515]]
['GAB2'],[[1.94872868]],[[2.19081726]],[[2.2062292]],[[2.16285019]],[[1.95640117]],[[1.48665419]],[[1.37267148]],[[1.32333799]],[[0.98487206]],[[1.26257192]],[[0.9375555]],[[1.05463672]],[[0.90001303]]
['ZFYVE16'],[[1.44898098]],[[1.93740853]],[[1.8459525]],[[1.8836638]],[[1.85576755]],[[1.50754861]],[[1.29309665]],[[1.00153535]],[[0.87567307]],[[1.12525151]],[[0.87252607]],[[1.02221326]],[[0.85714707]]
['FAM184B'],[[1.1890254]],[[1.74548455]],[[1.72197762]],[[1.71278258]],[[1.43151156]],[[1.01579579]],[[1.2455766]],[[0.49380516]],[[0.77333277]],[[0.91093654]],[[0.80137034]],[[0.99031564]],[[0.9077802]]
['FAM160A2'],[[2.10330806]],[[2.17369845]],[[2.16948786]],[[1.97236298]],[[2.07061355]],[[1.73797755]],[[1.67016146]],[[1.46542738]],[[1.15155157]],[[1.28275113]],[[1.01858033]],[[1.13769798]],[[0.98958402]]
['EIF2AK2'],[[1.69316541]],[[2.090205]],[[2.0238382]],[[1.98804114]],[[1.65882623]],[[0.67496416]],[[0.68464357]],[[0.49726573]],[[0.399089]],[[0.59126231]],[[0.43093868]],[[0.62209341]],[[0.50081853]]
['TMCC3'],[[2.67178106]],[[2.49434545]],[[2.54915323]],[[2.55860982]],[[2.28431426]],[[1.59263745]],[[1.32860399]],[[1.16616364]],[[0.96440936]],[[1.45157964]],[[1.02028344]],[[1.17749269]],[[1.01446141]]
['ATP11B'],[[1.74987769]],[[2.35629813]],[[2.347335]],[[2.36449873]],[[2.39916103]],[[1.83056408]],[[1.68015988]],[[1.36536421]],[[0.9603117]],[[1.13487653]],[[0.94062485]],[[1.08210618]],[[0.91002026]]
['CDK14'],[[2.13774039]],[[1.97332812]],[[1.86642134]],[[1.91935198]],[[1.93996071]],[[1.49564867]],[[1.55130037]],[[1.35040652]],[[1.21239792]],[[1.44362229]],[[0.93732542]],[[1.10633028]],[[0.94557943]]
['YIPF1'],[[1.42599633]],[[2.3555464]],[[2.4349118]],[[2.40945531]],[[2.33166129]],[[1.88999151]],[[1.59484331]],[[1.5132859]],[[1.11618709]],[[1.2477279]],[[1.0028241]],[[1.1725695]],[[0.99825429]]
['MXD1'],[[2.01135936]],[[2.2577551]],[[2.30609925]],[[2.29989832]],[[2.25104073]],[[1.66401134]],[[1.51251142]],[[1.26730694]],[[0.96341133]],[[1.25935795]],[[0.92829414]],[[1.06108412]],[[0.8660548]]
['CTDP1'],[[1.48372686]],[[1.44256335]],[[1.42613634]],[[1.31949978]],[[2.15400657]],[[1.28347483]],[[1.2296281]],[[1.20146853]],[[1.07879987]],[[1.3307009]],[[1.01567647]],[[1.26219405]],[[1.07135304]]
