['NDUFAF7'],[[1.26912583]],[[1.83905121]],[[1.83424982]],[[1.7537336]],[[1.75735985]],[[1.48819236]],[[1.27973324]],[[1.06134312]],[[0.8522735]],[[1.0503962]],[[0.97245899]],[[1.05269007]],[[0.93365149]]
['CREBBP'],[[1.77814915]],[[1.73712735]],[[1.74869614]],[[1.72943027]],[[1.67808394]],[[1.27888833]],[[1.25446113]],[[1.18448817]],[[1.0818328]],[[1.35264822]],[[1.05799307]],[[1.19881983]],[[1.04432655]]
['NADK'],[[1.62041417]],[[1.78494741]],[[1.82517504]],[[1.71368068]],[[1.55021628]],[[1.48915643]],[[1.28747846]],[[1.24453889]],[[1.02076548]],[[1.32556123]],[[0.94111145]],[[1.11077767]],[[0.94630715]]
['ZNF200'],[[1.22411838]],[[1.6990067]],[[1.68442047]],[[1.64816702]],[[1.40584289]],[[1.12327458]],[[0.93043278]],[[0.92452425]],[[0.76558648]],[[1.08679004]],[[0.82185656]],[[0.99528347]],[[0.83197499]]
['MVP'],[[1.41826309]],[[1.77901244]],[[1.87492457]],[[1.80158795]],[[1.72569673]],[[1.60945994]],[[1.47009727]],[[1.39605536]],[[1.07375994]],[[1.2661837]],[[0.97421332]],[[1.18203616]],[[0.98996485]]
['ZC3H3'],[[1.61106145]],[[1.91189984]],[[1.97967601]],[[1.92194978]],[[1.63857618]],[[1.57995175]],[[1.34525882]],[[1.37870945]],[[1.08169988]],[[1.2954195]],[[0.99134748]],[[1.1868612]],[[1.02847352]]
['SLC45A4'],[[1.53898157]],[[1.64871367]],[[1.6809002]],[[1.63535526]],[[1.85253371]],[[1.12705241]],[[1.06375879]],[[0.98392816]],[[1.25275537]],[[1.6479767]],[[1.15373016]],[[1.29399484]],[[1.17347497]]
['RB1CC1'],[[1.46042303]],[[1.97082079]],[[1.9454926]],[[1.9251469]],[[1.87801897]],[[1.24173096]],[[1.15739855]],[[0.95869839]],[[0.90392194]],[[1.18710844]],[[0.9288465]],[[1.03165599]],[[0.91709848]]
['NSMAF'],[[1.44757685]],[[1.79337868]],[[1.80195348]],[[1.82501989]],[[1.6102372]],[[1.26428681]],[[1.043908]],[[0.92492752]],[[0.93589659]],[[1.09813958]],[[0.94598109]],[[1.10143159]],[[0.9552174]]
['CELF2'],[[2.09664889]],[[1.8766031]],[[1.84214228]],[[1.7482461]],[[1.84572626]],[[1.21513618]],[[1.15735088]],[[1.00031663]],[[0.98077377]],[[1.17275931]],[[0.9758866]],[[1.09708751]],[[0.95120328]]
['H6PD'],[[1.36487824]],[[1.71067067]],[[1.7916709]],[[1.84950973]],[[1.91275644]],[[1.41405463]],[[1.32300165]],[[1.29076549]],[[0.96325839]],[[1.21961605]],[[1.06220199]],[[1.20939308]],[[1.05752441]]
['VAMP3'],[[1.35942001]],[[1.59914229]],[[1.62921535]],[[1.59491561]],[[1.64954247]],[[1.36949125]],[[1.24837784]],[[1.11212712]],[[0.9194642]],[[1.16993263]],[[0.85208517]],[[0.98546085]],[[0.87913597]]
['RFC2'],[[1.27306073]],[[1.91855765]],[[1.88050146]],[[1.84071056]],[[1.92981238]],[[1.26990813]],[[1.16618599]],[[1.06120005]],[[1.09451675]],[[1.29880495]],[[1.08676949]],[[1.23447733]],[[1.04123255]]
['ARID4B'],[[1.26410342]],[[1.68032893]],[[1.6525688]],[[1.6167801]],[[1.49163583]],[[1.16304829]],[[1.0153104]],[[0.88150659]],[[0.79215897]],[[1.02063623]],[[0.83108505]],[[0.97519979]],[[0.81611944]]
['ITIH4'],[[1.10567005]],[[1.72509241]],[[1.17095958]],[[2.12640004]],[[2.37776529]],[[1.35053149]],[[0.8044714]],[[1.22237378]],[[1.34950557]],[[1.27930477]],[[1.25745622]],[[1.56092691]],[[1.3503782]]
['PRDM1'],[[1.67338138]],[[2.12131639]],[[2.018388]],[[1.93684033]],[[2.02099422]],[[0.94746367]],[[0.85999836]],[[0.83523043]],[[0.89756853]],[[1.17372215]],[[0.9757109]],[[1.24897028]],[[1.10066699]]
