['PDK4'],[[0.43644294]],[[0.94523598]],[[1.03952551]],[[1.1442959]],[[1.00106171]],[[1.43137629]],[[1.19917936]],[[1.20462876]],[[1.12780346]],[[0.78070485]],[[0.78475029]],[[0.75206598]],[[0.77456871]]
['FAM214B'],[[1.55897657]],[[1.84698473]],[[1.85196016]],[[1.70672807]],[[1.82788152]],[[1.68152763]],[[1.50076804]],[[1.55624604]],[[1.68471391]],[[1.79597358]],[[1.22848713]],[[1.47584386]],[[1.31738176]]
['MGST1'],[[0.66971899]],[[1.62048235]],[[1.47031696]],[[1.67699533]],[[1.6340519]],[[1.87630363]],[[1.96039471]],[[1.60939361]],[[1.38177034]],[[1.43462764]],[[0.88318803]],[[1.02222759]],[[0.89693568]]
['STAB1'],[[0.47151181]],[[1.29049454]],[[1.32313726]],[[1.35225848]],[[1.27736559]],[[2.41576592]],[[2.08686469]],[[1.87026647]],[[1.55361568]],[[1.46361849]],[[1.03739285]],[[1.0694689]],[[0.95042021]]
['SLC6A13'],[[0.97084631]],[[1.02110309]],[[0.53306994]],[[0.73499753]],[[0.73781714]],[[0.97730765]],[[0.9509403]],[[0.72661074]],[[0.70138963]],[[0.55269871]],[[0.52504385]],[[0.55764162]],[[0.38991859]]
['ACPP'],[[0.8621691]],[[1.27116556]],[[1.3505766]],[[1.32476743]],[[1.23653996]],[[1.8371258]],[[1.59856182]],[[1.37839883]],[[1.02994506]],[[1.22021939]],[[0.86375643]],[[0.96748688]],[[0.88545158]]
['MARCO'],[[0.36114117]],[[0.97147091]],[[1.12406115]],[[1.18095698]],[[1.02987219]],[[2.11942793]],[[1.91447779]],[[1.70569203]],[[1.12688857]],[[1.03905275]],[[0.61576122]],[[0.71781611]],[[0.7035948]]
['VIM'],[[1.27385569]],[[1.36752618]],[[1.39335146]],[[1.42952659]],[[1.64335047]],[[1.84621048]],[[1.87391057]],[[1.75035946]],[[1.33171214]],[[1.41202554]],[[0.99138557]],[[1.22818111]],[[1.06274532]]
['GABARAPL2'],[[1.0896736]],[[1.17540978]],[[1.24172795]],[[1.21327428]],[[1.17215807]],[[0.93891707]],[[1.00545875]],[[1.185237]],[[1.67832321]],[[1.8682409]],[[1.04383675]],[[1.09442766]],[[1.0037823]]
['VCL'],[[1.4702403]],[[1.30277744]],[[1.31172142]],[[1.33678016]],[[1.8060809]],[[1.31961098]],[[1.56701411]],[[1.71079209]],[[2.31615944]],[[2.30063753]],[[1.71446644]],[[1.66181677]],[[1.52896318]]
['TG'],[[1.36320197]],[[1.1323955]],[[1.16549375]],[[1.15818611]],[[1.76893127]],[[1.58429526]],[[1.82339689]],[[1.83464463]],[[1.84085376]],[[1.52119075]],[[1.00826831]],[[1.23922781]],[[0.96686426]]
['HOMER3'],[[1.52423629]],[[1.9074648]],[[1.88844074]],[[1.57194406]],[[1.59462545]],[[1.83770159]],[[1.89319381]],[[1.88969412]],[[1.50525358]],[[1.6276548]],[[1.12530579]],[[1.21851324]],[[1.01934095]]
['SPA17'],[[0.25932797]],[[1.09783737]],[[0.63241717]],[[0.96643233]],[[0.84690859]],[[1.19160927]],[[1.20947682]],[[1.11911355]],[[1.02310242]],[[1.19340088]],[[0.84064637]],[[1.03505776]],[[0.65732137]]
['CTSA'],[[1.11823202]],[[1.21338363]],[[1.2789007]],[[1.26113118]],[[1.61838287]],[[1.48182931]],[[1.59108637]],[[1.70732877]],[[2.21212723]],[[2.18261155]],[[1.50169071]],[[1.54039249]],[[1.3787769]]
['TFE3'],[[1.46925161]],[[1.76350951]],[[1.81192152]],[[1.77105209]],[[1.67751465]],[[1.68557784]],[[1.52485451]],[[1.56174779]],[[1.38316572]],[[1.58689841]],[[1.07127266]],[[1.27515937]],[[1.08101341]]
['FSTL3'],[[0.78783275]],[[1.30397448]],[[1.20462367]],[[1.28482721]],[[1.35639964]],[[1.77270237]],[[1.82227732]],[[1.53839843]],[[1.70451653]],[[1.65373503]],[[1.33311744]],[[1.33818436]],[[1.18028574]]
['SMARCD3'],[[1.03008973]],[[1.68969334]],[[1.76729971]],[[1.83986545]],[[1.84363214]],[[1.57232204]],[[1.51007581]],[[1.66088894]],[[1.68370399]],[[1.7413962]],[[1.17119659]],[[1.27926961]],[[1.11623958]]
['KIF3C'],[[1.87901318]],[[1.57018189]],[[1.68943703]],[[1.64523538]],[[2.06147747]],[[2.31580817]],[[2.27579699]],[[2.1761918]],[[1.91086146]],[[1.93208462]],[[1.57552829]],[[1.53206162]],[[1.38880948]]
