['TSPAN6'],[[0]],[[0.27010312]],[[0.53306994]],[[0]],[[0.33488006]],[[0.53319737]],[[0.61656321]],[[0.16226796]],[[0.51671035]],[[0.59814174]],[[0.591592]],[[0.66111837]],[[0.55492502]]
['NIPAL3'],[[0.52403493]],[[0.46988287]],[[0.40161073]],[[0.39607285]],[[0.51048965]],[[0.68625961]],[[0.68503455]],[[0.84411464]],[[0.97018979]],[[1.12557586]],[[1.00343937]],[[1.20383024]],[[1.09817828]]
['SARM1'],[[0.63882475]],[[0.38523475]],[[0.57495305]],[[0.47494456]],[[0.45536528]],[[0.69424889]],[[0.70113381]],[[0.84880335]],[[0.83562577]],[[0.98720325]],[[1.0243278]],[[1.18610529]],[[1.03908984]]
['COPZ2'],[[0.71368996]],[[0.78293612]],[[0.15283404]],[[0.41380777]],[[0.49639699]],[[0.53319737]],[[0.55244209]],[[0.56186836]],[[0.78183559]],[[0.94471432]],[[0.75001486]],[[1.12902746]],[[0.90798664]]
['OSBPL7'],[[1.01884468]],[[0.54598365]],[[0.49372589]],[[0.57481255]],[[0.54405117]],[[0.54076303]],[[0.77480423]],[[0.80205581]],[[0.91494571]],[[1.0594178]],[[1.10370705]],[[1.2365319]],[[1.03351888]]
['BAIAP2L1'],[[0.19184149]],[[0]],[[0.26143321]],[[0.25925159]],[[0.33341408]],[[0.48279813]],[[0.67126156]],[[0.70920793]],[[0.635625]],[[0.85583461]],[[0.82440946]],[[1.08967743]],[[1.256273]]
['SCIN'],[[0.51264381]],[[0]],[[0.37629411]],[[0]],[[0.59504086]],[[0.26150158]],[[0.23602043]],[[0]],[[0.78728008]],[[0.83340329]],[[0.69051073]],[[0.80254747]],[[0.53698311]]
['PRSS21'],[[0.38989695]],[[0.32143]],[[0.62463835]],[[0.51551832]],[[0.43078138]],[[0.7540383]],[[0.92968153]],[[0.42901334]],[[1.12004646]],[[1.29563605]],[[1.25652244]],[[1.17393199]],[[1.15839152]]
['TRAPPC6A'],[[0.66843359]],[[0.47617481]],[[0.53627266]],[[0.64231518]],[[0.56335464]],[[0.70150509]],[[0.66274122]],[[0.88720302]],[[0.85260933]],[[1.0458695]],[[1.02715927]],[[1.24857792]],[[1.12609007]]
['SCN4A'],[[0.40053429]],[[0.8667704]],[[0.53306994]],[[0.91522219]],[[0.89454915]],[[0.67462076]],[[0.84785872]],[[0.30811602]],[[1.18484757]],[[1.28452892]],[[1.45452966]],[[1.50934901]],[[1.14982165]]
['ADAM22'],[[0.47906709]],[[0.49752351]],[[0.66406867]],[[0.69000342]],[[0.63369238]],[[0.52172206]],[[0.55747695]],[[0.83796582]],[[0.87487239]],[[1.0347452]],[[1.01953338]],[[1.32205059]],[[1.08258225]]
['PKD1'],[[0.57677838]],[[0.56928898]],[[0.5457476]],[[0.57727816]],[[0.54906165]],[[0.83033348]],[[0.8871299]],[[0.94578563]],[[1.11317739]],[[1.25715415]],[[1.26153212]],[[1.38912572]],[[1.24706935]]
['RHOBTB2'],[[0.49950975]],[[0.54627985]],[[0.54948265]],[[0.57450019]],[[0.52863738]],[[0.6980161]],[[0.66474086]],[[0.72328704]],[[0.98020473]],[[0.96048663]],[[0.88714248]],[[1.09250619]],[[0.94823621]]
['ZBTB32'],[[0.80977114]],[[0.90459718]],[[0.7058151]],[[0.95454539]],[[0.49350086]],[[0.88100817]],[[0.80964403]],[[0.87995439]],[[1.16700889]],[[1.46509379]],[[1.3648102]],[[1.71249837]],[[1.34706486]]
['ANGEL1'],[[0.61634951]],[[0.38578194]],[[0.50896927]],[[0.47636232]],[[0.47169835]],[[0.72965259]],[[0.73647714]],[[0.88064693]],[[0.92598905]],[[0.99176513]],[[0.99322391]],[[1.10095615]],[[0.97649616]]
['DDX11'],[[0.65973823]],[[0.5903017]],[[0.53306994]],[[0.53337914]],[[0.36184261]],[[0.7575533]],[[0.74254285]],[[0.91740245]],[[0.73020533]],[[0.83396047]],[[0.84932898]],[[0.86494813]],[[0.78634973]]
['TTC27'],[[0.56264655]],[[0.52114805]],[[0.46417952]],[[0.41606859]],[[0.49374621]],[[0.76811153]],[[0.87581162]],[[0.76239178]],[[0.83317536]],[[1.0106776]],[[0.97861071]],[[1.13328273]],[[0.94281354]]
['PHLDB1'],[[0.46096968]],[[0.36812455]],[[0]],[[0]],[[0.37900626]],[[0.57625064]],[[0.75706366]],[[0.6926348]],[[0.80808255]],[[0.99890819]],[[0.83801662]],[[1.08448172]],[[0.97650823]]
['PRDM11'],[[0.56217295]],[[0.54287643]],[[0.58105924]],[[0.66170536]],[[0.68481072]],[[0.581196]],[[0.64915312]],[[0.80798552]],[[1.07218591]],[[1.21788052]],[[1.30468974]],[[1.37296507]],[[1.27640553]]
['CD74'],[[0.5628564]],[[0.50321228]],[[0.52900552]],[[0.58082769]],[[0.5193335]],[[0.53849794]],[[0.5630557]],[[0.65822769]],[[0.87888325]],[[1.03066521]],[[0.9319358]],[[1.10913615]],[[1.01485996]]
['RUNX3'],[[0.92575557]],[[0.50129526]],[[0.4585481]],[[0.54294921]],[[0.70770119]],[[0.60340341]],[[0.71392897]],[[0.72093698]],[[0.87668558]],[[1.10160867]],[[1.182338]],[[1.46251391]],[[1.32300966]]
['MIPEP'],[[0.63355107]],[[0.49103505]],[[0.44106275]],[[0.31651064]],[[0.58551038]],[[0.91112226]],[[0.7421576]],[[0.8409191]],[[0.96596359]],[[1.04775111]],[[1.08231561]],[[1.26397599]],[[1.08998911]]
['SH2D2A'],[[1.36984817]],[[0.64957851]],[[0.59661981]],[[0.68453832]],[[0.60188771]],[[0.43369919]],[[0.70973012]],[[0.66187064]],[[0.74275826]],[[0.97777505]],[[1.1500953]],[[1.31020257]],[[1.14523365]]
['SH3YL1'],[[0.67825314]],[[0.4052406]],[[0.42023864]],[[0.44150021]],[[0.46840584]],[[0.58833169]],[[0.57970087]],[[0.69315291]],[[0.74407673]],[[0.83244571]],[[0.88661706]],[[0.95334045]],[[0.75004581]]
['PER3'],[[0.69899198]],[[0.43612044]],[[0.45579317]],[[0.60189624]],[[0.4418825]],[[0.68854943]],[[0.6927105]],[[0.79054681]],[[0.71323695]],[[0.87440886]],[[1.00893453]],[[1.08223129]],[[0.95726132]]
['LIMA1'],[[0.4188253]],[[0.32244067]],[[0.38209336]],[[0.43538495]],[[0.54506275]],[[0.5392671]],[[0.61949437]],[[0.67438906]],[[0.89956828]],[[1.14121339]],[[1.13429505]],[[1.34329327]],[[1.22154011]]
['SLC4A8'],[[0.51635848]],[[0.34459238]],[[0.53306994]],[[0.61783481]],[[0.52829836]],[[0.75590226]],[[0.79532946]],[[0.85821141]],[[0.99836075]],[[1.15656487]],[[1.05488013]],[[1.18399873]],[[1.10418954]]
['PLEKHA5'],[[0.84969908]],[[0.61078386]],[[0.4908623]],[[0.48706401]],[[0.65771544]],[[0.7515635]],[[0.81033232]],[[0.97457156]],[[0.97901373]],[[1.30687251]],[[1.02319121]],[[1.36938602]],[[1.08830581]]
['MCF2L2'],[[0.92140507]],[[0.55641951]],[[0.45307664]],[[0.69483163]],[[0.41006449]],[[0.73328407]],[[0.70161118]],[[0.66862369]],[[0.74824512]],[[0.98621079]],[[1.02249691]],[[1.14042654]],[[0.94163862]]
['USP36'],[[0.68087556]],[[0.43881136]],[[0.46659931]],[[0.53050149]],[[0.4663]],[[0.62191559]],[[0.67053359]],[[0.7769146]],[[0.85124986]],[[1.01566042]],[[1.05202879]],[[1.18537698]],[[1.05688489]]
['DCBLD2'],[[0.51264381]],[[0.63138438]],[[0.48268084]],[[0.60876551]],[[0.41529163]],[[0.57121464]],[[0.77480423]],[[0.70920793]],[[0.67663947]],[[0.89241032]],[[0.62038982]],[[0.78236765]],[[0.84336849]]
['MTA3'],[[0.51004233]],[[0.49244466]],[[0.26861753]],[[0.48016296]],[[0.41657322]],[[0.71305725]],[[0.79808916]],[[0.84595773]],[[0.88800189]],[[1.03415805]],[[0.9396209]],[[1.13566115]],[[1.00377556]]
['USP13'],[[0.53163347]],[[0.38108996]],[[0.28097422]],[[0.46598071]],[[0.42629874]],[[0.56849811]],[[0.55161189]],[[0.66418822]],[[0.88713779]],[[0.99347819]],[[1.07289248]],[[1.1073576]],[[1.1016092]]
['CROCC'],[[0.54880494]],[[0.32800713]],[[0.5863443]],[[0.6131114]],[[0.62393239]],[[0.70414234]],[[0.71841323]],[[0.84052713]],[[1.05808635]],[[1.10636932]],[[1.1448697]],[[1.31558877]],[[1.1474182]]
['ALDH18A1'],[[0.48319273]],[[0.33518715]],[[0.32619856]],[[0.30966688]],[[0.46207685]],[[0.61515782]],[[0.67957883]],[[0.7252075]],[[0.86671491]],[[1.01545505]],[[0.89557946]],[[1.18952252]],[[1.08022315]]
['TARBP1'],[[0.72493825]],[[0.57155282]],[[0.40355766]],[[0.57274382]],[[0.46967426]],[[0.68538837]],[[0.68259773]],[[0.6409992]],[[0.83279872]],[[0.97351826]],[[1.01713384]],[[1.0978335]],[[0.96499013]]
['CA11'],[[0.5857936]],[[0.32268224]],[[0.43277775]],[[0.54812838]],[[0.53569518]],[[0.69786087]],[[0.7012847]],[[0.69697662]],[[0.88406705]],[[0.95632752]],[[0.82140531]],[[1.15888053]],[[1.01963028]]
['ZNF275'],[[0.62616626]],[[0.55060457]],[[0.49011008]],[[0.56081063]],[[0.55485451]],[[0.68661215]],[[0.6607282]],[[0.70529017]],[[0.92741986]],[[1.10917056]],[[1.10669166]],[[1.17494089]],[[1.08314396]]
['RRP15'],[[0.47176928]],[[0.44573885]],[[0.42637214]],[[0.50446068]],[[0.45415196]],[[0.6079687]],[[0.66535118]],[[0.68905851]],[[0.70559826]],[[0.84904669]],[[0.84590316]],[[0.96577866]],[[0.87736058]]
['SDK2'],[[0.54313779]],[[0.43612057]],[[0.55033034]],[[0.51164295]],[[0.51427098]],[[0.98790666]],[[0.74133054]],[[0.98788857]],[[1.18794393]],[[1.01176618]],[[1.18283951]],[[1.10350625]],[[0.82447366]]
['PFN2'],[[0.1588055]],[[0.10416294]],[[0.49197442]],[[0.3121982]],[[0.47620948]],[[0.57316249]],[[0.47279473]],[[0.64409443]],[[0.86052757]],[[1.01749288]],[[0.90660703]],[[1.17082428]],[[0.88736371]]
['ST6GALNAC1'],[[0.4590436]],[[0.35751951]],[[0.47766945]],[[0.33259449]],[[0.19241933]],[[0.85940567]],[[0.67648867]],[[0.7628576]],[[0.39747623]],[[0.81567102]],[[0.66764944]],[[0.86428688]],[[0.76128857]]
['OSBPL3'],[[0.57288481]],[[0.4059123]],[[0.42088223]],[[0.35256762]],[[0.4565985]],[[0.49556386]],[[0.5646839]],[[0.61189181]],[[0.77717441]],[[0.95420902]],[[1.01517025]],[[1.13229748]],[[0.98663413]]
['MYO3B'],[[0.66971876]],[[0.46478524]],[[0.86808599]],[[0.49452626]],[[0.61754578]],[[0.54458192]],[[0.92779758]],[[0.79292517]],[[0.93579563]],[[0.89557577]],[[0.77374662]],[[1.32051888]],[[1.24503082]]
['ADGRL1'],[[0.69458657]],[[0.49909844]],[[0.45944776]],[[0.44885948]],[[0.55538688]],[[0.67260105]],[[0.85025791]],[[0.88110523]],[[0.92177732]],[[1.0571734]],[[1.04294306]],[[1.29022244]],[[1.14712084]]
['SIDT1'],[[0.69535394]],[[0.39451946]],[[0.35033599]],[[0.42347727]],[[0.46099052]],[[0.47880895]],[[0.57872526]],[[0.58131561]],[[0.80859944]],[[0.88360926]],[[0.95505358]],[[1.09262033]],[[0.92118312]]
