['FGR'],[[1.48735424]],[[1.85240667]],[[1.88704194]],[[1.88598347]],[[1.94868918]],[[1.96962468]],[[1.83634385]],[[1.61400688]],[[1.22598475]],[[1.4472815]],[[1.08684231]],[[1.29405999]],[[1.0826029]]
['LAMP2'],[[1.6987377]],[[1.75081007]],[[1.73874396]],[[1.75247386]],[[1.75440959]],[[1.41691859]],[[1.22841316]],[[1.06254903]],[[0.95756286]],[[1.22777658]],[[0.8932205]],[[1.0202407]],[[0.87598956]]
['KDM7A'],[[1.57564672]],[[1.56088838]],[[1.54934461]],[[1.54189922]],[[1.64652378]],[[1.28216511]],[[1.25142685]],[[1.04088537]],[[1.09698724]],[[1.33765393]],[[1.03357589]],[[1.08823128]],[[0.94663775]]
['IFRD1'],[[1.79070571]],[[1.80661172]],[[1.9159621]],[[1.89921501]],[[1.66912314]],[[1.38061043]],[[1.26622682]],[[1.04975414]],[[0.99543275]],[[1.2454925]],[[0.9686008]],[[1.07889014]],[[0.86699797]]
['CDKL5'],[[1.75723318]],[[1.91749664]],[[1.90992881]],[[1.83564902]],[[1.79612852]],[[1.5559759]],[[1.44239201]],[[1.18182842]],[[0.95084926]],[[1.19563242]],[[1.00875449]],[[1.08315656]],[[0.93933713]]
['TYROBP'],[[1.72201056]],[[1.64538889]],[[1.71754969]],[[1.65659182]],[[1.71104539]],[[1.6052396]],[[1.49771793]],[[1.55197384]],[[1.26748658]],[[1.48970003]],[[1.01687577]],[[1.25587289]],[[1.06248268]]
['SEMA3B'],[[1.86978741]],[[1.64855622]],[[1.64114598]],[[1.72101068]],[[1.4026357]],[[1.72088518]],[[1.45306818]],[[1.37142821]],[[1.40968787]],[[1.20045922]],[[0.69758617]],[[1.00561439]],[[0.80559943]]
['EXTL3'],[[2.36965666]],[[1.91476491]],[[1.9632969]],[[1.98508725]],[[2.02860054]],[[1.40127983]],[[1.42650128]],[[1.30805306]],[[1.14115815]],[[1.57747544]],[[1.11646044]],[[1.26527041]],[[1.1195631]]
['WAS'],[[1.8393695]],[[1.84533887]],[[1.8988841]],[[1.83567188]],[[1.8107845]],[[1.52846991]],[[1.40094389]],[[1.45656924]],[[1.18917609]],[[1.40308556]],[[1.09213759]],[[1.26277693]],[[1.08199317]]
['RTFDC1'],[[1.80929428]],[[1.82217202]],[[1.83356271]],[[1.84232027]],[[1.843815]],[[1.48354269]],[[1.27500541]],[[1.24185483]],[[1.05495994]],[[1.32915953]],[[1.00228841]],[[1.15061385]],[[1.00404475]]
['RRAGD'],[[2.05186305]],[[1.85555244]],[[1.84639131]],[[1.75526472]],[[1.95429782]],[[1.54510029]],[[1.46365331]],[[1.26102585]],[[1.34179927]],[[1.56502354]],[[1.08732705]],[[1.17215338]],[[1.03044709]]
