['GCLC'],[[0.74716324]],[[0.6618192]],[[0.73398379]],[[0.64107449]],[[0.65039402]],[[0.67056354]],[[0.81371463]],[[0.97401069]],[[1.29800067]],[[1.49605773]],[[0.86906253]],[[0.9351888]],[[0.89230658]]
['PRKAR2B'],[[0.86336938]],[[0.9222952]],[[1.05951101]],[[1.01838445]],[[1.47658945]],[[0.9159922]],[[1.40689222]],[[1.61475742]],[[2.23648529]],[[2.32165781]],[[1.63774658]],[[1.52862715]],[[1.44043205]]
['MPO'],[[1.30032404]],[[1.30108145]],[[1.32435406]],[[1.31643178]],[[1.19773742]],[[1.25194132]],[[1.01124808]],[[0.94270275]],[[2.18349865]],[[2.74323167]],[[1.4202978]],[[2.00753031]],[[1.73085776]]
['E2F2'],[[0.9691197]],[[1.03444453]],[[1.18515768]],[[1.08040211]],[[1.20985613]],[[1.23976381]],[[1.28715956]],[[1.77919833]],[[2.20270465]],[[2.01793439]],[[1.38950012]],[[1.73581132]],[[1.71057083]]
['TSPAN9'],[[0.92440482]],[[1.12436077]],[[1.31873018]],[[1.24796728]],[[2.02420576]],[[1.38927286]],[[1.85849811]],[[2.56514738]],[[3.30682252]],[[3.2161719]],[[2.36304311]],[[2.30841549]],[[2.17599802]]
['EHD3'],[[0.9871865]],[[0.94699517]],[[0.89480497]],[[1.0117353]],[[1.12784747]],[[0.99873714]],[[1.11295668]],[[1.74633828]],[[2.15992354]],[[2.0714693]],[[1.50134274]],[[1.48134672]],[[1.4470788]]
['SLC25A39'],[[1.01277017]],[[0.87970562]],[[1.00732975]],[[0.8944528]],[[1.06471158]],[[1.00595404]],[[1.30699175]],[[1.59668044]],[[2.20753622]],[[2.48663582]],[[1.4217066]],[[1.81838841]],[[1.69457112]]
['HEBP1'],[[0.93362344]],[[0.76494266]],[[0.80732393]],[[0.83869978]],[[0.6077057]],[[0.89053216]],[[1.07542905]],[[1.21724424]],[[1.3399014]],[[1.56392684]],[[1.0290502]],[[1.03292989]],[[0.8770788]]
['FHL1'],[[0.87985974]],[[0.78779714]],[[0.90387643]],[[0.84763216]],[[1.35276107]],[[0.83898257]],[[1.08854515]],[[1.55527926]],[[2.53525122]],[[2.62674169]],[[1.79522601]],[[1.77102574]],[[1.66270912]]
['EHD2'],[[1.06841729]],[[0.55641951]],[[0.32818325]],[[1.00892487]],[[1.60791614]],[[0.22692318]],[[1.3354153]],[[1.53839852]],[[2.26987066]],[[2.46708321]],[[1.82750567]],[[1.74509293]],[[1.52893046]]
['MAP2K3'],[[1.10560339]],[[1.16171832]],[[1.27868105]],[[1.18110726]],[[1.08892058]],[[1.16101252]],[[1.16837754]],[[1.39633169]],[[1.98476431]],[[2.09456019]],[[1.13662761]],[[1.33166553]],[[1.22184502]]
['RIPOR3'],[[0.95261305]],[[0.73569205]],[[0.86808622]],[[0.83482845]],[[0.87705942]],[[0.74539374]],[[1.22221475]],[[1.50154636]],[[1.67112707]],[[1.7943089]],[[0.96816987]],[[1.28202816]],[[1.19389278]]
['AP2S1'],[[0.82275835]],[[0.83412848]],[[0.80970302]],[[0.93605216]],[[1.00552801]],[[1.12639507]],[[1.16971918]],[[1.33592039]],[[1.7462169]],[[1.98955953]],[[1.18303943]],[[1.43990545]],[[1.2373786]]
['ARHGAP6'],[[0.93075092]],[[0.82331937]],[[1.11207323]],[[1.06095315]],[[1.47348707]],[[0.99434655]],[[1.64748656]],[[1.82265181]],[[2.30525527]],[[2.38805264]],[[1.84641697]],[[1.77130234]],[[1.66901308]]
['LTBP1'],[[0.8837265]],[[0.90746076]],[[1.01628687]],[[1.05519154]],[[1.55450867]],[[0.91508754]],[[1.46805037]],[[1.83374306]],[[2.53552951]],[[2.54109265]],[[1.92508467]],[[1.82187064]],[[1.76287039]]
['NEDD4L'],[[0.92229364]],[[0.82206037]],[[0.92144399]],[[0.85443258]],[[0.81794471]],[[0.94898928]],[[1.72027882]],[[1.60552673]],[[1.7391038]],[[1.98979381]],[[1.03660916]],[[1.25223422]],[[1.22502665]]
