['FECH'],[[0.85958193]],[[0.85042196]],[[0.82569946]],[[0.86023277]],[[0.65537717]],[[0.94495979]],[[0.58464969]],[[1.30163817]],[[1.71020908]],[[1.3186269]],[[1.13179283]],[[1.21151125]],[[1.16164452]]
['PPP2R5B'],[[1.00258405]],[[1.3245445]],[[1.20602021]],[[1.54909948]],[[1.37121637]],[[1.22412835]],[[0.98888129]],[[1.73831698]],[[2.06106363]],[[1.65596482]],[[1.16922317]],[[1.52146839]],[[1.38299223]]
['RHOBTB1'],[[1.03883419]],[[0.68265191]],[[0.86293978]],[[1.53499426]],[[1.44351589]],[[1.26451491]],[[1.0722266]],[[2.77654979]],[[2.41760848]],[[1.48786123]],[[1.72741285]],[[1.58906487]],[[1.60963931]]
['MGLL'],[[0.99685478]],[[0.74406113]],[[0.83150892]],[[1.37467973]],[[1.33685677]],[[1.27807657]],[[1.29397031]],[[2.79202084]],[[2.32962296]],[[1.18169229]],[[1.79334077]],[[1.66985944]],[[1.55254755]]
['MBNL3'],[[0.8851275]],[[0.74429124]],[[0.73591406]],[[0.9607692]],[[0.7746317]],[[0.83411417]],[[0.60113003]],[[1.41065848]],[[1.71454578]],[[1.39579555]],[[1.15281165]],[[1.17250298]],[[1.09502139]]
['CTTNBP2'],[[0.81724429]],[[0.48357185]],[[0.45924275]],[[0.34107527]],[[0.06366578]],[[1.60001126]],[[1.59417722]],[[0.92632172]],[[0.7955119]],[[1.3895149]],[[0.46945365]],[[0.76181941]],[[0.78359861]]
['HOXA9'],[[0.7821582]],[[0.80913234]],[[0.61446938]],[[1.0688075]],[[0.63579917]],[[0.66933312]],[[1.18355777]],[[1.55728077]],[[1.15462504]],[[1.04206219]],[[0.91950993]],[[1.15310739]],[[0.92325343]]
['ARG2'],[[0.94510613]],[[0.90769226]],[[0.68623788]],[[1.2757503]],[[1.23735313]],[[0.76824456]],[[1.40087565]],[[1.82147933]],[[1.95538822]],[[2.49611773]],[[1.30689808]],[[1.28206315]],[[1.2651687]]
['CDC14B'],[[1.01918271]],[[0.66249854]],[[0.81406523]],[[1.24150926]],[[1.18718423]],[[1.00620842]],[[0.871741]],[[2.03852718]],[[1.99612421]],[[1.08891301]],[[1.40860926]],[[1.37123364]],[[1.30928106]]
['STRADB'],[[0.94235894]],[[0.89058025]],[[0.86675753]],[[1.19494514]],[[1.05744509]],[[1.08703226]],[[0.71711333]],[[1.60055938]],[[1.90362602]],[[1.33934529]],[[1.34506899]],[[1.47627438]],[[1.42290675]]
['ITGB5'],[[0.92565574]],[[0.92690413]],[[0.88232619]],[[1.48689393]],[[1.55073036]],[[1.19613486]],[[0.93522796]],[[2.5883041]],[[2.41569132]],[[1.20483327]],[[1.70666255]],[[1.71762435]],[[1.66959373]]
['FAT1'],[[0.84731513]],[[0.74583248]],[[0.72393045]],[[1.4670505]],[[1.16506792]],[[1.06126337]],[[1.02871476]],[[2.05296339]],[[2.75000651]],[[1.50053383]],[[1.91610986]],[[2.05049284]],[[1.99428516]]
['CTTN'],[[0.95091128]],[[0.79954077]],[[0.82355725]],[[1.58213541]],[[1.46644477]],[[1.07256461]],[[0.87965173]],[[2.50239524]],[[2.4131855]],[[1.14998147]],[[1.78688401]],[[1.69267695]],[[1.62772476]]
['EIF2AK1'],[[0.92025365]],[[0.90821393]],[[0.87743562]],[[1.14572433]],[[1.00249091]],[[1.06193373]],[[0.77605629]],[[1.55032594]],[[1.88183556]],[[1.4783469]],[[1.17878567]],[[1.34169047]],[[1.24587811]]
['HBQ1'],[[0.91372094]],[[0.76311324]],[[0.80156972]],[[1.41540263]],[[1.23857418]],[[0.99725282]],[[1.00624031]],[[2.1660602]],[[2.44935866]],[[1.36342074]],[[1.59189477]],[[1.9969408]],[[1.7632046]]
['NID2'],[[1.18030221]],[[0.58380723]],[[1.1748027]],[[1.19126884]],[[1.14284292]],[[0.57469154]],[[1.28112442]],[[2.59794991]],[[2.08858359]],[[1.04206231]],[[1.61271827]],[[1.33793167]],[[1.41053463]]
['GP6'],[[1.0138619]],[[0.94919482]],[[0.76292763]],[[1.4716764]],[[1.40990803]],[[1.07747694]],[[1.04372092]],[[2.54232172]],[[2.36000064]],[[1.12650395]],[[1.67531795]],[[1.50648838]],[[1.53846373]]
['TMEM40'],[[0.8304394]],[[0.7187]],[[0.74677693]],[[1.35125186]],[[1.29798533]],[[1.11875409]],[[0.9387361]],[[2.20371395]],[[2.13372663]],[[1.13776038]],[[1.53290811]],[[1.47459949]],[[1.3706509]]
['SMOX'],[[0.93683894]],[[0.81859146]],[[0.81011672]],[[1.23303504]],[[1.02585626]],[[1.12490395]],[[1.1261601]],[[1.86443115]],[[1.87252118]],[[2.22342644]],[[1.16744367]],[[1.49232133]],[[1.35654177]]
['SLC4A11'],[[0.83428398]],[[0]],[[0.31623218]],[[0.58718184]],[[0.23157099]],[[0.49435959]],[[1.07053858]],[[1.2823448]],[[1.04769286]],[[0.72403578]],[[0.79934842]],[[0.60993037]],[[0.51758992]]
