['CFLAR'],[[1.09944104]],[[2.13770719]],[[2.18634376]],[[2.62753644]],[[2.35218967]],[[1.99863117]],[[1.66966998]],[[1.71690726]],[[1.18431058]],[[1.17016038]],[[1.04997621]],[[1.26478408]],[[1.05632583]]
['SKAP2'],[[1.06839973]],[[1.82483268]],[[1.8766613]],[[2.86310806]],[[2.67307281]],[[2.00722469]],[[1.55041214]],[[1.96543024]],[[1.55261551]],[[1.26146759]],[[1.3446775]],[[1.50593414]],[[1.3042412]]
['ABHD5'],[[1.1726825]],[[2.20044774]],[[2.26968098]],[[2.68369915]],[[2.44149267]],[[1.74670789]],[[1.28311734]],[[1.47264534]],[[1.08236919]],[[1.15222534]],[[1.07745305]],[[1.24928188]],[[1.07226563]]
['GAB2'],[[1.04110865]],[[2.16698461]],[[2.25530178]],[[2.72533288]],[[2.46351164]],[[2.04125136]],[[1.54540109]],[[1.76799517]],[[1.34181763]],[[1.3523597]],[[1.28369307]],[[1.42674782]],[[1.23725889]]
['ZFYVE16'],[[1.05329626]],[[1.80432225]],[[1.95210128]],[[2.08107358]],[[1.84894702]],[[1.64806554]],[[1.22297781]],[[1.23020042]],[[0.87138876]],[[1.00899908]],[[0.86825298]],[[1.01743248]],[[0.85292918]]
['FAM184B'],[[0.94510609]],[[2.85356927]],[[2.36226222]],[[2.57802467]],[[2.06326357]],[[1.51579507]],[[2.2384]],[[1.31693959]],[[1.21938469]],[[1.18332942]],[[1.25779728]],[[1.51000018]],[[1.4011855]]
['FAM160A2'],[[1.08050406]],[[1.78877862]],[[1.67363448]],[[2.36158948]],[[2.20178521]],[[1.95294923]],[[1.22278969]],[[1.58196064]],[[1.24739383]],[[1.20049221]],[[1.10707466]],[[1.2328076]],[[1.07637876]]
['EIF2AK2'],[[1.21564065]],[[2.34368715]],[[2.29719315]],[[3.28227249]],[[3.06641213]],[[2.04737262]],[[1.20663471]],[[1.43301342]],[[1.06319787]],[[0.96000518]],[[1.1310618]],[[1.50752604]],[[1.27438166]]
['TMCC3'],[[1.01753302]],[[2.34684568]],[[2.37418292]],[[2.90219685]],[[2.62823378]],[[2.06019139]],[[1.47672751]],[[1.59825158]],[[1.18491057]],[[1.24854356]],[[1.24892739]],[[1.42721092]],[[1.24227365]]
['ATP11B'],[[1.06143965]],[[2.17162378]],[[2.27908997]],[[2.61212703]],[[2.46556212]],[[1.90145494]],[[1.27531336]],[[1.46376953]],[[1.00050155]],[[0.90410868]],[[0.98023878]],[[1.1256849]],[[0.94872264]]
['CDK14'],[[1.04907177]],[[2.2008804]],[[2.17480937]],[[2.39576045]],[[2.06539852]],[[1.47569833]],[[1.303452]],[[1.54245614]],[[1.30979142]],[[1.17115251]],[[1.01962172]],[[1.19825883]],[[1.02837439]]
['YIPF1'],[[1.12431204]],[[2.34632279]],[[2.37382306]],[[2.69506338]],[[2.52847252]],[[2.15359685]],[[1.69707945]],[[1.6767011]],[[1.25139981]],[[1.33986659]],[[1.1289729]],[[1.31201235]],[[1.12402131]]
['MXD1'],[[1.07713235]],[[2.32773151]],[[2.34922725]],[[2.81318735]],[[2.62675898]],[[1.98227338]],[[1.4909818]],[[1.70346318]],[[1.20642539]],[[1.23437467]],[[1.16549522]],[[1.3194286]],[[1.09253802]]
