['SLC4A1'],[[0.9087069]],[[0.87528152]],[[0.84928641]],[[1.1857658]],[[1.01907151]],[[1.20968136]],[[1.02046122]],[[2.02627664]],[[2.52484396]],[[1.73194442]],[[1.36605695]],[[1.63896318]],[[1.57884831]]
['ITGA2B'],[[0.94605691]],[[0.8416405]],[[0.8248598]],[[1.6077795]],[[1.70824227]],[[1.51109927]],[[1.46307416]],[[3.46012361]],[[3.41636395]],[[1.58352878]],[[1.95480109]],[[1.76535201]],[[1.68548436]]
['NFIX'],[[0.94004773]],[[0.89761018]],[[0.84591802]],[[1.19543326]],[[1.0620127]],[[1.1606636]],[[1.05960539]],[[2.1147371]],[[2.53022181]],[[1.72024941]],[[1.24588933]],[[1.61887909]],[[1.53825171]]
['RNF10'],[[0.92032124]],[[1.35150983]],[[1.37228151]],[[1.55572655]],[[1.38651399]],[[1.45805808]],[[1.13750309]],[[1.8490608]],[[2.18337623]],[[1.57182829]],[[1.23346788]],[[1.4312318]],[[1.30814833]]
['ANK1'],[[0.96472971]],[[0.9236914]],[[0.88136776]],[[1.18152556]],[[1.04025552]],[[1.11123524]],[[1.03614585]],[[2.19867844]],[[2.44270345]],[[1.61731539]],[[1.26593755]],[[1.55612377]],[[1.52114999]]
['XK'],[[0.85754679]],[[0.84336771]],[[0.78207567]],[[1.20097045]],[[1.13114596]],[[1.03014088]],[[0.72679294]],[[2.43535953]],[[2.94345259]],[[1.51408048]],[[1.41597583]],[[1.52488155]],[[1.45260683]]
['MAOB'],[[2.32474344]],[[1.59971067]],[[0.61446957]],[[2.40249364]],[[2.26539925]],[[2.1833359]],[[2.98423081]],[[4.74806972]],[[4.1889189]],[[2.73311606]],[[2.46677386]],[[2.29063314]],[[2.15719663]]
['SPTB'],[[0.88400287]],[[0.847538]],[[0.77037545]],[[1.31647788]],[[1.12240261]],[[1.30265013]],[[1.19900907]],[[2.51710112]],[[2.92744253]],[[1.8247884]],[[1.60564779]],[[1.80867718]],[[1.75852192]]
['IGF2BP2'],[[0.87085576]],[[0.87097051]],[[0.8147121]],[[1.4503391]],[[1.34502486]],[[1.08477553]],[[0.92885057]],[[2.28826736]],[[2.62089139]],[[1.75035217]],[[1.49176107]],[[1.73185564]],[[1.69378089]]
['NOTCH3'],[[1.44279531]],[[2.76603454]],[[2.53080811]],[[1.78638162]],[[2.19345807]],[[3.31009499]],[[3.34974362]],[[3.36795966]],[[2.95425235]],[[2.46970237]],[[1.61744465]],[[2.37124659]],[[1.74042274]]
['RAP1GAP'],[[0.96582214]],[[0.93507565]],[[0.83924817]],[[0.9982245]],[[1.1270945]],[[1.24380955]],[[0.78388654]],[[3.14300029]],[[2.72110519]],[[2.78843302]],[[0.60675232]],[[1.89431054]],[[1.92355018]]
['TNS1'],[[0.95165298]],[[0.92068269]],[[0.89304027]],[[1.15616973]],[[0.95426763]],[[1.19053503]],[[1.13529389]],[[1.98654423]],[[2.38961386]],[[1.56042162]],[[1.4219682]],[[1.60575375]],[[1.58488997]]
