['AHRR'],[[1.51129645]],[[1.70330996]],[[1.93808721]],[[2.2012806]],[[1.54467257]],[[1.21925206]],[[1.37250795]],[[2.10801399]],[[1.36217732]],[[1.74575739]],[[1.5285009]],[[3.03698742]],[[3.48704815]]
['SPAG6'],[[1.51129625]],[[1.23504262]],[[1.86986109]],[[1.89649619]],[[1.42846576]],[[3.30086554]],[[0.96607712]],[[2.37626289]],[[1.25078549]],[[1.93525236]],[[1.16821662]],[[0.96294485]],[[0.95483274]]
['DHDH'],[[0.54859969]],[[1.01107506]],[[1.13404888]],[[2.12278386]],[[1.70687597]],[[0]],[[0.44102723]],[[0.8757047]],[[0.53638791]],[[0.61313987]],[[0.84972787]],[[1.2171518]],[[0.7030268]]
['TPD52L1'],[[1.34608734]],[[0]],[[0]],[[0.99578848]],[[1.11507332]],[[0.52882453]],[[0.96607712]],[[0.58662191]],[[0.39126843]],[[1.04206207]],[[0.78715166]],[[0.72954623]],[[0.36520907]]
['IFIT3'],[[0.9944367]],[[1.38330628]],[[1.26006334]],[[2.69568181]],[[2.26290117]],[[0.99290368]],[[0.93950143]],[[1.57150244]],[[1.32615583]],[[1.0474231]],[[1.42476872]],[[2.18684415]],[[1.72068197]]
['CXCL6'],[[1.41445718]],[[1.53378075]],[[2.11944498]],[[2.00298684]],[[1.53641025]],[[0.73476808]],[[0.36295403]],[[0.66356054]],[[0.81663776]],[[1.98756569]],[[1.44121381]],[[1.61153814]],[[1.19309109]]
['C3'],[[1.31735929]],[[0.50902547]],[[0.46292534]],[[1.80671076]],[[0.58917813]],[[0.33988067]],[[1.22705705]],[[1.13160908]],[[1.04230272]],[[1.1664092]],[[1.38972144]],[[1.22783928]],[[1.47625735]]
['IFI6'],[[0.96868493]],[[1.0773691]],[[1.04615853]],[[2.73048042]],[[2.29379834]],[[0.71155204]],[[0.98307813]],[[1.46922456]],[[1.38420846]],[[1.18908516]],[[1.33781319]],[[2.3089721]],[[1.80762983]]
['CHI3L1'],[[0.99217331]],[[1.51527744]],[[1.46427235]],[[2.16678032]],[[1.76759543]],[[1.70506499]],[[0.66827617]],[[0.8153409]],[[1.08356804]],[[1.13135693]],[[1.57488692]],[[1.46746581]],[[1.52932533]]
['RSAD2'],[[1.00318363]],[[0.82335367]],[[0.88826834]],[[2.67794708]],[[2.25864388]],[[0.57902577]],[[0.50766776]],[[1.57762851]],[[1.80692064]],[[1.27846327]],[[1.24808354]],[[2.77284778]],[[1.67437957]]
['NOV'],[[1.1594834]],[[1.79327255]],[[1.50564595]],[[1.78461153]],[[1.27817547]],[[0.57549745]],[[0.48556964]],[[1.05861786]],[[1.47307401]],[[1.20084493]],[[1.57638935]],[[1.59077343]],[[1.49225273]]
['HERC5'],[[1.05937995]],[[1.06363473]],[[1.18194901]],[[2.38154677]],[[1.87520383]],[[0.65210601]],[[0.6881323]],[[1.12227688]],[[0.91427671]],[[0.79822056]],[[1.06189792]],[[1.80551819]],[[1.33441968]]
['SLC27A2'],[[1.31661539]],[[1.23504332]],[[1.0440374]],[[1.55247532]],[[1.00488636]],[[0.19860039]],[[0.77832757]],[[0.93247223]],[[0.99826908]],[[0.61313994]],[[1.0418484]],[[1.45421967]],[[1.16604259]]
['RPL3L'],[[2.71193154]],[[0]],[[0]],[[3.81723336]],[[4.57188455]],[[3.16503714]],[[0]],[[4.65015983]],[[4.92683651]],[[3.53501891]],[[2.13732937]],[[3.32202646]],[[3.71219964]]
['MX1'],[[0.90476361]],[[0.98531269]],[[0.9081989]],[[2.52907011]],[[2.22841697]],[[0.63570871]],[[0.73543313]],[[1.32016123]],[[1.1648097]],[[0.93757086]],[[1.29653308]],[[2.19269888]],[[1.72071613]]
