['FGR'],[[1.00235488]],[[1.70814583]],[[1.76475932]],[[2.29462812]],[[2.11008626]],[[2.17372579]],[[1.79994161]],[[1.87996577]],[[1.35224186]],[[1.31334531]],[[1.2039301]],[[1.42447185]],[[1.19939623]]
['LAMP2'],[[1.04043472]],[[1.79332834]],[[1.82612143]],[[2.1054406]],[[1.95902222]],[[1.72763667]],[[1.45304837]],[[1.51035543]],[[1.10167505]],[[1.15533541]],[[1.03067734]],[[1.17052932]],[[1.01160772]]
['KDM7A'],[[1.00733365]],[[1.53198174]],[[1.46821021]],[[1.87020571]],[[1.71413785]],[[1.58397168]],[[1.14168582]],[[1.3582467]],[[1.1501572]],[[1.07602242]],[[1.08468514]],[[1.14112222]],[[0.99476518]]
['IFRD1'],[[1.21331623]],[[1.71239984]],[[1.62462337]],[[2.16185249]],[[1.89082494]],[[1.80311919]],[[1.19544425]],[[1.48771463]],[[1.15991597]],[[1.09538309]],[[1.13014421]],[[1.25213979]],[[1.01684129]]
['CDKL5'],[[1.03715694]],[[1.70676787]],[[1.73788479]],[[2.08176879]],[[1.84306244]],[[1.83370742]],[[1.41220664]],[[1.4401359]],[[0.98282992]],[[1.01830979]],[[1.04206821]],[[1.11810475]],[[0.97104617]]
['TYROBP'],[[1.01628772]],[[1.81015346]],[[1.78696319]],[[2.15123144]],[[1.96131384]],[[1.81257718]],[[1.66251566]],[[1.86577098]],[[1.48091877]],[[1.4638887]],[[1.20331464]],[[1.46816529]],[[1.25422899]]
['SEMA3B'],[[1.07751411]],[[1.86932321]],[[1.90301258]],[[2.23018241]],[[1.75504636]],[[1.97165265]],[[1.34749847]],[[2.07898966]],[[1.76302573]],[[1.47477544]],[[0.92485467]],[[1.2964758]],[[1.05705805]]
['EXTL3'],[[1.09667024]],[[1.88494314]],[[1.89567106]],[[2.28575006]],[[2.06507522]],[[1.8294691]],[[1.34742359]],[[1.49416593]],[[1.16766009]],[[1.29252809]],[[1.14258623]],[[1.29356676]],[[1.1457365]]
['WAS'],[[1.03031178]],[[1.77459089]],[[1.78917308]],[[2.25084667]],[[2.02729866]],[[1.7289946]],[[1.51555275]],[[1.7202809]],[[1.36186154]],[[1.3019411]],[[1.2559509]],[[1.44177144]],[[1.24484077]]
['RTFDC1'],[[0.99886688]],[[1.81412653]],[[1.80797615]],[[2.13889781]],[[1.95836536]],[[1.6630469]],[[1.31826875]],[[1.45655579]],[[1.13822836]],[[1.18012799]],[[1.08276236]],[[1.2386908]],[[1.08461363]]
['RRAGD'],[[1.01076309]],[[1.74982699]],[[1.65301657]],[[2.18972385]],[[2.00702223]],[[1.68817613]],[[1.60338947]],[[1.65554631]],[[1.38496856]],[[1.25782826]],[[1.12514067]],[[1.21186047]],[[1.06692575]]
['HMGB3'],[[1.49079046]],[[2.10313225]],[[1.88797271]],[[1.97002276]],[[1.95265651]],[[1.53891757]],[[1.20533627]],[[1.74764657]],[[1.35185761]],[[1.50692326]],[[0.91627241]],[[1.1119189]],[[1.08281201]]
['GRN'],[[0.9220234]],[[1.82432635]],[[1.82026684]],[[2.19778892]],[[2.01429339]],[[1.97101058]],[[1.9368043]],[[2.11899746]],[[1.65053381]],[[1.70493265]],[[1.33077558]],[[1.51009918]],[[1.30781512]]
['TIMP2'],[[0.95380483]],[[1.94771061]],[[1.90353638]],[[2.17515957]],[[1.95340051]],[[1.96274201]],[[1.72281286]],[[1.71910826]],[[1.28006456]],[[1.42201845]],[[1.04326275]],[[1.20633264]],[[1.02274502]]
['CAPG'],[[0.96681087]],[[1.67937259]],[[1.70331418]],[[1.87588237]],[[1.73040112]],[[1.75619208]],[[1.77514472]],[[1.67728597]],[[1.27065225]],[[1.46605877]],[[0.98384809]],[[1.23053917]],[[1.0519272]]
['PHKA2'],[[0.98135775]],[[1.74431864]],[[1.71456256]],[[1.97443619]],[[1.71811672]],[[1.77432564]],[[1.34126886]],[[1.56969745]],[[1.1550955]],[[1.08351728]],[[1.04290092]],[[1.17638401]],[[1.01599691]]
['WWC3'],[[0.96716805]],[[1.56957281]],[[1.59196673]],[[1.96141165]],[[1.75128886]],[[1.5242029]],[[1.31061229]],[[1.481976]],[[1.39685548]],[[1.294873]],[[1.09707747]],[[1.24190385]],[[1.06198301]]
['HEBP2'],[[1.00390264]],[[1.76005488]],[[1.76304382]],[[2.14192342]],[[1.87089011]],[[1.71496991]],[[1.37808977]],[[1.4978577]],[[1.05848441]],[[1.12675335]],[[0.95985328]],[[1.16856952]],[[0.98616397]]
['PPP1R12A'],[[1.06675767]],[[1.74636436]],[[1.78605199]],[[2.04727951]],[[1.85245949]],[[1.70317452]],[[1.27812423]],[[1.35714459]],[[0.96667293]],[[1.026438]],[[0.94366028]],[[1.08446236]],[[0.93573169]]
['TBXAS1'],[[0.96183584]],[[1.75576332]],[[1.82388001]],[[2.13828766]],[[1.89461156]],[[1.81485422]],[[1.46256576]],[[1.5411841]],[[1.12236137]],[[1.21460855]],[[1.02680567]],[[1.17407574]],[[0.99586743]]
['LPAR2'],[[1.10594155]],[[1.92139158]],[[1.91124905]],[[2.29318757]],[[1.94608148]],[[2.13796649]],[[1.60140489]],[[1.7273581]],[[1.25972826]],[[1.37673686]],[[1.03167793]],[[1.25908836]],[[1.08625151]]
['CNN2'],[[1.00505963]],[[1.864172]],[[1.86712187]],[[2.27569392]],[[2.04104128]],[[1.76812227]],[[1.57812578]],[[1.67917834]],[[1.26531971]],[[1.23750126]],[[1.16207831]],[[1.42678351]],[[1.17212878]]
['FAR2'],[[0.99883302]],[[1.21173435]],[[1.30144523]],[[1.95237908]],[[1.74685362]],[[1.71380484]],[[1.47858156]],[[1.62735497]],[[1.08124262]],[[1.03745996]],[[0.9206195]],[[1.11606508]],[[0.95802846]]
['GNAI3'],[[0.98256037]],[[1.47603447]],[[1.52451585]],[[1.74471989]],[[1.57517938]],[[1.51787766]],[[1.36640462]],[[1.46009982]],[[0.97437252]],[[1.05069087]],[[0.94595044]],[[1.09520048]],[[0.92136071]]
