['SRPK1'],[[1.17288939]],[[2.46819838]],[[2.55888012]],[[2.99600421]],[[2.76893883]],[[2.620946]],[[1.81812799]],[[1.79236039]],[[1.24844779]],[[1.12555252]],[[1.09269137]],[[1.30322545]],[[1.06876725]]
['PYGL'],[[1.18162561]],[[2.67514895]],[[2.69993923]],[[3.18395026]],[[2.9913425]],[[2.84772475]],[[2.20016347]],[[2.25774861]],[[1.67441668]],[[1.4378019]],[[1.2518539]],[[1.41664854]],[[1.15892186]]
['TMED8'],[[0.96494026]],[[2.78900106]],[[2.91970986]],[[3.15116181]],[[3.00131061]],[[2.42002791]],[[1.49456114]],[[1.44329381]],[[1.11323757]],[[1.00963976]],[[0.98026462]],[[1.10023515]],[[0.95111765]]
['SPTLC2'],[[0.97782519]],[[2.03340962]],[[2.0391177]],[[2.71192017]],[[2.64845087]],[[1.85507577]],[[1.43250907]],[[1.47763647]],[[1.06591527]],[[1.21615908]],[[0.9794771]],[[1.12396843]],[[0.98608115]]
['APMAP'],[[1.198785]],[[2.6953946]],[[2.65198575]],[[3.15564661]],[[3.02023666]],[[2.49951965]],[[1.74318343]],[[1.90499763]],[[1.4354648]],[[1.20264338]],[[1.24320404]],[[1.43425009]],[[1.19859622]]
['TLR8'],[[1.04172923]],[[2.3754308]],[[2.48341663]],[[2.71812636]],[[2.59546345]],[[2.40231296]],[[1.78259421]],[[1.76127262]],[[1.12860154]],[[1.24909297]],[[1.08734471]],[[1.21054732]],[[1.00516273]]
['CDADC1'],[[0.95369355]],[[2.78376035]],[[2.94827163]],[[2.66051773]],[[2.38622994]],[[1.34170739]],[[0.96388877]],[[1.11364504]],[[0.83137979]],[[0.82351021]],[[0.89046353]],[[1.03867241]],[[0.93559269]]
['DGKH'],[[1.00429959]],[[1.52552713]],[[1.5828301]],[[2.66752043]],[[2.62798012]],[[1.31800276]],[[0.77963744]],[[0.98887462]],[[0.79101182]],[[0.69047106]],[[0.80883752]],[[0.96195863]],[[0.82924006]]
['AQP9'],[[1.14386632]],[[2.75213252]],[[2.83091516]],[[3.25515937]],[[3.10127711]],[[2.60717635]],[[2.0305934]],[[1.97907663]],[[1.4153215]],[[1.3843011]],[[1.22604319]],[[1.42376067]],[[1.11460194]]
['SH2D4A'],[[0.94510594]],[[1.01107506]],[[1.13404888]],[[3.23947716]],[[3.0647469]],[[0.99725243]],[[0.77832735]],[[1.38061009]],[[0.56920697]],[[0]],[[1.06970822]],[[1.5147933]],[[1.4761469]]
['PEX11G'],[[2.49227727]],[[3.720821]],[[2.53080874]],[[5.64632515]],[[4.97953676]],[[3.16503751]],[[1.65325468]],[[4.1380728]],[[3.31479932]],[[1.04206261]],[[3.07191563]],[[3.01603414]],[[2.37798591]]
['NAMPT'],[[1.22312779]],[[2.65124967]],[[2.7527989]],[[3.08340668]],[[2.88429957]],[[2.27697613]],[[1.73465895]],[[1.75576577]],[[1.21009481]],[[1.31586062]],[[1.11371244]],[[1.34368701]],[[1.09723257]]
['CNTNAP3'],[[1.09226787]],[[2.45957468]],[[2.46524543]],[[2.99857941]],[[2.83828404]],[[2.59003064]],[[1.46621845]],[[2.17716003]],[[1.54929989]],[[0.68627111]],[[1.19438003]],[[1.38623414]],[[1.0674717]]
['MEGF9'],[[1.12519792]],[[2.20745297]],[[2.14445343]],[[2.79342733]],[[2.67465637]],[[2.12391359]],[[1.5474508]],[[1.73246711]],[[1.28094635]],[[1.24658274]],[[1.19935759]],[[1.29507315]],[[1.16125498]]
['ST3GAL4'],[[0.9979794]],[[3.19080245]],[[3.31941238]],[[3.31541772]],[[2.87545862]],[[2.31752939]],[[1.86219668]],[[1.89452332]],[[1.46928696]],[[1.22581285]],[[1.17588376]],[[1.46112425]],[[1.15885753]]
['FOLR3'],[[1.09088708]],[[2.34472119]],[[2.46970397]],[[3.63876724]],[[2.88641623]],[[2.88529668]],[[2.11188572]],[[2.6318454]],[[1.62740132]],[[1.67505865]],[[1.79256896]],[[1.82579673]],[[1.7818641]]
['LIN7A'],[[1.0629665]],[[2.20627553]],[[2.27123706]],[[2.57942779]],[[2.36253895]],[[2.32974252]],[[1.61782054]],[[1.57611608]],[[1.17165936]],[[1.24647405]],[[1.0827487]],[[1.13195493]],[[0.95015954]]
['ACSS3'],[[1.23704443]],[[2.20890745]],[[2.44899519]],[[2.84411737]],[[2.44216677]],[[2.58722972]],[[1.89170136]],[[1.84268494]],[[1.34081111]],[[1.18972343]],[[1.23074324]],[[1.36527993]],[[1.1615837]]
['MAK'],[[1.04693915]],[[2.24088148]],[[2.44739339]],[[2.71509973]],[[2.4747114]],[[2.66573874]],[[2.29342433]],[[2.011844]],[[1.07397883]],[[1.15452032]],[[1.01700423]],[[1.24398273]],[[0.90319829]]
['MAPK14'],[[1.13175744]],[[2.55740389]],[[2.63702272]],[[3.23179683]],[[3.04888014]],[[2.63878829]],[[1.99050771]],[[2.04000454]],[[1.39126188]],[[1.28905235]],[[1.11517669]],[[1.32762978]],[[1.10692274]]
['VNN2'],[[1.18018807]],[[2.39262085]],[[2.40207953]],[[3.00913719]],[[2.8721198]],[[2.27979866]],[[1.55234165]],[[2.02833074]],[[1.37753889]],[[1.22561862]],[[1.28580659]],[[1.43100843]],[[1.19507774]]
['LMNB1'],[[0.98007144]],[[2.9149852]],[[3.00912741]],[[3.41448644]],[[3.19068799]],[[2.74290231]],[[2.2025142]],[[1.97618276]],[[1.37495329]],[[1.46014265]],[[1.05772196]],[[1.37114521]],[[1.12763651]]
['BCL6'],[[1.01241695]],[[2.44947805]],[[2.59455276]],[[3.527117]],[[3.24360601]],[[3.12366574]],[[2.20517373]],[[2.28489007]],[[1.59104774]],[[1.25231025]],[[1.31932772]],[[1.56293596]],[[1.27142726]]
['PFKFB4'],[[1.09627667]],[[2.68658824]],[[2.65602393]],[[2.91198813]],[[2.64586342]],[[2.21739291]],[[1.64063377]],[[1.80687853]],[[1.37626977]],[[1.46071969]],[[1.1487608]],[[1.39762038]],[[1.17825611]]
['QPCT'],[[1.18027069]],[[2.71023463]],[[2.66997086]],[[3.29751409]],[[3.05731227]],[[2.73956199]],[[2.09279602]],[[2.29494222]],[[1.7313926]],[[1.50023875]],[[1.44497637]],[[1.59070268]],[[1.36093214]]
