['MAPK10'],[[0.89812478]],[[0.70647527]],[[1.43252323]],[[1.32998018]],[[1.3988893]],[[1.51579529]],[[1.10045747]],[[1.67023861]],[[1.17626244]],[[1.22750339]],[[0.95816839]],[[0.93312659]],[[0.95593134]]
['CPT1A'],[[1.11025197]],[[1.17706883]],[[1.20403197]],[[1.34897185]],[[1.24931252]],[[1.34770397]],[[1.28271615]],[[1.63324532]],[[1.41547472]],[[0.80174341]],[[1.00013562]],[[1.08225204]],[[1.01491313]]
['LTA4H'],[[0.89206748]],[[1.34094595]],[[1.42633473]],[[1.48681223]],[[1.36609077]],[[1.88237231]],[[1.94186239]],[[1.83695273]],[[1.40199818]],[[1.46120894]],[[0.91181004]],[[0.96114587]],[[0.83275893]]
['TRPV4'],[[0.7993064]],[[2.41479232]],[[2.60822968]],[[2.95237946]],[[2.49931208]],[[2.7749123]],[[2.55162927]],[[3.5756749]],[[3.01357098]],[[2.5008892]],[[2.02044106]],[[1.92000738]],[[1.96208104]]
['GAPDH'],[[0.98800066]],[[1.74269192]],[[1.7590512]],[[1.94984798]],[[1.74403898]],[[1.79240199]],[[1.89961952]],[[1.96019948]],[[1.46793343]],[[1.49628775]],[[1.15446401]],[[1.38036803]],[[1.16378708]]
['CHPT1'],[[0.98788006]],[[1.24853362]],[[1.274721]],[[1.5619678]],[[1.4383341]],[[1.31671241]],[[1.02462032]],[[1.49619903]],[[1.82718206]],[[1.59193563]],[[0.90317191]],[[1.09442431]],[[0.94635796]]
['MAN1A1'],[[1.03885732]],[[1.20177197]],[[1.29286641]],[[1.6996473]],[[1.64368365]],[[1.94512417]],[[1.87104094]],[[2.12531334]],[[1.64375493]],[[1.26376363]],[[1.15233218]],[[1.39046207]],[[1.15005669]]
['GABRR2'],[[1.45153769]],[[1.54498047]],[[0.79087001]],[[1.84484153]],[[1.30918011]],[[1.97571814]],[[3.4610009]],[[2.90397732]],[[1.84405297]],[[1.8844234]],[[1.10696326]],[[1.63762816]],[[1.2139561]]
['WASF1'],[[1.06811186]],[[1.89055031]],[[2.12530945]],[[1.86992692]],[[1.62046936]],[[1.74904093]],[[2.2672619]],[[2.57033324]],[[2.51056178]],[[2.07612612]],[[1.19294106]],[[1.31138524]],[[1.105881]]
['SNX3'],[[0.89259255]],[[1.3816263]],[[1.47081141]],[[1.76124681]],[[1.69959997]],[[1.52995225]],[[1.0690813]],[[1.56147662]],[[1.79850153]],[[1.47617978]],[[0.99497634]],[[1.12276737]],[[1.0346598]]
['EIF1B'],[[0.91136591]],[[1.16694407]],[[1.18642255]],[[1.54848819]],[[1.42422743]],[[1.23129703]],[[0.96112945]],[[1.66208089]],[[1.84312825]],[[1.56138031]],[[1.11220765]],[[1.22275057]],[[1.14885598]]
['GALNT3'],[[1.03321549]],[[1.25963065]],[[1.19704624]],[[1.81937266]],[[1.55531461]],[[1.76295306]],[[1.58295069]],[[1.85628608]],[[1.28138521]],[[1.03864617]],[[1.11238301]],[[1.24854817]],[[1.10435123]]
['CTSD'],[[1.03838094]],[[1.89651377]],[[1.82482078]],[[2.30422989]],[[1.99605558]],[[2.28176526]],[[2.04014597]],[[2.2972072]],[[1.91041564]],[[1.7131432]],[[1.46742633]],[[1.62174159]],[[1.41967596]]
['FOXO3'],[[0.89763999]],[[1.13075513]],[[1.06450389]],[[1.45710111]],[[1.27250539]],[[1.28093403]],[[0.91670639]],[[1.52608908]],[[1.83366277]],[[1.43228936]],[[1.17734174]],[[1.23430951]],[[1.17952075]]
['NEK6'],[[1.02315513]],[[1.42191401]],[[1.38426756]],[[1.54226225]],[[1.2452708]],[[1.67636916]],[[1.69273938]],[[1.73742607]],[[1.23769669]],[[1.29269125]],[[0.94802645]],[[1.13491777]],[[1.02283584]]
['ELOVL3'],[[0.69321881]],[[1.32441596]],[[1.27261223]],[[1.22336552]],[[1.30154748]],[[1.54527565]],[[1.37250793]],[[1.66614047]],[[1.35049144]],[[1.12224486]],[[0.93565368]],[[1.16242379]],[[0.92067411]]
['PQLC1'],[[0.98537864]],[[1.67209466]],[[1.75750802]],[[1.99665306]],[[1.78597694]],[[1.5829734]],[[1.32274862]],[[2.03869917]],[[1.99811048]],[[1.63628048]],[[1.25885617]],[[1.58687888]],[[1.37915595]]
['PLAU'],[[0.85274438]],[[1.23504283]],[[0.90579152]],[[1.72244273]],[[1.48593706]],[[1.16515015]],[[1.4851112]],[[1.969956]],[[1.53435872]],[[1.17898176]],[[1.25283766]],[[1.29517317]],[[1.19096263]]
['PDE1B'],[[1.16380735]],[[1.35055308]],[[1.35521628]],[[1.74868714]],[[1.24699477]],[[1.77226289]],[[1.41050324]],[[1.91267227]],[[1.40044398]],[[1.11032687]],[[1.14819202]],[[1.36469027]],[[1.13283425]]
['SLPI'],[[0.99989436]],[[0.92566519]],[[0.81481533]],[[1.88470757]],[[1.54746951]],[[2.11273549]],[[3.12713174]],[[3.08743818]],[[2.11013027]],[[1.39388265]],[[1.10612062]],[[1.77196114]],[[1.33025569]]
['STAU1'],[[0.97753539]],[[1.2791708]],[[1.29821365]],[[1.53477518]],[[1.31380312]],[[1.27556107]],[[1.16332405]],[[1.58770085]],[[1.7217465]],[[1.40799074]],[[1.13193958]],[[1.25957714]],[[1.13496075]]
['OR2B6'],[[0.94510613]],[[1.44526265]],[[1.29170265]],[[1.43209436]],[[1.04177694]],[[1.42788098]],[[0.47516486]],[[2.22797092]],[[1.43760141]],[[1.17104354]],[[0.97478435]],[[1.13314507]],[[0.91957722]]
['BMP2'],[[0.88065388]],[[0.45337629]],[[0.65925522]],[[1.21861553]],[[1.15955277]],[[0.88382116]],[[0.93370844]],[[0.97941926]],[[1.12351364]],[[0.47004463]],[[0.71266028]],[[0.89852726]],[[0.77843573]]
['OMG'],[[1.15948302]],[[1.5449804]],[[1.76106235]],[[1.6940048]],[[1.51076144]],[[2.07380698]],[[1.80858845]],[[2.30406348]],[[1.44111658]],[[1.21658555]],[[0.94583441]],[[1.26720571]],[[0.92472361]]
['ADGRE2'],[[0.93226747]],[[1.368978]],[[1.44976532]],[[1.80418283]],[[1.53048503]],[[2.14210188]],[[2.0184122]],[[1.94092314]],[[1.27199762]],[[1.34633779]],[[1.01084058]],[[1.28846934]],[[1.06505952]]
['WFIKKN1'],[[1.15948331]],[[1.70331017]],[[1.60192499]],[[2.34001433]],[[1.74500434]],[[1.89929645]],[[1.32753983]],[[2.14443606]],[[1.80549041]],[[1.52755468]],[[1.64555245]],[[1.61207]],[[1.48111479]]
['COLGALT1'],[[0.94385254]],[[1.44926406]],[[1.51927947]],[[1.79144873]],[[1.52102557]],[[1.88273132]],[[1.61683617]],[[1.82731066]],[[1.34379282]],[[1.38887405]],[[1.1189634]],[[1.31792272]],[[1.11429012]]
['EMILIN2'],[[0.87563944]],[[1.54473695]],[[1.65000028]],[[1.65228612]],[[1.50627397]],[[1.95150372]],[[1.87714083]],[[1.88399678]],[[1.4085642]],[[1.5772448]],[[1.08462531]],[[1.23409987]],[[1.07821194]]
['WBP2'],[[1.0067174]],[[1.50911665]],[[1.46779038]],[[1.76444354]],[[1.59936504]],[[1.45504768]],[[1.21215512]],[[1.73364029]],[[1.86943501]],[[1.50107355]],[[1.18599358]],[[1.43217662]],[[1.2678441]]
['CD36'],[[0.97366417]],[[1.44831644]],[[1.57253551]],[[1.20743018]],[[1.02055034]],[[1.55795997]],[[1.6407468]],[[1.57155621]],[[1.21550009]],[[1.45894862]],[[0.85598814]],[[0.89140367]],[[0.85701499]]
['ALPK3'],[[1.00868778]],[[1.18222532]],[[0.76292757]],[[2.11431249]],[[1.43248926]],[[1.88675597]],[[2.56476689]],[[2.93856873]],[[2.30207262]],[[1.40868545]],[[1.21951115]],[[1.48110649]],[[1.37368543]]
['IDH1'],[[0.89536683]],[[1.26530853]],[[1.26394782]],[[1.48088786]],[[1.24887116]],[[1.73496399]],[[1.69470565]],[[1.62134847]],[[1.14400177]],[[1.26017706]],[[0.84958545]],[[1.01581062]],[[0.89951923]]
['ACVRL1'],[[0.91919439]],[[0.76724228]],[[0.7215856]],[[1.30096932]],[[1.09379294]],[[1.90877772]],[[1.90866602]],[[2.00173953]],[[1.42497483]],[[1.42590205]],[[0.92046938]],[[1.07522015]],[[0.95976588]]
['ARRDC4'],[[0.93119022]],[[1.22060698]],[[1.2907931]],[[0.78132479]],[[0.72863447]],[[1.47745601]],[[1.39729064]],[[1.15270254]],[[0.76025861]],[[1.09921394]],[[0.73274343]],[[0.84296966]],[[0.60725319]]
['ASGR1'],[[0.86501683]],[[1.25357065]],[[1.2498702]],[[1.20156136]],[[1.08979337]],[[1.6719298]],[[1.8331976]],[[1.77389884]],[[1.39447336]],[[1.69746066]],[[0.8933695]],[[1.03866499]],[[0.84406719]]
['CREG1'],[[0.95183305]],[[1.32308073]],[[1.38106355]],[[1.69923669]],[[1.69556553]],[[1.4741447]],[[1.24841758]],[[1.76696508]],[[2.09563659]],[[1.63560572]],[[1.11739984]],[[1.18542869]],[[1.02494889]]
['HORMAD1'],[[1.56434357]],[[1.02959309]],[[1.07233563]],[[2.25477391]],[[1.71479731]],[[1.85017205]],[[1.88578201]],[[2.88235017]],[[1.79657983]],[[1.27846293]],[[1.37524909]],[[1.61239863]],[[1.45490319]]
