['FGR'],[[0.95967921]],[[1.79533138]],[[1.89494063]],[[2.17730338]],[[1.99702493]],[[1.9766515]],[[1.69192102]],[[1.38017365]],[[1.23067928]],[[1.22896934]],[[1.08128649]],[[1.21379349]],[[1.05527066]]
['LAMP2'],[[1.10735519]],[[2.17845178]],[[1.97617389]],[[2.24169104]],[[2.09106226]],[[1.70621466]],[[1.35521467]],[[1.23411465]],[[1.12088266]],[[1.07034697]],[[0.94654735]],[[1.2566905]],[[1.053209]]
['KDM7A'],[[1.15272807]],[[1.79456764]],[[1.76067727]],[[2.05604422]],[[1.89245608]],[[1.65899504]],[[1.21826389]],[[1.15750722]],[[1.20822902]],[[1.07778731]],[[1.08671641]],[[1.17298114]],[[1.05674041]]
['IFRD1'],[[1.11273929]],[[1.94052033]],[[1.92726807]],[[2.12109374]],[[1.85252277]],[[1.77055586]],[[1.26433811]],[[1.1873036]],[[1.03789227]],[[0.97399913]],[[1.01613372]],[[1.09954367]],[[0.87609418]]
['CDKL5'],[[1.20398181]],[[2.12061278]],[[1.92905956]],[[2.29053584]],[[2.04097212]],[[1.87012108]],[[1.44268117]],[[1.25367813]],[[1.07095335]],[[0.97650224]],[[1.06596785]],[[1.19872813]],[[1.05363098]]
['TYROBP'],[[0.99213217]],[[1.48694383]],[[1.50167589]],[[1.99418006]],[[1.81102868]],[[1.52992406]],[[1.34439082]],[[1.2152313]],[[1.10500214]],[[1.25408677]],[[0.99424899]],[[1.18011929]],[[1.12144499]]
['SEMA3B'],[[1.17234173]],[[1.68414534]],[[1.52130526]],[[1.5989708]],[[1.20515679]],[[1.09161018]],[[1.28137316]],[[1.20879665]],[[1.14322069]],[[0.58954299]],[[0.63563534]],[[0.93879119]],[[0.30186134]]
['EXTL3'],[[1.22262427]],[[1.89680319]],[[1.88004616]],[[2.13462917]],[[1.9207317]],[[1.46246228]],[[1.14908845]],[[1.08784072]],[[0.98541304]],[[0.99968275]],[[0.9746507]],[[1.14320669]],[[0.963611]]
['WAS'],[[1.07737862]],[[1.72907881]],[[1.72801318]],[[1.98258433]],[[1.77211987]],[[1.44965744]],[[1.24508404]],[[1.1382217]],[[1.02007565]],[[1.09140892]],[[1.00758566]],[[1.13624976]],[[1.02403157]]
['RTFDC1'],[[1.09970992]],[[1.85499408]],[[1.78641525]],[[2.15681706]],[[1.97558712]],[[1.46026469]],[[1.16104832]],[[1.06948597]],[[0.99859539]],[[1.0882489]],[[0.99763543]],[[1.10414017]],[[1.04900867]]
['RRAGD'],[[1.15202898]],[[2.10459234]],[[1.76166698]],[[2.18047194]],[[1.99812205]],[[1.47687687]],[[1.41307327]],[[1.16258994]],[[1.16914966]],[[1.12742487]],[[0.91674056]],[[1.19736143]],[[1.00922045]]
['HMGB3'],[[0.39531968]],[[0.63910848]],[[0.29009496]],[[1.53035123]],[[1.51511687]],[[0.75654775]],[[0.90565025]],[[0.59733735]],[[1.0699174]],[[1.15328658]],[[0.43756647]],[[0.55528978]],[[0.77189477]]
['GRN'],[[0.96695613]],[[1.35916194]],[[1.42131182]],[[1.97762243]],[[1.80309087]],[[1.64875426]],[[1.60183636]],[[1.46197983]],[[1.25030522]],[[1.47948408]],[[1.0064885]],[[1.21182427]],[[1.18878273]]
['TIMP2'],[[1.04237318]],[[1.96021164]],[[1.90711869]],[[2.20585381]],[[1.982659]],[[1.74405645]],[[1.52528278]],[[1.29814899]],[[1.15443049]],[[1.23314161]],[[0.96366097]],[[1.16896217]],[[0.98435234]]
['CAPG'],[[0.85949961]],[[1.40295675]],[[1.41240149]],[[1.76896325]],[[1.62788496]],[[1.6109824]],[[1.54658453]],[[1.29760442]],[[1.09524549]],[[1.40364462]],[[0.94231244]],[[1.14127394]],[[1.17542186]]
['PHKA2'],[[1.10269401]],[[1.61926383]],[[1.65990407]],[[2.00278709]],[[1.74460332]],[[1.5632729]],[[1.32275248]],[[1.27239435]],[[1.08316161]],[[1.07603457]],[[1.03605759]],[[1.00182195]],[[0.865955]]
['WWC3'],[[1.12043604]],[[1.71698713]],[[1.7342522]],[[1.91431366]],[[1.70678187]],[[1.40939177]],[[1.13736742]],[[1.15455188]],[[1.24438763]],[[1.03402103]],[[1.069921]],[[1.11980543]],[[0.96608267]]
['HEBP2'],[[1.02821234]],[[1.87507338]],[[1.89317776]],[[2.14292023]],[[1.87182659]],[[1.63926738]],[[1.31452979]],[[1.23087239]],[[1.06865983]],[[0.91169841]],[[0.99522203]],[[1.01531029]],[[0.85361024]]
