['NDUFAF7'],[[0.92994568]],[[1.81436554]],[[1.87472399]],[[2.07014118]],[[1.75502352]],[[1.57610261]],[[0.93751589]],[[0.90500678]],[[0.72436761]],[[0.74154561]],[[0.97867994]],[[0.87681763]],[[0.73410142]]
['CREBBP'],[[1.09411264]],[[1.61952726]],[[1.59571421]],[[1.88769962]],[[1.67458906]],[[1.31571169]],[[1.11858909]],[[1.07627206]],[[0.99649158]],[[0.98905348]],[[0.99850943]],[[1.09604527]],[[0.97284691]]
['NADK'],[[0.9692731]],[[1.66799229]],[[1.68439744]],[[2.08465026]],[[1.78650789]],[[1.61213628]],[[1.32136665]],[[1.19183659]],[[1.08133403]],[[1.08040547]],[[1.00749616]],[[1.09570023]],[[0.90259675]]
['ZNF200'],[[0.98116239]],[[1.73649352]],[[1.70346611]],[[1.98797423]],[[1.70488493]],[[1.36256349]],[[1.11397937]],[[1.07294559]],[[0.95438349]],[[0.96987239]],[[0.97725819]],[[1.05052005]],[[0.97859809]]
['MVP'],[[0.99603899]],[[1.66725918]],[[1.72448797]],[[2.11313374]],[[1.87700082]],[[1.57218674]],[[1.35336287]],[[1.09906727]],[[1.0633269]],[[1.09824357]],[[1.03473938]],[[1.06432286]],[[1.01222861]]
['ZC3H3'],[[1.07555057]],[[1.49382225]],[[1.71350555]],[[1.9122181]],[[1.61619062]],[[1.3010095]],[[1.0135153]],[[1.02798649]],[[0.92095708]],[[1.02021854]],[[0.97703432]],[[0.99060816]],[[0.93110567]]
['SLC45A4'],[[1.14289271]],[[1.87707771]],[[1.91106673]],[[1.97311603]],[[1.65612504]],[[1.41572298]],[[1.21814196]],[[1.15020848]],[[0.99486018]],[[0.90678989]],[[1.01362804]],[[1.08738561]],[[0.75253385]]
['RB1CC1'],[[1.08314794]],[[2.18866258]],[[2.06278937]],[[2.34773418]],[[2.18051005]],[[1.48840098]],[[1.14012159]],[[1.09457299]],[[1.07955346]],[[0.93733349]],[[1.03798618]],[[1.12546367]],[[1.02626153]]
['NSMAF'],[[1.13340402]],[[1.92398765]],[[1.85842504]],[[1.9409916]],[[1.73144714]],[[1.45560154]],[[1.1231331]],[[1.06541928]],[[1.00999297]],[[1.00780994]],[[1.0133596]],[[1.07996296]],[[1.11287285]]
['CELF2'],[[1.25700901]],[[2.25856218]],[[2.20401985]],[[2.22211094]],[[2.03793638]],[[1.41933048]],[[1.15490672]],[[1.0945064]],[[1.02895068]],[[0.913326]],[[1.06250799]],[[1.03457428]],[[0.92258794]]
['H6PD'],[[1.05002944]],[[1.52772652]],[[1.63125477]],[[2.05260833]],[[1.96614901]],[[1.40320968]],[[1.06830131]],[[1.02390958]],[[0.96210862]],[[1.12819794]],[[1.02595202]],[[1.08999359]],[[1.12871946]]
['VAMP3'],[[0.98760203]],[[1.86609438]],[[1.73700718]],[[2.1891418]],[[2.04086642]],[[1.57761515]],[[1.3117499]],[[1.11805951]],[[1.0679119]],[[1.11523727]],[[0.97639427]],[[1.10502554]],[[1.10447439]]
['RFC2'],[[1.05060992]],[[1.78839867]],[[1.89313279]],[[2.09507933]],[[1.93112906]],[[1.32437253]],[[1.11461489]],[[0.95842142]],[[0.9657719]],[[1.0975832]],[[0.95467077]],[[1.14470106]],[[1.06177742]]
['ARID4B'],[[1.03062998]],[[1.79253682]],[[1.7132065]],[[2.00747717]],[[1.78808222]],[[1.42113671]],[[1.11849328]],[[1.00752807]],[[0.95959011]],[[0.88206092]],[[0.9960178]],[[1.05836718]],[[0.98068777]]
['ITIH4'],[[0.81441498]],[[1.76156828]],[[2.06812825]],[[1.95204118]],[[1.73299056]],[[1.8007541]],[[0.90309545]],[[1.51169849]],[[0.67694838]],[[0.72255893]],[[0.74620315]],[[0.97566176]],[[0.82101841]]
['PRDM1'],[[1.8134607]],[[2.264323]],[[2.22071228]],[[2.21754163]],[[2.05716819]],[[0.95788167]],[[0.96382034]],[[0.8990523]],[[1.05399183]],[[0.99231108]],[[1.05031091]],[[1.11777233]],[[1.18332149]]
['ATP2B4'],[[0.98020437]],[[1.27008753]],[[1.41377542]],[[1.65406436]],[[1.5627908]],[[1.70929671]],[[1.33754983]],[[1.03707283]],[[0.99930502]],[[0.9470788]],[[0.99635085]],[[1.11514956]],[[1.07291415]]
['ZC3H11A'],[[1.54127202]],[[1.67506632]],[[1.977711]],[[1.96955148]],[[1.69021631]],[[1.59018314]],[[0.89597493]],[[1.67894479]],[[0.92962779]],[[0.64778356]],[[0.91517275]],[[1.28360927]],[[0.27127569]]
['DNAJC25'],[[1.31914494]],[[2.33310527]],[[2.23015341]],[[2.31057385]],[[1.98701096]],[[1.44551893]],[[1.39124944]],[[0.97305675]],[[1.07477539]],[[1.45272218]],[[1.13349608]],[[1.24961165]],[[1.14682693]]
['CYB5R4'],[[1.14771208]],[[2.20126384]],[[2.04420974]],[[2.3576348]],[[2.15835173]],[[1.78955164]],[[1.30360333]],[[1.24670951]],[[1.07581462]],[[0.95541898]],[[1.0189893]],[[1.06567964]],[[0.89688364]]
