['PDK4'],[[1.27508723]],[[1.77377259]],[[1.7336959]],[[1.38760521]],[[1.23595428]],[[2.18341975]],[[1.67728744]],[[1.37348309]],[[1.62765377]],[[0.53983956]],[[0.66282033]],[[0.98661489]],[[1.40680832]]
['FAM214B'],[[1.01009712]],[[1.46162476]],[[1.53968497]],[[1.83075595]],[[1.66128752]],[[1.5104068]],[[1.15071226]],[[1.34742529]],[[1.42729716]],[[1.26808457]],[[1.04152933]],[[1.03131763]],[[0.97164516]]
['MGST1'],[[0.90443715]],[[1.64454788]],[[1.86783337]],[[1.98839603]],[[1.79970146]],[[2.04451193]],[[2.10754601]],[[1.38690458]],[[1.35472463]],[[1.50255069]],[[1.04769384]],[[1.18437091]],[[1.1375832]]
['STAB1'],[[0.76304562]],[[1.37147973]],[[1.68874094]],[[1.4458577]],[[1.2227347]],[[2.7704672]],[[2.1991151]],[[1.80369426]],[[1.44404961]],[[1.58887739]],[[1.06754031]],[[0.92798356]],[[1.02351058]]
['SLC6A13'],[[0.96735681]],[[1.45510769]],[[1.51399918]],[[1.44228282]],[[1.42005352]],[[1.36735639]],[[1.69172536]],[[1.35293265]],[[1.43107249]],[[0.35994802]],[[1.30820055]],[[1.35889089]],[[0.82845243]]
['ACPP'],[[0.82119622]],[[1.32320079]],[[1.43267196]],[[1.89819636]],[[1.64139182]],[[1.89988505]],[[1.66734331]],[[1.31186868]],[[1.23655582]],[[1.21064687]],[[0.91845862]],[[1.01423406]],[[1.07376599]]
['MARCO'],[[0.79458558]],[[1.26084219]],[[1.35082964]],[[1.54952612]],[[1.47904833]],[[2.52240124]],[[2.2758105]],[[1.79255022]],[[1.63235575]],[[1.63154401]],[[0.91517275]],[[1.09023698]],[[1.62010899]]
['VIM'],[[0.9247957]],[[1.36495492]],[[1.35844223]],[[1.84074576]],[[1.67405719]],[[1.82162128]],[[1.76164695]],[[1.44569503]],[[1.2302515]],[[1.25891445]],[[0.96859484]],[[1.1568074]],[[1.10487641]]
['GABARAPL2'],[[1.15787213]],[[1.40496283]],[[1.48820428]],[[1.429426]],[[1.2578486]],[[1.27893481]],[[0.94326884]],[[1.16521288]],[[1.57656337]],[[1.38096919]],[[1.15339143]],[[1.20806868]],[[1.18141011]]
['VCL'],[[1.19229572]],[[1.34389173]],[[1.28967245]],[[1.20977592]],[[1.13777348]],[[1.2570876]],[[1.19537883]],[[1.57054746]],[[1.56857291]],[[1.31390365]],[[1.11579742]],[[1.03048938]],[[1.24651659]]
['TG'],[[1.14295339]],[[1.69408013]],[[1.87158834]],[[2.58769327]],[[2.18661643]],[[1.82128596]],[[2.13259805]],[[2.20213165]],[[1.38426061]],[[0.96469293]],[[0.93526097]],[[0.88035689]],[[0.51675274]]
['HOMER3'],[[0.84423744]],[[1.26675647]],[[1.452497]],[[1.50524276]],[[1.34214249]],[[1.75695652]],[[1.51653136]],[[1.34485608]],[[1.15876688]],[[1.23701453]],[[0.74373412]],[[0.7470467]],[[0.68382138]]
['SPA17'],[[1.28266669]],[[1.3495013]],[[1.91991571]],[[1.68744141]],[[1.39444759]],[[2.19876111]],[[2.01869283]],[[1.64946549]],[[1.82566615]],[[1.82798843]],[[1.12502934]],[[1.1201259]],[[1.06080228]]
['CTSA'],[[1.05819797]],[[1.10720348]],[[1.15369624]],[[1.29707394]],[[1.15660978]],[[1.32352966]],[[1.28619615]],[[1.53503356]],[[1.52785446]],[[1.38687294]],[[0.99948343]],[[1.03989929]],[[1.17895287]]
['TFE3'],[[0.93936181]],[[1.47910998]],[[1.49570408]],[[1.87954427]],[[1.67311707]],[[1.61070266]],[[1.27221744]],[[1.23213751]],[[1.17187208]],[[1.14740875]],[[0.96426096]],[[1.09838446]],[[0.98507501]]
['FSTL3'],[[0.83700508]],[[0.93076534]],[[1.19544264]],[[1.56659891]],[[1.21760409]],[[1.29298961]],[[1.70064864]],[[1.49553045]],[[1.35843209]],[[1.35339808]],[[1.18566392]],[[0.9381178]],[[0.94930004]]
['SMARCD3'],[[1.03491119]],[[1.83674571]],[[2.03810897]],[[1.91524446]],[[1.79168415]],[[1.79767009]],[[1.68868034]],[[1.62888842]],[[1.44156676]],[[1.50566214]],[[1.08720943]],[[1.23751465]],[[1.19131656]]
['KIF3C'],[[1.23742386]],[[1.44521881]],[[1.32114896]],[[1.85692989]],[[1.6856471]],[[1.87257728]],[[1.39829525]],[[1.51672575]],[[1.37434047]],[[1.2288298]],[[1.14458433]],[[0.99210977]],[[1.21960837]]
['COL9A3'],[[1.02285668]],[[1.33535981]],[[1.32592849]],[[1.31814229]],[[1.29963143]],[[1.63738998]],[[1.4668076]],[[1.2700574]],[[1.10966716]],[[1.15348908]],[[1.09607177]],[[1.30122633]],[[0.8502596]]
['TBC1D2'],[[0.93332505]],[[1.34449152]],[[1.43504512]],[[1.72454326]],[[1.45059444]],[[1.6409679]],[[1.59431634]],[[1.38044406]],[[1.15370024]],[[1.37248418]],[[0.9662766]],[[1.04550267]],[[0.99055263]]
['LGALS1'],[[0.69237227]],[[0.77769822]],[[0.83726837]],[[1.15926584]],[[1.03682663]],[[1.41547662]],[[1.58942357]],[[1.35973413]],[[1.23976249]],[[1.44263389]],[[0.92801677]],[[1.12868664]],[[1.25411618]]
