['CPED1'],[[0.65581162]],[[0.41481257]],[[0.44902356]],[[0.59743334]],[[0.47517557]],[[0.992011]],[[1.27170361]],[[1.23098951]],[[1.06555306]],[[1.28420657]],[[0.87575698]],[[1.01416747]],[[1.02698694]]
['HSPB1'],[[0.94890534]],[[0.54242402]],[[0.57610847]],[[0.76304297]],[[0.61211028]],[[0.55084379]],[[0.80775693]],[[0.99478298]],[[1.28777364]],[[1.45482269]],[[0.95127703]],[[1.06036939]],[[0.99675675]]
['PPP1R17'],[[0.96735679]],[[0]],[[0]],[[0.877683]],[[0.77612005]],[[0.89670112]],[[0.55538805]],[[1.55723144]],[[2.01922075]],[[1.27315674]],[[1.61675992]],[[0.8338533]],[[2.41801826]]
['TSPAN13'],[[0.94343903]],[[0.62956132]],[[0.52776482]],[[0.70035747]],[[0.55505881]],[[0.38582113]],[[0.62461975]],[[0.82653248]],[[0.67538896]],[[0.92538073]],[[0.94739023]],[[0.84899703]],[[0.88082052]]
['ENG'],[[0.76678264]],[[0.28084354]],[[0.31150757]],[[0.46706702]],[[0.37443614]],[[1.09041245]],[[1.03651198]],[[1.06052904]],[[0.98210422]],[[1.28322057]],[[0.98236139]],[[0.94216571]],[[1.15952393]]
['NCS1'],[[0.89509284]],[[0.94781141]],[[0.35434037]],[[1.10962328]],[[0.95732055]],[[0.75654779]],[[1.42783664]],[[1.51862073]],[[1.50191732]],[[1.68273602]],[[1.47071371]],[[2.01846144]],[[1.85064671]]
['TBC1D9'],[[0.75303818]],[[0.55345973]],[[0.56895706]],[[0.78449318]],[[0.61345055]],[[1.14245104]],[[1.17026474]],[[1.1183375]],[[1.03554078]],[[1.16895171]],[[0.86037864]],[[1.01993706]],[[1.10602684]]
['DTX4'],[[1.19327924]],[[0.41574242]],[[0.39168067]],[[0.74869549]],[[0.49145678]],[[0.42235135]],[[0.56384281]],[[0.73698498]],[[0.70468925]],[[0.9183441]],[[0.93319117]],[[0.96050669]],[[0.86549377]]
['NRXN2'],[[0.91017143]],[[0.61146421]],[[0.3965592]],[[0.4594003]],[[0.31762646]],[[0.3045547]],[[0.74185947]],[[0.75603346]],[[0.979378]],[[1.08449806]],[[0.81967193]],[[0.97104974]],[[1.23516795]]
['CCDC86'],[[0.83479828]],[[0.56932107]],[[0.49159801]],[[0.68313727]],[[0.51845009]],[[0.88972799]],[[0.82405754]],[[0.8097174]],[[0.96662604]],[[1.04451561]],[[0.9569168]],[[1.02798747]],[[1.24914678]]
['AKAP3'],[[1.580201]],[[0.71817542]],[[0.54991713]],[[0.98444665]],[[0.69620096]],[[1.34033182]],[[1.56389797]],[[1.49229412]],[[1.16612359]],[[1.21564023]],[[1.52105658]],[[1.28360898]],[[1.22939396]]
['ATN1'],[[0.88880576]],[[0.41112013]],[[0.40497353]],[[0.65224952]],[[0.44462144]],[[0.65213864]],[[0.8055597]],[[0.93106253]],[[0.95923528]],[[0.88997006]],[[0.9564087]],[[0.86205743]],[[0.91076153]]
['SASH1'],[[0.55561745]],[[0.3299646]],[[0.39996566]],[[0.76297055]],[[0.71496195]],[[1.87862475]],[[1.5184263]],[[1.43849313]],[[1.33255375]],[[1.40301216]],[[0.93174118]],[[1.1517034]],[[1.5014891]]
['NPR3'],[[1.05287592]],[[0.15848956]],[[0.35434037]],[[0.70082127]],[[0.49741502]],[[0]],[[0.50853761]],[[0.66253879]],[[0.77611896]],[[0.59462819]],[[0.91517274]],[[0.76909094]],[[1.31585428]]
['PCDH12'],[[0.94196172]],[[0.82710368]],[[0.67497907]],[[0.55298098]],[[0.52822081]],[[1.35583624]],[[1.09785973]],[[1.50175153]],[[1.20708437]],[[1.96892448]],[[1.03879974]],[[1.3899894]],[[1.49443632]]
['DLGAP3'],[[0.98578702]],[[0.84357524]],[[0.79296693]],[[0.68886534]],[[0.73822132]],[[0.7093025]],[[1.02714194]],[[0.84607633]],[[1.01284199]],[[1.0208508]],[[1.20500581]],[[1.12012598]],[[1.12162422]]
['NID1'],[[0.81077099]],[[0.58410024]],[[0.57378426]],[[0.5655741]],[[0.39152372]],[[1.20810827]],[[1.25337061]],[[1.43342773]],[[1.40049525]],[[1.49039164]],[[1.10779446]],[[1.08788022]],[[1.58398702]]
['MYCL'],[[0.77628088]],[[0.36431607]],[[0.38349822]],[[0.58046926]],[[0.48165591]],[[1.08093578]],[[1.17288159]],[[1.20690074]],[[1.06312494]],[[1.38377787]],[[1.10814677]],[[1.18943467]],[[1.36094245]]
['CD3EAP'],[[0.64672628]],[[0.63229876]],[[0.37078214]],[[0.54652724]],[[0.4694693]],[[0.69589939]],[[0.98272792]],[[0.65318845]],[[0.85087266]],[[0.97779776]],[[0.64103675]],[[0.83385322]],[[0.89964487]]
['AVPI1'],[[0.88812897]],[[0]],[[0.23143313]],[[0.6336914]],[[0.26697245]],[[0.81071335]],[[0.94444901]],[[0.96136882]],[[0.96662604]],[[1.51585306]],[[0.73495568]],[[1.38613866]],[[1.29548004]]
['LRP11'],[[1.28266712]],[[0.27634623]],[[0.32549216]],[[0.68735347]],[[0.37183549]],[[0.63079762]],[[1.06249118]],[[1.0424732]],[[1.07752842]],[[1.11055098]],[[0.85221327]],[[0.80477584]],[[1.18234761]]
['DPPA4'],[[1.3851509]],[[1.45510759]],[[0.43082171]],[[1.27905371]],[[0.77292182]],[[1.05467805]],[[1.37004015]],[[1.2969941]],[[1.01284212]],[[1.18599861]],[[1.07535692]],[[1.74300586]],[[1.39458917]]
['CD244'],[[0.83702389]],[[0.45524838]],[[0.48553845]],[[0.60687162]],[[0.51610771]],[[0.74528782]],[[0.88702456]],[[0.9206743]],[[1.09968338]],[[1.07129332]],[[1.01492338]],[[1.03762217]],[[1.12010352]]
['PI3'],[[0.83018874]],[[0.2482696]],[[0.19787846]],[[0.93563483]],[[0.42891468]],[[0.93583689]],[[2.16046419]],[[1.26097043]],[[0.94397451]],[[1.21156769]],[[1.28242404]],[[1.2122441]],[[1.3144289]]
['KCNS1'],[[0.65365896]],[[0]],[[0.35434037]],[[0.37566979]],[[0.15391538]],[[0.11926372]],[[1.08878841]],[[0.55217287]],[[1.15150741]],[[0.6736444]],[[0.91517274]],[[0.66614732]],[[0.80301892]]
['BTN1A1'],[[0.44171782]],[[1.11181916]],[[0.76213811]],[[0.40937786]],[[0.49733553]],[[0.89670087]],[[0.76921796]],[[0.66253855]],[[1.33732498]],[[1.18599877]],[[0.9151726]],[[1.46492378]],[[0.55136111]]
['AHNAK'],[[0.86494753]],[[0.45371085]],[[0.47867097]],[[0.54326761]],[[0.42858605]],[[0.88988751]],[[1.08705428]],[[0.97949943]],[[0.94618997]],[[1.05363027]],[[0.92753767]],[[1.04263603]],[[1.13447179]]
['PAX8'],[[0.93768553]],[[0.25523482]],[[0.38883356]],[[0.61322023]],[[0.54651873]],[[1.22686818]],[[1.01248862]],[[1.27785537]],[[1.23705974]],[[1.18599875]],[[1.05841224]],[[1.07618682]],[[1.02458392]]
['FAM110A'],[[0.81922274]],[[0.52245373]],[[0.53420972]],[[0.62613831]],[[0.47177075]],[[0.71355618]],[[0.88870125]],[[0.97569755]],[[0.94128726]],[[1.041974]],[[0.97790416]],[[0.85327843]],[[1.13834654]]
['NECAB3'],[[0.92909457]],[[0.36770096]],[[0.48307086]],[[0.67573732]],[[0.51045448]],[[0.67360625]],[[0.77629838]],[[1.01931312]],[[1.04708684]],[[0.90333165]],[[0.83215529]],[[0.57436775]],[[0.81942038]]
['RRAS'],[[0.83760142]],[[0.39935234]],[[0.36096278]],[[0.60919271]],[[0.49989823]],[[0.92464553]],[[1.20447095]],[[1.28002473]],[[1.43999361]],[[1.37101617]],[[0.97133235]],[[1.0000649]],[[1.14589821]]
['TSKS'],[[1.13360881]],[[0]],[[0.54991713]],[[0.7595701]],[[0.48390645]],[[0.65492673]],[[0.95540782]],[[0.97925184]],[[1.43107252]],[[0.64778353]],[[0.52896873]],[[0.66614732]],[[1.06080233]]
['AVPR2'],[[1.65504215]],[[2.49690228]],[[0]],[[1.83457031]],[[1.55998097]],[[2.40844526]],[[1.93258391]],[[1.11485396]],[[2.60630309]],[[2.60900638]],[[2.44067952]],[[1.74300607]],[[0]]
['TNFRSF19'],[[1.05287633]],[[0.25523485]],[[0.30100319]],[[0.20116614]],[[0.4473393]],[[0.65492673]],[[0.16013406]],[[0.47360733]],[[0.59353669]],[[0.35994809]],[[0.37324722]],[[1.35889094]],[[0.69654907]]
['RFPL2'],[[2.40562424]],[[1.73220841]],[[1.91991567]],[[2.46223882]],[[2.15044358]],[[0.8967011]],[[3.24064234]],[[2.77160172]],[[2.01922068]],[[2.13768561]],[[3.01549027]],[[1.74300607]],[[2.49944458]]
['LRRC17'],[[1.28266691]],[[2.16463827]],[[0]],[[1.51268187]],[[0.90245449]],[[0.8967011]],[[1.2682496]],[[0]],[[1.0128422]],[[0.88763358]],[[0.91517274]],[[1.12012564]],[[1.51695851]]
['ARHGAP22'],[[0.41916011]],[[0.47203034]],[[0.43810632]],[[0.31101369]],[[0.35648418]],[[0.77376071]],[[0.85983548]],[[0.98759107]],[[0.93967057]],[[0.97586837]],[[0.66950758]],[[0.6971948]],[[0.82101838]]
['GAMT'],[[1.06040523]],[[0.54343119]],[[0.32549207]],[[0.5846979]],[[0.54262757]],[[0.33474295]],[[0.90696461]],[[0.93994473]],[[1.05628691]],[[1.04000393]],[[1.22781085]],[[1.14354032]],[[1.1275189]]
['SH3BP4'],[[0.82874906]],[[0.56932107]],[[0.43082189]],[[0.74435167]],[[0.62310062]],[[1.18190833]],[[0.92599729]],[[0.69175478]],[[0.97183476]],[[1.09323463]],[[0.93387481]],[[1.12012587]],[[1.64176045]]
['LSM4'],[[0.84366104]],[[0.48296829]],[[0.47308459]],[[0.65453377]],[[0.52962326]],[[0.79614143]],[[0.92491644]],[[0.91583607]],[[0.9995495]],[[1.16957017]],[[0.95965736]],[[1.07699792]],[[1.0685851]]
['TRAF3'],[[0.83809629]],[[0.33395445]],[[0.31385422]],[[0.61175339]],[[0.38794947]],[[0.68486174]],[[1.05622138]],[[1.00710289]],[[0.8842451]],[[0.924516]],[[1.00515806]],[[0.96870535]],[[0.94699235]]
['KCNC3'],[[0.73042327]],[[0.27936087]],[[0.35434035]],[[0.65295494]],[[0.47202793]],[[0.95942654]],[[1.01024829]],[[0.88647367]],[[1.01284234]],[[1.16208229]],[[0.84291614]],[[0.75310554]],[[0.81528283]]
['CA6'],[[1.95075389]],[[0]],[[1.25822022]],[[1.71477702]],[[0.88148322]],[[1.44551872]],[[0.76921802]],[[0]],[[1.60206015]],[[0]],[[2.44067952]],[[2.17663492]],[[1.51695851]]
['CLEC10A'],[[0.43192838]],[[0.19271749]],[[0.12802986]],[[0.41339216]],[[0.3364528]],[[1.46874138]],[[1.16047757]],[[1.11086656]],[[1.09974005]],[[1.21473755]],[[0.8032076]],[[0.90049218]],[[1.08210483]]
['AGAP3'],[[0.89385369]],[[0.4425749]],[[0.4847851]],[[0.6916078]],[[0.47467296]],[[0.96925292]],[[1.11463863]],[[1.08645632]],[[1.08016898]],[[1.19423384]],[[1.03987182]],[[0.91530342]],[[0.96854556]]
['KRBA1'],[[0.82472828]],[[0.51497675]],[[0.5293849]],[[0.65023917]],[[0.56547238]],[[0.78164105]],[[0.87534615]],[[0.77635976]],[[0.80905714]],[[0.91689206]],[[0.96188767]],[[0.8657676]],[[0.80497917]]
['CAMK1'],[[0.59305946]],[[0.31979755]],[[0.45465266]],[[0.65765807]],[[0.48349342]],[[1.06429979]],[[0.75956924]],[[0.82829605]],[[1.14990735]],[[1.64717775]],[[0.78963549]],[[0.89264904]],[[1.14320675]]
['CD101'],[[0.77942057]],[[0.4267831]],[[0.40017412]],[[0.49558613]],[[0.32153742]],[[0.80013112]],[[0.98928561]],[[1.04680569]],[[1.21257542]],[[1.48982135]],[[0.88370778]],[[1.02605403]],[[1.20541154]]
['STXBP1'],[[1.05816659]],[[0.48057066]],[[0.58831641]],[[0.80440445]],[[0.59707996]],[[0.88242203]],[[0.94795555]],[[1.21073053]],[[0.99727476]],[[1.00929815]],[[0.97172323]],[[1.20070321]],[[1.24287216]]
['WDR38'],[[0.53383821]],[[0.36770103]],[[0.12035233]],[[0.50698165]],[[0.31745899]],[[0.34404864]],[[0.56972213]],[[0.52320985]],[[0.96662604]],[[1.08120818]],[[0.95691672]],[[1.07059931]],[[1.11347997]]
['RMDN3'],[[0.95616975]],[[0.38681781]],[[0.4814474]],[[0.60465148]],[[0.48229926]],[[0.70502502]],[[0.80873366]],[[0.89298916]],[[1.17586161]],[[1.06029329]],[[1.07715389]],[[1.13543928]],[[1.14202425]]
['KHK'],[[0.80429573]],[[0.39449913]],[[0.26663747]],[[0.48258169]],[[0.26488276]],[[0.53491435]],[[0.95540776]],[[0.88753487]],[[0.53139265]],[[0.99409369]],[[0.7349555]],[[0.89203609]],[[0.81260905]]
['CALHM2'],[[0.74334116]],[[0.4018643]],[[0.44398457]],[[0.62546167]],[[0.53505124]],[[0.94431267]],[[1.05257686]],[[0.97377294]],[[1.04898798]],[[1.05590535]],[[1.0232936]],[[0.98365642]],[[1.12536796]]
['SEMA7A'],[[0.5905677]],[[0.42023546]],[[0.6005225]],[[0.44675729]],[[0.28420326]],[[0.50493964]],[[0.62461971]],[[0.68857298]],[[1.02478836]],[[1.34830716]],[[0.80695824]],[[0.80840232]],[[0.98515657]]
['GALNT6'],[[0.77141195]],[[0.47948592]],[[0.55112948]],[[0.72906237]],[[0.54311898]],[[0.80340916]],[[0.82505634]],[[0.88778596]],[[0.98359261]],[[1.14171441]],[[0.86580483]],[[0.9019347]],[[1.14724649]]
['C14orf79'],[[0.68106119]],[[0.4506844]],[[0.73063636]],[[0.60237004]],[[0.4861365]],[[0.82463554]],[[0.60311385]],[[0.74407235]],[[0.76251551]],[[0.74085194]],[[0.80399776]],[[0.74802036]],[[0.47713098]]
['SLC5A2'],[[0.98328752]],[[0.61146453]],[[0.81498145]],[[0.64253958]],[[0.31576021]],[[0.70200727]],[[1.18943178]],[[0.61341662]],[[1.13943849]],[[1.05796674]],[[1.19435774]],[[1.31831619]],[[0.50909034]]
['TTYH2'],[[0.86844434]],[[0.31634951]],[[0.42972902]],[[0.54730338]],[[0.3876167]],[[0.96739979]],[[1.07951158]],[[1.14415897]],[[1.09779097]],[[1.20250274]],[[1.11006039]],[[1.02328718]],[[1.20644156]]
['NT5C3B'],[[0.9714493]],[[0.65634952]],[[0.63257312]],[[0.47317245]],[[0.27222249]],[[1.0015127]],[[1.034447]],[[0.96929809]],[[0.88306569]],[[1.10211994]],[[1.10674581]],[[1.1908279]],[[1.1026126]]
['SAMD1'],[[0.82228749]],[[0.38448892]],[[0.4329732]],[[0.68754626]],[[0.51137538]],[[0.72471996]],[[0.9922907]],[[1.03170674]],[[0.96798291]],[[1.03676138]],[[0.9033732]],[[0.9096184]],[[0.93312757]]
['ZNF593'],[[0.72685912]],[[0.51732156]],[[0.48307085]],[[0.74774916]],[[0.64787216]],[[0.73536635]],[[1.0044712]],[[0.99942146]],[[0.88235996]],[[1.22399861]],[[0.91517276]],[[1.07491158]],[[1.39093569]]
['SEMA6C'],[[0.92004333]],[[0.54605749]],[[0.55851872]],[[0.76132375]],[[0.59125269]],[[0.64995178]],[[0.700092]],[[1.24103805]],[[0.77450007]],[[1.14995325]],[[1.12870965]],[[1.02912927]],[[0.72237702]]
['PPFIA4'],[[0.77125992]],[[0.66046332]],[[0.55608304]],[[0.40328146]],[[0.25783303]],[[1.12954142]],[[0.87033091]],[[1.1663921]],[[0.71939636]],[[0.96608653]],[[0.89674032]],[[0.70877035]],[[0.65872746]]
['LIMD1'],[[0.96106749]],[[0.55594472]],[[0.58338031]],[[0.6273796]],[[0.52672115]],[[0.75268004]],[[0.91270916]],[[0.95574206]],[[0.99361746]],[[1.0993279]],[[0.97245051]],[[0.93415288]],[[1.06511993]]
['NFKBIE'],[[0.6115539]],[[0.40702125]],[[0.39777539]],[[0.59153859]],[[0.44130403]],[[0.77451108]],[[0.95387471]],[[1.12616278]],[[1.02976565]],[[1.05749673]],[[0.9581194]],[[0.80013031]],[[0.9714996]]
['CHST7'],[[0.93982522]],[[0.42823823]],[[0.51130083]],[[0.52865663]],[[0.32335796]],[[0.6328238]],[[1.12584597]],[[1.14232495]],[[0.95088567]],[[0.97688706]],[[1.00129207]],[[1.09203346]],[[0.92984861]]
['MFHAS1'],[[1.03362014]],[[0.62014808]],[[0.76370484]],[[0.46794471]],[[0.34653045]],[[0.76986662]],[[0.74212759]],[[1.11827697]],[[1.48608807]],[[1.20561013]],[[0.98863277]],[[0.98395216]],[[1.04489853]]
['DOK2'],[[0.78189446]],[[0.43315659]],[[0.46537733]],[[0.61958586]],[[0.50330575]],[[0.9364278]],[[0.97738798]],[[1.06558819]],[[1.14796917]],[[1.29296159]],[[0.96717384]],[[1.05403127]],[[1.18131457]]
['CRB2'],[[0.89509284]],[[0]],[[0]],[[0.64921934]],[[0.15980049]],[[0.2294166]],[[0.50853751]],[[0.95053178]],[[1.0128422]],[[0.59462829]],[[0.61492356]],[[0.9552588]],[[0.45667385]]
['CDHR1'],[[0.95873564]],[[0.39125759]],[[0.22620848]],[[0.5671849]],[[0.4246205]],[[0.32450562]],[[1.15037815]],[[1.17058451]],[[1.04791213]],[[0.96629356]],[[1.22619702]],[[1.13900148]],[[1.24021944]]
['C11orf49'],[[0.89509282]],[[0.38917921]],[[0.32791832]],[[0.55357174]],[[0.45062805]],[[0.6938783]],[[0.85130183]],[[0.95053169]],[[0.95720256]],[[0.88763377]],[[0.84576343]],[[0.99827535]],[[1.01723012]]
['GRIK4'],[[1.06745549]],[[0.56377614]],[[0.31689631]],[[0.36419009]],[[0.20120948]],[[0.35481194]],[[0.73371307]],[[0.6309453]],[[0.96938594]],[[0.80745609]],[[1.1018671]],[[0.78651883]],[[1.0671004]]
['C20orf144'],[[1.41775606]],[[0.82710364]],[[1.25822028]],[[1.05847617]],[[0.34053782]],[[0.89670112]],[[1.12029186]],[[0]],[[1.23705998]],[[1.09323464]],[[1.30820049]],[[0]],[[0.94929992]]
['TMEM86A'],[[0.66903629]],[[0.42387235]],[[0.29299055]],[[0.62968235]],[[0.37474935]],[[1.04584911]],[[0.78664796]],[[1.22475784]],[[1.04459637]],[[1.12114279]],[[0.94476403]],[[0.87063341]],[[0.90779393]]
['PTPRO'],[[0.76077199]],[[0.46893015]],[[0.43654047]],[[0.61360745]],[[0.46774603]],[[1.41714966]],[[1.38358481]],[[1.13266448]],[[1.0623646]],[[0.94756409]],[[0.85122288]],[[0.76142789]],[[1.04252835]]
['TRIM36'],[[0.87644687]],[[0.40332231]],[[0.30100316]],[[0.62420426]],[[0.72298197]],[[1.10371348]],[[1.31437871]],[[1.15736324]],[[0.59353663]],[[0.95947265]],[[0.52896873]],[[0.88568602]],[[0.86987006]]
['KCTD15'],[[0.68667407]],[[0.54785043]],[[0.53977658]],[[0.59279808]],[[0.40448342]],[[0.76950019]],[[0.88013315]],[[0.91253387]],[[1.03676662]],[[1.19933901]],[[0.9630417]],[[0.80380182]],[[0.9797193]]
['RHOC'],[[0.92015501]],[[0.43075072]],[[0.39129238]],[[0.52761771]],[[0.3820477]],[[0.64156169]],[[0.88299321]],[[1.14810895]],[[1.30443294]],[[1.22155951]],[[0.94902238]],[[1.0302027]],[[1.29189512]]
['OTOA'],[[0.44171782]],[[1.45510746]],[[1.25822013]],[[0.94812892]],[[0.75678586]],[[0.51692476]],[[1.26824952]],[[0]],[[1.33732498]],[[0]],[[0.9151726]],[[0.66614708]],[[0.9492998]]
['PPARGC1B'],[[1.19289586]],[[0.59265221]],[[0.65107278]],[[0.73890479]],[[0.46979547]],[[0.9668495]],[[1.09573889]],[[1.13360643]],[[0.98477533]],[[1.19904196]],[[0.95462913]],[[0.95100768]],[[1.07193667]]
['TIAM1'],[[0.90744083]],[[0.45089447]],[[0.41986153]],[[0.60080096]],[[0.43616533]],[[0.94220015]],[[1.04662736]],[[1.00859144]],[[0.95726411]],[[0.98419813]],[[0.82523559]],[[0.90430506]],[[1.0398541]]
['FAM213B'],[[0.8522037]],[[0.41259765]],[[0.33867653]],[[0.54262905]],[[0.40407521]],[[0.69250138]],[[0.84129805]],[[1.0186601]],[[0.82694704]],[[0.87387164]],[[0.92076246]],[[0.94947348]],[[0.97775899]]
['MRAS'],[[0.75651592]],[[0.23299526]],[[0.21111867]],[[0.51220179]],[[0.39416093]],[[0.81904773]],[[0.75792448]],[[0.84142364]],[[1.0128422]],[[1.40716603]],[[1.01399795]],[[0.75401517]],[[1.22337684]]
['TEPP'],[[0.52695718]],[[0.23712694]],[[0.14675596]],[[0.28133224]],[[0.1145568]],[[0.48311221]],[[0.72261064]],[[0.70283614]],[[0.63048999]],[[0.66771764]],[[0.91517284]],[[0.44480062]],[[0.7791372]]
['RGS12'],[[0.80678253]],[[0.45718048]],[[0.54571623]],[[0.7260434]],[[0.55446268]],[[0.78197899]],[[0.86446154]],[[0.98055575]],[[1.01950389]],[[1.14842213]],[[1.08506093]],[[0.87960128]],[[1.11205578]]
['SLC2A6'],[[0.70211312]],[[0.41530933]],[[0.43408517]],[[0.55234282]],[[0.43696167]],[[0.79665509]],[[1.07235081]],[[1.11995402]],[[1.08140725]],[[1.2963395]],[[0.88210231]],[[0.7656004]],[[0.97799369]]
['PEA15'],[[0.6625866]],[[0.38073366]],[[0.346014]],[[0.54054822]],[[0.43804403]],[[1.09672318]],[[1.06033611]],[[1.12561435]],[[1.14524203]],[[1.26229375]],[[0.9868764]],[[1.02727745]],[[1.23451872]]
