['CFLAR'],[[1.17779328]],[[2.35708231]],[[2.46918963]],[[2.64710951]],[[2.37097326]],[[1.97096557]],[[1.57729501]],[[1.38982814]],[[1.1333307]],[[0.91900268]],[[1.0311238]],[[1.10636829]],[[0.84928703]]
['SKAP2'],[[1.10026948]],[[2.30151004]],[[2.14025733]],[[2.59182407]],[[2.40846913]],[[1.90017786]],[[1.40953582]],[[1.2380656]],[[1.19808206]],[[1.15403527]],[[0.97692708]],[[1.14475837]],[[1.079884]]
['ABHD5'],[[1.40141726]],[[2.55678902]],[[2.50594298]],[[2.88681546]],[[2.6382106]],[[1.65896668]],[[1.18741013]],[[1.16098692]],[[1.0625916]],[[0.88850334]],[[1.01978377]],[[1.28877232]],[[0.85110223]]
['GAB2'],[[1.24567656]],[[2.28930533]],[[2.29799996]],[[2.63149266]],[[2.37310464]],[[1.77502284]],[[1.36185034]],[[1.27326613]],[[1.0564862]],[[1.03275447]],[[1.07817801]],[[1.23562708]],[[1.0181327]]
['ZFYVE16'],[[1.17614037]],[[2.357458]],[[2.34446095]],[[2.61742639]],[[2.36089485]],[[2.04244968]],[[1.40773865]],[[1.26335589]],[[1.13670712]],[[0.94989206]],[[1.02713654]],[[1.09404877]],[[0.90919028]]
['FAM184B'],[[1.54127202]],[[1.11181935]],[[0.94710742]],[[2.77171281]],[[2.24123402]],[[1.28471535]],[[0.769218]],[[1.11485419]],[[0.7472485]],[[1.4331079]],[[0.6695075]],[[1.1201259]],[[0.69654903]]
['FAM160A2'],[[1.19264672]],[[1.83858545]],[[1.91599365]],[[2.30355913]],[[2.1454295]],[[1.71001529]],[[1.27135968]],[[1.15070135]],[[1.00025566]],[[0.98306941]],[[1.07367775]],[[0.97616006]],[[0.85106617]]
['EIF2AK2'],[[1.23817101]],[[2.86165655]],[[2.6496756]],[[3.10857324]],[[2.89612188]],[[1.78601224]],[[1.0449426]],[[0.93264727]],[[0.94581999]],[[1.03471246]],[[0.90623755]],[[0.96564079]],[[1.138832]]
['TMCC3'],[[1.22998068]],[[2.4942671]],[[2.37964281]],[[2.89687978]],[[2.62308872]],[[1.72600517]],[[1.22438164]],[[1.11109178]],[[1.09884697]],[[1.05835528]],[[1.05218573]],[[1.32531775]],[[1.10192021]]
['ATP11B'],[[1.10979494]],[[2.47066007]],[[2.33958938]],[[2.74645075]],[[2.59720153]],[[2.06879784]],[[1.31916906]],[[1.13055196]],[[1.08058225]],[[0.98152354]],[[1.00505612]],[[1.0638014]],[[0.99445296]]
['CDK14'],[[1.33346297]],[[2.25561296]],[[2.08553636]],[[2.45692424]],[[2.1229425]],[[1.57259732]],[[1.13750116]],[[1.29064273]],[[1.11143304]],[[1.10233084]],[[0.98002505]],[[1.03524569]],[[0.90823951]]
