['AHRR'],[[1.17692058]],[[1.04843553]],[[1.22424071]],[[0.93471901]],[[0.57107607]],[[0.97469106]],[[1.0302878]],[[0.9152958]],[[0.61287044]],[[0.88763363]],[[0.5111457]],[[1.08862538]],[[0.89255465]]
['SPAG6'],[[0.85279509]],[[0.66046332]],[[1.0313977]],[[0.78109579]],[[0.53236606]],[[1.32662771]],[[1.51040879]],[[1.11485423]],[[0.59353667]],[[0.51103221]],[[0.73495557]],[[0.37118512]],[[0.43199812]]
['DHDH'],[[0.44171792]],[[1.73220842]],[[1.91991556]],[[1.74874169]],[[1.37474229]],[[0.89670107]],[[0.23399407]],[[0.36897244]],[[0.32707867]],[[0.51103229]],[[0.9151726]],[[1.46492378]],[[0.55136111]]
['TPD52L1'],[[0]],[[0]],[[0]],[[1.63150096]],[[1.79125259]],[[0]],[[0.76921802]],[[0]],[[0]],[[0.88763358]],[[1.87081221]],[[0]],[[0]]
['IFIT3'],[[1.16794168]],[[1.68533295]],[[1.55456435]],[[2.30736139]],[[1.90275754]],[[0.84715747]],[[0.76404988]],[[0.89101886]],[[0.8996711]],[[1.05677454]],[[0.95483004]],[[1.0429949]],[[1.42967734]]
['CXCL6'],[[0.30895941]],[[1.1118194]],[[1.39177079]],[[2.17870867]],[[1.69097909]],[[1.36735639]],[[0.86531442]],[[0.47360733]],[[0.8861486]],[[1.35534792]],[[1.39174426]],[[1.24444218]],[[1.26087063]]
['C3'],[[1.05035784]],[[0.29025065]],[[0.59089757]],[[1.2752629]],[[0.36374191]],[[0.27372129]],[[0.63685805]],[[0.94877272]],[[0.93739425]],[[1.40998359]],[[1.03969714]],[[0.90864443]],[[1.48338865]]
['IFI6'],[[0.91942758]],[[0.97684235]],[[0.83266224]],[[2.20327498]],[[1.80596166]],[[0.50217979]],[[0.58618779]],[[0.70737069]],[[0.86780287]],[[1.17263544]],[[0.82811003]],[[0.86638257]],[[1.39492092]]
['CHI3L1'],[[1.11227776]],[[1.74551996]],[[1.88861267]],[[1.57388102]],[[1.24015967]],[[1.265064]],[[0.67960605]],[[0.60350595]],[[0.74431483]],[[0.77589053]],[[0.99018676]],[[1.105042]],[[0.77905315]]
['RSAD2'],[[1.09808424]],[[0.9661314]],[[0.86735541]],[[2.5767685]],[[2.1639976]],[[0.57636129]],[[0.58091384]],[[1.04826705]],[[1.35186195]],[[1.24933618]],[[0.88069144]],[[0.85318217]],[[1.65200996]]
['NOV'],[[1.18593646]],[[1.64401165]],[[1.36340382]],[[1.03097047]],[[0.68543654]],[[0.51535561]],[[0.45815768]],[[0.62563115]],[[0.87511081]],[[0.82152529]],[[0.95854973]],[[1.18608717]],[[0.96924932]]
