['MMP25'],[[1.17525248]],[[2.33876297]],[[2.48179556]],[[2.92904793]],[[2.70727762]],[[2.21034141]],[[1.56162069]],[[1.28013529]],[[1.04664841]],[[0.97620773]],[[1.03241669]],[[1.13969288]],[[0.74964296]]
['ALOX5'],[[1.11321355]],[[2.12792986]],[[2.26286131]],[[2.66734258]],[[2.51397722]],[[2.22972714]],[[1.54523777]],[[1.32086595]],[[1.15750598]],[[1.11455467]],[[0.97989427]],[[1.08066862]],[[0.8711375]]
['VCAN'],[[1.04101414]],[[2.10799139]],[[2.34461306]],[[2.52695157]],[[2.46230591]],[[2.70061716]],[[2.37738011]],[[1.89231296]],[[1.5576069]],[[1.58910636]],[[1.07362603]],[[1.19598856]],[[1.37536567]]
['COL23A1'],[[2.40562421]],[[2.99405124]],[[3.75788121]],[[3.72245093]],[[2.88126501]],[[3.50355816]],[[3.24064229]],[[2.99898744]],[[1.60206018]],[[2.39250833]],[[3.01549023]],[[1.1201259]],[[1.92326561]]
['PLXNA2'],[[1.21784743]],[[2.1959352]],[[2.04880219]],[[2.42841338]],[[2.12835056]],[[1.61221506]],[[1.45469359]],[[1.49282946]],[[1.28239439]],[[1.16850355]],[[1.09719884]],[[1.33021354]],[[0.86260777]]
['RPH3A'],[[0.99783841]],[[1.71446948]],[[1.48586207]],[[2.01905819]],[[2.09498543]],[[1.32228791]],[[1.71174964]],[[1.72196514]],[[1.44496915]],[[1.17654344]],[[0.8960915]],[[1.03022382]],[[1.1947095]]
['CMTM1'],[[0.98477961]],[[1.80930917]],[[1.77690334]],[[2.35925338]],[[2.02592475]],[[1.71108919]],[[1.46415591]],[[1.38812099]],[[1.01284215]],[[0.98817086]],[[0.95713195]],[[1.18394788]],[[0.73367087]]
['MAP3K20'],[[0.89272602]],[[1.57838772]],[[1.7751267]],[[2.31040053]],[[2.16326713]],[[2.12406385]],[[1.73111595]],[[1.42310981]],[[1.36548815]],[[1.22559382]],[[0.96616686]],[[1.0899798]],[[1.22342323]]
['RAB36'],[[1.48991293]],[[2.76678622]],[[2.91196932]],[[2.66665543]],[[2.45559119]],[[2.45007004]],[[1.90170916]],[[1.61537748]],[[1.46925042]],[[1.0124825]],[[0.99091384]],[[1.48984613]],[[0.93785221]]
['TSPO'],[[0.94267292]],[[1.47811805]],[[1.54236566]],[[2.14939431]],[[1.98788318]],[[2.12282089]],[[1.64013487]],[[1.33884163]],[[1.18478495]],[[1.42382506]],[[1.01925008]],[[1.12444704]],[[1.12720814]]
['NCF4'],[[1.10126687]],[[2.00268236]],[[2.13417288]],[[2.59711692]],[[2.2978482]],[[2.0400638]],[[1.49800407]],[[1.29011245]],[[1.18979418]],[[1.12380832]],[[1.04603669]],[[1.10486497]],[[0.82705507]]
['TRIM9'],[[1.39173123]],[[2.96573941]],[[3.16684849]],[[3.70424649]],[[3.48518376]],[[3.92514821]],[[2.41142273]],[[1.51862069]],[[1.39430115]],[[1.01447465]],[[0.95965736]],[[1.06723639]],[[0.85344548]]
['NTSR1'],[[0.62042775]],[[2.16463832]],[[2.46571752]],[[4.00524218]],[[3.79037597]],[[2.15290192]],[[2.52464853]],[[1.85714326]],[[1.71819084]],[[2.06626878]],[[1.58161072]],[[0.91092022]],[[0.9492998]]
['USB1'],[[1.01636817]],[[2.03100395]],[[2.1210978]],[[2.66140754]],[[2.39684819]],[[2.11261411]],[[1.82750818]],[[1.46148462]],[[1.22509759]],[[1.10616789]],[[1.12833584]],[[1.14629314]],[[1.02094515]]
['AP3B2'],[[1.28266704]],[[1.55350831]],[[2.28293808]],[[2.62365106]],[[2.38418626]],[[3.56321026]],[[3.03562011]],[[2.28858621]],[[1.7549131]],[[1.27315695]],[[1.18870571]],[[1.12012577]],[[1.29167506]]
['PLIN3'],[[1.02986214]],[[1.75003209]],[[1.79009782]],[[2.4214093]],[[2.3149149]],[[2.0714799]],[[1.64855676]],[[1.32871163]],[[1.20807871]],[[1.27223061]],[[1.01975209]],[[1.13496819]],[[1.13476336]]
['SIGLEC5'],[[1.16541814]],[[2.04746407]],[[2.00073335]],[[2.27899804]],[[2.08701173]],[[1.82532912]],[[1.59440078]],[[1.37132432]],[[1.081334]],[[1.0534429]],[[0.86533411]],[[1.0916917]],[[0.91538396]]
['LILRB5'],[[1.20567511]],[[1.88675932]],[[1.80629118]],[[2.44065591]],[[1.90145933]],[[2.11963049]],[[1.66684076]],[[1.67550764]],[[1.24922402]],[[1.12114269]],[[1.18687236]],[[0.75735439]],[[0.72868741]]
['BST1'],[[1.11197141]],[[1.95022252]],[[1.87322146]],[[2.55692928]],[[2.30089506]],[[1.96589892]],[[1.63996016]],[[1.4098969]],[[1.19368327]],[[1.25306688]],[[1.052927]],[[1.17854758]],[[1.02743435]]
['CPEB4'],[[1.07754827]],[[2.31075433]],[[2.2530252]],[[2.61366137]],[[2.44105995]],[[1.81113604]],[[1.32358478]],[[1.25636477]],[[1.34906956]],[[1.17360488]],[[1.05261836]],[[1.15891322]],[[1.03466248]]
['UNC5A'],[[0]],[[0.66046332]],[[1.35952452]],[[1.67045499]],[[1.41979898]],[[1.44551874]],[[0.76921803]],[[0.78958909]],[[0.91888021]],[[0.96820608]],[[0.52896871]],[[0.37118512]],[[0.30186135]]
['STEAP3'],[[0.91209327]],[[1.84411455]],[[1.96017294]],[[2.49754186]],[[2.69767446]],[[1.54719584]],[[1.42928852]],[[1.41084316]],[[1.45530496]],[[1.81464013]],[[1.02793642]],[[1.17883631]],[[1.23915219]]
['TP53I3'],[[1.08246301]],[[2.03165622]],[[1.77487732]],[[2.70094729]],[[2.7284297]],[[2.06649389]],[[1.7987961]],[[1.77598624]],[[1.5122503]],[[1.44216358]],[[1.12893024]],[[1.23966988]],[[0.97685685]]
['QSOX1'],[[1.13187523]],[[2.03452149]],[[2.05498632]],[[2.13637616]],[[1.97975269]],[[2.07009172]],[[1.58326428]],[[1.36717076]],[[1.24246545]],[[1.27789955]],[[1.04694682]],[[1.14874888]],[[1.05746216]]
['PADI2'],[[1.078082]],[[1.96556498]],[[2.00385575]],[[2.14914778]],[[2.10270483]],[[2.17749905]],[[1.70115369]],[[1.30904689]],[[1.09579196]],[[1.0676874]],[[0.97972235]],[[1.16591247]],[[0.92703407]]
['RAB32'],[[0.93143064]],[[1.87309837]],[[1.8720355]],[[2.42411261]],[[2.28656719]],[[2.04906529]],[[1.58614371]],[[1.39791594]],[[1.39658739]],[[1.37134664]],[[1.10556782]],[[1.21777332]],[[1.20131817]]
['FLVCR2'],[[1.08368285]],[[1.8654273]],[[2.04249802]],[[2.4380349]],[[2.42851077]],[[2.21877253]],[[2.14440808]],[[1.63342195]],[[1.52214478]],[[1.6440165]],[[1.03694722]],[[0.96613414]],[[1.37160207]]
['MMP19'],[[1.02492932]],[[1.55350831]],[[1.97771124]],[[1.81964719]],[[1.51494279]],[[2.21372907]],[[2.04629047]],[[1.94469558]],[[1.16612359]],[[1.57708186]],[[1.05841225]],[[0.72424256]],[[1.16430166]]
['NFE2'],[[0.86119242]],[[1.90453071]],[[1.97659645]],[[2.46657397]],[[2.25655578]],[[1.73672575]],[[1.27608717]],[[1.17467574]],[[1.28238615]],[[1.2360965]],[[1.025349]],[[1.07571369]],[[1.06160721]]
['NQO2'],[[0.95900774]],[[1.7427572]],[[1.90451126]],[[3.16529103]],[[2.82763793]],[[2.35522857]],[[1.66716184]],[[1.4188024]],[[1.09091443]],[[0.91178948]],[[1.04113002]],[[0.9648536]],[[0.80140158]]
['ALDH1A2'],[[1.17907032]],[[1.74696306]],[[2.01065713]],[[2.37259444]],[[2.12622734]],[[2.2172284]],[[1.91683988]],[[1.78002489]],[[1.61621777]],[[0.9261111]],[[0.99277283]],[[1.48285263]],[[0.92869623]]
['CDKN2D'],[[0.90606444]],[[1.78497141]],[[1.7548313]],[[2.08975457]],[[1.96727615]],[[1.68004553]],[[1.23664295]],[[1.24343935]],[[1.385623]],[[1.22256144]],[[1.09229945]],[[1.10119267]],[[1.07086262]]
['SIGLEC9'],[[0.98716838]],[[2.08523852]],[[2.11074488]],[[2.51935963]],[[2.24066869]],[[2.08056603]],[[1.65160553]],[[1.40428724]],[[1.18164417]],[[1.15688875]],[[1.05567581]],[[1.13717204]],[[0.97208525]]
['SAT1'],[[1.13485155]],[[2.04114798]],[[2.03272711]],[[2.60619015]],[[2.41283408]],[[2.06697298]],[[1.6058029]],[[1.55584275]],[[1.40079853]],[[1.22000158]],[[1.0639301]],[[1.08793916]],[[1.08804038]]
['F12'],[[0.99643026]],[[1.81388998]],[[2.28293778]],[[2.29662031]],[[2.11016386]],[[1.86127624]],[[1.75162831]],[[1.47559242]],[[1.01284224]],[[1.32846766]],[[1.14121376]],[[1.24444219]],[[0.7193875]]
['CARD6'],[[1.00791262]],[[2.14065384]],[[2.02574116]],[[2.51990484]],[[2.36827146]],[[2.20818881]],[[1.67170113]],[[1.45625867]],[[1.24912764]],[[1.18956908]],[[0.96290709]],[[1.13656191]],[[1.16324168]]
['CHIT1'],[[1.02421466]],[[2.50812848]],[[2.62357485]],[[2.21346169]],[[2.08280065]],[[2.24542151]],[[1.60488323]],[[1.29915861]],[[1.20247639]],[[1.52228555]],[[0.88044612]],[[1.26984838]],[[0.73109937]]
['RTN3'],[[1.08950769]],[[2.12291456]],[[2.02835446]],[[2.58847523]],[[2.41481746]],[[2.05197998]],[[1.48332933]],[[1.29110868]],[[1.16159909]],[[1.09323493]],[[0.96616696]],[[1.16494574]],[[1.06290129]]
['LYVE1'],[[0.8726886]],[[2.14961515]],[[2.25889682]],[[2.17243336]],[[1.9100045]],[[2.94253321]],[[2.07444272]],[[1.69519395]],[[1.32565488]],[[0.74855691]],[[1.09343692]],[[0.76909107]],[[0.64021493]]
['MYBPC3'],[[1.22773502]],[[2.48801562]],[[2.76480392]],[[2.86057644]],[[2.33836549]],[[2.37126876]],[[1.89229619]],[[1.65877011]],[[1.417461]],[[1.0378437]],[[1.09558025]],[[1.06683426]],[[0.64406803]]
['ITGA7'],[[1.12099141]],[[1.71189733]],[[1.9617605]],[[2.29440829]],[[2.25360331]],[[2.64149281]],[[2.30577705]],[[1.67426863]],[[1.17771039]],[[1.25956065]],[[0.74261359]],[[1.18113598]],[[0.49529775]]
['FAM129A'],[[1.06754497]],[[2.2067095]],[[2.27474399]],[[2.84591762]],[[2.73690657]],[[2.32674556]],[[1.81473678]],[[1.31658676]],[[1.17174413]],[[0.98747616]],[[1.05318317]],[[1.23342732]],[[0.94580531]]
['AL355922.1'],[[0.21314098]],[[1.61556735]],[[0.69480782]],[[1.84956611]],[[1.72329774]],[[2.85282574]],[[2.1768744]],[[1.27785546]],[[1.16612359]],[[1.43310824]],[[0.75612802]],[[0.93572087]],[[1.02458401]]
['MYO7A'],[[0.99768111]],[[2.92380246]],[[2.9817616]],[[2.14929288]],[[1.80662905]],[[3.46491503]],[[2.92006272]],[[2.54604687]],[[1.77991859]],[[1.8128904]],[[1.17099328]],[[1.35409916]],[[1.43294281]]
['PDE6H'],[[1.28266691]],[[2.99405125]],[[2.37184154]],[[2.83187438]],[[2.73964959]],[[2.98083516]],[[1.63832257]],[[2.77160172]],[[1.60206015]],[[1.8279886]],[[2.84810998]],[[2.17663492]],[[0]]
['FURIN'],[[1.03691791]],[[1.68798135]],[[1.75356768]],[[1.97569583]],[[1.73640931]],[[1.39368373]],[[1.04432739]],[[1.23488241]],[[1.54998071]],[[1.3419726]],[[1.05282795]],[[1.09253564]],[[1.13380289]]
['IMPA2'],[[1.08056914]],[[2.36430519]],[[2.34587515]],[[2.53658026]],[[2.33001485]],[[2.04892063]],[[1.92441163]],[[1.55625907]],[[1.40017984]],[[0.97511946]],[[1.04933953]],[[1.30046471]],[[1.04760291]]
['NLRP12'],[[1.09311755]],[[1.76527303]],[[1.76523106]],[[2.06219002]],[[1.84380489]],[[2.02748773]],[[1.58808506]],[[1.34485896]],[[1.18305002]],[[1.16251219]],[[0.98172059]],[[1.11502789]],[[0.86547261]]
['CDKN2B'],[[1.86468235]],[[2.91296347]],[[3.25187523]],[[3.58844122]],[[3.61119781]],[[3.32121751]],[[2.47981188]],[[1.9416585]],[[2.16959517]],[[1.71578286]],[[1.58161078]],[[2.22270745]],[[2.05029505]]
['STOM'],[[1.10804475]],[[1.69336839]],[[1.68664746]],[[2.10008558]],[[2.06236744]],[[1.41075075]],[[1.21368744]],[[1.34568364]],[[1.74357418]],[[1.36414504]],[[1.12144194]],[[1.18429695]],[[1.33559336]]
['TMEM236'],[[2.13851855]],[[2.94050226]],[[3.32884071]],[[2.82603994]],[[2.5901869]],[[2.28632447]],[[2.28507691]],[[2.7086778]],[[2.01922038]],[[1.18599861]],[[1.87081251]],[[2.50960378]],[[1.62975498]]
['ADM'],[[0.62496324]],[[2.28796774]],[[2.21263163]],[[3.11636659]],[[3.01052084]],[[2.47493141]],[[2.07300718]],[[1.59846745]],[[1.27718714]],[[1.14910744]],[[1.09367933]],[[1.09356591]],[[0.95866858]]
['TMCO3'],[[1.28114307]],[[2.201657]],[[2.13919874]],[[2.45026814]],[[2.24044461]],[[2.17823102]],[[1.58832759]],[[1.34346195]],[[1.21795407]],[[1.09117273]],[[1.00691957]],[[1.12152118]],[[0.94430519]]
['GLT1D1'],[[1.10075178]],[[2.35065269]],[[2.47565997]],[[2.88539496]],[[2.60473232]],[[2.4138031]],[[1.86369468]],[[1.48611134]],[[1.27500796]],[[1.08256249]],[[1.0737104]],[[1.30300819]],[[0.89414208]]
['MERTK'],[[0.9061659]],[[2.26563832]],[[2.64014363]],[[2.90158413]],[[2.78381388]],[[3.10452272]],[[2.33023056]],[[2.05223333]],[[1.9524935]],[[1.5715906]],[[0.85991487]],[[0.846464]],[[1.24961782]]
['APCDD1'],[[0.907391]],[[1.73220838]],[[2.13838146]],[[3.05061681]],[[2.97542384]],[[2.05656524]],[[1.56389797]],[[1.11485447]],[[1.01284225]],[[1.53066914]],[[0.9885695]],[[0.72424256]],[[1.16430166]]
['ADAMTS3'],[[2.40562412]],[[2.34031447]],[[1.62667594]],[[3.30803978]],[[3.25855441]],[[3.60921705]],[[1.26824952]],[[1.45869518]],[[2.34242097]],[[2.60900625]],[[1.68458836]],[[2.17663481]],[[1.51695841]]
['SHROOM4'],[[1.25694789]],[[2.41760001]],[[2.22493328]],[[1.91054075]],[[1.79207104]],[[1.99966693]],[[1.6053059]],[[1.85249354]],[[1.55285747]],[[1.23892278]],[[1.18621182]],[[1.18113568]],[[1.27203611]]
['CDA'],[[1.11658337]],[[1.89209473]],[[1.78102501]],[[2.08765666]],[[1.87268582]],[[1.54185142]],[[1.18267839]],[[1.07769637]],[[0.97307954]],[[1.07398251]],[[0.83259885]],[[1.12787936]],[[0.89267013]]
['FCER1G'],[[0.95312237]],[[1.72890805]],[[1.76604737]],[[2.21946604]],[[2.12668112]],[[2.35139697]],[[1.77638136]],[[1.42897439]],[[1.34401545]],[[1.34727475]],[[0.99526975]],[[1.16147272]],[[1.30376902]]
['HK2'],[[1.14819553]],[[2.12746518]],[[1.97195174]],[[2.43743876]],[[2.2911337]],[[1.92115411]],[[1.35334256]],[[1.08478859]],[[1.09118696]],[[1.32339275]],[[0.94090749]],[[1.06397642]],[[0.96274998]]
['RBP7'],[[1.30419963]],[[2.28653701]],[[2.21686759]],[[2.57142214]],[[2.32839575]],[[1.64647261]],[[1.35701681]],[[1.19518693]],[[1.11735063]],[[1.26086773]],[[1.02079017]],[[1.38026895]],[[1.20122501]]
['ALPL'],[[0.90032121]],[[1.96319125]],[[2.28844865]],[[3.58662453]],[[3.60743666]],[[3.98961964]],[[3.05260557]],[[2.2680152]],[[1.85889981]],[[1.1713425]],[[1.20653253]],[[1.16693977]],[[0.89066814]]
