['AHRR'],[[1.42596747]],[[1.4493688]],[[1.40761446]],[[1.14637948]],[[1.22364815]],[[0.86642931]],[[1.25751122]],[[1.76854008]],[[1.11448291]],[[0.8319166]],[[1.26195044]],[[0.73629478]],[[1.18362049]]
['IFIT1'],[[0.98383807]],[[1.7748244]],[[1.6120107]],[[1.53967179]],[[1.48015302]],[[0.33375783]],[[0.12233224]],[[0.13208024]],[[0.36922876]],[[0.226712]],[[0.36397663]],[[0.20696912]],[[0.34064146]]
['NEK5'],[[1.34844043]],[[2.41338078]],[[2.37740935]],[[2.94010442]],[[0.73784473]],[[0]],[[1.18581995]],[[0.76280714]],[[0.96734994]],[[0]],[[0.76005698]],[[1.03308909]],[[0]]
['FAM196B'],[[0]],[[1.44936876]],[[0]],[[3.54590368]],[[1.22364839]],[[1.49104203]],[[2.60874005]],[[1.259169]],[[2.03452653]],[[0]],[[1.52123163]],[[2.04935338]],[[1.35276262]]
['MIR505'],[[0.65326981]],[[0.46951216]],[[0.55210692]],[[0.37479149]],[[0.37489785]],[[0.48792515]],[[0.6476683]],[[0]],[[0.33227285]],[[0.49425878]],[[0.61448946]],[[0]],[[0]]
['RPL31P52'],[[1.02212731]],[[0.89951786]],[[1.92499378]],[[1.87572845]],[[1.87606689]],[[0.93013887]],[[1.18581995]],[[0.76280714]],[[0.9689376]],[[1.15431756]],[[1.738854]],[[0.607106]],[[0]]
['HCG20'],[[0.75469464]],[[1.44936872]],[[1.73601053]],[[1.47503966]],[[2.04119108]],[[0]],[[0.51093726]],[[0.94789215]],[[1.08929489]],[[1.39746764]],[[0.64637194]],[[0.76349743]],[[0]]
['AC067945.1'],[[0.98920695]],[[2.05452104]],[[1.81459877]],[[1.89886615]],[[1.62163459]],[[1.08868041]],[[0.53933981]],[[0.28306704]],[[0.83326807]],[[0.81779872]],[[1.17892707]],[[0.68220262]],[[0.46453079]]
['AC015691.1'],[[0.59975179]],[[1.28830211]],[[0.76497294]],[[0.53104774]],[[1.07915918]],[[0.93013885]],[[1.04435153]],[[0]],[[0.54381311]],[[0]],[[0.35311087]],[[0.23192419]],[[0.82944678]]
['AC244502.1'],[[1.04633415]],[[0.70898886]],[[1.26223846]],[[0.91835297]],[[0.98496667]],[[0.2401212]],[[0.55333414]],[[0.55043388]],[[1.24105721]],[[0.925174]],[[1.54785037]],[[1.05747212]],[[0.87090054]]
['RNU6-1294P'],[[0]],[[2.15761639]],[[1.26223876]],[[3.54590368]],[[2.66481523]],[[2.20846687]],[[0]],[[0]],[[1.62292674]],[[0]],[[1.55645137]],[[0]],[[0]]
['AC009054.1'],[[2.84508255]],[[3.27119062]],[[2.37740947]],[[2.6644234]],[[2.94051003]],[[2.68543709]],[[1.18582025]],[[1.92111508]],[[1.33521258]],[[1.15431785]],[[2.59818271]],[[1.62891502]],[[2.03844174]]
['AC026803.1'],[[1.12312636]],[[2.15761629]],[[2.20056621]],[[1.87572897]],[[2.32368589]],[[0.60160669]],[[1.06543077]],[[0]],[[0.60741753]],[[0.76591818]],[[0.90351492]],[[0.80523435]],[[0.53007301]]
['AC007598.1'],[[1.13929283]],[[0.89951801]],[[0.95043177]],[[1.68924994]],[[0.91857205]],[[0.38052984]],[[1.43290738]],[[0.55043388]],[[0.62087161]],[[0.26819293]],[[0.85025738]],[[0]],[[1.19849819]]
['SUB1P3'],[[1.6143908]],[[1.44936852]],[[1.63134363]],[[2.94010442]],[[0.73784473]],[[1.89389707]],[[1.82775931]],[[1.92111505]],[[1.14009859]],[[0]],[[0.50161861]],[[1.03308909]],[[0]]
['AP000365.1'],[[0]],[[0]],[[0.764973]],[[0]],[[0.73784473]],[[0.93013887]],[[0]],[[0]],[[1.45472715]],[[0]],[[1.05199222]],[[1.85439585]],[[0.82944646]]
['AL022067.1'],[[0.86087413]],[[1.1544821]],[[0.71462817]],[[1.00086611]],[[0.41558698]],[[0.53876634]],[[0.27797023]],[[0.49206891]],[[0.31332636]],[[0.07186507]],[[0.26898388]],[[0.12061753]],[[0.53928515]]
['RNU6-94P'],[[0.75469464]],[[1.10696704]],[[1.5184857]],[[0.91835297]],[[0.53119112]],[[1.14226931]],[[1.43290726]],[[0]],[[0.80476253]],[[0.49425875]],[[0.58170772]],[[0.43167699]],[[0.60217407]]
['AC103724.4'],[[0.59975185]],[[1.66157033]],[[1.03492513]],[[1.22338226]],[[0.73784464]],[[0]],[[0.71146273]],[[0.43124275]],[[0.27656723]],[[0.68965275]],[[0.57077739]],[[0]],[[0.82944694]]
['AL139035.1'],[[1.02212747]],[[0]],[[1.26223846]],[[0]],[[0.53119112]],[[0.68135007]],[[0.88748722]],[[1.73232601]],[[0.75680346]],[[1.15431787]],[[1.261194]],[[1.0330891]],[[0.60217407]]
