['AHRR'],[[1.42596747]],[[1.4493688]],[[1.40761446]],[[1.14637948]],[[1.22364815]],[[0.86642931]],[[1.25751122]],[[1.76854008]],[[1.11448291]],[[0.8319166]],[[1.26195044]],[[0.73629478]],[[1.18362049]]
['SPAG6'],[[1.02212755]],[[0.51875807]],[[1.4585635]],[[1.87572866]],[[1.73850378]],[[1.49104192]],[[2.44949358]],[[2.1647689]],[[0.95470681]],[[0]],[[0.8861007]],[[0]],[[0]]
['DHDH'],[[0.42614361]],[[1.10696704]],[[1.5184857]],[[2.18897854]],[[1.68957144]],[[1.77169905]],[[0]],[[0.94789215]],[[0.62704387]],[[0.86171212]],[[0.97798024]],[[1.62891497]],[[1.35276283]]
['TPD52L1'],[[2.62165535]],[[1.44936876]],[[1.26223876]],[[1.87572872]],[[2.32368576]],[[0]],[[0]],[[1.259169]],[[0.88548843]],[[1.15431785]],[[1.5722935]],[[2.37451269]],[[1.35276262]]
['IFIT3'],[[1.02965744]],[[1.92739512]],[[1.75075625]],[[1.77490284]],[[1.6762929]],[[0.52142001]],[[0.3143126]],[[0.29580526]],[[0.55305503]],[[0.43165686]],[[0.60612607]],[[0.37456044]],[[0.42115384]]
['CXCL6'],[[1.02212747]],[[1.72589215]],[[2.09206453]],[[1.47503954]],[[2.11716727]],[[1.8938973]],[[0.71146276]],[[0.76280728]],[[1.10459337]],[[1.87021887]],[[1.84488873]],[[1.45628183]],[[1.19849819]]
['C3'],[[0.85231829]],[[0.65714773]],[[0.68878099]],[[0.6636032]],[[0.54501135]],[[0.2493087]],[[0.38454864]],[[0.84671737]],[[0.84840231]],[[0.85153925]],[[1.15328004]],[[0.92956479]],[[0.8937053]]
['IFI6'],[[0.92740591]],[[1.67843678]],[[1.57474148]],[[1.65276277]],[[1.65261805]],[[0.64778946]],[[0.34393688]],[[0.37213861]],[[0.47026184]],[[0.45296063]],[[0.44952626]],[[0.54291457]],[[0.53491568]]
['CHI3L1'],[[1.01419688]],[[1.9875012]],[[2.0601973]],[[2.15045906]],[[1.9685406]],[[1.54763128]],[[0.90739166]],[[0.7615271]],[[1.36751781]],[[1.74287065]],[[1.92381758]],[[1.4735069]],[[1.56566067]]
['RSAD2'],[[0.99961957]],[[1.68516861]],[[1.54275758]],[[1.44425068]],[[1.40639445]],[[0.27728982]],[[0.15096623]],[[0.33221952]],[[0.46048574]],[[0.34722135]],[[0.27134032]],[[0.23919924]],[[0.29647696]]
['NOV'],[[1.33671138]],[[2.42892209]],[[2.13557508]],[[1.91711216]],[[1.50278933]],[[0.56843282]],[[0.40379296]],[[0.45588179]],[[2.20386879]],[[1.45879916]],[[2.32932297]],[[1.58262335]],[[1.25595206]]
['HERC5'],[[1.05495255]],[[2.07173926]],[[1.86454964]],[[1.88115668]],[[1.76664564]],[[0.4523664]],[[0.35512547]],[[0.34570644]],[[0.44083287]],[[0.44069462]],[[0.52548831]],[[0.41954447]],[[0.47352926]]
['SLC27A2'],[[0.99368235]],[[0.95010622]],[[0.7185638]],[[0.59782772]],[[0.82407762]],[[0.63895935]],[[0.42572729]],[[0.61917027]],[[0.70148282]],[[0.84918117]],[[0.73520004]],[[1.11579239]],[[0.50425084]]
['RPL3L'],[[0.42614361]],[[0]],[[0.55210707]],[[0]],[[0.91857188]],[[1.49104176]],[[0.51093726]],[[1.73232601]],[[3.30604404]],[[0.86171212]],[[1.01961393]],[[1.78308084]],[[1.61918313]]
['MX1'],[[0.98499303]],[[1.67365943]],[[1.68664401]],[[1.71377406]],[[1.65000921]],[[0.6708307]],[[0.30934494]],[[0.29654618]],[[0.36738559]],[[0.37458535]],[[0.42229923]],[[0.39394726]],[[0.41894731]]
['BATF2'],[[1.1163189]],[[1.86833221]],[[1.96152299]],[[1.74364817]],[[1.8991339]],[[0.56694521]],[[0.42105316]],[[0.70152978]],[[0.4909078]],[[0.71032242]],[[0.70475513]],[[0.54297397]],[[0.47862986]]
['CXCL8'],[[1.01439801]],[[2.36061837]],[[1.76546437]],[[1.56457508]],[[1.68537389]],[[0.39802747]],[[0.15873657]],[[0.09552815]],[[0.44969983]],[[0.99221318]],[[0.94911712]],[[1.09142764]],[[1.11923755]]
['SDC2'],[[0.86768241]],[[3.21850968]],[[2.99880596]],[[2.66442324]],[[2.24458967]],[[1.0611203]],[[1.33908738]],[[1.41807874]],[[2.63438709]],[[2.29940014]],[[2.74178452]],[[1.97450133]],[[2.24172349]]
['TSPEAR'],[[1.61439101]],[[1.95784361]],[[2.37740954]],[[2.85393505]],[[2.32368584]],[[2.20846668]],[[1.18582027]],[[1.5150588]],[[2.52217677]],[[2.45800503]],[[3.72676284]],[[2.55660273]],[[2.50131713]]
['FUNDC2P2'],[[1.34844043]],[[0.89951786]],[[0]],[[1.87572845]],[[1.58642712]],[[1.89389707]],[[1.82775931]],[[0]],[[1.60784784]],[[0]],[[1.53861751]],[[2.37451238]],[[2.99874252]]
['RGS7'],[[0.75469464]],[[1.10696704]],[[1.9249941]],[[2.44619797]],[[1.87606704]],[[0]],[[0]],[[0.94789215]],[[0.98778452]],[[1.39746764]],[[1.14556342]],[[1.45628171]],[[1.35276283]]
