['GCLC'],[[1.01797231]],[[0.8669192]],[[0.83233467]],[[0.85541605]],[[0.81742286]],[[0.9066436]],[[0.93231849]],[[1.10354058]],[[1.58512876]],[[1.55721928]],[[1.0930357]],[[1.11829498]],[[1.27485085]]
['PRKAR2B'],[[1.04050982]],[[1.35508219]],[[1.15018611]],[[1.19100445]],[[1.10118206]],[[1.2996423]],[[1.29469072]],[[1.91620041]],[[2.04613566]],[[1.71574771]],[[1.47531844]],[[1.15296419]],[[1.31217344]]
['MPO'],[[1.08882921]],[[0.92203017]],[[1.02235185]],[[0.87747913]],[[0.94707933]],[[0.93013895]],[[1.02660798]],[[1.77940989]],[[1.71999628]],[[2.14328579]],[[1.06055923]],[[1.84730273]],[[1.64776041]]
['E2F2'],[[0.9112409]],[[1.09006639]],[[1.14476516]],[[1.03306444]],[[1.15696416]],[[1.26606241]],[[1.19174945]],[[1.77911197]],[[1.97198114]],[[1.81090768]],[[1.21041014]],[[1.79502934]],[[1.92479667]]
['TSPAN9'],[[0.89399549]],[[1.04625375]],[[1.0449167]],[[1.09464175]],[[0.81171519]],[[1.12430519]],[[1.11073004]],[[1.8870869]],[[2.09476905]],[[1.66136647]],[[1.33583612]],[[1.2294015]],[[1.31656424]]
['EHD3'],[[1.03010021]],[[0.86700388]],[[0.86027602]],[[0.8422142]],[[0.85410221]],[[1.22675289]],[[1.04888792]],[[1.7697109]],[[2.18767601]],[[1.50794109]],[[1.52450371]],[[1.20593018]],[[1.30006278]]
['SLC25A39'],[[0.91304112]],[[0.83232815]],[[0.84196861]],[[0.79059737]],[[0.76237476]],[[0.90599347]],[[0.97241886]],[[1.45095412]],[[1.49863589]],[[2.14947006]],[[0.88525055]],[[1.66051556]],[[1.67757097]]
['HEBP1'],[[0.92307456]],[[0.78578531]],[[0.88766241]],[[0.85016393]],[[1.0337544]],[[1.17288662]],[[1.27793621]],[[1.48251073]],[[2.52287878]],[[1.21532513]],[[2.07935858]],[[1.08981828]],[[1.12313774]]
['FHL1'],[[1.0424296]],[[0.97883801]],[[0.94068133]],[[0.83129074]],[[0.8065506]],[[1.05347313]],[[0.98583859]],[[1.56879711]],[[1.95601512]],[[1.7342806]],[[1.31229184]],[[1.18910696]],[[1.13427826]]
['EHD2'],[[0.91864021]],[[0.63295336]],[[0.86907434]],[[1.22338212]],[[1.3319691]],[[0.93013895]],[[1.39101669]],[[1.9211152]],[[1.30773033]],[[1.15431787]],[[0.98837373]],[[0.36219744]],[[1.35276293]]
['MAP2K3'],[[0.9185345]],[[1.17650085]],[[1.24142321]],[[1.16825815]],[[1.15363831]],[[1.21966201]],[[1.11723691]],[[1.47237954]],[[1.99522587]],[[2.02266763]],[[1.14426666]],[[1.46561735]],[[1.66819425]]
['RIPOR3'],[[0.98805812]],[[0.9374806]],[[0.88913648]],[[0.77047174]],[[0.75106227]],[[0.85741676]],[[0.9269418]],[[1.57833483]],[[1.36959593]],[[1.81928956]],[[0.75993376]],[[1.47824662]],[[1.53720654]]
