['FGR'],[[0.9974933]],[[1.98522453]],[[2.15190079]],[[2.18109846]],[[2.34342703]],[[2.27836251]],[[2.05967906]],[[1.91883861]],[[1.36077981]],[[1.39650842]],[[1.21187447]],[[1.20226328]],[[1.21426891]]
['LAMP2'],[[1.01777559]],[[2.43491419]],[[2.23868307]],[[2.29098789]],[[2.3276383]],[[1.95461444]],[[1.93763118]],[[1.61355455]],[[1.4727997]],[[1.29323948]],[[1.38732644]],[[1.17472799]],[[1.25990262]]
['KDM7A'],[[0.99022704]],[[2.0323608]],[[1.84953527]],[[1.86539819]],[[1.96862504]],[[1.69924761]],[[1.57619825]],[[1.29691778]],[[1.44057115]],[[1.32126802]],[[1.36504866]],[[1.03463879]],[[1.19329937]]
['IFRD1'],[[1.08533925]],[[2.29994011]],[[2.17058429]],[[2.36023547]],[[2.32516145]],[[2.15395846]],[[1.9993499]],[[1.61524522]],[[1.82449717]],[[1.45083536]],[[1.78570231]],[[1.17065083]],[[1.39589059]]
['CDKL5'],[[1.06176654]],[[2.44168408]],[[2.12722495]],[[2.22123683]],[[2.2588954]],[[2.04050579]],[[1.86518297]],[[1.47077844]],[[1.52117602]],[[1.20196873]],[[1.59881014]],[[1.10332273]],[[1.23283335]]
['TYROBP'],[[0.97295226]],[[1.78731969]],[[1.90529761]],[[1.80159313]],[[1.93468191]],[[1.7774656]],[[1.73242085]],[[1.73407413]],[[1.38037167]],[[1.37467438]],[[1.11505002]],[[1.27795981]],[[1.19947767]]
['SEMA3B'],[[1.10743412]],[[1.37429647]],[[1.66990446]],[[1.78921993]],[[1.4379028]],[[1.37496085]],[[1.72022093]],[[1.96297212]],[[1.66475777]],[[0.9859612]],[[0.85966656]],[[0.70295972]],[[0.80399055]]
['EXTL3'],[[1.04496795]],[[2.07396753]],[[2.05243987]],[[2.09740269]],[[2.20109725]],[[1.77722468]],[[1.63377893]],[[1.55282122]],[[1.50149406]],[[1.5942786]],[[1.47222235]],[[1.3041303]],[[1.3606261]]
['WAS'],[[0.98803762]],[[1.76895456]],[[1.85592941]],[[1.84225125]],[[1.93089843]],[[1.56066067]],[[1.47129794]],[[1.46351444]],[[1.27664223]],[[1.17372293]],[[1.1749841]],[[1.10164977]],[[1.12406588]]
['RTFDC1'],[[0.98525629]],[[2.13046852]],[[2.05861175]],[[2.02511348]],[[2.12907503]],[[1.69533371]],[[1.55444792]],[[1.3593024]],[[1.26589325]],[[1.22622135]],[[1.20643475]],[[1.10753359]],[[1.20025076]]
['RRAGD'],[[1.00723979]],[[2.37116103]],[[2.20422548]],[[2.12228693]],[[2.30102395]],[[1.85952621]],[[1.91474029]],[[1.66458497]],[[1.58483228]],[[1.37414948]],[[1.30196913]],[[1.1870361]],[[1.16556226]]
['HMGB3'],[[1.02212745]],[[1.09202662]],[[1.38618044]],[[1.51013704]],[[1.56154002]],[[1.52635419]],[[1.41533262]],[[1.46924659]],[[1.16677091]],[[0.95822341]],[[0.77533995]],[[0.8519383]],[[1.01155433]]
['GRN'],[[0.92541801]],[[1.72521787]],[[1.95450561]],[[1.85955909]],[[2.05451497]],[[1.98871708]],[[1.75062196]],[[1.84224369]],[[1.62857567]],[[1.46592055]],[[1.31138116]],[[1.22041928]],[[1.17593656]]
['TIMP2'],[[0.97348773]],[[2.26655829]],[[2.29683261]],[[2.21830073]],[[2.33567605]],[[2.10491445]],[[2.03783708]],[[1.92526153]],[[1.57160569]],[[1.33596806]],[[1.30145919]],[[1.1724115]],[[1.21979836]]
['CAPG'],[[0.87569609]],[[1.66527138]],[[1.73387602]],[[1.63351425]],[[1.98174857]],[[2.08742111]],[[1.74838053]],[[1.71230186]],[[1.3898868]],[[1.18019549]],[[1.08515525]],[[1.16220758]],[[1.03988846]]
['PHKA2'],[[1.02504504]],[[1.80900395]],[[1.83650791]],[[1.79503037]],[[1.7646006]],[[1.69546966]],[[1.69755837]],[[1.48863496]],[[1.31460097]],[[1.14478066]],[[1.19241919]],[[1.04480948]],[[1.14407897]]
