['SLC4A1'],[[0.89832292]],[[0.92566408]],[[0.90984917]],[[0.85683625]],[[0.84500614]],[[1.04015751]],[[1.17959995]],[[1.93524514]],[[2.37021131]],[[2.70107789]],[[1.25312916]],[[1.84281441]],[[1.86288921]]
['ITGA2B'],[[1.01870423]],[[1.09874235]],[[1.04533741]],[[1.0327802]],[[1.02861574]],[[1.45428332]],[[1.49700487]],[[2.78144122]],[[2.68464907]],[[2.08947827]],[[1.38626263]],[[1.27178205]],[[1.32112099]]
['NFIX'],[[0.88494082]],[[0.85757577]],[[0.84593856]],[[0.78460132]],[[0.77710232]],[[0.78598418]],[[1.01621199]],[[1.80272216]],[[2.03615719]],[[2.21758014]],[[0.91886665]],[[1.60949074]],[[1.75039114]]
['RNF10'],[[0.93450189]],[[1.27271756]],[[1.29608784]],[[1.26311847]],[[1.32088171]],[[1.40406941]],[[1.28106353]],[[1.70864339]],[[2.06483816]],[[2.1564185]],[[1.14706698]],[[1.49620079]],[[1.70121361]]
['ANK1'],[[0.92778025]],[[0.90557843]],[[0.88937165]],[[0.84664402]],[[0.82750921]],[[0.97528332]],[[1.13459128]],[[1.80717375]],[[1.94844792]],[[2.06340272]],[[0.93015502]],[[1.53255299]],[[1.69234517]]
['XK'],[[0.93829376]],[[1.12882258]],[[0.97862682]],[[1.05979434]],[[0.95434618]],[[1.13863834]],[[1.31442058]],[[2.17789669]],[[2.46105747]],[[2.12085547]],[[1.08635582]],[[1.23462694]],[[1.56472995]]
['MAOB'],[[1.18193857]],[[0.95010652]],[[1.19603189]],[[1.1584972]],[[1.22364806]],[[1.4177134]],[[2.84368087]],[[3.9212633]],[[3.03800372]],[[2.77527776]],[[1.5334564]],[[1.08874806]],[[0.87717368]]
['SPTB'],[[0.94996788]],[[0.95728859]],[[0.9210379]],[[0.91592138]],[[0.83349526]],[[1.24619724]],[[1.49237001]],[[2.28462227]],[[2.36709244]],[[2.55302611]],[[1.19290269]],[[1.56808129]],[[1.84054164]]
['IGF2BP2'],[[0.92143167]],[[1.01317749]],[[0.93793194]],[[0.88782099]],[[0.87987875]],[[0.95464927]],[[1.16822133]],[[1.76065249]],[[1.80768966]],[[2.32956685]],[[0.91060293]],[[1.39418457]],[[1.63979477]]
['NOTCH3'],[[0.8263421]],[[2.29115904]],[[1.26223861]],[[0]],[[1.22364824]],[[2.96179854]],[[3.05846061]],[[3.6831819]],[[3.54970433]],[[2.22569824]],[[2.09817056]],[[1.95516561]],[[1.55704725]]
['RAP1GAP'],[[0.92485392]],[[0.87205628]],[[0.87423074]],[[0.86911943]],[[0.79995848]],[[0.88009133]],[[1.26206632]],[[2.58787606]],[[1.06991754]],[[2.57376171]],[[0.14110351]],[[1.61859191]],[[1.77444818]]
['TNS1'],[[0.92421135]],[[0.91278513]],[[0.90755595]],[[0.8483622]],[[0.83901599]],[[1.06537657]],[[1.15637944]],[[1.87789296]],[[2.49947387]],[[2.36637104]],[[1.5077881]],[[1.83416805]],[[1.97406651]]
['ACHE'],[[0.83966496]],[[1.07369718]],[[0.75228501]],[[0.88915097]],[[0.79801946]],[[1.05578245]],[[0.54709823]],[[2.14071966]],[[3.16156384]],[[2.64807242]],[[1.065869]],[[1.61849201]],[[1.79900431]]
['CETP'],[[1.51381464]],[[1.70050651]],[[1.17556217]],[[1.37957781]],[[1.52080529]],[[2.02806091]],[[2.44949386]],[[3.72938855]],[[3.49338773]],[[2.59113873]],[[1.87303118]],[[1.57925862]],[[1.43797772]]
['PLEK2'],[[1.03413198]],[[1.10218808]],[[1.09738319]],[[0.85841597]],[[0.93110001]],[[1.1854546]],[[1.36694068]],[[2.02234347]],[[2.06347054]],[[2.84081852]],[[1.4218547]],[[1.9467296]],[[2.05185452]]
['MYL9'],[[0.89521327]],[[1.04548205]],[[0.91009406]],[[0.83788424]],[[0.84700078]],[[1.18490537]],[[0.99743023]],[[2.09643542]],[[2.72131976]],[[2.08219359]],[[1.16324015]],[[1.18951295]],[[1.08213506]]
['E2F1'],[[1.14184819]],[[0.59588361]],[[0.59321953]],[[0.65667858]],[[0.65684868]],[[1.09208866]],[[1.12002827]],[[2.03141029]],[[2.22841203]],[[1.5810666]],[[0.81513488]],[[1.12247509]],[[1.18362052]]
['SLC7A5'],[[1.10924257]],[[1.24848988]],[[1.23440476]],[[1.20583785]],[[1.07787345]],[[1.03494206]],[[0.94853738]],[[1.73061928]],[[2.09857697]],[[2.40933522]],[[1.12876346]],[[1.71503997]],[[1.82493982]]
['CRYM'],[[0.59975185]],[[0]],[[0]],[[0.73765855]],[[0.41558714]],[[0.53876645]],[[1.37498873]],[[2.55520894]],[[3.48567901]],[[1.7872575]],[[0.61998805]],[[1.03308933]],[[1.55704725]]
['TSTA3'],[[0.89819784]],[[0.80102238]],[[0.80495222]],[[0.80427816]],[[0.74030728]],[[0.7845577]],[[1.01185019]],[[2.24236973]],[[2.52661974]],[[2.1489349]],[[0.75620326]],[[1.4471222]],[[1.38425778]]
['TSPO2'],[[0.75469464]],[[1.18225756]],[[0.5972672]],[[1.22338203]],[[0.81287349]],[[0.97513379]],[[1.2387393]],[[1.5837416]],[[2.14624772]],[[2.6201928]],[[0.90402997]],[[1.7683849]],[[1.54429229]]
['IGFBP2'],[[0.37244654]],[[0.73064851]],[[0.99931801]],[[0.46614153]],[[1.14286293]],[[1.87706184]],[[2.42523891]],[[3.22673566]],[[2.77521077]],[[1.26357771]],[[1.08456663]],[[0.67621678]],[[0.45417795]]
['FHL2'],[[0.84649338]],[[0.78731136]],[[0.62426289]],[[0.79248952]],[[0.68083565]],[[0.86222069]],[[1.06340405]],[[1.76767441]],[[2.18065024]],[[1.8036914]],[[1.00803228]],[[0.99694479]],[[1.32416453]]
['CTNNAL1'],[[0.90914912]],[[1.38297046]],[[1.14939052]],[[1.12995708]],[[1.00574863]],[[1.0118183]],[[1.38069659]],[[1.86880284]],[[2.243966]],[[2.44059672]],[[1.20234188]],[[1.40816241]],[[1.58262617]]
['MXI1'],[[0.92604528]],[[1.10902844]],[[1.05089919]],[[1.02211382]],[[0.95733921]],[[1.0725122]],[[1.11681905]],[[1.59617945]],[[2.1177791]],[[2.09676755]],[[1.16078856]],[[1.29942069]],[[1.68889311]]
['CLU'],[[0.98969877]],[[0.98711064]],[[0.97048899]],[[0.91447797]],[[0.90007034]],[[1.43847816]],[[1.52262339]],[[2.06814538]],[[2.21834177]],[[1.65716902]],[[1.29718886]],[[1.15152417]],[[1.20272303]]
['FAM210B'],[[0.92779158]],[[1.04259556]],[[0.98457692]],[[0.93306864]],[[0.8737084]],[[0.97454019]],[[1.13699428]],[[1.7231145]],[[2.08380175]],[[2.45429274]],[[1.15937094]],[[1.41492992]],[[1.76938685]]
['BEST3'],[[0.49811259]],[[0.75903143]],[[0.64105638]],[[0]],[[0.84897357]],[[0.78606738]],[[1.47762423]],[[2.77674166]],[[2.5704244]],[[0.79533]],[[1.05708153]],[[1.17356352]],[[0.69742074]]
['VIL1'],[[1.09485206]],[[1.25961873]],[[1.14039632]],[[1.31223531]],[[1.07915916]],[[1.31749599]],[[1.85155075]],[[2.68245446]],[[2.1207794]],[[1.99047474]],[[1.36244505]],[[1.30043096]],[[1.49947475]]
['CNN1'],[[1.34844062]],[[1.10696704]],[[1.63134395]],[[0.91835297]],[[1.07915918]],[[0.68135007]],[[0.88748722]],[[1.62777845]],[[2.94823752]],[[2.34652237]],[[0.98246439]],[[0.60710601]],[[1.02574127]]
['SLC6A8'],[[0.92199107]],[[0.87863144]],[[0.88125308]],[[0.85134126]],[[0.82278068]],[[1.04709837]],[[0.97430791]],[[1.61470253]],[[1.8774446]],[[2.36130842]],[[1.03288072]],[[1.55213659]],[[1.72957494]]
['MPP1'],[[0.89394823]],[[1.15250239]],[[1.1308118]],[[1.11081752]],[[1.11177569]],[[1.26041026]],[[1.32427799]],[[1.79701872]],[[2.15493177]],[[2.19727703]],[[1.2218551]],[[1.63400168]],[[1.73148573]]
['RBM38'],[[0.90312084]],[[0.84928654]],[[0.91190904]],[[0.83502542]],[[0.82880654]],[[1.15754985]],[[1.1119784]],[[1.74657357]],[[2.09538925]],[[2.41671733]],[[1.1614965]],[[1.82546256]],[[1.95889108]]
['TMCC2'],[[0.86833178]],[[0.8698832]],[[0.8623766]],[[0.71773487]],[[0.78270415]],[[0.9295926]],[[1.05438392]],[[1.660833]],[[1.87891992]],[[2.06391538]],[[0.95771954]],[[1.46036771]],[[1.61840757]]
['CA1'],[[0.92878681]],[[1.02156186]],[[0.95725015]],[[0.87874926]],[[0.82507543]],[[1.01508591]],[[1.55791409]],[[2.36021767]],[[3.36966541]],[[2.65121473]],[[1.26974329]],[[1.39292458]],[[1.71200576]]
['SPOCD1'],[[0.93122313]],[[0.97309614]],[[1.1228928]],[[0.91323593]],[[0.75939736]],[[1.42673446]],[[1.63640484]],[[2.49077854]],[[2.1147733]],[[1.6328988]],[[0.872486]],[[1.16042059]],[[1.38539199]]
['KCNH3'],[[0.91117046]],[[0.7321409]],[[0.71462822]],[[0.58554005]],[[0.58569535]],[[1.7502874]],[[2.17469522]],[[2.26111913]],[[1.74589362]],[[1.76574999]],[[0.90438018]],[[1.1079569]],[[1.0856556]]
['TMOD1'],[[0.89244283]],[[1.01544412]],[[0.94208305]],[[0.82070726]],[[0.84814397]],[[0.98278823]],[[1.02860494]],[[1.61701503]],[[2.34221845]],[[2.54865052]],[[1.29879264]],[[1.55777492]],[[1.74485216]]
['GMPR'],[[0.91783527]],[[0.90821161]],[[0.90620111]],[[0.87975714]],[[0.83164207]],[[0.96093283]],[[1.12052556]],[[1.95712958]],[[2.40202046]],[[2.41313923]],[[1.08864258]],[[1.89910432]],[[1.9306643]]
['TUBB2A'],[[0.80257242]],[[0.84709107]],[[0.85683974]],[[0.69957173]],[[0.77162398]],[[0.80300124]],[[0.93854133]],[[1.20859095]],[[2.82180278]],[[2.24899937]],[[0.9035864]],[[1.55635859]],[[1.55817372]]
['PCSK6'],[[1.15427814]],[[1.18974695]],[[1.19789724]],[[1.22338183]],[[1.0403494]],[[1.62712735]],[[1.82571794]],[[2.80895086]],[[2.49316453]],[[1.93477256]],[[1.6134971]],[[1.37535653]],[[1.49106764]]
['TGFB1I1'],[[1.02212751]],[[0.98500258]],[[1.04782524]],[[0.64346619]],[[0.8405049]],[[1.10012887]],[[1.2482793]],[[2.27272213]],[[2.10309948]],[[2.00579176]],[[1.18053588]],[[1.03308925]],[[1.28174158]]
['SLC14A1'],[[0.98583337]],[[0.94826416]],[[0.84442068]],[[0.82939995]],[[0.81953104]],[[0.95174026]],[[1.1368729]],[[1.72107721]],[[2.71603643]],[[2.4664952]],[[1.32472684]],[[1.68402067]],[[1.82570073]]
