['UGCG'],[[1.07014141]],[[3.12503876]],[[2.94423885]],[[3.12672993]],[[3.15973483]],[[3.05413128]],[[1.81830811]],[[1.09964247]],[[0.96335761]],[[1.05292619]],[[1.0344637]],[[1.0625918]],[[1.15746323]]
['VSIG4'],[[0.74096318]],[[2.36347266]],[[3.19090548]],[[3.04693217]],[[3.75981845]],[[5.168118]],[[3.03647152]],[[2.18032576]],[[1.34064062]],[[1.22639599]],[[1.07147966]],[[0.64127146]],[[1.0085671]]
['SYN2'],[[1.83886245]],[[4.79850252]],[[4.85666312]],[[4.56644252]],[[5.15863951]],[[5.83639059]],[[4.82837388]],[[4.08968019]],[[2.81951516]],[[2.02306923]],[[2.13565036]],[[2.37451238]],[[2.50131748]]
['SLC37A3'],[[1.00714785]],[[3.81271215]],[[3.75256767]],[[3.93875854]],[[3.83512882]],[[3.21914174]],[[2.27709743]],[[1.45308127]],[[1.48827341]],[[1.24386663]],[[1.27186799]],[[1.03308934]],[[1.15037461]]
['GALNT14'],[[1.04555954]],[[3.27119086]],[[3.4791894]],[[3.89395368]],[[4.10766782]],[[4.16517671]],[[3.85694097]],[[3.32060406]],[[3.22941477]],[[1.97308973]],[[1.36154165]],[[1.16923924]],[[1.53849479]]
['GYG1'],[[0.98518803]],[[3.53207435]],[[3.60623677]],[[3.80937326]],[[4.13414365]],[[3.67398121]],[[2.62308521]],[[1.79406676]],[[1.60645598]],[[1.14000258]],[[1.20814074]],[[1.11589915]],[[1.15637483]]
['CYYR1'],[[0.71749086]],[[2.90512357]],[[3.23144128]],[[2.80883895]],[[2.87636647]],[[2.52448034]],[[2.68222265]],[[2.67809795]],[[1.65703417]],[[1.50522318]],[[1.40286793]],[[1.5014149]],[[0.66243597]]
['PLIN4'],[[1.17418764]],[[3.71605406]],[[4.11220476]],[[4.38120518]],[[4.27237507]],[[3.18002263]],[[2.69834276]],[[2.26739745]],[[2.01270166]],[[1.55219655]],[[1.58038165]],[[1.29798416]],[[1.43978822]]
['ZNF608'],[[1.00850172]],[[3.74811053]],[[3.5639868]],[[3.67994639]],[[4.16107313]],[[4.0956762]],[[3.46698674]],[[2.56152914]],[[2.46307601]],[[1.19779626]],[[1.68672164]],[[1.23661281]],[[0.82944674]]
['PFKFB3'],[[0.96418382]],[[4.80707417]],[[4.92788897]],[[4.86158824]],[[4.76949512]],[[4.32762162]],[[2.85685644]],[[1.9989018]],[[1.85602786]],[[1.31728936]],[[1.45268606]],[[1.22148732]],[[1.35035785]]
['LRG1'],[[1.07633923]],[[4.26273786]],[[4.37159402]],[[4.31175777]],[[4.28445418]],[[3.07001097]],[[2.6427484]],[[2.33589933]],[[1.51853999]],[[1.39443444]],[[1.25018457]],[[1.41289278]],[[1.45436976]]
['SULT1B1'],[[1.04468475]],[[3.54717908]],[[3.34508282]],[[3.50818529]],[[3.76005142]],[[3.68103772]],[[3.46559545]],[[2.69626851]],[[2.05066133]],[[1.49197614]],[[1.57805394]],[[1.2366356]],[[1.36017578]]
['SH3PXD2B'],[[1.10424458]],[[3.4221771]],[[4.16986827]],[[4.41495234]],[[5.38296563]],[[5.07024068]],[[3.70738869]],[[3.06058111]],[[2.77900046]],[[1.38015139]],[[1.62221951]],[[1.29211219]],[[1.54231973]]
['KCNE5'],[[0.55443781]],[[2.15761659]],[[2.01851232]],[[2.35787882]],[[2.17648513]],[[1.98671013]],[[1.62585209]],[[1.47178349]],[[0.82227432]],[[1.35619839]],[[0.84526026]],[[0.465201]],[[1.09098042]]
['B3GNT5'],[[0.85421132]],[[3.62052272]],[[3.56094717]],[[3.57137557]],[[3.3377881]],[[2.83716637]],[[2.37239692]],[[1.91881508]],[[1.46682445]],[[1.15775326]],[[1.30730265]],[[1.18453107]],[[1.14024722]]
['NSUN7'],[[1.30469592]],[[3.8726767]],[[3.89676078]],[[4.2100254]],[[3.95345096]],[[3.9080786]],[[3.17070544]],[[2.07766091]],[[2.20043633]],[[1.2790194]],[[1.81815273]],[[1.29754384]],[[1.40920614]]
['MCEMP1'],[[0.97170024]],[[4.76125608]],[[5.19119914]],[[5.37816612]],[[5.90802586]],[[6.04415013]],[[5.11623599]],[[3.6298399]],[[2.41532374]],[[1.74027288]],[[1.52209255]],[[1.46178669]],[[1.52079068]]
['SOCS3'],[[0.77314498]],[[5.09926726]],[[5.09390933]],[[4.83528206]],[[4.76952937]],[[4.45172469]],[[3.49113984]],[[2.63437999]],[[1.94608547]],[[1.46053589]],[[1.32229994]],[[1.3992677]],[[1.59271579]]
['TLR5'],[[1.04784511]],[[3.3397969]],[[3.43319258]],[[3.69502964]],[[3.84967267]],[[3.98714714]],[[3.88196852]],[[2.94981237]],[[2.11658421]],[[1.24229306]],[[1.34599824]],[[1.0037492]],[[1.14894059]]
['CD55'],[[1.0297611]],[[3.69397506]],[[3.67500357]],[[3.78448914]],[[3.82995776]],[[3.11480728]],[[2.40506531]],[[1.74111458]],[[1.38569499]],[[1.33301242]],[[1.48740764]],[[1.05223687]],[[1.21915617]]
['RNU6-226P'],[[0.8263421]],[[4.79850299]],[[4.52538956]],[[4.85965289]],[[4.43950085]],[[3.39332346]],[[3.52583684]],[[2.71684071]],[[1.9711373]],[[1.50522333]],[[1.60594718]],[[0.60710617]],[[1.35276305]]
['RNU6-1005P'],[[1.24765344]],[[3.08754791]],[[3.66170822]],[[3.43155882]],[[4.01204458]],[[3.14523987]],[[2.60874063]],[[2.08803404]],[[2.22837413]],[[2.22569812]],[[1.36855126]],[[1.0330891]],[[0.60217407]]
['AL137145.1'],[[1.23454523]],[[3.08601748]],[[3.36290278]],[[3.96740521]],[[4.20174967]],[[3.59258669]],[[2.76488422]],[[1.82685789]],[[1.63849489]],[[0.94061257]],[[1.47398172]],[[0.86195628]],[[0.78947146]]
['PLIN5'],[[1.30520951]],[[3.76202442]],[[4.23854442]],[[4.31149986]],[[4.09775874]],[[3.22889565]],[[2.74929625]],[[2.27704967]],[[1.92666626]],[[1.4251702]],[[1.70106073]],[[1.28617288]],[[1.4241207]]
['AC026790.1'],[[1.02212724]],[[4.05119526]],[[4.20816223]],[[4.34064686]],[[4.50156543]],[[4.26592719]],[[3.80966848]],[[3.06454755]],[[2.15685478]],[[0.90732478]],[[1.72174464]],[[1.27507595]],[[1.47301184]]
['BTBD19'],[[1.10617852]],[[3.27822773]],[[3.56788803]],[[3.69664697]],[[3.35076322]],[[1.95643132]],[[1.35224581]],[[1.27436084]],[[0.9514201]],[[1.33085823]],[[0.91192924]],[[0.90702315]],[[1.11940236]]
['CYP1B1-AS1'],[[0.99474623]],[[3.35493025]],[[3.60755701]],[[3.62896806]],[[3.9065644]],[[3.90214959]],[[3.12829404]],[[2.54886042]],[[1.92410733]],[[1.51671414]],[[1.62338751]],[[1.2126883]],[[1.28622861]]
['RPL7L1P3'],[[1.24765344]],[[3.91987063]],[[4.11419129]],[[4.23259371]],[[4.26678584]],[[2.75158729]],[[2.60874011]],[[1.73232582]],[[1.78544107]],[[1.78725743]],[[1.77365138]],[[0.90458134]],[[1.61918303]]
['SERPINB10'],[[0.57369106]],[[2.7329533]],[[2.70511325]],[[2.75729969]],[[3.59748478]],[[2.1163325]],[[1.93291497]],[[1.64479774]],[[1.37500353]],[[1.96465293]],[[0.6412947]],[[1.82105421]],[[1.48510598]]
['AC011379.1'],[[1.32579916]],[[5.54026284]],[[5.47464903]],[[5.72121907]],[[5.20356996]],[[4.5924001]],[[3.40748708]],[[2.07585772]],[[1.87722472]],[[1.86400377]],[[2.12770284]],[[1.59087047]],[[2.12005107]]
['AC139495.3'],[[1.10486333]],[[2.34072404]],[[2.74390119]],[[2.85228131]],[[2.98079524]],[[3.57585359]],[[2.84138712]],[[2.22701384]],[[1.5952391]],[[1.36696527]],[[0.9886295]],[[0.98777961]],[[1.06448217]]
['AC131392.2'],[[1.46076866]],[[2.63055808]],[[3.23144152]],[[3.43155882]],[[3.22778552]],[[3.64725883]],[[3.29233968]],[[2.9075381]],[[1.9069913]],[[1.48430628]],[[1.49614247]],[[1.12824172]],[[0.74278514]]
['MIR3945HG'],[[1.36551819]],[[4.68030541]],[[4.82351159]],[[5.00432712]],[[4.76744305]],[[4.04898585]],[[3.67517508]],[[3.00896523]],[[2.49444153]],[[1.59404675]],[[1.82081452]],[[1.37872197]],[[1.90395095]]
['RNU6-1003P'],[[1.24765344]],[[4.48204717]],[[4.13348161]],[[4.96617701]],[[3.82080091]],[[3.83593139]],[[3.31099266]],[[2.43642773]],[[2.020613]],[[1.50522323]],[[2.08579756]],[[0.76349743]],[[0.33227965]]
['AC079209.1'],[[0.72773293]],[[2.7702095]],[[2.85408905]],[[3.04988532]],[[2.94050998]],[[2.92317963]],[[2.97053065]],[[2.10229303]],[[1.50767688]],[[1.15431768]],[[1.27697122]],[[0.65146692]],[[0.50976707]]
['AC136475.5'],[[1.17486152]],[[2.84035298]],[[3.09167912]],[[3.32540903]],[[3.20568178]],[[2.89663449]],[[2.62075171]],[[2.2089242]],[[2.45501545]],[[1.24664235]],[[2.05929013]],[[0.8101625]],[[1.12502009]]
['AC135626.1'],[[1.10580914]],[[3.831491]],[[4.07011574]],[[4.19184894]],[[3.94249701]],[[3.3600331]],[[2.53598475]],[[1.82425108]],[[1.92978969]],[[1.2448881]],[[1.76818538]],[[0.98902876]],[[1.54579891]]
['AC019254.1'],[[1.0735103]],[[3.49334957]],[[3.65409517]],[[3.37079741]],[[3.27498776]],[[2.99728719]],[[2.32392103]],[[1.9950279]],[[1.66573662]],[[1.36514155]],[[0.93401174]],[[1.40291012]],[[1.35276252]]
['MTND3P12'],[[1.61439109]],[[4.42330427]],[[4.33628477]],[[4.52901482]],[[4.49880182]],[[3.73846245]],[[3.20618605]],[[2.10229303]],[[2.00916802]],[[1.22479738]],[[2.10021123]],[[1.09864124]],[[0.99198097]]
['MTCYBP23'],[[1.13724527]],[[4.42330362]],[[4.20119841]],[[4.47019706]],[[4.12208051]],[[3.59252495]],[[3.0694573]],[[1.70268551]],[[1.79418646]],[[1.22479728]],[[1.9177759]],[[0.78489622]],[[0.99198088]]
['AC024267.6'],[[1.02212747]],[[3.68119249]],[[3.43172125]],[[3.43155882]],[[3.46142874]],[[3.24046011]],[[2.39225038]],[[2.16476913]],[[1.57104365]],[[0.8617123]],[[1.12645225]],[[1.62891497]],[[1.02574127]]
['AC011498.4'],[[0.95977189]],[[3.82026923]],[[4.19903633]],[[4.2829282]],[[3.79789744]],[[2.68543728]],[[2.50455222]],[[1.45521455]],[[1.40219516]],[[1.01542056]],[[1.35055235]],[[0.8357633]],[[1.11470369]]
['AC073342.2'],[[0.91352237]],[[3.92379403]],[[3.70655941]],[[4.12106734]],[[3.77797346]],[[3.77362021]],[[3.66180384]],[[2.62670777]],[[2.26124204]],[[0.86171228]],[[1.60512627]],[[1.03308964]],[[1.02574137]]
['AC136475.9'],[[0.82634203]],[[2.74362222]],[[3.0504617]],[[3.0795293]],[[3.12664076]],[[2.50543549]],[[2.25449096]],[[2.18333151]],[[2.362519]],[[0.86171238]],[[1.90887213]],[[0.56520786]],[[1.07090824]]
['AL133507.1'],[[0.59975162]],[[5.2560305]],[[4.20816228]],[[4.29932366]],[[4.82654729]],[[4.18616192]],[[2.60873989]],[[1.62777813]],[[1.83622885]],[[1.50522302]],[[1.31606415]],[[0.607106]],[[0.82944646]]
['AC106739.1'],[[1.34844043]],[[4.84268531]],[[4.74821994]],[[4.72048387]],[[5.13141673]],[[4.81576884]],[[4.23641409]],[[2.99419767]],[[2.96489809]],[[2.56148772]],[[2.19078547]],[[2.37451238]],[[0.82944646]]
['GSEC'],[[1.05658534]],[[3.2858956]],[[3.3772783]],[[3.38666817]],[[3.28349273]],[[3.71798102]],[[2.9475942]],[[2.04228063]],[[2.03730538]],[[1.43532607]],[[1.48712745]],[[1.10168969]],[[1.2930217]]
['AL139424.2'],[[1.6143908]],[[4.19446921]],[[4.26174069]],[[4.48278025]],[[4.79219408]],[[4.50659054]],[[3.48535094]],[[3.22673492]],[[2.68825017]],[[1.50522302]],[[2.51784795]],[[0.607106]],[[1.35276276]]
