['NDUFAF7'],[[1.03448667]],[[1.8247856]],[[1.78975486]],[[1.99517089]],[[1.92274639]],[[1.56773367]],[[1.20848098]],[[0.89999978]],[[0.98327072]],[[0.99801736]],[[1.11583171]],[[0.91592695]],[[1.09260118]]
['CREBBP'],[[1.00551028]],[[1.78343266]],[[1.78934919]],[[1.76858578]],[[1.84702973]],[[1.41765228]],[[1.31196453]],[[1.36043956]],[[1.22875197]],[[1.27548359]],[[1.20282659]],[[1.1204679]],[[1.16064909]]
['NADK'],[[0.99028656]],[[2.09442371]],[[2.17761243]],[[2.20015647]],[[2.16791381]],[[1.88245045]],[[1.74392753]],[[1.63625501]],[[1.38219272]],[[1.38994076]],[[1.2847932]],[[1.1781462]],[[1.18926419]]
['ZNF200'],[[0.94785044]],[[2.03671056]],[[2.06817404]],[[2.07657793]],[[1.96224401]],[[1.52940163]],[[1.41422285]],[[1.30629731]],[[1.07335222]],[[1.24930372]],[[1.14468754]],[[1.14373872]],[[1.13716334]]
['MVP'],[[0.96076102]],[[1.6866811]],[[1.8051854]],[[1.84775297]],[[1.9282212]],[[1.74511958]],[[1.58899928]],[[1.41382796]],[[1.19406332]],[[1.11703394]],[[1.08703475]],[[1.11491859]],[[1.04780008]]
['ZC3H3'],[[1.03992735]],[[1.51375755]],[[1.57908014]],[[1.65918752]],[[1.65286157]],[[1.29522242]],[[1.09981827]],[[1.20569266]],[[1.1696286]],[[1.0993065]],[[1.07432997]],[[1.05990107]],[[1.13287578]]
['SLC45A4'],[[1.05939084]],[[2.00327567]],[[2.10348977]],[[2.11016862]],[[2.02270237]],[[1.63810868]],[[1.62396957]],[[1.60339335]],[[1.63649956]],[[1.55913237]],[[1.52005901]],[[1.27804705]],[[1.26943104]]
['RB1CC1'],[[1.08095523]],[[2.34906317]],[[2.17873564]],[[2.29965988]],[[2.29205864]],[[1.64004591]],[[1.50476735]],[[1.24080552]],[[1.23993068]],[[1.13920598]],[[1.27073673]],[[1.01592788]],[[1.174917]]
['NSMAF'],[[0.97076995]],[[1.68556156]],[[1.59085597]],[[1.67404387]],[[1.69982203]],[[1.32347237]],[[1.13326673]],[[0.89957419]],[[1.0240124]],[[0.91399672]],[[1.03474885]],[[0.89679848]],[[0.96187114]]
['CELF2'],[[1.08774554]],[[1.88990124]],[[1.80438242]],[[1.80139866]],[[1.70757894]],[[1.26719849]],[[1.24953204]],[[1.12107964]],[[1.06176474]],[[0.96105627]],[[1.05660303]],[[0.87690992]],[[0.9800272]]
['H6PD'],[[1.01356459]],[[1.62148364]],[[1.83335007]],[[1.84272466]],[[2.09065733]],[[1.39993522]],[[1.08385313]],[[1.06786574]],[[0.86966629]],[[0.92219517]],[[0.9618454]],[[0.97458438]],[[1.06837165]]
