['CFLAR'],[[1.08748317]],[[2.42685963]],[[2.4850499]],[[2.60786029]],[[2.53516551]],[[2.13420114]],[[2.10403788]],[[1.821614]],[[1.34776649]],[[1.21905372]],[[1.20153245]],[[1.0252126]],[[1.05411088]]
['SKAP2'],[[1.0091479]],[[2.37360764]],[[2.26518922]],[[2.35327851]],[[2.44708391]],[[2.20819713]],[[1.91918794]],[[1.56094883]],[[1.5113673]],[[1.32492755]],[[1.30678061]],[[1.15124275]],[[1.20709083]]
['ABHD5'],[[1.04765617]],[[2.76970218]],[[2.61989743]],[[2.76151185]],[[2.70900661]],[[2.01364558]],[[1.90866673]],[[1.58245677]],[[1.33160052]],[[1.43603401]],[[1.32598507]],[[1.09405103]],[[1.20554329]]
['GAB2'],[[1.01281114]],[[2.54889142]],[[2.61649548]],[[2.64676712]],[[2.71920742]],[[1.9870268]],[[1.74513427]],[[1.64339089]],[[1.48578095]],[[1.41548272]],[[1.42398141]],[[1.11736765]],[[1.21531779]]
['ZFYVE16'],[[0.99596059]],[[2.57125782]],[[2.37123213]],[[2.68796894]],[[2.52468734]],[[2.20984647]],[[1.96120915]],[[1.38010351]],[[1.45994883]],[[1.21044835]],[[1.45554461]],[[1.03758592]],[[1.15059698]]
['FAM184B'],[[1.02212745]],[[3.50910201]],[[2.99880606]],[[3.30736496]],[[2.94050992]],[[2.68543721]],[[1.99089304]],[[1.73232597]],[[1.58853365]],[[0.86171224]],[[1.63337361]],[[1.62891498]],[[2.20977094]]
['FAM160A2'],[[1.05527934]],[[1.70890998]],[[1.81996463]],[[1.81523672]],[[1.99561544]],[[1.7177377]],[[1.61275285]],[[1.42861647]],[[1.29756276]],[[1.1761514]],[[1.15357359]],[[1.06878289]],[[1.15036847]]
['EIF2AK2'],[[1.08749562]],[[2.83404397]],[[2.62284399]],[[2.75785631]],[[2.83862635]],[[1.68508176]],[[1.09668822]],[[0.74821962]],[[0.9264376]],[[0.70945887]],[[0.98823893]],[[0.74154495]],[[0.79676545]]
['TMCC3'],[[1.08365983]],[[2.92780769]],[[2.86867608]],[[2.8917812]],[[2.95619226]],[[2.06278571]],[[1.86755665]],[[1.70184062]],[[1.48193225]],[[1.41302699]],[[1.55506915]],[[1.19180802]],[[1.36282653]]
['ATP11B'],[[1.06031533]],[[2.43978448]],[[2.24394201]],[[2.40593607]],[[2.43967663]],[[2.28642857]],[[1.90312524]],[[1.25916906]],[[1.18668743]],[[0.95912004]],[[1.16395366]],[[0.98015394]],[[1.03569861]]
['CDK14'],[[0.96927383]],[[2.37535977]],[[2.23053906]],[[2.17337462]],[[2.22113957]],[[1.63266662]],[[1.52301411]],[[1.28538487]],[[1.58116943]],[[1.32335752]],[[1.25324795]],[[0.95348362]],[[0.93015815]]
['YIPF1'],[[0.9425601]],[[2.33236225]],[[2.40183259]],[[2.43670371]],[[2.52745365]],[[2.01158026]],[[1.85811048]],[[1.43137835]],[[1.24222801]],[[1.02800392]],[[1.12039117]],[[1.00473922]],[[1.08652335]]
['MXD1'],[[1.03084443]],[[2.78834248]],[[2.6934423]],[[2.8090315]],[[2.87345761]],[[2.10469623]],[[1.98922315]],[[1.67314569]],[[1.38558163]],[[1.24695388]],[[1.34093905]],[[1.03054109]],[[1.13999911]]
['CTDP1'],[[0.96849573]],[[2.49579618]],[[2.65996281]],[[2.63917467]],[[2.56157785]],[[1.73307406]],[[1.37642001]],[[1.26931058]],[[1.04525224]],[[1.08934015]],[[0.98349297]],[[1.09833055]],[[1.08385262]]
['ELMO2'],[[1.06186334]],[[1.89642306]],[[1.86028643]],[[1.82211989]],[[1.85359864]],[[1.53753379]],[[1.40431933]],[[1.23914313]],[[1.06426008]],[[0.95338838]],[[0.98267734]],[[1.02742724]],[[0.99290837]]
['VMP1'],[[0.98857082]],[[2.6897595]],[[2.54798402]],[[2.60999084]],[[2.48884796]],[[2.14928603]],[[2.09355712]],[[1.73438441]],[[1.51835698]],[[1.40810965]],[[1.3995038]],[[1.1796726]],[[1.27158777]]
