['RAB32'],[[1.08746182]],[[2.07374946]],[[2.10502411]],[[2.08584785]],[[2.29437243]],[[1.93460794]],[[1.51716723]],[[2.03883686]],[[1.60505734]],[[1.57307831]],[[1.15760985]],[[1.32482142]],[[1.05435325]]
['FLVCR2'],[[0.95496648]],[[2.17015074]],[[2.14084165]],[[2.2276848]],[[2.3390645]],[[2.13071492]],[[1.95932451]],[[2.25146815]],[[1.78081674]],[[1.5578842]],[[1.10566819]],[[1.22775608]],[[1.23971931]]
['MMP19'],[[1.12697165]],[[2.21419482]],[[2.10352902]],[[2.19758815]],[[1.93905951]],[[2.7763276]],[[2.44937908]],[[2.38893426]],[[1.90312284]],[[1.82139436]],[[1.21207761]],[[1.27621921]],[[1.70084376]]
['NFE2'],[[1.10321445]],[[2.39988862]],[[2.29791621]],[[2.32858298]],[[2.42668544]],[[1.97200043]],[[1.49656482]],[[2.02181263]],[[1.8708991]],[[1.56630669]],[[1.23544834]],[[1.59204142]],[[1.23071475]]
['NQO2'],[[1.7578516]],[[2.22423402]],[[2.28032763]],[[2.38057614]],[[2.19913953]],[[2.51833925]],[[2.00717766]],[[1.82900128]],[[1.31197536]],[[1.71247779]],[[0.93266251]],[[1.24473884]],[[1.07517841]]
['ALDH1A2'],[[1.36147971]],[[1.43574677]],[[1.9285743]],[[1.49452167]],[[1.89020483]],[[1.94154429]],[[2.6339001]],[[2.01703876]],[[1.71555802]],[[1.67173299]],[[0.99497505]],[[1.45034393]],[[1.07707282]]
['CDKN2D'],[[1.16393557]],[[2.0733778]],[[2.0027354]],[[1.99297189]],[[2.37914807]],[[1.83033993]],[[1.26620636]],[[1.93836623]],[[1.84723778]],[[1.63284272]],[[1.39534583]],[[1.58503112]],[[1.10178999]]
['SIGLEC9'],[[1.16639371]],[[2.08413287]],[[1.99911559]],[[2.07607388]],[[2.18007772]],[[2.01508312]],[[1.61991109]],[[1.86597265]],[[1.39028069]],[[1.45938319]],[[1.11653204]],[[1.38534101]],[[1.01888289]]
['SAT1'],[[1.5814332]],[[2.1429037]],[[2.19471179]],[[2.20645088]],[[2.50935896]],[[1.88375429]],[[1.75308877]],[[2.13451541]],[[1.66398825]],[[1.51163334]],[[1.29096193]],[[1.46172476]],[[1.20136992]]
['F12'],[[1.83289404]],[[1.84209477]],[[1.80212157]],[[1.94415285]],[[2.16048255]],[[1.46746141]],[[0.84771538]],[[1.53830867]],[[1.01190103]],[[1.29941692]],[[1.01489189]],[[1.12858196]],[[1.02076003]]
['CARD6'],[[1.26306816]],[[2.11022179]],[[2.1836789]],[[2.24826396]],[[2.28813483]],[[2.08023493]],[[1.68862926]],[[1.86355723]],[[1.27959636]],[[1.26654546]],[[1.00855744]],[[1.19278814]],[[1.02586899]]
['CHIT1'],[[1.68705911]],[[2.35205745]],[[2.45359247]],[[2.49833649]],[[2.97146768]],[[2.21985106]],[[1.46531653]],[[2.16816749]],[[2.10940681]],[[1.9672113]],[[1.58661123]],[[1.86947568]],[[1.09579075]]
['RTN3'],[[1.86572476]],[[2.17233641]],[[2.24960753]],[[2.31057337]],[[2.55324273]],[[2.03575245]],[[1.69154064]],[[2.03014468]],[[1.48063112]],[[1.53740921]],[[1.30503431]],[[1.43348258]],[[1.0794138]]
['LYVE1'],[[1.78324498]],[[2.50596408]],[[3.10172749]],[[3.20360986]],[[2.77494207]],[[3.18181216]],[[3.03557735]],[[2.59170543]],[[1.81097377]],[[2.22840192]],[[1.58710092]],[[1.3862598]],[[1.3222778]]
['MYBPC3'],[[1.79185336]],[[2.67171864]],[[2.81509466]],[[2.82699776]],[[2.74436461]],[[2.60095925]],[[2.09566255]],[[2.51438687]],[[1.81140247]],[[1.85114077]],[[1.42385643]],[[1.65587736]],[[1.25279903]]
['ITGA7'],[[0.9168577]],[[2.64330106]],[[2.69732798]],[[2.59597936]],[[2.42115871]],[[3.32192748]],[[3.19945672]],[[2.37648262]],[[1.32245633]],[[1.93638058]],[[0.9893864]],[[1.09061045]],[[0.86275897]]
['FAM129A'],[[1.60090454]],[[2.32587141]],[[2.52785891]],[[2.61617602]],[[2.97138916]],[[2.46117714]],[[2.16831435]],[[2.32964582]],[[1.70700458]],[[1.4942108]],[[1.41205232]],[[1.71912204]],[[0.99489202]]
['AL355922.1'],[[0.3740651]],[[1.79499873]],[[1.49245565]],[[1.43251091]],[[1.46257781]],[[2.31577501]],[[1.94085543]],[[1.70700446]],[[1.04124672]],[[0.65623113]],[[0.49797104]],[[0.87968516]],[[0.67829056]]
['MYO7A'],[[0.67752994]],[[2.09633]],[[1.81666457]],[[1.91116889]],[[1.29930179]],[[1.94903786]],[[1.35991691]],[[1.81667249]],[[1.09790375]],[[0.98906074]],[[0.86064802]],[[0.92135663]],[[0.89168812]]
['PDE6H'],[[1.22156638]],[[2.5059642]],[[1.57461271]],[[2.1369531]],[[1.9590976]],[[2.17333101]],[[1.14851575]],[[1.6092424]],[[1.38626042]],[[1.61986244]],[[1.43717325]],[[1.32149718]],[[0.92627563]]
['FURIN'],[[1.45323569]],[[2.06809558]],[[1.99283491]],[[2.00510908]],[[2.21784345]],[[1.48392592]],[[1.17212931]],[[1.96829753]],[[2.15961675]],[[1.83941933]],[[1.3438014]],[[1.530646]],[[1.12417185]]
['IMPA2'],[[1.58778974]],[[2.4009985]],[[2.30168393]],[[2.27418686]],[[2.34378235]],[[2.00291796]],[[1.69331648]],[[2.07536422]],[[1.55040258]],[[1.60496433]],[[1.17812024]],[[1.37583125]],[[1.11871839]]
['NLRP12'],[[1.77355244]],[[2.17149168]],[[2.15434385]],[[2.26811191]],[[2.1954294]],[[2.18281084]],[[1.60749035]],[[1.95795554]],[[1.53405498]],[[1.7229073]],[[1.28017646]],[[1.4292725]],[[1.15106711]]
['CDKN2B'],[[0.96626533]],[[2.27573992]],[[2.43210143]],[[2.5422034]],[[2.13141294]],[[1.70593816]],[[1.233927]],[[1.60394349]],[[1.27155269]],[[1.08836061]],[[0.77125549]],[[1.08799365]],[[1.09341952]]
['STOM'],[[1.21641679]],[[2.0526251]],[[2.19623473]],[[2.38039472]],[[2.42368094]],[[1.6050678]],[[1.51044697]],[[2.00546014]],[[2.25188248]],[[1.91891714]],[[1.3714768]],[[1.4786546]],[[1.04534506]]
['TMEM236'],[[1.3939639]],[[2.74853725]],[[2.86104736]],[[2.00745793]],[[2.13920763]],[[1.83772835]],[[2.39478835]],[[2.09325526]],[[1.504298]],[[2.15567242]],[[1.17453017]],[[1.837095]],[[1.56110068]]
['ADM'],[[1.07475108]],[[3.03477872]],[[2.96757985]],[[2.99345187]],[[3.65680644]],[[3.46226407]],[[3.1342051]],[[3.31979943]],[[2.54656738]],[[2.28092022]],[[1.77857713]],[[2.30436114]],[[1.16339919]]
['TMCO3'],[[1.92214773]],[[2.09172366]],[[2.10567676]],[[2.22782257]],[[2.35209034]],[[2.0995256]],[[1.77280353]],[[1.97244176]],[[1.41885798]],[[1.37238374]],[[1.23499304]],[[1.38068679]],[[1.04348852]]
['GLT1D1'],[[1.59674291]],[[2.36361181]],[[2.48362141]],[[2.48597605]],[[2.53589056]],[[2.2487789]],[[1.86535032]],[[2.00947725]],[[1.48330535]],[[1.61476756]],[[1.22571262]],[[1.50304317]],[[1.05191404]]
['MERTK'],[[0.65564768]],[[2.45484173]],[[2.58211979]],[[2.48822411]],[[2.38310662]],[[2.56676173]],[[2.33968003]],[[2.3240126]],[[1.86454578]],[[1.34372518]],[[1.31038061]],[[1.2526979]],[[1.30510512]]
['APCDD1'],[[1.06999547]],[[2.34652198]],[[2.41521203]],[[2.36555387]],[[1.99728976]],[[1.55542783]],[[1.6525949]],[[1.5199614]],[[1.42065507]],[[1.78051579]],[[0.72556041]],[[0.87359419]],[[1.05092799]]
['ADAMTS3'],[[0.91685775]],[[1.7872568]],[[1.57461317]],[[1.70732538]],[[1.80347056]],[[2.07372626]],[[0.90240838]],[[1.55963256]],[[1.51110545]],[[1.57275493]],[[0.97446938]],[[1.11049285]],[[1.02076003]]
['SHROOM4'],[[2.00462796]],[[2.49174304]],[[2.13481543]],[[2.43555542]],[[2.45253645]],[[1.87107612]],[[1.70481768]],[[2.39611156]],[[2.13296692]],[[2.47036961]],[[1.7002425]],[[1.55534899]],[[1.50227157]]
['CDA'],[[2.32481504]],[[2.39322826]],[[2.25388908]],[[2.32292694]],[[2.6678745]],[[1.86920118]],[[1.40379072]],[[2.07334317]],[[1.58704295]],[[1.77665523]],[[1.40257726]],[[1.61170489]],[[1.18193106]]
['FCER1G'],[[1.04233432]],[[1.93491288]],[[1.95807423]],[[2.10301484]],[[2.28786659]],[[2.26891283]],[[1.81609888]],[[2.02219995]],[[1.48134295]],[[1.55133744]],[[1.19826445]],[[1.35197419]],[[1.03338821]]
['HK2'],[[1.7932882]],[[1.88828314]],[[1.90659113]],[[1.95731099]],[[2.19055777]],[[1.77562244]],[[1.31916442]],[[1.57479278]],[[1.16345467]],[[1.40864248]],[[1.0867396]],[[1.17169755]],[[0.94146638]]
['RBP7'],[[2.11647704]],[[2.57053703]],[[2.40498258]],[[2.40429079]],[[2.47986345]],[[1.51549322]],[[1.01837525]],[[1.78818065]],[[1.55923089]],[[1.59178268]],[[1.27559549]],[[1.47451155]],[[1.16013594]]
['ALPL'],[[1.36538901]],[[2.33384287]],[[2.5524558]],[[2.6954345]],[[3.5130598]],[[3.91520206]],[[3.15178466]],[[3.38663693]],[[2.39935615]],[[2.04371828]],[[1.37848324]],[[1.98614184]],[[0.94004057]]
['S100A11'],[[1.63747728]],[[2.04988006]],[[2.0382604]],[[2.09065681]],[[2.45755246]],[[2.13781691]],[[1.79280253]],[[2.22415231]],[[1.64170623]],[[1.60199545]],[[1.28365895]],[[1.5302634]],[[1.14542854]]
['PLB1'],[[1.57319269]],[[2.06059776]],[[2.08799936]],[[2.29114951]],[[2.42330546]],[[2.51574993]],[[2.12137135]],[[1.96128914]],[[1.42541421]],[[1.52367249]],[[1.12788924]],[[1.58398281]],[[1.06147735]]
['SGMS2'],[[1.89865569]],[[2.44506926]],[[2.43523646]],[[2.53481969]],[[2.50743748]],[[1.7032563]],[[1.32895761]],[[2.00600639]],[[1.35473987]],[[1.34291905]],[[1.09996993]],[[1.34242421]],[[1.06835819]]
['FAM198B'],[[0.59227195]],[[2.2445994]],[[2.25191167]],[[2.40331946]],[[1.91385837]],[[2.02993116]],[[1.67586797]],[[1.89035654]],[[1.50375726]],[[1.36290929]],[[1.04910728]],[[1.07276346]],[[0.98090054]]
['DLC1'],[[1.16978115]],[[1.95942417]],[[1.74198663]],[[1.81445826]],[[1.5158709]],[[1.96810099]],[[2.07034914]],[[1.94686011]],[[1.15752983]],[[1.25235802]],[[0.84709792]],[[1.1379048]],[[1.09341938]]
['ARHGEF40'],[[1.44292124]],[[2.41519949]],[[2.40309734]],[[2.44211324]],[[2.93569224]],[[2.21367067]],[[1.53793867]],[[2.44954777]],[[1.78317757]],[[1.28455964]],[[1.52288704]],[[1.84210881]],[[1.12299799]]
['UBTD1'],[[1.45348402]],[[2.02423217]],[[1.79798888]],[[2.06000047]],[[1.98645711]],[[1.86056665]],[[1.40399629]],[[1.94082043]],[[1.50407656]],[[1.4554399]],[[1.11920239]],[[1.28419799]],[[0.97151071]]
['HTRA1'],[[1.04655971]],[[3.37303272]],[[3.33647696]],[[3.51368278]],[[3.09909733]],[[3.9896022]],[[3.01038056]],[[3.81029477]],[[3.48624533]],[[2.76673972]],[[1.73507938]],[[2.11534081]],[[0.92627578]]
['TMEM88'],[[1.8390174]],[[3.00757265]],[[2.68729098]],[[2.83826453]],[[2.75201313]],[[2.40347975]],[[1.92167634]],[[2.13878683]],[[1.58454352]],[[1.84471577]],[[1.28893049]],[[1.55392885]],[[1.12959977]]
['RAB31'],[[1.52159055]],[[2.03342314]],[[2.09397848]],[[2.19032839]],[[2.26545334]],[[2.01895603]],[[1.7593356]],[[1.93366033]],[[1.48895744]],[[1.61919178]],[[1.12099234]],[[1.32101821]],[[1.06543021]]
['ADAM9'],[[1.51654688]],[[2.39721436]],[[2.39723305]],[[2.64721733]],[[2.32139919]],[[2.54519659]],[[2.22893239]],[[2.23035176]],[[1.69796129]],[[1.80289981]],[[1.20933318]],[[1.29857604]],[[1.14459101]]
['FAM110B'],[[1.75189048]],[[3.03670689]],[[2.83270808]],[[2.73636039]],[[2.85779146]],[[1.92922633]],[[1.6525949]],[[2.07148724]],[[1.87993132]],[[1.63522954]],[[1.31565382]],[[1.58877904]],[[1.61257649]]
['ITGAM'],[[1.7826214]],[[2.47032669]],[[2.44013153]],[[2.59130591]],[[2.60544426]],[[2.27089662]],[[1.74537573]],[[2.11633461]],[[1.61351794]],[[1.61503994]],[[1.23367477]],[[1.37068032]],[[0.97987767]]
['CD14'],[[0.66216304]],[[2.28002211]],[[2.22838287]],[[2.26318193]],[[2.07047517]],[[1.96190331]],[[1.42679019]],[[1.85866425]],[[1.45616389]],[[1.53282187]],[[1.0620996]],[[1.30409466]],[[0.98647913]]
['OSCAR'],[[1.5268639]],[[2.06490247]],[[1.9260225]],[[2.15709243]],[[2.34981938]],[[1.99311724]],[[1.45474349]],[[2.33157227]],[[1.8348124]],[[1.59498507]],[[1.28720958]],[[1.52345689]],[[1.08628195]]
['FPR1'],[[2.14851949]],[[2.79683045]],[[2.75500148]],[[2.8404683]],[[3.14841621]],[[2.2408721]],[[1.89644753]],[[2.37221925]],[[1.74214592]],[[1.72164439]],[[1.53563114]],[[1.81281572]],[[1.15111089]]
['NHLH1'],[[1.22156614]],[[1.80576896]],[[1.25398271]],[[1.60359358]],[[1.41420663]],[[1.87502659]],[[1.8785628]],[[1.65638817]],[[1.28583191]],[[1.07439848]],[[0.79324713]],[[0.831104]],[[1.05688681]]
['C3AR1'],[[1.25923374]],[[2.13173425]],[[2.16195178]],[[2.3119914]],[[1.78466506]],[[2.02966394]],[[2.22064151]],[[1.9545915]],[[1.27265985]],[[1.41512453]],[[0.93677886]],[[1.03441092]],[[1.06372435]]
['LDLRAD3'],[[0.57853542]],[[2.22612176]],[[2.35842365]],[[2.19978532]],[[1.94438511]],[[1.54811572]],[[1.51744824]],[[1.63465581]],[[1.43426106]],[[1.07673497]],[[1.02231761]],[[1.13043855]],[[1.0783097]]
['ABCA13'],[[2.44104273]],[[2.00663819]],[[2.09387059]],[[1.988185]],[[2.40404963]],[[1.6423068]],[[1.57084138]],[[1.97532573]],[[1.77536953]],[[2.43358472]],[[0.96722562]],[[1.64228859]],[[1.52066548]]
