['TEAD3'],[[2.66174769]],[[5.26462328]],[[5.34238092]],[[5.53328185]],[[5.40996533]],[[3.910977]],[[3.05330988]],[[2.10221272]],[[2.03777442]],[[2.70691075]],[[1.47330402]],[[2.03997913]],[[1.88795113]]
['HGF'],[[1.956336]],[[3.33314336]],[[3.44942085]],[[3.71288792]],[[3.6208807]],[[1.87806769]],[[1.66240179]],[[1.86560226]],[[1.39562135]],[[1.3724544]],[[1.07941541]],[[1.20017932]],[[1.18656813]]
['IDI1'],[[1.80840214]],[[3.59866359]],[[3.7472721]],[[3.59871259]],[[3.75700086]],[[2.2744991]],[[1.38279245]],[[1.51115331]],[[1.20294182]],[[1.1195985]],[[1.19529861]],[[1.36371402]],[[0.9096096]]
['MKNK1'],[[2.04916898]],[[3.24362495]],[[3.31674255]],[[3.39526917]],[[3.51500154]],[[2.72538296]],[[1.80945872]],[[2.04169465]],[[1.41661961]],[[1.42205632]],[[1.24622958]],[[1.59210313]],[[1.10145143]]
['CEACAM1'],[[1.23638799]],[[3.47844327]],[[3.54234041]],[[3.66044184]],[[3.54869593]],[[1.63302268]],[[1.28786595]],[[1.33599203]],[[0.9834211]],[[1.48387813]],[[0.9986727]],[[1.18243084]],[[1.01392335]]
['OSM'],[[1.65530228]],[[4.51011433]],[[4.21713221]],[[4.41751854]],[[4.65329464]],[[3.32079629]],[[2.13566324]],[[2.29853965]],[[1.65387286]],[[1.74516996]],[[1.50446672]],[[2.0066312]],[[1.19865792]]
['RETN'],[[1.32352375]],[[3.11777375]],[[3.08025353]],[[3.31832464]],[[3.83259866]],[[3.91097687]],[[2.01512008]],[[2.08482786]],[[1.91624223]],[[1.64460523]],[[1.05120781]],[[1.64737424]],[[1.21158332]]
['TTC26'],[[2.02538156]],[[3.26010549]],[[3.44529989]],[[3.27569256]],[[4.18672645]],[[1.60780222]],[[1.3047265]],[[1.70977592]],[[1.30582151]],[[1.32048315]],[[1.06285966]],[[1.58160067]],[[0.95447889]]
['GRB10'],[[2.07959297]],[[3.67408329]],[[3.7172583]],[[3.73599114]],[[3.81338679]],[[2.78839534]],[[1.97785689]],[[2.29008074]],[[1.77383397]],[[1.80121127]],[[1.19035603]],[[1.40096513]],[[1.12486081]]
['KLHL2'],[[2.10420783]],[[3.34099162]],[[3.41140987]],[[3.37465208]],[[3.6175238]],[[2.7697163]],[[2.13265609]],[[2.16713917]],[[1.54751944]],[[1.5677054]],[[1.26048682]],[[1.47812265]],[[1.03608161]]
['MS4A4A'],[[0.55323044]],[[3.08270934]],[[2.90850658]],[[3.08445057]],[[3.30857479]],[[3.16704975]],[[2.85047449]],[[2.82556099]],[[2.21256927]],[[1.81146087]],[[1.1380248]],[[1.18627107]],[[1.48580196]]
['HRH2'],[[1.54677097]],[[3.26005744]],[[3.20400164]],[[3.20926799]],[[3.2942958]],[[2.54357888]],[[1.79190687]],[[1.91030074]],[[1.38122272]],[[1.47803514]],[[1.1257124]],[[1.38348508]],[[0.98355908]]
['GCA'],[[2.03355712]],[[3.41935278]],[[3.59565312]],[[3.64219588]],[[3.80992989]],[[2.79282384]],[[1.97436005]],[[2.13257278]],[[1.51408214]],[[1.55440321]],[[1.33682453]],[[1.60820229]],[[1.03720872]]
['SIPA1L2'],[[3.03928434]],[[4.64380013]],[[4.67114602]],[[4.66172596]],[[5.17517361]],[[2.69358789]],[[2.13916364]],[[2.81890123]],[[2.16421604]],[[2.06242424]],[[1.95880268]],[[2.27224031]],[[1.4939159]]
