['CFLAR'],[[1.66202565]],[[2.26176576]],[[2.35206831]],[[2.38337971]],[[2.49430743]],[[1.90636473]],[[1.65498798]],[[1.84067274]],[[1.28473402]],[[1.33967151]],[[1.14294128]],[[1.36933737]],[[1.02341052]]
['SKAP2'],[[1.61910292]],[[2.13231656]],[[2.25692712]],[[2.30969958]],[[2.46469821]],[[1.85005311]],[[1.48830745]],[[1.78320909]],[[1.39237338]],[[1.42106565]],[[1.19796149]],[[1.34857179]],[[1.00598356]]
['ABHD5'],[[2.32139696]],[[2.31471827]],[[2.49712285]],[[2.42762218]],[[2.92325509]],[[1.45532812]],[[1.37009848]],[[1.86311441]],[[1.41170181]],[[1.53456819]],[[1.40588601]],[[1.60711767]],[[1.18038071]]
['GAB2'],[[1.93972532]],[[2.30641712]],[[2.22927011]],[[2.25819864]],[[2.52613063]],[[1.67291765]],[[1.37870993]],[[1.82218301]],[[1.38838824]],[[1.56848588]],[[1.32903556]],[[1.47502454]],[[1.11796173]]
['ZFYVE16'],[[1.51615272]],[[1.87385245]],[[2.08123962]],[[2.08825705]],[[2.18516982]],[[1.63295314]],[[1.50798643]],[[1.50334408]],[[1.09136085]],[[1.20906522]],[[1.08768973]],[[1.26089411]],[[0.88681905]]
['FAM184B'],[[1.61917668]],[[1.35619814]],[[2.92508515]],[[2.1369533]],[[2.26059215]],[[2.38204861]],[[1.59841051]],[[1.47442108]],[[1.36985078]],[[1.50745138]],[[1.41108656]],[[1.67995728]],[[0.67829076]]
['FAM160A2'],[[1.85323907]],[[2.12588223]],[[2.0569513]],[[2.16577987]],[[2.10829477]],[[1.78404159]],[[1.24263031]],[[1.50279598]],[[1.17884288]],[[1.29480673]],[[1.04373322]],[[1.16477573]],[[1.04736191]]
['EIF2AK2'],[[1.74694851]],[[2.25610845]],[[2.440083]],[[2.47078096]],[[2.5956871]],[[1.54977189]],[[1.01832726]],[[1.11279052]],[[0.80331631]],[[1.09851589]],[[0.85912067]],[[1.17664802]],[[1.10326406]]
['TMCC3'],[[2.04450895]],[[2.30726333]],[[2.37664882]],[[2.41654219]],[[2.55741965]],[[1.59602712]],[[1.33612656]],[[1.5419568]],[[1.13797791]],[[1.61791275]],[[1.20036796]],[[1.37447524]],[[1.06744143]]
['ATP11B'],[[1.57761735]],[[2.16455472]],[[2.31602216]],[[2.3159073]],[[2.67371076]],[[2.00591164]],[[1.51447302]],[[1.62830882]],[[1.13115706]],[[1.12449736]],[[1.10912763]],[[1.26667797]],[[0.93433661]]
['CDK14'],[[1.94805193]],[[1.82750595]],[[1.87458867]],[[1.8636399]],[[2.11281166]],[[1.48664652]],[[1.36247044]],[[1.58345815]],[[1.34709038]],[[1.53549969]],[[1.05136381]],[[1.23355547]],[[0.93155121]]
['YIPF1'],[[1.27347331]],[[2.30955972]],[[2.36911098]],[[2.35000146]],[[2.52928794]],[[1.86436029]],[[1.44610017]],[[1.67737898]],[[1.25197192]],[[1.15621256]],[[1.12950832]],[[1.31260151]],[[0.99676801]]
['MXD1'],[[2.16925662]],[[2.58793861]],[[2.64801071]],[[2.69908855]],[[3.08358382]],[[1.89646211]],[[1.69503083]],[[2.09083148]],[[1.53051039]],[[1.68255814]],[[1.48317834]],[[1.66014059]],[[1.1059905]]
['CTDP1'],[[1.41543414]],[[2.11140337]],[[2.03357091]],[[2.0866244]],[[2.16664081]],[[1.44541076]],[[1.06743092]],[[1.41546585]],[[1.08739285]],[[1.14421932]],[[1.02392491]],[[1.27170621]],[[1.00613622]]
['ELMO2'],[[1.56316305]],[[2.01884865]],[[1.94738459]],[[1.99880679]],[[2.09950124]],[[1.3938245]],[[1.13938448]],[[1.38435623]],[[1.0658653]],[[0.98118865]],[[0.98419701]],[[1.14004971]],[[0.92808778]]
['VMP1'],[[1.71693352]],[[2.07663868]],[[2.17368775]],[[2.09677776]],[[2.37515861]],[[1.61734598]],[[1.47044]],[[1.78007273]],[[1.2936266]],[[1.44653978]],[[1.18592914]],[[1.33632855]],[[1.13467322]]
['HIPK2'],[[1.56573751]],[[2.46788877]],[[2.28002569]],[[2.32464056]],[[2.25580882]],[[1.17757304]],[[0.9899044]],[[1.38707611]],[[1.09416492]],[[1.08139423]],[[1.10635202]],[[1.22935621]],[[0.9805203]]
['TNPO3'],[[1.61775972]],[[1.93750471]],[[1.90120272]],[[1.92801116]],[[2.08273574]],[[1.49525933]],[[1.17617677]],[[1.33843832]],[[1.03529726]],[[1.08857832]],[[0.96454212]],[[1.09168274]],[[0.98762718]]
['ANKS1A'],[[1.52947735]],[[2.1796176]],[[2.03023121]],[[2.07892372]],[[2.25723149]],[[1.38139211]],[[1.1272777]],[[1.51827141]],[[1.16820696]],[[1.2142522]],[[1.12280215]],[[1.29141658]],[[1.09765239]]
['SEC61A2'],[[1.82393199]],[[1.93422948]],[[2.09967315]],[[2.06406114]],[[2.08190512]],[[1.11918845]],[[1.12770786]],[[1.35492008]],[[0.99573478]],[[1.10696752]],[[1.08604953]],[[1.19763986]],[[1.02948162]]
['PPP2R5A'],[[1.69831463]],[[1.91917047]],[[1.9579235]],[[2.01593862]],[[2.23462363]],[[1.46084457]],[[1.06944599]],[[1.53794512]],[[1.147105]],[[1.37695302]],[[1.19176199]],[[1.33727613]],[[1.03355356]]
['SPI1'],[[1.38285926]],[[2.17225785]],[[2.11781582]],[[2.21847692]],[[2.35725493]],[[1.88047812]],[[1.41723201]],[[1.86718253]],[[1.43123559]],[[1.59949347]],[[1.20881599]],[[1.42112825]],[[1.08782659]]
['TNFRSF1A'],[[1.24728256]],[[2.16589779]],[[2.05797885]],[[2.07000537]],[[2.1633465]],[[1.75998891]],[[1.43719201]],[[1.63749181]],[[1.2296436]],[[1.44162137]],[[1.14896546]],[[1.36273024]],[[1.06584432]]
['ROCK1'],[[1.53666703]],[[1.89639535]],[[1.92556059]],[[1.97062895]],[[2.21316976]],[[1.5397701]],[[1.46031391]],[[1.55717879]],[[1.11575268]],[[1.15717921]],[[1.07792649]],[[1.23539503]],[[0.96946011]]
['HDAC4'],[[1.25888002]],[[2.15881829]],[[2.21324903]],[[2.33418278]],[[2.32268752]],[[1.94137573]],[[1.62975882]],[[1.83479655]],[[1.35407724]],[[1.18806768]],[[1.06930514]],[[1.24415711]],[[1.08039382]]
['ATP11A'],[[1.59176022]],[[2.11393637]],[[2.108386]],[[2.2009447]],[[2.1191221]],[[1.59461941]],[[1.27706321]],[[1.49230603]],[[1.12177116]],[[1.28203737]],[[1.07182026]],[[1.18640385]],[[1.02718786]]
['RAB27A'],[[1.61743456]],[[2.23928351]],[[2.33906749]],[[2.41453943]],[[2.47878995]],[[1.86948305]],[[1.62495722]],[[1.80801412]],[[1.27780107]],[[1.2281966]],[[1.16407833]],[[1.35494075]],[[1.00827195]]
['JMJD6'],[[1.44457281]],[[2.46762247]],[[2.38246574]],[[2.36106064]],[[2.43923771]],[[1.73142604]],[[1.22022329]],[[1.39097096]],[[1.12723795]],[[1.20495874]],[[1.04425895]],[[1.20874832]],[[0.87834869]]
