['GCLC'],[[1.02085038]],[[0.65485171]],[[0.70384777]],[[0.70879756]],[[0.88238222]],[[0.78567505]],[[0.83806877]],[[1.37189892]],[[1.66001567]],[[1.32665972]],[[1.15301654]],[[1.23304777]],[[1.0420484]]
['PRKAR2B'],[[1.32145002]],[[1.09467466]],[[1.14166703]],[[1.12524578]],[[1.35567052]],[[1.20212512]],[[1.59260916]],[[2.25269152]],[[2.08630437]],[[2.25322722]],[[1.50933101]],[[1.40519976]],[[1.24702268]]
['MPO'],[[2.19010247]],[[0.89534384]],[[1.26010718]],[[1.02227183]],[[1.00038768]],[[0.9123893]],[[1.02122974]],[[1.65093275]],[[1.90287126]],[[2.09711998]],[[1.19938891]],[[1.73820223]],[[1.91469887]]
['E2F2'],[[1.15602639]],[[1.15768329]],[[1.03384273]],[[1.14762701]],[[1.25848968]],[[1.24839572]],[[1.10530788]],[[2.18744108]],[[2.2693442]],[[1.05233244]],[[1.44239125]],[[1.79552811]],[[1.24915859]]
['TSPAN9'],[[1.3801007]],[[0.9354667]],[[0.92292068]],[[0.99813131]],[[1.16200491]],[[1.13824012]],[[1.18296516]],[[2.18629006]],[[2.19821293]],[[2.18492994]],[[1.41800227]],[[1.37575052]],[[1.25883014]]
['EHD3'],[[1.13160266]],[[0.93433171]],[[0.84632974]],[[0.90163695]],[[0.84917731]],[[1.03426223]],[[1.05601705]],[[1.79122435]],[[1.74224435]],[[1.85732527]],[[1.16227247]],[[1.14518694]],[[1.18792869]]
['SLC25A39'],[[1.22409978]],[[0.91200172]],[[0.82682405]],[[0.82468243]],[[0.99693836]],[[0.91260525]],[[0.89346568]],[[1.80546886]],[[2.1045623]],[[1.67797789]],[[1.33993292]],[[1.72451791]],[[1.28596709]]
['HEBP1'],[[0.6338637]],[[1.06301834]],[[1.02995547]],[[0.9143887]],[[1.11129386]],[[0.74962383]],[[0.95311166]],[[1.97435985]],[[2.13494818]],[[1.00436215]],[[1.72478446]],[[1.73008789]],[[1.02777804]]
['FHL1'],[[1.05895077]],[[0.74549264]],[[0.80666376]],[[0.77190717]],[[0.95528748]],[[0.89445932]],[[1.16381128]],[[1.89884007]],[[1.96285464]],[[2.31655026]],[[1.31779836]],[[1.29746743]],[[1.20500598]]
['EHD2'],[[1.33045579]],[[0.79423952]],[[0.76410299]],[[0.90013375]],[[0.85396869]],[[0.73190072]],[[1.23879707]],[[1.71242536]],[[1.32603941]],[[1.78214095]],[[1.00362448]],[[0.94660991]],[[0.70977686]]
['MAP2K3'],[[1.2793842]],[[1.24201772]],[[1.22421093]],[[1.21389833]],[[1.44250105]],[[1.24837283]],[[0.98049463]],[[1.98448621]],[[2.46161636]],[[1.77898703]],[[1.49922926]],[[1.72770012]],[[1.21294679]]
['RIPOR3'],[[1.12941368]],[[0.83191631]],[[0.80071012]],[[0.72364164]],[[1.02952434]],[[0.85395293]],[[0.94699543]],[[1.86874639]],[[1.89499748]],[[1.51037109]],[[1.13118001]],[[1.47621028]],[[1.15493706]]
['AP2S1'],[[0.85068661]],[[0.9598674]],[[0.93430258]],[[0.95515905]],[[1.00496676]],[[0.97556976]],[[0.97325363]],[[1.67387934]],[[1.74543194]],[[1.41462923]],[[1.18241368]],[[1.43919936]],[[1.11151739]]
['ARHGAP6'],[[1.51247534]],[[1.13116971]],[[0.97135846]],[[1.07041333]],[[1.23100255]],[[1.33221746]],[[1.53912154]],[[2.16343458]],[[1.99614436]],[[2.1335129]],[[1.56967942]],[[1.50083141]],[[1.35689034]]
['LTBP1'],[[1.24609991]],[[1.007494]],[[1.03813778]],[[1.0026013]],[[1.07173324]],[[0.95836637]],[[1.35668619]],[[2.04070766]],[[1.89880556]],[[1.9935375]],[[1.37365932]],[[1.28814093]],[[1.22129141]]
['NEDD4L'],[[1.02971338]],[[0.90727307]],[[0.87564921]],[[0.86560027]],[[0.93529403]],[[0.90380451]],[[1.08358994]],[[1.85347895]],[[1.92453789]],[[1.57960799]],[[1.1745872]],[[1.40748301]],[[1.15268933]]
['PTPRN'],[[0.91685769]],[[0.95312206]],[[1.12904118]],[[0.74817304]],[[1.69693368]],[[0.3571026]],[[1.559233]],[[3.50630274]],[[3.3318434]],[[2.51092075]],[[2.67001393]],[[2.75303574]],[[1.17664813]]
['KCNH2'],[[1.13994841]],[[0.6366371]],[[0.38711469]],[[0.61223727]],[[0.81688109]],[[0.67166255]],[[1.00038004]],[[2.25361273]],[[3.00944049]],[[1.68333182]],[[1.38396134]],[[1.82673937]],[[1.33377574]]
['PITHD1'],[[1.19214033]],[[0.85267189]],[[0.81210933]],[[0.83409457]],[[1.25721892]],[[0.7908958]],[[0.8760068]],[[2.11225109]],[[2.43637261]],[[1.49674754]],[[1.53687123]],[[1.80453701]],[[1.19500799]]
['YBX3'],[[1.23903527]],[[0.94078605]],[[0.86994407]],[[0.88943775]],[[1.20356921]],[[0.94334454]],[[0.95652355]],[[1.88779821]],[[2.23048676]],[[2.19376641]],[[1.3554186]],[[1.67094259]],[[1.24749718]]
['WNK1'],[[1.1741676]],[[1.05793318]],[[1.01642069]],[[1.03840556]],[[1.06799782]],[[1.06732041]],[[1.18617104]],[[1.7181993]],[[1.9877749]],[[1.9631484]],[[1.1708674]],[[1.33178751]],[[1.1109142]]
['GUCY1B3'],[[1.26534591]],[[0.88091726]],[[1.00705353]],[[0.97001628]],[[1.11642239]],[[1.11460465]],[[1.51760555]],[[2.11039393]],[[1.84805212]],[[1.70734977]],[[1.4196333]],[[1.32068537]],[[1.10729199]]
['HAGH'],[[1.16508807]],[[0.83548008]],[[0.87216255]],[[0.83468546]],[[1.12300981]],[[0.92209212]],[[0.92006103]],[[1.8072182]],[[2.14756947]],[[1.61836366]],[[1.41422075]],[[1.78425035]],[[1.23455462]]
['TBC1D22B'],[[1.18708881]],[[0.95851911]],[[0.95087132]],[[0.93270647]],[[1.11263671]],[[0.96129402]],[[0.98968294]],[[1.70662548]],[[1.91400115]],[[1.41482128]],[[1.25687406]],[[1.51390219]],[[1.25003044]]
['MYLK'],[[1.2868798]],[[1.00627]],[[1.05499871]],[[1.07993016]],[[1.07092857]],[[1.14697486]],[[1.2301288]],[[2.04412993]],[[1.83260183]],[[1.91909334]],[[1.22473978]],[[1.15914926]],[[1.20105041]]
['FECH'],[[1.20666894]],[[0.82107348]],[[0.78812984]],[[0.73878042]],[[1.12045872]],[[0.86209452]],[[0.80068882]],[[1.99696359]],[[2.49554478]],[[1.53112108]],[[1.77928419]],[[1.88235398]],[[1.10335063]]
['PPP2R5B'],[[1.44996]],[[1.31695375]],[[1.29404779]],[[1.21273078]],[[1.26566115]],[[1.00351561]],[[0.87757696]],[[1.61717377]],[[1.92903729]],[[2.04431396]],[[1.07400227]],[[1.40907131]],[[1.18924537]]
['RHOBTB1'],[[1.33014026]],[[1.18961636]],[[1.29129068]],[[1.08869227]],[[1.11067496]],[[1.34748425]],[[1.6474074]],[[2.30607381]],[[1.97373638]],[[2.27324048]],[[1.35515461]],[[1.23518196]],[[1.3873162]]
['MGLL'],[[1.1289063]],[[0.88718017]],[[0.78644378]],[[0.7836964]],[[1.12810918]],[[0.96352851]],[[1.61930583]],[[2.48660067]],[[2.04572912]],[[1.58189191]],[[1.5441079]],[[1.43045087]],[[1.20258478]]
['MBNL3'],[[1.210845]],[[0.77382084]],[[0.79868633]],[[0.72767887]],[[1.11260166]],[[0.80975671]],[[0.97150349]],[[1.8923592]],[[2.24239821]],[[1.74375411]],[[1.58536466]],[[1.60919107]],[[1.00023363]]
['CTTNBP2'],[[0]],[[0]],[[1.57461296]],[[0.46214805]],[[0.24239842]],[[0.55393544]],[[2.08574836]],[[2.21763636]],[[1.99396635]],[[1.25235819]],[[1.35587841]],[[1.93388864]],[[0.92627588]]
['HOXA9'],[[2.18649886]],[[0]],[[1.57461316]],[[2.1369535]],[[2.19115485]],[[1.26558985]],[[2.82462246]],[[3.75635111]],[[3.15343143]],[[1.9125004]],[[2.75306617]],[[3.15098504]],[[2.45990906]]
['ARG2'],[[0.93858224]],[[0.81137689]],[[0.82039742]],[[0.69706102]],[[1.04653753]],[[0.78640967]],[[1.22318618]],[[1.57974499]],[[1.70442021]],[[2.2600836]],[[1.10899334]],[[1.08665482]],[[0.66072786]]
['CDC14B'],[[1.09261144]],[[0.75813289]],[[0.91729639]],[[0.81255021]],[[1.0167328]],[[0.88038867]],[[1.08551419]],[[1.80350332]],[[1.76354772]],[[1.76746359]],[[1.21785795]],[[1.18371314]],[[1.04788564]]
['STRADB'],[[1.27092392]],[[0.91739077]],[[0.95148076]],[[0.89041119]],[[1.24673583]],[[0.94559669]],[[0.93261595]],[[1.8404237]],[[2.16394406]],[[1.8223443]],[[1.56371449]],[[1.70632415]],[[1.2100451]]
['ITGB5'],[[1.20758171]],[[0.95312204]],[[0.90753716]],[[0.93982997]],[[1.13052885]],[[1.01064236]],[[1.20240257]],[[2.0322592]],[[1.87674159]],[[2.02653336]],[[1.26032807]],[[1.26954]],[[1.2454679]]
