['MSL3'],[[1.67406076]],[[2.49492516]],[[2.57928132]],[[2.58016467]],[[2.80604447]],[[2.1106356]],[[1.57679556]],[[1.70512343]],[[1.144901]],[[1.0111011]],[[1.00878948]],[[1.22994936]],[[0.97006638]]
['GAS7'],[[1.07257175]],[[2.71252984]],[[2.83980996]],[[2.99414752]],[[2.86900264]],[[2.35256797]],[[1.69224716]],[[2.0458747]],[[1.43182977]],[[1.27128037]],[[1.07513821]],[[1.30956048]],[[1.01523501]]
['SERPINB1'],[[1.63910998]],[[2.93872225]],[[2.96533948]],[[3.02460015]],[[3.20536174]],[[2.3997602]],[[1.75308836]],[[1.99176592]],[[1.35829517]],[[1.34066081]],[[1.11257028]],[[1.35797824]],[[0.99846053]]
['IFNGR1'],[[2.08976977]],[[2.41785414]],[[2.52886535]],[[2.53262951]],[[2.844701]],[[1.86298731]],[[1.58226004]],[[1.81297016]],[[1.33913154]],[[1.43360155]],[[1.13735437]],[[1.32889261]],[[1.01242932]]
['KIF1B'],[[1.88166091]],[[2.8219119]],[[2.90931254]],[[3.0309672]],[[3.05058971]],[[2.62081708]],[[1.83639679]],[[1.97412894]],[[1.39543561]],[[1.47095946]],[[1.26070574]],[[1.4379079]],[[1.08321586]]
['ATP9A'],[[1.95265379]],[[2.84720819]],[[3.09288417]],[[3.41684916]],[[3.49544275]],[[3.25839012]],[[1.91287371]],[[2.18718819]],[[1.90530765]],[[1.7161199]],[[1.58166716]],[[1.72381325]],[[1.15890891]]
['SLC2A3'],[[1.35803504]],[[3.20924722]],[[3.19742742]],[[3.240614]],[[3.50703477]],[[2.96239236]],[[2.26587933]],[[2.45318598]],[[1.72347703]],[[1.66330321]],[[1.55474975]],[[1.78042829]],[[1.04056661]]
['BCAT1'],[[1.26816457]],[[3.09960614]],[[3.15334583]],[[3.15698761]],[[3.15988454]],[[2.11001122]],[[1.86947947]],[[2.34675201]],[[1.82568278]],[[1.45406942]],[[1.44159403]],[[1.32527147]],[[1.16969625]]
['DGAT2'],[[1.89055563]],[[2.80785042]],[[2.82539848]],[[2.75158361]],[[3.17930362]],[[2.46664942]],[[1.71368101]],[[2.17801256]],[[1.7107179]],[[1.79698964]],[[1.49365891]],[[1.73643241]],[[1.13615335]]
['SBNO2'],[[1.30091483]],[[2.90848432]],[[2.72626006]],[[2.72409066]],[[2.81531531]],[[2.1715174]],[[1.56456185]],[[1.89544369]],[[1.46003677]],[[1.52671443]],[[1.22141357]],[[1.49005032]],[[1.0735417]]
['MEF2A'],[[1.12935824]],[[2.32191246]],[[2.44573473]],[[2.4161186]],[[2.48861564]],[[1.90807432]],[[1.44606697]],[[1.63804749]],[[1.18071461]],[[1.00586505]],[[1.00847978]],[[1.20313754]],[[0.96243629]]
['ACSL4'],[[1.63257335]],[[2.82404394]],[[2.99133715]],[[2.91386954]],[[3.21283238]],[[1.87917116]],[[1.43788135]],[[1.60550152]],[[1.15445106]],[[1.29350055]],[[1.1015509]],[[1.29510784]],[[0.95221701]]
['BCL3'],[[0.90257271]],[[3.23304499]],[[3.00121647]],[[3.14437166]],[[3.18175589]],[[2.02508634]],[[1.53992576]],[[1.93441918]],[[1.42180664]],[[1.53629136]],[[1.29604936]],[[1.56294754]],[[1.04207941]]
['TMEM260'],[[1.29331122]],[[2.69219998]],[[2.81205844]],[[2.81167308]],[[2.84405778]],[[2.21460368]],[[1.63782768]],[[1.65238395]],[[1.23007545]],[[1.09353241]],[[1.11635813]],[[1.32775015]],[[1.06743034]]
['MRVI1'],[[1.6834635]],[[2.69098056]],[[2.74671238]],[[2.77249813]],[[2.70157796]],[[2.71211251]],[[1.92980837]],[[1.8714071]],[[1.29441536]],[[1.63500891]],[[1.27609053]],[[1.38923225]],[[0.97400703]]
['DHRS9'],[[2.31810593]],[[2.71264847]],[[2.72397081]],[[2.88752617]],[[2.84866777]],[[1.11829781]],[[0.91153667]],[[1.16952542]],[[0.8729237]],[[1.28429408]],[[0.78069338]],[[1.02150262]],[[1.16844033]]
['IL4R'],[[1.14018512]],[[2.98001037]],[[3.02573013]],[[3.10525553]],[[2.94679763]],[[2.69362746]],[[1.79535083]],[[1.55588371]],[[1.10831502]],[[1.23286479]],[[0.91618554]],[[1.15913983]],[[0.9383396]]
['CST7'],[[1.20410984]],[[1.52136659]],[[1.52700456]],[[1.63892265]],[[3.27175028]],[[2.32150312]],[[1.64308787]],[[2.48200984]],[[1.81507049]],[[0.81112875]],[[1.39426027]],[[1.85715273]],[[0.94247835]]
['SMAP2'],[[2.34234108]],[[2.71643849]],[[2.68836247]],[[2.6839718]],[[3.07632983]],[[1.48024736]],[[1.06797409]],[[1.72891751]],[[1.30895827]],[[1.50006006]],[[1.22731427]],[[1.45037264]],[[1.2547533]]
['CD59'],[[1.28966515]],[[2.52766807]],[[2.7803419]],[[2.70350686]],[[3.30530199]],[[1.77181014]],[[1.34894741]],[[1.73758598]],[[1.42132757]],[[1.27254356]],[[1.10375821]],[[1.42361967]],[[0.92325504]]
['NME8'],[[2.52004312]],[[2.87192048]],[[3.30423855]],[[3.26701283]],[[3.47663739]],[[2.69443307]],[[2.0535798]],[[2.12870226]],[[1.52677836]],[[1.84293536]],[[1.63581182]],[[1.85046467]],[[1.19712975]]
['PGS1'],[[1.53697266]],[[3.48202033]],[[3.47158683]],[[3.3698028]],[[3.50981157]],[[2.72078132]],[[1.84961161]],[[2.03873654]],[[1.52012316]],[[1.44391489]],[[1.21449873]],[[1.54642154]],[[1.07588753]]
['GRAMD1A'],[[1.62842027]],[[2.76659759]],[[2.8469533]],[[2.93526749]],[[2.70936432]],[[2.6555263]],[[1.83381462]],[[1.70761157]],[[1.25841082]],[[1.47942096]],[[1.12961954]],[[1.40566527]],[[1.04275626]]
['NLRC4'],[[1.84274767]],[[2.71895729]],[[2.79403458]],[[2.89773162]],[[3.12099955]],[[2.85433712]],[[2.28353256]],[[2.42588795]],[[1.69510959]],[[1.49593551]],[[1.27165199]],[[1.43996375]],[[1.11235272]]
['HAUS4'],[[2.0035909]],[[2.66420302]],[[2.64494857]],[[2.66118144]],[[3.06930146]],[[2.61676586]],[[2.1367548]],[[2.21862756]],[[1.60546227]],[[1.50593211]],[[1.34012307]],[[1.51324573]],[[0.99982328]]
['SRPK1'],[[2.06701473]],[[2.43295443]],[[2.64712527]],[[2.75515343]],[[3.03669416]],[[2.53451854]],[[1.82363504]],[[2.01886732]],[[1.4354591]],[[1.45274779]],[[1.26509526]],[[1.4949786]],[[0.9798516]]
