['MEOX1'],[[0.63691376]],[[0.19693311]],[[0.08655262]],[[0.09868686]],[[0.18721159]],[[0.43409568]],[[0.61576935]],[[0.61720149]],[[0.47760783]],[[0.75800681]],[[0.66236216]],[[0.66460968]],[[0.96837602]]
['ITGA3'],[[0.52301156]],[[0.40263995]],[[0.35912845]],[[0.28186616]],[[0.31988189]],[[0.81381342]],[[0.87227972]],[[0.97893916]],[[0.8372751]],[[0.54672743]],[[0.93025082]],[[1.24027056]],[[0.96903447]]
['IL32'],[[0.67029803]],[[0.30400332]],[[0.30869247]],[[0.29904171]],[[0.26493027]],[[0.58447694]],[[0.70642779]],[[0.76670618]],[[0.6493638]],[[0.72733988]],[[0.81477663]],[[1.02180459]],[[0.90857949]]
['SLC18A1'],[[0.3740652]],[[0]],[[0]],[[0]],[[0.18741353]],[[0.30339203]],[[0]],[[0.44604727]],[[0.75356263]],[[0.75800681]],[[1.02422578]],[[1.08357667]],[[1.32227824]]
['MYO16'],[[0.77433281]],[[0]],[[0.26045395]],[[0]],[[0.50593035]],[[0.767339]],[[0.44896132]],[[1.53037408]],[[1.29965466]],[[0.75800681]],[[1.60070494]],[[1.88953906]],[[0.34495258]]
['FOXP3'],[[0.54179918]],[[0.2549402]],[[0.25411357]],[[0.25152695]],[[0.20674001]],[[0.58215259]],[[0.45009898]],[[0.67945432]],[[0.49922547]],[[0.68852901]],[[0.64021151]],[[0.86138155]],[[0.92627586]]
['RASGRF1'],[[0.37406519]],[[0]],[[0.73076473]],[[0.46214799]],[[0.14200805]],[[0.55393541]],[[1.14851574]],[[1.3031795]],[[1.05583033]],[[0.54672743]],[[1.37064345]],[[1.3592299]],[[0.37864631]]
['GPC1'],[[0.99927733]],[[0]],[[0]],[[0.35973876]],[[0.34569825]],[[0.90893525]],[[0.54232878]],[[1.13378012]],[[1.00096366]],[[0.75800681]],[[1.02276429]],[[1.15604456]],[[0.83820035]]
['CDON'],[[0.36224894]],[[0.15242417]],[[0.09850405]],[[0.21639261]],[[0.17767947]],[[0.486679]],[[0.47625997]],[[0.83731472]],[[0.54167461]],[[0.62578335]],[[0.64831044]],[[0.90719042]],[[0.47079228]]
['LMCD1'],[[0.43850517]],[[0]],[[0]],[[0]],[[0.22877381]],[[0.3571026]],[[0.31425722]],[[0.73979496]],[[0.84922313]],[[1.07439862]],[[1.13619314]],[[0.98321201]],[[1.05688652]]
['SPEG'],[[0.65155113]],[[0.41608989]],[[0.31883104]],[[0.26577424]],[[0.34388798]],[[0.82973212]],[[0.86846894]],[[1.06056158]],[[0.93111427]],[[0.71526474]],[[0.79061156]],[[1.06693529]],[[1.28151168]]
['CELSR1'],[[0.48813734]],[[0.20794359]],[[0.21382514]],[[0.18101525]],[[0.31458458]],[[0.53089571]],[[0.69578502]],[[0.69203408]],[[0.8053228]],[[0.5239362]],[[0.85964344]],[[0.90214973]],[[0.82516715]]
['ITM2A'],[[0.71569885]],[[0.37286561]],[[0.40034276]],[[0.32709663]],[[0.43045043]],[[0.56648302]],[[0.70495912]],[[0.98600987]],[[0.94422598]],[[0.82892653]],[[0.90299305]],[[1.16076915]],[[0.87480636]]
['EPB41L2'],[[0.51780889]],[[0.34161294]],[[0.32668278]],[[0.29298097]],[[0.26906652]],[[0.60777906]],[[0.72028017]],[[0.70164278]],[[0.56997389]],[[0.49573769]],[[0.65994377]],[[0.81509366]],[[0.87304847]]
['MID2'],[[0.65005685]],[[0.27899175]],[[0.26655126]],[[0.2198236]],[[0.24794593]],[[0.66730802]],[[0.53328538]],[[0.66715704]],[[0.52430237]],[[0.60392081]],[[0.71234719]],[[0.8323501]],[[0.92042212]]
['IGSF9B'],[[0.68373117]],[[0.1191228]],[[0.30096544]],[[0.24791981]],[[0.19461704]],[[0.72991992]],[[0.91163196]],[[0.86793976]],[[0.64623668]],[[0.72093805]],[[0.91697521]],[[1.06228996]],[[1.03955908]]
['COL4A4'],[[0.70033996]],[[0.29997767]],[[0.45037897]],[[0.32392056]],[[0.5388208]],[[0.69965229]],[[0.62370314]],[[1.05353341]],[[1.14747469]],[[0.32881622]],[[1.2388619]],[[1.4925113]],[[0.58515698]]
['C3orf18'],[[0.57629081]],[[0.24310944]],[[0.4567367]],[[0.27885079]],[[0.28143686]],[[0.84236812]],[[0.91654528]],[[0.88319113]],[[0.66924887]],[[0.75105341]],[[0.91279145]],[[1.07770045]],[[1.1285323]]
['SIRPG'],[[0.62723643]],[[0.24344729]],[[0.25973381]],[[0.21091843]],[[0.22262518]],[[0.51876785]],[[0.70367504]],[[0.87881027]],[[0.71975916]],[[0.71277254]],[[0.81189556]],[[0.99551675]],[[1.00072766]]
['PEBP1'],[[0.6605352]],[[0.37969992]],[[0.3817671]],[[0.36430174]],[[0.39581807]],[[0.61005327]],[[0.60418897]],[[0.84814619]],[[0.72574778]],[[0.63948429]],[[0.87402075]],[[1.02262066]],[[0.90651845]]
['PCBP4'],[[0.82122677]],[[0.38658109]],[[0.3782688]],[[0.56615355]],[[0.33651782]],[[0.92114425]],[[0.78161312]],[[1.01433019]],[[0.89140434]],[[0.95790028]],[[1.14107333]],[[1.39961177]],[[1.12885008]]
['P3H2'],[[1.0772419]],[[0.83191638]],[[0]],[[0.35973883]],[[0.57349971]],[[1.4622192]],[[1.14851578]],[[1.4975944]],[[1.13466227]],[[1.61986269]],[[1.92435106]],[[2.11059931]],[[1.36492953]]
['AC016026.1'],[[0.91685778]],[[0]],[[0]],[[0.35973883]],[[0.25791701]],[[1.03786799]],[[0.68565197]],[[0.79229394]],[[0.86915717]],[[1.02625398]],[[0.89634175]],[[0.9277483]],[[1.23299611]]
['ITPR3'],[[0.71643098]],[[0.38469729]],[[0.41024258]],[[0.34737681]],[[0.30312132]],[[0.65659664]],[[0.74016673]],[[0.77406977]],[[0.69595958]],[[0.62435493]],[[0.87994384]],[[1.01975824]],[[0.93286683]]
['NRP1'],[[1.00856235]],[[0.32650189]],[[0.29873408]],[[0.4248862]],[[0.44771264]],[[0.63707283]],[[0.64706587]],[[1.06252894]],[[0.92255474]],[[0.79856686]],[[1.19028778]],[[1.47953817]],[[0.94208479]]
['CEP170B'],[[0.54770573]],[[0.16967838]],[[0.30734308]],[[0.29461173]],[[0.23978481]],[[0.81417913]],[[0.85049998]],[[0.72493877]],[[0.46480777]],[[0.47201507]],[[0.61107643]],[[0.99449467]],[[0.95336103]]
