['AHRR'],[[1.47300611]],[[0.83191631]],[[0.99224475]],[[1.35477054]],[[1.34687017]],[[1.15621726]],[[0.3831809]],[[1.87401782]],[[1.17920817]],[[1.53638594]],[[1.33194434]],[[2.76609589]],[[0.74439628]]
['SPAG6'],[[1.68705898]],[[1.356198]],[[0]],[[2.31170905]],[[1.49353488]],[[1.63523519]],[[0.68565159]],[[2.45933201]],[[1.31091669]],[[1.61986244]],[[1.22583129]],[[1.01361939]],[[0.92627563]]
['DHDH'],[[0.2892439]],[[2.04271215]],[[0.99224481]],[[1.7073253]],[[1.38984823]],[[0]],[[0]],[[0.67578159]],[[0.40300963]],[[0.4282243]],[[0.65446374]],[[0.96205753]],[[0]]
['TPD52L1'],[[0]],[[0]],[[2.30949964]],[[1.70732536]],[[1.80872165]],[[1.26558985]],[[0]],[[1.05458064]],[[0.73883885]],[[0]],[[1.35494163]],[[1.2707427]],[[0]]
['IFIT3'],[[1.25598362]],[[1.07336627]],[[1.03535561]],[[1.01113521]],[[1.49006586]],[[0.60898577]],[[0.5526917]],[[0.95528428]],[[0.78044661]],[[1.27700439]],[[0.84969056]],[[1.42850114]],[[1.29718616]]
['CXCL6'],[[1.78324548]],[[0.66451579]],[[0.80071015]],[[1.1854675]],[[1.43306907]],[[1.03786789]],[[0.54232877]],[[0.6063288]],[[0.74930663]],[[1.143731]],[[1.34171217]],[[1.50533409]],[[1.42663118]]
['C3'],[[2.02596127]],[[0.52786813]],[[0.45174767]],[[2.67200829]],[[0.3283027]],[[0.41741213]],[[2.04366167]],[[0.6811373]],[[0.6199045]],[[0.47658821]],[[0.86462934]],[[0.74843465]],[[1.17563044]]
['IFI6'],[[0.92894375]],[[0.93217735]],[[0.89700788]],[[0.90256071]],[[1.37278593]],[[0.54944077]],[[0.44162357]],[[0.78268075]],[[0.7275264]],[[1.28066289]],[[0.69791175]],[[1.38450069]],[[1.372087]]
['CHI3L1'],[[1.58738505]],[[1.66959684]],[[1.66174942]],[[1.63577533]],[[1.5015288]],[[1.23923196]],[[0.30064714]],[[0.65861063]],[[0.88938248]],[[1.41600602]],[[1.32607935]],[[1.22922571]],[[1.16472493]]
['RSAD2'],[[0.88279693]],[[0.58985615]],[[0.57605247]],[[0.47243591]],[[1.40872464]],[[0.32958558]],[[0.35926068]],[[0.90131719]],[[1.06527317]],[[1.2236612]],[[0.67922285]],[[1.82819706]],[[1.38422224]]
['NOV'],[[1.81478845]],[[0.81098838]],[[0.62176961]],[[0.66448356]],[[0.85158393]],[[0.25240309]],[[0.1708029]],[[0.68816367]],[[1.00179069]],[[1.28346105]],[[1.0832541]],[[1.09469283]],[[0.93587118]]
['HERC5'],[[1.01137669]],[[0.884576]],[[0.89497533]],[[0.81560497]],[[1.4269144]],[[0.5444442]],[[0.56729012]],[[0.80303791]],[[0.64137083]],[[0.95730041]],[[0.75557698]],[[1.36694598]],[[1.15491834]]
['SLC27A2'],[[2.79077014]],[[1.02861462]],[[1.34419048]],[[1.86518239]],[[1.28742597]],[[0.95320554]],[[1.14851592]],[[1.20183275]],[[1.27963654]],[[1.65546756]],[[1.33082039]],[[1.80340266]],[[2.03606498]]
['RPL3L'],[[0.67083951]],[[1.02861462]],[[0]],[[0]],[[2.68586095]],[[0]],[[0.85697627]],[[2.75509179]],[[3.00308787]],[[0]],[[0.85670107]],[[1.65396741]],[[0.67829067]]
['MX1'],[[0.93325681]],[[0.86733284]],[[0.81674167]],[[0.74772271]],[[1.20393093]],[[0.63695003]],[[0.4291781]],[[0.61297521]],[[0.52532761]],[[1.13482423]],[[0.59937972]],[[1.17832383]],[[1.30108071]]
['BATF2'],[[2.73206498]],[[1.84452464]],[[1.68405551]],[[1.80568174]],[[1.98558157]],[[0.89284443]],[[0.63864544]],[[1.15947445]],[[0.89276784]],[[1.4631869]],[[1.22115841]],[[1.46583852]],[[1.32813586]]
['CXCL8'],[[1.90878794]],[[0.59215909]],[[0.87525374]],[[0.76796461]],[[1.36696036]],[[0.3359866]],[[0.33787849]],[[0.52884091]],[[0.58075827]],[[1.59223817]],[[1.17707376]],[[1.3867743]],[[1.3694792]]
['SDC2'],[[1.84127622]],[[0.77326632]],[[1.11712734]],[[1.02133384]],[[1.33502611]],[[0.17333154]],[[0.22148743]],[[0.78826051]],[[0.95190555]],[[1.13343785]],[[1.01471566]],[[1.29771354]],[[1.20765584]]
['TSPEAR'],[[1.40866092]],[[0.94251459]],[[0.78196807]],[[0.90714104]],[[1.40558579]],[[0.7673391]],[[0.35225958]],[[0.68670147]],[[0.59516702]],[[1.46430107]],[[1.21245776]],[[1.18975597]],[[0.72666561]]
['FUNDC2P2'],[[2.75957931]],[[2.5059642]],[[1.98835134]],[[2.31170905]],[[0.75966046]],[[1.63523519]],[[1.14851575]],[[1.12864681]],[[1.38759997]],[[1.25235794]],[[1.32406979]],[[1.90593989]],[[2.67856457]]
['RGS7'],[[1.22156638]],[[0]],[[1.57461271]],[[1.43251107]],[[1.14185696]],[[0]],[[1.14851575]],[[1.02256685]],[[1.1136758]],[[0.75800685]],[[1.28410231]],[[2.0795312]],[[0.53623398]]
['IFIT1'],[[1.08772371]],[[0.56195374]],[[0.61559119]],[[0.53281969]],[[1.3344118]],[[0.33553987]],[[0.24701042]],[[0.77301929]],[[0.6946014]],[[1.36140324]],[[0.68570217]],[[1.51558002]],[[1.47504707]]
