['FGR'],[[1.256443]],[[1.94777689]],[[1.93040421]],[[2.0042842]],[[1.84011602]],[[1.86900222]],[[1.55699575]],[[1.62539035]],[[1.14282308]],[[1.410299]],[[1.01013859]],[[1.20794899]],[[1.01903262]]
['LAMP2'],[[1.63897671]],[[1.79993908]],[[1.89206871]],[[1.88264338]],[[2.17249971]],[[1.5115634]],[[1.40653931]],[[1.69854861]],[[1.25827347]],[[1.37162243]],[[1.18072915]],[[1.33314998]],[[0.99958289]]
['KDM7A'],[[1.64150084]],[[1.6632365]],[[1.68555684]],[[1.7595394]],[[1.90757752]],[[1.49036254]],[[1.28124066]],[[1.52930932]],[[1.30512477]],[[1.23922881]],[[1.23404737]],[[1.2953326]],[[0.93871609]]
['IFRD1'],[[1.84318686]],[[1.82559937]],[[1.98719689]],[[2.02115836]],[[2.22698265]],[[1.81809655]],[[1.56685836]],[[1.78773407]],[[1.42112353]],[[1.4720101]],[[1.3873105]],[[1.52528326]],[[1.04009497]]
['CDKL5'],[[1.66022995]],[[1.76296152]],[[1.74028276]],[[1.78193965]],[[1.91291567]],[[1.53483841]],[[1.38996747]],[[1.50147404]],[[1.03103665]],[[1.13004998]],[[1.09222712]],[[1.17065118]],[[0.88442739]]
['TYROBP'],[[1.40238551]],[[1.66151573]],[[1.61683859]],[[1.61038214]],[[1.84105309]],[[1.41607898]],[[1.22371207]],[[1.74847415]],[[1.37767954]],[[1.50760822]],[[1.11269718]],[[1.36545647]],[[1.14807896]]
['SEMA3B'],[[2.00690666]],[[1.98702364]],[[1.98835144]],[[1.85015147]],[[2.39219971]],[[1.69902189]],[[2.13986228]],[[2.75910658]],[[2.40137458]],[[2.15567242]],[[1.38262076]],[[1.85012201]],[[1.43866109]]
['EXTL3'],[[2.10557992]],[[1.80664669]],[[1.76001808]],[[1.81893235]],[[2.02104121]],[[1.39873407]],[[1.11674739]],[[1.45693198]],[[1.13568864]],[[1.44676079]],[[1.11106941]],[[1.25942616]],[[0.97829683]]
['WAS'],[[1.45769647]],[[1.74489697]],[[1.62858818]],[[1.69422205]],[[1.86914652]],[[1.39574601]],[[1.16077206]],[[1.5749562]],[[1.23520411]],[[1.31598908]],[[1.13570153]],[[1.31056384]],[[1.05876652]]
['RTFDC1'],[[1.56398007]],[[1.81573986]],[[1.86156952]],[[1.81951715]],[[2.10035601]],[[1.48718749]],[[1.17975434]],[[1.5789234]],[[1.24389637]],[[1.36192961]],[[1.18510161]],[[1.3500538]],[[1.04431914]]
['RRAGD'],[[2.01558225]],[[1.9420193]],[[1.97009131]],[[2.05296619]],[[2.29419348]],[[1.69679833]],[[1.58862882]],[[1.91872928]],[[1.62488672]],[[1.64562415]],[[1.33773826]],[[1.43418799]],[[1.08550318]]
['HMGB3'],[[1.24254256]],[[1.76559768]],[[2.39547534]],[[2.27321883]],[[2.2124824]],[[1.70858963]],[[1.14851574]],[[1.99477017]],[[1.56825383]],[[1.64460538]],[[1.08630805]],[[1.30470107]],[[0.92627586]]
['GRN'],[[1.21818363]],[[1.57605272]],[[1.4564157]],[[1.59983126]],[[1.58948132]],[[1.52184068]],[[1.17451684]],[[1.68276452]],[[1.27158616]],[[1.3990966]],[[1.00123161]],[[1.15171339]],[[0.99555056]]
['TIMP2'],[[1.57851092]],[[1.90806102]],[[1.83433289]],[[1.95114949]],[[1.98292683]],[[1.71899911]],[[1.45287665]],[[1.74683963]],[[1.30352757]],[[1.51579312]],[[1.06381669]],[[1.22894111]],[[1.06556601]]
['CAPG'],[[0.91903091]],[[1.52027077]],[[1.44059368]],[[1.58112775]],[[1.54131165]],[[1.51163799]],[[1.16867957]],[[1.49146133]],[[1.11390665]],[[1.12333758]],[[0.85265258]],[[1.07709435]],[[1.03997804]]
['PHKA2'],[[1.49888602]],[[1.75370952]],[[1.60871457]],[[1.70474853]],[[1.70527669]],[[1.59094983]],[[1.33332035]],[[1.55746753]],[[1.1449414]],[[1.16080807]],[[1.03341828]],[[1.16610825]],[[0.96375844]]
['WWC3'],[[1.40737977]],[[1.63333756]],[[1.61835152]],[[1.6114466]],[[1.84577835]],[[1.3010731]],[[1.16202998]],[[1.56851195]],[[1.48054208]],[[1.54202981]],[[1.16922087]],[[1.31993501]],[[1.04480012]]
['HEBP2'],[[1.57954875]],[[1.95725201]],[[1.98835145]],[[1.99255861]],[[1.97832917]],[[1.63700324]],[[1.50735796]],[[1.59375508]],[[1.13616042]],[[1.33687456]],[[1.03257892]],[[1.25136755]],[[1.07249559]]
['PPP1R12A'],[[1.45011993]],[[1.76793809]],[[1.85677931]],[[1.8882631]],[[2.06230942]],[[1.64200204]],[[1.47028716]],[[1.53602627]],[[1.11167789]],[[1.22906703]],[[1.086339]],[[1.24075658]],[[0.92654923]]
['TBXAS1'],[[1.6868472]],[[2.00658196]],[[1.96427384]],[[1.95455642]],[[2.0159494]],[[1.51721006]],[[1.44594951]],[[1.65058814]],[[1.21306756]],[[1.41994028]],[[1.11238817]],[[1.26740947]],[[1.06188693]]
['LPAR2'],[[1.75179997]],[[2.01593164]],[[1.97441023]],[[2.04320512]],[[1.88222872]],[[1.76565041]],[[1.45514651]],[[1.66724627]],[[1.20974822]],[[1.58752329]],[[0.98792972]],[[1.2091245]],[[1.0312394]]
['CNN2'],[[1.31810176]],[[1.71042641]],[[1.66415517]],[[1.71208647]],[[1.89211746]],[[1.4987411]],[[1.21136947]],[[1.54453939]],[[1.15181367]],[[1.32184011]],[[1.05479932]],[[1.30434282]],[[0.97843377]]
['FAR2'],[[1.55732141]],[[1.81766603]],[[1.81520191]],[[1.71888713]],[[1.9287888]],[[1.38034793]],[[1.3816984]],[[1.80301186]],[[1.22001058]],[[1.4646396]],[[1.04535591]],[[1.25765784]],[[1.14035528]]
['GNAI3'],[[1.15838878]],[[1.59565447]],[[1.65556455]],[[1.67620317]],[[1.83051446]],[[1.59906186]],[[1.64237051]],[[1.70558613]],[[1.16731661]],[[1.19616335]],[[1.13516537]],[[1.30310563]],[[0.9486036]]
['OAT'],[[1.27813824]],[[1.77936609]],[[1.78968088]],[[1.86722914]],[[2.03888113]],[[1.72751536]],[[1.49271088]],[[1.65010484]],[[1.44907821]],[[1.31957124]],[[1.06668462]],[[1.29807937]],[[1.00522509]]
['PYGM'],[[1.41459998]],[[1.87209216]],[[1.97434201]],[[1.79390266]],[[1.63279019]],[[1.65282269]],[[1.89402416]],[[1.79482633]],[[1.35650269]],[[1.4292443]],[[1.0409529]],[[1.12580754]],[[0.96289796]]
['NEDD4'],[[1.26959049]],[[1.8755828]],[[2.19641323]],[[2.35494449]],[[2.386034]],[[1.96426048]],[[1.56583681]],[[1.73097869]],[[1.37580673]],[[1.08488276]],[[1.18357024]],[[1.34473969]],[[0.95633946]]
['CLTCL1'],[[2.20922659]],[[2.44478915]],[[2.013231]],[[2.3643244]],[[2.25564277]],[[1.61998784]],[[1.2115751]],[[1.98938363]],[[1.76601269]],[[1.54236939]],[[1.47224945]],[[1.56932306]],[[1.45858222]]
['WIPI1'],[[1.77820099]],[[1.65585441]],[[1.62991194]],[[1.77292998]],[[1.87371343]],[[1.5458195]],[[1.16518888]],[[1.73331742]],[[1.52095943]],[[1.70220107]],[[1.29777546]],[[1.38684813]],[[1.0945861]]
['NDST1'],[[2.06252806]],[[1.84110845]],[[1.71124501]],[[1.83035911]],[[1.70324817]],[[1.1745717]],[[0.79682671]],[[1.24554492]],[[1.12471012]],[[1.49009067]],[[1.02539396]],[[1.08653322]],[[1.1003204]]
['ST6GALNAC2'],[[1.91406464]],[[1.86794377]],[[1.83433659]],[[1.84678238]],[[2.02950078]],[[1.45819981]],[[1.09209654]],[[1.58377437]],[[1.15354036]],[[1.76400532]],[[1.22051725]],[[1.35027329]],[[1.2000445]]
['CYBRD1'],[[1.65285124]],[[2.33355135]],[[2.39622535]],[[2.40339728]],[[1.87683749]],[[1.36789319]],[[1.09177363]],[[1.41975233]],[[1.37774532]],[[1.41393989]],[[1.23861369]],[[1.32133118]],[[1.12328064]]
['ACTN1'],[[1.45005502]],[[1.76357829]],[[1.76962918]],[[1.82145034]],[[2.02907723]],[[1.68977638]],[[1.34993643]],[[1.81636237]],[[1.49198661]],[[1.64408231]],[[1.24171319]],[[1.38272005]],[[1.10289062]]
['P4HA2'],[[1.98549877]],[[2.54933244]],[[2.37210255]],[[2.13695346]],[[2.41572848]],[[2.58325559]],[[2.25875338]],[[2.86364871]],[[2.27708246]],[[1.58335711]],[[1.40081478]],[[1.8697162]],[[1.00029185]]
