['AHRR'],[[0.48115202]],[[1.14966198]],[[0.90444508]],[[1.18645829]],[[0.92904315]],[[0.77720622]],[[0.6501334]],[[0.76074782]],[[0.79956231]],[[0.77345061]],[[1.07454205]],[[0.83117698]],[[0.71135825]]
['RPL31P52'],[[1.89314995]],[[1.19553809]],[[0]],[[1.01488854]],[[1.06363735]],[[1.6514199]],[[0.81482472]],[[0.71453615]],[[0.73451027]],[[0.72664608]],[[1.44954236]],[[0.3913877]],[[1.24229098]]
['HCG20'],[[2.01926073]],[[2.62321371]],[[1.20647844]],[[2.48371513]],[[2.71596856]],[[0]],[[0]],[[1.54738399]],[[2.17588086]],[[1.98058971]],[[0]],[[0]],[[1.79007571]]
['AC067945.1'],[[0.30439971]],[[0.50774876]],[[0.48787792]],[[0.47370277]],[[0.40147657]],[[0.2240646]],[[0.21120665]],[[0.14213762]],[[0.18994053]],[[0.2077461]],[[0.37810457]],[[0.22972162]],[[0.34243532]]
['AC015691.1'],[[0.68773441]],[[0.60038477]],[[0.60700567]],[[1.1537378]],[[1.07912456]],[[0.82449387]],[[0.54146593]],[[0.97190838]],[[0.65204223]],[[0.83652621]],[[0.75914348]],[[0.80568099]],[[0.98792631]]
['AC244502.1'],[[0.94815628]],[[1.08542605]],[[1.08284519]],[[0.98285033]],[[0.76877214]],[[0.51428421]],[[0.48134433]],[[0.58651724]],[[0.6930258]],[[0.87957736]],[[1.07310905]],[[0.83666033]],[[0.94585288]]
['RNU6-1294P'],[[0.29419955]],[[0.51611683]],[[0.66103465]],[[0.74888856]],[[0.50550785]],[[0.99951835]],[[0.17186531]],[[0.61742045]],[[0.31076787]],[[0.40859638]],[[0.56646716]],[[0.3913877]],[[0.24135031]]
['AC009054.1'],[[0.78833971]],[[1.30721367]],[[0.64196993]],[[0.28538014]],[[0.72040133]],[[1.40705772]],[[0.57335789]],[[0.49778396]],[[0.29431828]],[[0.64269838]],[[0.57979081]],[[0.61754748]],[[0.30349052]]
['AC026803.1'],[[0.63050878]],[[1.31545645]],[[1.26803384]],[[1.04264869]],[[1.42877768]],[[0.48061702]],[[0.23287358]],[[0.10293546]],[[0.37093706]],[[0.539347]],[[0.55197972]],[[0.44318368]],[[0.32439182]]
['AC007598.1'],[[2.10709867]],[[1.96465013]],[[1.39762264]],[[1.1032223]],[[1.07029875]],[[0.71583006]],[[1.71248702]],[[1.66139638]],[[0.87893697]],[[1.15557221]],[[1.55954839]],[[1.83638842]],[[1.50779352]]
['SUB1P3'],[[1.6020958]],[[1.19553809]],[[2.01841518]],[[2.34567643]],[[1.7631691]],[[0.89264015]],[[1.09668463]],[[1.95765485]],[[0.87561628]],[[2.30121472]],[[0.36573246]],[[1.35516981]],[[1.39992954]]
['AP000365.1'],[[0.26733684]],[[0.33120129]],[[0]],[[0.94010807]],[[0.68071168]],[[0]],[[1.09668463]],[[0.25373118]],[[0.78602344]],[[0.47806329]],[[0.23035231]],[[0]],[[0.40901329]]
['AL022067.1'],[[0.26733684]],[[1.19553812]],[[1.50122534]],[[0.94010807]],[[1.75955376]],[[1.61153566]],[[0.54146593]],[[0.82305375]],[[0.68301003]],[[0.25874358]],[[0.51884075]],[[0.35669487]],[[0.86349711]]
['RNU6-94P'],[[1.23709053]],[[1.65558277]],[[1.20647841]],[[1.33977586]],[[1.59923999]],[[1.1921033]],[[1.09668463]],[[0.97190845]],[[0.82926078]],[[1.20762756]],[[0.89964493]],[[1.35516981]],[[1.79007571]]
['AC103724.4'],[[1.33735719]],[[1.55358344]],[[1.85418438]],[[2.02227534]],[[1.20446131]],[[1.54956278]],[[1.43719575]],[[0]],[[0.52561493]],[[1.30642081]],[[1.66175753]],[[1.5210139]],[[0.86349722]]
['AL139035.1'],[[1.6020958]],[[0]],[[0]],[[1.7210138]],[[0.78407749]],[[1.19210315]],[[0.65013335]],[[1.54738433]],[[1.05384592]],[[0.98708903]],[[1.44954224]],[[1.73872824]],[[1.15650354]]
