['CFLAR'],[[0.85238974]],[[1.6692602]],[[1.63449315]],[[1.78572882]],[[1.75259767]],[[1.45309649]],[[1.08752265]],[[0.98910094]],[[0.79444742]],[[0.81653151]],[[0.72731137]],[[0.6727414]],[[0.77075672]]
['SKAP2'],[[0.89012907]],[[1.62280844]],[[1.63143753]],[[1.83329458]],[[1.87405083]],[[1.57016196]],[[1.17373478]],[[1.12424804]],[[0.96964281]],[[1.05472461]],[[0.92407029]],[[0.79435103]],[[0.88523819]]
['ABHD5'],[[0.74321603]],[[1.60736225]],[[1.64341973]],[[1.81251142]],[[1.82975743]],[[1.15033861]],[[0.73691325]],[[0.89365763]],[[0.7173599]],[[1.08210292]],[[0.86887831]],[[0.76818414]],[[0.99595051]]
['GAB2'],[[0.87982236]],[[1.54071618]],[[1.54421446]],[[1.69983613]],[[1.69655791]],[[1.11106599]],[[0.90401111]],[[0.92620932]],[[0.81699882]],[[1.07451198]],[[0.85751102]],[[0.72719039]],[[0.90750208]]
['ZFYVE16'],[[0.96804478]],[[1.58261742]],[[1.56971059]],[[1.65674987]],[[1.60490056]],[[1.76309258]],[[1.05624319]],[[0.92550687]],[[0.72311474]],[[0.9138365]],[[0.84700305]],[[0.70941309]],[[0.87732186]]
['FAM184B'],[[0.38446547]],[[1.48873276]],[[1.43299014]],[[0.9401081]],[[1.32134587]],[[1.78292278]],[[0.75118599]],[[0.8230538]],[[0.70164115]],[[0.57636806]],[[1.08765914]],[[1.20723622]],[[1.10247057]]
['FAM160A2'],[[1.05296988]],[[1.4641063]],[[1.40686042]],[[1.59419821]],[[2.02359114]],[[1.39626906]],[[1.31475787]],[[1.0986582]],[[1.11777228]],[[1.05198337]],[[0.97518636]],[[0.94022703]],[[1.04252002]]
['EIF2AK2'],[[0.76738057]],[[1.74887319]],[[1.68938924]],[[1.90029551]],[[2.01509729]],[[1.40773327]],[[0.77435498]],[[0.6483197]],[[0.53536857]],[[0.70359175]],[[0.61111644]],[[0.53489405]],[[0.6255452]]
['TMCC3'],[[0.8147811]],[[1.73910592]],[[1.69793336]],[[1.91189061]],[[1.98982487]],[[1.23093118]],[[0.81805683]],[[0.95415739]],[[0.790984]],[[1.36477979]],[[0.88308258]],[[0.77137178]],[[0.94618573]]
['ATP11B'],[[1.10650268]],[[2.06164073]],[[2.09214378]],[[2.30931364]],[[2.31065618]],[[2.26718275]],[[1.38595861]],[[1.25213323]],[[0.90788498]],[[0.99612869]],[[0.93252452]],[[0.84228737]],[[0.96861114]]
['CDK14'],[[1.17349007]],[[2.13716518]],[[2.03969949]],[[2.22431836]],[[2.10692018]],[[1.51842987]],[[1.31149541]],[[1.27036295]],[[1.34244148]],[[1.4106806]],[[1.10221812]],[[0.86567005]],[[1.07369263]]
