['FGR'],[[0.95815038]],[[1.20137438]],[[1.19712631]],[[1.36869862]],[[1.50297093]],[[1.46061752]],[[1.20031316]],[[1.15881873]],[[0.89436512]],[[0.95865201]],[[0.71371461]],[[0.74440489]],[[0.76648814]]
['LAMP2'],[[0.92199322]],[[1.51555083]],[[1.55405651]],[[1.6589391]],[[1.61795737]],[[1.47393214]],[[1.04356583]],[[1.11316097]],[[0.86488901]],[[1.08009525]],[[0.92774638]],[[0.77356328]],[[0.93724269]]
['KDM7A'],[[0.94243923]],[[1.40289322]],[[1.33901034]],[[1.47815589]],[[1.47741851]],[[1.53776603]],[[1.10758336]],[[1.0693925]],[[0.96640023]],[[1.04974608]],[[1.02281714]],[[0.86949963]],[[0.99481331]]
['IFRD1'],[[0.88915094]],[[1.37081783]],[[1.40164696]],[[1.46350713]],[[1.44921872]],[[1.39154516]],[[1.00878024]],[[0.93113651]],[[0.8389587]],[[1.19477407]],[[0.87179571]],[[0.73484002]],[[0.92655459]]
['CDKL5'],[[1.03831831]],[[1.59465279]],[[1.45693211]],[[1.61622035]],[[1.61220393]],[[1.50576452]],[[1.18195137]],[[1.10259383]],[[0.82877199]],[[1.00781144]],[[0.98117402]],[[0.76512434]],[[0.96865426]]
['TYROBP'],[[0.94025749]],[[1.33563937]],[[1.3402984]],[[1.50362313]],[[1.50131191]],[[1.03068845]],[[1.00829633]],[[1.10963236]],[[1.09305157]],[[1.10143596]],[[0.87978341]],[[0.87382548]],[[0.93641531]]
['SEMA3B'],[[1.56121059]],[[2.06073699]],[[1.71744677]],[[2.11017167]],[[1.73691969]],[[1.32135011]],[[1.48688189]],[[1.35745602]],[[1.7448567]],[[1.12882302]],[[1.0071057]],[[0.55334255]],[[0.94251366]]
['EXTL3'],[[0.85362781]],[[1.44945056]],[[1.43248915]],[[1.56519501]],[[1.73562358]],[[1.09591698]],[[0.96443866]],[[0.98703667]],[[0.93514202]],[[1.35189992]],[[0.98759944]],[[0.83687229]],[[1.04201992]]
['WAS'],[[0.8380079]],[[1.39577846]],[[1.37335583]],[[1.53282971]],[[1.53730193]],[[0.987133]],[[0.92898623]],[[0.99010492]],[[0.97894362]],[[1.07434711]],[[0.87885269]],[[0.79104717]],[[0.90901996]]
['RTFDC1'],[[0.93434114]],[[1.52702606]],[[1.485848]],[[1.68028245]],[[1.66487923]],[[1.17454094]],[[0.97138072]],[[1.00202319]],[[0.92858919]],[[1.15524647]],[[0.93855182]],[[0.8452203]],[[0.99602622]]
['RRAGD'],[[1.29261693]],[[1.87316945]],[[1.68231557]],[[1.88604268]],[[1.81873231]],[[1.54586564]],[[1.40500493]],[[1.27901583]],[[1.23214606]],[[1.38048655]],[[1.18069855]],[[0.9152519]],[[1.16575084]]
['HMGB3'],[[1.60209591]],[[1.8402034]],[[2.03385517]],[[1.76500622]],[[1.62080647]],[[1.99927748]],[[1.49661703]],[[1.93365009]],[[1.08562777]],[[1.45163964]],[[0.94359445]],[[1.20723622]],[[1.10247057]]
['GRN'],[[0.98394069]],[[1.37376889]],[[1.37280037]],[[1.39930709]],[[1.30094372]],[[1.04378237]],[[1.27074126]],[[1.34817344]],[[1.02171103]],[[1.15925902]],[[0.88205718]],[[0.88905524]],[[0.85859857]]
['TIMP2'],[[1.07440485]],[[1.68128924]],[[1.67854501]],[[1.77276614]],[[1.79754011]],[[1.31733972]],[[1.33298736]],[[1.40132103]],[[1.15788255]],[[1.20791561]],[[0.97525229]],[[0.89624847]],[[0.97570136]]
['CAPG'],[[1.02403277]],[[1.49217606]],[[1.4644548]],[[1.60803819]],[[1.70842618]],[[1.25848427]],[[1.54975058]],[[1.36298112]],[[1.2522577]],[[0.96908846]],[[0.85781196]],[[0.96366738]],[[0.91810865]]
['PHKA2'],[[1.04983519]],[[1.41770705]],[[1.34470474]],[[1.40009365]],[[1.54110852]],[[1.43077136]],[[1.3235989]],[[1.19371355]],[[1.01681871]],[[0.98850299]],[[0.92676448]],[[0.91173598]],[[0.97441623]]
['WWC3'],[[0.85841484]],[[1.33145249]],[[1.33017695]],[[1.47386624]],[[1.60127548]],[[1.07544905]],[[0.93505885]],[[0.99089029]],[[1.26532609]],[[1.01306741]],[[0.89094486]],[[0.80895385]],[[0.95545092]]
['HEBP2'],[[1.02476429]],[[1.65095746]],[[1.64025757]],[[1.81821159]],[[1.81224723]],[[1.47373974]],[[1.29571477]],[[1.19782391]],[[1.01677069]],[[1.06100692]],[[0.88624249]],[[0.88154246]],[[0.99968783]]
['PPP1R12A'],[[1.01256388]],[[1.60972194]],[[1.64596089]],[[1.76481087]],[[1.67548751]],[[1.67067519]],[[1.18961906]],[[1.08220587]],[[0.84957212]],[[0.9852892]],[[0.92551899]],[[0.83194518]],[[0.92432539]]
['TBXAS1'],[[0.89892213]],[[1.38180417]],[[1.4065593]],[[1.47037076]],[[1.51368216]],[[1.17643488]],[[1.06879988]],[[1.10055779]],[[0.85072531]],[[0.99083982]],[[0.83961853]],[[0.81706359]],[[0.8878264]]
['LPAR2'],[[0.932747]],[[1.43743873]],[[1.48280741]],[[1.5795201]],[[1.70848639]],[[1.17567311]],[[1.29292937]],[[1.03553713]],[[1.07625146]],[[1.05233366]],[[0.8131631]],[[0.72916875]],[[0.89845774]]
