['TEAD3'],[[0.36830386]],[[1.19553819]],[[1.92686957]],[[2.59235486]],[[3.14002323]],[[1.67924823]],[[0.40634279]],[[0.97190847]],[[0.66422161]],[[0.18942816]],[[0.45520168]],[[0.3415673]],[[0.95345656]]
['HGF'],[[1.08028045]],[[2.16758771]],[[2.2423155]],[[2.50231945]],[[3.19423372]],[[1.58461631]],[[1.43980809]],[[1.47180091]],[[1.12202044]],[[0.88164477]],[[0.92821316]],[[0.99377121]],[[0.97138853]]
['IDI1'],[[0.88066115]],[[2.92288404]],[[2.98813859]],[[3.28245608]],[[3.18228692]],[[2.33436605]],[[1.03854768]],[[0.8887695]],[[0.87976279]],[[0.79811024]],[[0.81476493]],[[0.80888329]],[[0.82737937]]
['MKNK1'],[[1.06331402]],[[2.1679105]],[[2.20624514]],[[2.48349241]],[[2.79702437]],[[2.24223767]],[[1.38206655]],[[1.14187414]],[[0.9651611]],[[0.929055]],[[0.86485324]],[[0.85002144]],[[0.91216933]]
['CEACAM1'],[[0.56694527]],[[1.7675738]],[[1.85006113]],[[2.10617386]],[[2.42676254]],[[0.76972715]],[[0.53944584]],[[0.4917181]],[[0.48504115]],[[0.65255431]],[[0.48942909]],[[0.40234561]],[[0.53479129]]
['OSM'],[[0.72205504]],[[2.99859456]],[[2.90953764]],[[3.25034682]],[[3.26943644]],[[1.87242982]],[[1.08197944]],[[0.9786276]],[[0.82197905]],[[1.14187738]],[[0.63060842]],[[0.65881649]],[[0.90617714]]
['RETN'],[[0.88887302]],[[2.5276257]],[[2.25189464]],[[2.55448737]],[[3.35929164]],[[3.23929701]],[[1.83029599]],[[1.45747713]],[[1.55574097]],[[1.03020538]],[[0.64643391]],[[0.9089826]],[[0.79562283]]
['TTC26'],[[0.57997396]],[[2.24108962]],[[2.38234]],[[2.72090013]],[[3.09755908]],[[1.87142469]],[[0.93902117]],[[0.95212997]],[[0.71955027]],[[0.61543035]],[[0.56646715]],[[0.62797596]],[[0.50701097]]
['GRB10'],[[1.06834967]],[[3.11072937]],[[3.04086063]],[[3.35254504]],[[3.19503796]],[[2.57442837]],[[1.97530411]],[[1.83107106]],[[1.32859962]],[[1.17114271]],[[1.07880307]],[[0.79000286]],[[0.94688948]]
['KLHL2'],[[0.9935658]],[[2.50722769]],[[2.52575599]],[[2.7423796]],[[2.78986651]],[[2.325691]],[[1.54427474]],[[1.3445131]],[[1.00655798]],[[1.02635935]],[[0.91558949]],[[0.79454815]],[[0.94371039]]
['MS4A4A'],[[1.27370527]],[[2.3767026]],[[2.48754163]],[[2.47900603]],[[2.65765879]],[[2.80652927]],[[2.34485071]],[[2.17799977]],[[1.66305527]],[[1.35339148]],[[0.79214246]],[[0.96880929]],[[1.03126455]]
