['TP63'],[[1.86654895]],[[0.71822026]],[[1.50122534]],[[1.42450927]],[[0.53578698]],[[0.32995156]],[[1.24266458]],[[1.10683086]],[[0.89308141]],[[1.24796033]],[[1.70069639]],[[1.26450343]],[[0.65407842]]
['LLGL2'],[[1.2469036]],[[0.64827063]],[[0.62925803]],[[0.41140766]],[[0.72176761]],[[0.55654687]],[[0.8636334]],[[0.92229553]],[[1.16063529]],[[0.97471103]],[[1.28036152]],[[1.30271429]],[[1.14272266]]
['TBX21'],[[1.41450773]],[[0.82442584]],[[0.65369873]],[[0.4545466]],[[0.99124048]],[[0.4400728]],[[0.67706885]],[[0.81052657]],[[0.98857214]],[[1.01808708]],[[1.38347561]],[[1.44342908]],[[1.2562843]]
['UNG'],[[1.39618001]],[[0.90644414]],[[1.13017404]],[[0.87590293]],[[0.57102276]],[[0.80182509]],[[0.87774591]],[[0.81134318]],[[0.95811562]],[[0.88932265]],[[1.11030442]],[[1.21973464]],[[1.00165408]]
['TPD52'],[[1.22566653]],[[0.84429881]],[[1.13766838]],[[0.86234878]],[[0.78950948]],[[1.40842498]],[[1.14835807]],[[1.11035545]],[[1.22741293]],[[0.82122765]],[[1.19691022]],[[1.19760099]],[[1.15286655]]
['LAMP3'],[[0.36610593]],[[0.43160193]],[[0.3984577]],[[0.41256805]],[[0.46257422]],[[0.29362697]],[[0.18711099]],[[0.17622503]],[[0.31398519]],[[0.36960587]],[[0.45871431]],[[0.36803825]],[[0.3650346]]
['SLC4A4'],[[1.05981828]],[[0.61241152]],[[0.5362563]],[[0.29384476]],[[0.75595029]],[[0.54931505]],[[0.64152783]],[[0.73289486]],[[0.94104228]],[[0.79963553]],[[0.9744845]],[[1.15457121]],[[0.9157969]]
['COL5A3'],[[2.3843193]],[[1.95987338]],[[2.06725196]],[[1.93253799]],[[0.98340309]],[[1.31639658]],[[1.57956685]],[[1.4492077]],[[1.1756625]],[[1.22389625]],[[1.49159866]],[[1.73062225]],[[1.41773896]]
['IL12RB2'],[[1.51410072]],[[1.07943086]],[[1.29958924]],[[1.01488846]],[[1.14733941]],[[0.68224793]],[[0.85098848]],[[0.81070272]],[[1.3175]],[[1.24327339]],[[1.23745055]],[[1.05770979]],[[1.06529054]]
['DLG3'],[[1.4118695]],[[0.61538511]],[[0.79424355]],[[0.66989626]],[[0.69735138]],[[0.72569639]],[[0.76481884]],[[0.84218318]],[[1.0525841]],[[1.05446886]],[[1.30185544]],[[1.45349348]],[[1.22908032]]
['TRAF5'],[[0.99869142]],[[0.48780276]],[[0.56518179]],[[0.48870699]],[[0.53319925]],[[0.73844295]],[[0.68768882]],[[0.74337783]],[[0.87285865]],[[0.85030488]],[[1.09646044]],[[1.10193602]],[[1.06863318]]
['PPP1R13B'],[[1.18421715]],[[0.79122142]],[[0.70045846]],[[0.63380646]],[[0.77149898]],[[0.78864827]],[[1.04493694]],[[1.02299096]],[[1.25817707]],[[1.1367418]],[[1.3557862]],[[1.37951683]],[[1.32904017]]
['LAG3'],[[1.22102728]],[[0.76109657]],[[0.72584441]],[[0.720525]],[[0.7758107]],[[0.68659729]],[[0.74114144]],[[0.87827249]],[[0.83606867]],[[0.94995561]],[[1.11452722]],[[1.18306819]],[[0.96791917]]
['ZBTB25'],[[0.9985986]],[[0.60437226]],[[0.66426452]],[[0.46562212]],[[0.48882206]],[[0.7331594]],[[0.82692116]],[[0.82050186]],[[0.8944987]],[[0.92776705]],[[1.09575761]],[[1.1351731]],[[1.05051729]]
['NRCAM'],[[1.34993649]],[[0.96621023]],[[0.79838682]],[[0.26268731]],[[0.87184184]],[[0.53297166]],[[1.19354666]],[[1.03212683]],[[1.37690122]],[[1.36738866]],[[1.36774784]],[[1.76484928]],[[1.72936509]]
['CD200'],[[0.82827274]],[[0.38649635]],[[0.7527528]],[[0.4484278]],[[1.54793142]],[[0.51428423]],[[0.85862118]],[[0.90293677]],[[2.08608872]],[[1.17811203]],[[1.28846399]],[[1.30406011]],[[1.11811622]]
['WHRN'],[[0.58323744]],[[0.34777804]],[[0.37774113]],[[0.4954254]],[[0.14163546]],[[0.5112345]],[[0.39256079]],[[0.44955147]],[[0.25596005]],[[0.52528211]],[[0.49095239]],[[0.51064209]],[[0.60346901]]
['TMEM14A'],[[1.42038725]],[[0.68455039]],[[0.75901171]],[[1.05713167]],[[0.5553462]],[[0.81212636]],[[1.09668428]],[[0.92969874]],[[1.12684209]],[[1.14618785]],[[1.24779835]],[[1.21409264]],[[1.17201754]]
['IL2RB'],[[1.47879537]],[[0.76195207]],[[0.69519729]],[[0.49064052]],[[0.87606369]],[[0.57329706]],[[0.81048412]],[[0.85301016]],[[1.25281831]],[[1.1168118]],[[1.38503494]],[[1.49580798]],[[1.28088324]]
['GZMH'],[[1.4642005]],[[0.81191345]],[[0.70838917]],[[0.47211997]],[[0.90685965]],[[0.45296056]],[[0.67577456]],[[0.83522469]],[[0.96769883]],[[1.06125663]],[[1.47453343]],[[1.62859348]],[[1.37241424]]
['NINL'],[[1.27129277]],[[0.36371367]],[[0.44706084]],[[0.32790187]],[[0.76875323]],[[0.36235596]],[[0.59077554]],[[0.76074768]],[[0.76285354]],[[1.24131601]],[[0.97216743]],[[1.62185075]],[[1.03355813]]
['NFATC2'],[[1.2841865]],[[0.75054992]],[[0.68588549]],[[0.52462754]],[[0.73490536]],[[0.58300147]],[[0.78499411]],[[0.92495603]],[[1.13867136]],[[1.13099249]],[[1.36618751]],[[1.3577068]],[[1.21749077]]
['PHEX'],[[0.88617311]],[[0.40335027]],[[0.48500041]],[[0.32790198]],[[0.36121202]],[[0.14674823]],[[0.49689275]],[[0.76074797]],[[0.54432581]],[[0.67827201]],[[1.13896657]],[[1.06404879]],[[0.86349725]]
['SLC30A4'],[[1.05116964]],[[0.46308754]],[[0.53938096]],[[0.51471669]],[[0.76380873]],[[0.73822753]],[[0.751186]],[[0.79134693]],[[1.03840506]],[[1.0060273]],[[1.13770582]],[[1.19157314]],[[1.11707843]]
['IL7'],[[1.21617301]],[[0.92843606]],[[0.93765738]],[[1.05087353]],[[0.82867955]],[[1.01997561]],[[0.84562132]],[[0.97190838]],[[0.95572819]],[[0.57636797]],[[1.20063645]],[[1.31958373]],[[1.44404757]]
['NCALD'],[[1.32283587]],[[0.75829316]],[[0.77844534]],[[0.51744768]],[[1.00266019]],[[0.46814256]],[[0.87214331]],[[0.84966298]],[[1.13980814]],[[0.9551417]],[[1.37169478]],[[1.50008985]],[[1.23768242]]
['MAP4K1'],[[1.26795267]],[[0.80689822]],[[0.80599164]],[[0.70562215]],[[0.66785435]],[[0.6723958]],[[0.81215032]],[[0.87677687]],[[1.13940171]],[[1.01042133]],[[1.23633578]],[[1.31385151]],[[1.19653387]]
['NKG7'],[[1.44838754]],[[0.89768605]],[[0.74894776]],[[0.57192225]],[[1.14390958]],[[0.6650953]],[[0.74886565]],[[0.87417288]],[[1.16211121]],[[1.12273707]],[[1.35955543]],[[1.58716524]],[[1.28433578]]
['ATP1A3'],[[1.31223242]],[[0.7019645]],[[0.64196993]],[[0.56677531]],[[0.79213733]],[[0.74772084]],[[0.57335789]],[[0.93092226]],[[1.12340377]],[[1.08575985]],[[1.26885528]],[[1.54101753]],[[1.30058754]]
['RASA4'],[[0.93819397]],[[0.71822026]],[[0.93765738]],[[0.68925257]],[[0.62653809]],[[0.92554313]],[[0.84562132]],[[1.16983747]],[[1.00325735]],[[0.98708903]],[[1.14525336]],[[1.14760131]],[[0.92705271]]
['ITGB8'],[[0.45588258]],[[0.35218606]],[[0.41372796]],[[0.31386687]],[[0.16593307]],[[0.17959318]],[[0.23968447]],[[0.42585579]],[[0.2756357]],[[0.59137396]],[[0.85102175]],[[0.6655813]],[[0.78943226]]
['VIPR2'],[[1.16615272]],[[1.10227889]],[[0.90444497]],[[0.2266619]],[[0.72182993]],[[0.36235601]],[[0.4641896]],[[0.27935462]],[[0.92954518]],[[1.27423569]],[[1.54773194]],[[1.41259537]],[[1.39992937]]
['RLN1'],[[1.43110591]],[[0.51611676]],[[1.06335138]],[[0]],[[0.57675056]],[[0.89264015]],[[1.09668448]],[[0.56629571]],[[0.80397123]],[[1.10156822]],[[0.78353136]],[[0.8311769]],[[1.39992941]]
['PLEKHA1'],[[1.11916707]],[[0.71225256]],[[0.5700265]],[[0.46167402]],[[0.71302521]],[[0.77745906]],[[0.90500224]],[[0.81311608]],[[0.9356316]],[[0.9287355]],[[1.23287371]],[[1.27803298]],[[1.18360151]]
['SPOCK2'],[[1.22922044]],[[0.68308585]],[[0.69766477]],[[0.57980882]],[[0.62094191]],[[0.6471716]],[[0.76781461]],[[0.86517568]],[[1.15950659]],[[1.19571985]],[[1.23021946]],[[1.40831938]],[[1.27093814]]
['BMPR1A'],[[1.25184809]],[[0.85682426]],[[0.78960078]],[[0.68925251]],[[0.66845289]],[[1.00685786]],[[0.87150513]],[[0.92049122]],[[0.96215542]],[[1.00737046]],[[1.16129525]],[[1.40937512]],[[1.1335938]]
['WNT3'],[[0.81839252]],[[0]],[[0]],[[0]],[[0.45228302]],[[0.40186412]],[[0]],[[0]],[[0.62853614]],[[0.31677756]],[[0.28261978]],[[0]],[[0.69116125]]
['HLF'],[[1.14170991]],[[0.46708307]],[[0.52196744]],[[0.42250086]],[[0.25178209]],[[1.06661057]],[[0.74393834]],[[0.54884332]],[[0.57274181]],[[0.62821941]],[[1.26940345]],[[1.485772]],[[1.39992923]]
['CLNK'],[[2.01926073]],[[0.89545886]],[[1.45609573]],[[1.33977586]],[[1.44689246]],[[1.99927747]],[[1.09668463]],[[0.97190845]],[[2.04378717]],[[1.85565111]],[[2.33328033]],[[2.58170541]],[[1.89974709]]
