['CLU'],[[0.63886635]],[[0.64059762]],[[0.65910409]],[[0.69982313]],[[0.8995723]],[[1.11413451]],[[1.51737472]],[[1.79806739]],[[1.91606065]],[[1.49250388]],[[1.09110614]],[[1.04356157]],[[0.92206751]]
['FAM210B'],[[0.71548584]],[[0.67442379]],[[0.67012695]],[[0.78310422]],[[0.82088251]],[[0.97318713]],[[0.90728162]],[[1.1912191]],[[2.08139893]],[[1.10301436]],[[1.18443464]],[[1.06649671]],[[1.11907043]]
['BEST3'],[[0.59355459]],[[0.97652992]],[[0.40809672]],[[0.4675715]],[[1.13306682]],[[1.83580757]],[[2.0465689]],[[0.78331009]],[[2.8918358]],[[1.15557221]],[[1.33045073]],[[1.11683329]],[[1.0174262]]
['VIL1'],[[0.51460006]],[[0.63304149]],[[0.61134546]],[[0.69405155]],[[0.93728548]],[[0.83911045]],[[1.52493398]],[[1.63356365]],[[1.67810513]],[[1.36067019]],[[1.01976761]],[[1.01610106]],[[0.76115747]]
['CNN1'],[[0.70169312]],[[0.92089264]],[[0.68128795]],[[1.04264869]],[[0.97412913]],[[0.57934955]],[[1.2102639]],[[1.58343411]],[[2.07889751]],[[1.92426717]],[[0.67741028]],[[0.89766112]],[[0.86349721]]
['SLC6A8'],[[0.68198689]],[[0.63215104]],[[0.58635024]],[[0.73830742]],[[1.00907677]],[[0.84206271]],[[0.98047223]],[[1.22471516]],[[2.40073229]],[[1.30338246]],[[1.21495823]],[[1.19265477]],[[1.08928434]]
['MPP1'],[[0.75420513]],[[0.97835994]],[[0.98239299]],[[1.11532224]],[[1.17372733]],[[1.05540754]],[[1.13078674]],[[1.2203316]],[[2.07888246]],[[1.1891337]],[[1.01770078]],[[0.98391509]],[[1.00475769]]
['RBM38'],[[0.70938113]],[[0.66980414]],[[0.66518474]],[[0.79262118]],[[1.07533093]],[[0.88058137]],[[1.00270581]],[[1.19581642]],[[2.46611368]],[[1.20868141]],[[1.15605827]],[[1.11869693]],[[1.06024988]]
['TMCC2'],[[0.57970644]],[[0.58262114]],[[0.58086255]],[[0.69491223]],[[0.90663458]],[[0.69477709]],[[1.07476421]],[[1.2377871]],[[2.2653604]],[[1.31513202]],[[1.14697446]],[[1.13735125]],[[1.07326879]]
['CA1'],[[0.66254461]],[[0.64828689]],[[0.65820045]],[[0.7334054]],[[0.62713938]],[[0.68569041]],[[1.24132984]],[[1.6215795]],[[2.71033409]],[[1.19848151]],[[1.07619439]],[[0.96545862]],[[0.99835864]]
['SPOCD1'],[[0.60069293]],[[0.59676914]],[[0.56636269]],[[0.79226011]],[[0.90647136]],[[1.15585986]],[[1.57735599]],[[2.08570964]],[[2.1336394]],[[1.23296772]],[[1.01772703]],[[1.051343]],[[0.873021]]
['KCNH3'],[[1.15423292]],[[0.81856345]],[[0.86974834]],[[0.96572457]],[[0.36225973]],[[1.31882522]],[[2.13318017]],[[2.081536]],[[1.4847905]],[[1.19083582]],[[0.89279852]],[[0.98396627]],[[0.93464666]]
['TMOD1'],[[0.68574133]],[[0.60488926]],[[0.63043219]],[[0.75272705]],[[0.89698449]],[[0.85971343]],[[0.89083766]],[[1.09275634]],[[2.08818942]],[[1.20904876]],[[1.08087471]],[[1.01495985]],[[1.04996849]]
['GMPR'],[[0.68148518]],[[0.66591148]],[[0.60525158]],[[0.76677528]],[[1.19614456]],[[0.73631304]],[[1.01612635]],[[1.39774305]],[[2.93672698]],[[1.28806309]],[[1.07904147]],[[1.03613846]],[[1.04673979]]
['TUBB2A'],[[0.45945591]],[[1.23769385]],[[1.16279527]],[[1.19494702]],[[4.65467458]],[[1.10407333]],[[1.05568065]],[[1.21141462]],[[6.82420617]],[[1.16391741]],[[1.00164475]],[[0.95230641]],[[1.3023904]]
['PCSK6'],[[0.64913624]],[[0.61977192]],[[0.66005405]],[[0.72328617]],[[0.78459373]],[[0.97919168]],[[1.55399764]],[[1.7035303]],[[1.70527928]],[[1.41304767]],[[1.0115016]],[[0.99921155]],[[0.83192719]]
['TGFB1I1'],[[0.60630362]],[[0.61004581]],[[0.61675178]],[[0.52929019]],[[0.92668399]],[[0.89701271]],[[1.16575128]],[[1.6144845]],[[2.14677023]],[[1.39415935]],[[1.17175276]],[[1.10037231]],[[0.95460369]]
['SLC14A1'],[[0.75071696]],[[0.60811378]],[[0.66495178]],[[0.72448568]],[[1.36977943]],[[0.90830911]],[[0.94506423]],[[1.33064942]],[[3.26892297]],[[1.12802406]],[[1.14436226]],[[1.09115088]],[[1.06194374]]
['SELENBP1'],[[0.67301211]],[[0.64389468]],[[0.65501458]],[[0.80436343]],[[1.20511075]],[[0.68152468]],[[1.08210873]],[[1.33693911]],[[2.76398015]],[[1.31866119]],[[1.12235707]],[[1.09266497]],[[1.07148314]]
['DYRK3'],[[0.6408955]],[[0.73675208]],[[0.70691701]],[[0.77118478]],[[0.76431571]],[[0.86308146]],[[1.07970355]],[[1.45032396]],[[2.14711633]],[[1.24533546]],[[1.19764804]],[[0.98262724]],[[1.1121186]]
['CORIN'],[[0.80444599]],[[1.02307226]],[[1.09313544]],[[0.88801041]],[[0.3333974]],[[0.65172646]],[[1.33237498]],[[1.68794746]],[[1.18062203]],[[0.62821976]],[[0.8695838]],[[0.73540346]],[[1.01417809]]
['RAB6B'],[[0.58467978]],[[0.66584835]],[[0.70845554]],[[0.69753124]],[[0.92577153]],[[0.80533561]],[[1.27181799]],[[1.74339785]],[[2.32475266]],[[1.55316356]],[[1.00522165]],[[1.05424036]],[[0.9476306]]
['TSPAN7'],[[0.65313332]],[[0.35868172]],[[0.45185827]],[[0.51664809]],[[0.92297916]],[[1.24193759]],[[0.91804416]],[[1.11885607]],[[1.9234353]],[[0.8464109]],[[1.18355649]],[[1.15519199]],[[0.77990097]]
