['NDUFAF7'],[[0.96103623]],[[1.57559689]],[[1.65410147]],[[1.79229481]],[[1.67261767]],[[1.76799383]],[[1.21497595]],[[0.93058015]],[[0.79917363]],[[0.9900279]],[[0.89412526]],[[0.87269375]],[[0.96667502]]
['CREBBP'],[[0.93515033]],[[1.46469181]],[[1.38112022]],[[1.48029584]],[[1.59650877]],[[1.05991681]],[[1.00567529]],[[1.02520663]],[[1.01964995]],[[1.15334092]],[[1.02046626]],[[0.86565748]],[[0.99543914]]
['NADK'],[[0.86954125]],[[1.16428254]],[[1.15696552]],[[1.28430889]],[[1.28758796]],[[1.07765641]],[[0.91378349]],[[0.92918021]],[[0.82288421]],[[1.02577227]],[[0.7819216]],[[0.68096567]],[[0.83036546]]
['ZNF200'],[[0.71967793]],[[1.20637907]],[[1.14805853]],[[1.34336656]],[[1.30228963]],[[0.900502]],[[0.73033103]],[[0.75798176]],[[0.69793552]],[[0.91694325]],[[0.79011622]],[[0.70207199]],[[0.85880541]]
['MVP'],[[0.79353112]],[[1.25333183]],[[1.25484167]],[[1.38204146]],[[1.3150129]],[[1.04081416]],[[0.93269026]],[[0.84934274]],[[0.77615446]],[[0.82410729]],[[0.68951489]],[[0.69255575]],[[0.76465493]]
['ZC3H3'],[[0.83812009]],[[1.28935135]],[[1.30149972]],[[1.40090892]],[[1.37824066]],[[0.99011448]],[[0.89608652]],[[0.89426714]],[[0.88359192]],[[0.96545654]],[[0.82501427]],[[0.78189956]],[[0.83157692]]
['SLC45A4'],[[0.79219427]],[[1.26089711]],[[1.22872403]],[[1.34375888]],[[1.41213165]],[[0.8713345]],[[0.76492593]],[[0.80916652]],[[0.91059643]],[[1.19183053]],[[0.87954813]],[[0.79573856]],[[0.99362283]]
['RB1CC1'],[[0.90900581]],[[1.47457937]],[[1.49874827]],[[1.65225523]],[[1.66687146]],[[1.46480502]],[[0.94439826]],[[0.96196308]],[[0.77248687]],[[0.97147527]],[[0.86930695]],[[0.78080885]],[[0.94472117]]
['NSMAF'],[[1.02796512]],[[1.55502019]],[[1.56897582]],[[1.65100077]],[[1.66121501]],[[1.35666845]],[[1.04997558]],[[1.03770352]],[[0.97226325]],[[1.04862435]],[[0.99929206]],[[1.02080667]],[[1.05311743]]
['CELF2'],[[0.92648332]],[[1.35749103]],[[1.36322563]],[[1.42535369]],[[1.6869458]],[[1.19684396]],[[0.96402319]],[[0.87208642]],[[0.87417307]],[[0.94981384]],[[0.9192621]],[[0.84374589]],[[0.95283409]]
['H6PD'],[[0.98966954]],[[1.36940259]],[[1.39396963]],[[1.48576328]],[[1.60342623]],[[1.14752232]],[[0.92157184]],[[1.03985633]],[[0.76566358]],[[1.09217967]],[[0.98591951]],[[0.9964483]],[[0.9075655]]
['VAMP3'],[[0.81560159]],[[1.26201683]],[[1.2191964]],[[1.39049628]],[[1.42835773]],[[1.24455918]],[[0.94209912]],[[0.96874803]],[[0.7701325]],[[0.89993811]],[[0.78663192]],[[0.72026365]],[[0.80730306]]
