N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
90,0.0793883261940866,0.8976101786032128,0.0888920301158157,0.8821147604120186,0.0717722225819557,100
100,0.0755805865894439,0.9027863200952192,0.085580755170434,0.8868285482462417,0.0716169819166318,100
150,0.0686725801371658,0.9121019004454896,0.0836668861044581,0.8896103243959073,0.0734448592189466,100
200,0.062534207038807,0.9203004983256984,0.0835110968242767,0.8901879738865963,0.0743836106334487,100
250,0.0592412577278973,0.9246687038236316,0.0847502026208359,0.8887814750336773,0.0746238912700742,100
300,0.0552138281973176,0.929983329091369,0.0858901365598445,0.8873900822635163,0.0753151648625619,100
2,0.1722778304541316,0.7592941486260635,0.1692651412119741,0.7644881322975485,0.0479564559456742,80
3,0.1692670644675669,0.7641520517772928,0.1671313038404996,0.7678983156253085,0.0531722396463952,80
4,0.1647618034710521,0.7713641524556698,0.1632634471015083,0.7740559991666509,0.0552026737603398,80
5,0.1631184011768783,0.7739781730688524,0.1609539518689355,0.7777142341869865,0.0574454098997224,80
6,0.1572184212554317,0.7832911999167108,0.1555072214611653,0.78624772123715,0.0596327083178306,80
7,0.1527385729847589,0.7902890311759783,0.1506586654824963,0.7938091151142213,0.0623622923593659,80
8,0.1493604492476255,0.7955252901967568,0.147314150516003,0.7989467607161671,0.0604351522767619,80
9,0.1506479714863725,0.7935335887701558,0.1513294375690124,0.7927423188566053,0.062054600389211,80
10,0.1420696394834454,0.806710526597743,0.1426437395486644,0.8060814013852814,0.0623531197906419,80
20,0.1273800311879304,0.8287882134949555,0.1298974292175783,0.8252921566565725,0.0665958584391067,80
30,0.1090830413697172,0.8554912761315472,0.1106211333873649,0.8534888567505056,0.0639201258209844,80
40,0.1021676047301662,0.8653692829927343,0.1064845858970754,0.8594105321268024,0.0679833585943425,80
50,0.0954407940330446,0.8748708654069556,0.1006031678600626,0.8677793189196015,0.0683317081002445,80
60,0.0890776803328943,0.883764710033537,0.0958872013905259,0.8744830306822848,0.0679184511678171,80
70,0.0852610467715336,0.8890566051747094,0.0921952291838671,0.8796248996089879,0.0698541651625892,80
