['AHRR'],[[0.82414215]],[[0.63248174]],[[0.83024886]],[[0.72744571]],[[0.2394584]],[[1.04976261]],[[0.77377715]],[[0.39152242]],[[0.19900602]],[[1.02112947]],[[0.2357114]],[[1.75586981]],[[2.3567743]]
['SPAG6'],[[0.63991374]],[[1.0401494]],[[1.34350928]],[[0.40360444]],[[0.59428671]],[[1.1917061]],[[0.7496207]],[[1.17832172]],[[0.50156034]],[[0.43613402]],[[0.46033007]],[[0.65127147]],[[0.66696107]]
['DHDH'],[[0.76366218]],[[0.81114244]],[[0]],[[1.22961004]],[[1.33134176]],[[0.93907978]],[[0.46312883]],[[0.64068105]],[[0.38023359]],[[1.46721136]],[[0.62024821]],[[0.39722605]],[[0.72511103]]
['TPD52L1'],[[0]],[[0.81114261]],[[0]],[[0]],[[0.90951507]],[[0.54463635]],[[0]],[[0.4625334]],[[0.30415259]],[[0.52728818]],[[0.62915212]],[[0]],[[0]]
['IFIT3'],[[1.08844056]],[[1.36765911]],[[1.2477682]],[[1.30317591]],[[1.45329799]],[[0.71820833]],[[0.95302008]],[[0.92772435]],[[0.75669956]],[[1.64994091]],[[0.82437917]],[[0.9848694]],[[1.25810325]]
['CXCL6'],[[0.76366224]],[[0.81114249]],[[0.52540401]],[[0.56969801]],[[0.71050366]],[[0.31569907]],[[0.20340317]],[[0.25764237]],[[0.32755857]],[[0.86679366]],[[0.65476563]],[[0.81617823]],[[0.25810675]]
['C3'],[[1.13116557]],[[1.13650842]],[[3.74467784]],[[2.35897368]],[[0.67448272]],[[1.14670754]],[[1.52123893]],[[1.26748186]],[[1.17120624]],[[1.20018938]],[[1.54332029]],[[0.81158781]],[[1.21739356]]
['IFI6'],[[1.07380581]],[[1.15042272]],[[1.07633953]],[[1.11117314]],[[1.38648806]],[[0.57943646]],[[0.81681222]],[[0.79204115]],[[0.73638194]],[[1.57268496]],[[0.70648807]],[[0.88071229]],[[1.03469874]]
['CHI3L1'],[[1.01283941]],[[1.12410042]],[[1.06551647]],[[1.17942519]],[[1.35803168]],[[0.53769715]],[[0.66552114]],[[0.57905951]],[[0.78878262]],[[1.44261651]],[[1.19319639]],[[0.93417669]],[[1.14857827]]
['RSAD2'],[[1.19297305]],[[1.15915402]],[[1.11364306]],[[1.14045786]],[[2.110963]],[[0.59126898]],[[0.810839]],[[1.45451933]],[[1.67426519]],[[1.65991956]],[[1.14149528]],[[0.92694412]],[[1.32950958]]
['NOV'],[[1.18568396]],[[1.78575782]],[[1.69596074]],[[1.83479967]],[[0.96118024]],[[0.52666515]],[[1.0138864]],[[0.78193917]],[[1.12430057]],[[1.88865221]],[[1.21218202]],[[1.09127409]],[[1.32868349]]
['HERC5'],[[1.05644435]],[[1.09772024]],[[0.99575174]],[[0.97963042]],[[1.4236041]],[[0.59985627]],[[0.6487343]],[[0.80078895]],[[0.63948017]],[[1.26360263]],[[0.75342909]],[[1.0170667]],[[1.15459254]]
['SLC27A2'],[[0.66128975]],[[0.58790928]],[[2.0398289]],[[1.45866879]],[[1.33162384]],[[0.2052476]],[[0.25006916]],[[1.24418298]],[[1.32367085]],[[1.30493454]],[[1.37591308]],[[1.27880538]],[[1.48327466]]
['RPL3L'],[[0.4602035]],[[0.60636236]],[[0.94812721]],[[0.75091907]],[[0.910857]],[[0.64569754]],[[1.15246734]],[[0.94963915]],[[1.09521765]],[[0.09474905]],[[0.17801625]],[[0.96415447]],[[1.28192858]]
['MX1'],[[1.15285913]],[[1.11439289]],[[1.12566767]],[[1.09420532]],[[1.41844997]],[[0.64968546]],[[0.68746531]],[[0.74793486]],[[0.64496278]],[[1.37361132]],[[0.7320333]],[[1.02391757]],[[1.18189082]]
['BATF2'],[[1.21592896]],[[1.29061157]],[[1.18991859]],[[1.61729546]],[[1.82927087]],[[1.06301953]],[[1.20238042]],[[1.04563703]],[[0.79829482]],[[2.36076124]],[[1.10329704]],[[0.6729455]],[[1.32776025]]
['CXCL8'],[[0.46639325]],[[0.81114239]],[[1.65209048]],[[0.80548251]],[[0.80813728]],[[0.32291436]],[[0.18194994]],[[0.27564992]],[[0.30530187]],[[1.09637032]],[[0.67779803]],[[0.66546281]],[[0.49345175]]
['SDC2'],[[0.41390091]],[[0.5530003]],[[0.65564672]],[[0.62106913]],[[1.08378645]],[[0.06168109]],[[0.34525697]],[[0.61776631]],[[0.75446658]],[[2.17942757]],[[0.80759757]],[[1.55930625]],[[1.14585085]]
['TSPEAR'],[[0.64487477]],[[0.43111691]],[[0.81589547]],[[0.52059843]],[[0.98504657]],[[0.39783421]],[[0.56602566]],[[0.44572531]],[[0.38210072]],[[1.12954201]],[[0.83371226]],[[1.11793594]],[[1.01236586]]
