['PDK4'],[[1.09777087]],[[1.03746151]],[[1.04441245]],[[1.13289823]],[[1.57048452]],[[1.43739523]],[[1.5847778]],[[2.05623956]],[[1.73620545]],[[0.70474255]],[[1.27610535]],[[0.71745812]],[[0.9190083]]
['FAM214B'],[[0.97959351]],[[0.99653158]],[[0.9616527]],[[1.07968803]],[[1.54987931]],[[1.41769335]],[[1.45609889]],[[1.53085222]],[[1.41920029]],[[1.34600558]],[[1.0111186]],[[1.12537159]],[[1.084071]]
['MGST1'],[[1.36475453]],[[1.68105985]],[[1.6152049]],[[1.69494741]],[[1.69045871]],[[1.87519959]],[[2.07638432]],[[1.94305805]],[[1.43314387]],[[1.2080689]],[[0.92152861]],[[0.81853744]],[[0.78846481]]
['STAB1'],[[1.2163073]],[[1.10469865]],[[1.13822842]],[[1.37859478]],[[1.38285421]],[[2.17112611]],[[1.89297868]],[[2.10967499]],[[1.67150001]],[[1.2524381]],[[1.1298951]],[[0.98764755]],[[1.03350767]]
['SLC6A13'],[[1.62918638]],[[2.09421405]],[[1.8330104]],[[1.52759609]],[[1.76242112]],[[1.50315027]],[[2.47049455]],[[2.17314962]],[[1.69762158]],[[0.6674742]],[[1.36354662]],[[1.37008941]],[[1.20542731]]
['ACPP'],[[1.07990329]],[[1.12346076]],[[1.19510166]],[[1.33362529]],[[1.40316498]],[[1.72955524]],[[1.47962901]],[[1.64660398]],[[1.17859579]],[[1.04221522]],[[0.99576064]],[[1.08339994]],[[0.9813943]]
['MARCO'],[[1.11855822]],[[1.01728091]],[[0.95712396]],[[1.16308302]],[[1.48551045]],[[2.17689591]],[[2.43847057]],[[2.24978486]],[[1.60671179]],[[0.8382565]],[[0.94099804]],[[0.56116457]],[[0.43278448]]
['VIM'],[[1.14857208]],[[1.17241545]],[[1.16304285]],[[1.22826683]],[[1.36636088]],[[1.67598543]],[[1.96735948]],[[1.59664695]],[[1.08897934]],[[1.08549285]],[[0.79428297]],[[0.96836198]],[[0.88882651]]
['GABARAPL2'],[[1.00319431]],[[1.0449894]],[[1.16421339]],[[1.17518267]],[[1.37882887]],[[1.17032514]],[[1.49094421]],[[1.64248852]],[[1.9297476]],[[1.74701581]],[[1.23614718]],[[1.16050244]],[[1.1704589]]
['VCL'],[[1.18827567]],[[1.3128768]],[[1.31694262]],[[1.34483407]],[[1.73851827]],[[1.59144494]],[[1.99064621]],[[2.36170876]],[[2.24032301]],[[1.62337611]],[[1.64871887]],[[0.97470301]],[[0.95613058]]
['TG'],[[1.77654816]],[[1.95531676]],[[1.96786309]],[[2.0476245]],[[1.57314887]],[[1.80126487]],[[2.20314481]],[[2.19707241]],[[1.6408304]],[[0.98169382]],[[0.87171011]],[[1.53145972]],[[1.36916647]]
['HOMER3'],[[1.97749394]],[[2.08973414]],[[1.74036722]],[[2.05809973]],[[2.05086595]],[[2.01492308]],[[2.48596904]],[[2.33840727]],[[1.94906722]],[[1.64911921]],[[1.50511965]],[[1.43383835]],[[1.25820553]]
['SPA17'],[[1.260381]],[[1.43181055]],[[1.24666779]],[[1.68675126]],[[1.45633147]],[[2.42147883]],[[2.54256354]],[[2.18515453]],[[1.70236071]],[[1.57796203]],[[1.44735926]],[[1.53696749]],[[1.30410947]]
['CTSA'],[[1.14052072]],[[1.18668681]],[[1.20736868]],[[1.33989736]],[[1.4588068]],[[1.74943896]],[[2.05209441]],[[2.11440418]],[[2.02478836]],[[1.56068064]],[[1.34896465]],[[0.93554448]],[[0.88672561]]
['TFE3'],[[1.01952118]],[[1.12606069]],[[1.12890644]],[[1.2446164]],[[1.5106984]],[[1.41380121]],[[1.59820793]],[[1.46107485]],[[1.23443908]],[[1.38393515]],[[0.94586336]],[[1.1632573]],[[1.06085476]]
['FSTL3'],[[1.64268281]],[[1.48138969]],[[1.37948129]],[[1.56086267]],[[1.38763931]],[[1.86284869]],[[2.54256361]],[[2.02409075]],[[1.73999585]],[[1.59562106]],[[1.36403488]],[[1.18135226]],[[1.17966467]]
['SMARCD3'],[[1.13116526]],[[1.25751258]],[[1.20684233]],[[1.3664979]],[[1.8173565]],[[1.48935299]],[[1.85894787]],[[1.93517918]],[[1.65862846]],[[1.51603224]],[[1.15098914]],[[1.06080777]],[[1.01289385]]
['KIF3C'],[[1.47546708]],[[1.80289671]],[[1.52035033]],[[1.59337956]],[[1.82714389]],[[1.92130441]],[[2.01892061]],[[2.02290934]],[[1.68532208]],[[1.5229302]],[[1.37294729]],[[1.27144335]],[[1.14308338]]
['COL9A3'],[[1.41938142]],[[1.8136616]],[[1.60892174]],[[1.74000473]],[[2.26029588]],[[1.66491747]],[[2.05025193]],[[2.70036561]],[[2.16230144]],[[1.37205082]],[[1.78763963]],[[0.94052177]],[[0.88669543]]
['TBC1D2'],[[1.48384047]],[[1.56803897]],[[1.56646346]],[[1.6534443]],[[1.44546304]],[[1.77197667]],[[2.08273246]],[[1.76229642]],[[1.34589428]],[[1.35661607]],[[1.11574799]],[[0.98833881]],[[1.05563176]]
['LGALS1'],[[1.1056913]],[[1.19312877]],[[1.11729147]],[[1.23317381]],[[1.00701458]],[[1.8299909]],[[1.89632882]],[[1.58029629]],[[1.17241801]],[[1.01208323]],[[0.91410175]],[[0.79331624]],[[0.72318923]]
