['CFLAR'],[[1.29976075]],[[1.45222617]],[[1.52619726]],[[1.67893732]],[[2.18608731]],[[1.76852398]],[[1.55426824]],[[1.57433197]],[[1.07069808]],[[1.26941324]],[[0.94540005]],[[1.41989266]],[[1.24493314]]
['SKAP2'],[[1.20283971]],[[1.48816637]],[[1.45320637]],[[1.54743055]],[[2.27515017]],[[1.61392916]],[[1.604402]],[[1.62046876]],[[1.25141923]],[[1.36743147]],[[1.07009174]],[[1.20179811]],[[1.13815415]]
['ABHD5'],[[1.16153042]],[[1.4016643]],[[1.46229799]],[[1.55223605]],[[2.55059432]],[[1.35537409]],[[1.54779497]],[[1.55887067]],[[1.1538739]],[[1.75328814]],[[1.14874467]],[[1.44262883]],[[1.27295961]]
['GAB2'],[[1.15892652]],[[1.33149771]],[[1.34771636]],[[1.5129277]],[[2.05602175]],[[1.44279444]],[[1.56556678]],[[1.42369551]],[[1.05202334]],[[1.4830082]],[[1.00247085]],[[1.2321933]],[[1.12042712]]
['ZFYVE16'],[[1.25885761]],[[1.50821499]],[[1.60162542]],[[1.59710271]],[[2.00362741]],[[1.77334246]],[[1.28203871]],[[1.35437603]],[[0.9703854]],[[1.27538538]],[[0.9669986]],[[1.46016155]],[[1.26345356]]
['FAM184B'],[[1.15130113]],[[1.52932166]],[[0.63149626]],[[1.68675126]],[[1.58296852]],[[1.81663607]],[[0.64873434]],[[0.95325019]],[[0.87496928]],[[1.34724657]],[[0.90566767]],[[0.77668485]],[[1.30410947]]
['FAM160A2'],[[1.23383037]],[[1.36740522]],[[1.4080845]],[[1.57450507]],[[2.09553077]],[[1.55155414]],[[1.48817351]],[[1.49204941]],[[1.16957632]],[[1.17936752]],[[1.03518857]],[[1.1538524]],[[1.02917999]]
['EIF2AK2'],[[1.23870709]],[[1.52166852]],[[1.55280294]],[[1.67594734]],[[2.68167343]],[[1.26171019]],[[1.05293718]],[[1.16876402]],[[0.84794728]],[[1.22095255]],[[0.90598778]],[[1.23576398]],[[1.22930343]]
['TMCC3'],[[1.2260638]],[[1.47138074]],[[1.52907353]],[[1.63669923]],[[2.26311559]],[[1.50003966]],[[1.56530601]],[[1.31433791]],[[0.9514422]],[[1.72345331]],[[1.00679601]],[[1.3445494]],[[1.20610693]]
['ATP11B'],[[1.09123141]],[[1.34433891]],[[1.35200889]],[[1.39379929]],[[2.50014281]],[[1.79932644]],[[1.31194049]],[[1.49075758]],[[1.02171999]],[[1.03581558]],[[1.00115947]],[[1.25485646]],[[1.07869761]]
['CDK14'],[[1.25940338]],[[1.5275664]],[[1.62254918]],[[1.80110726]],[[1.63495319]],[[1.42507323]],[[1.36399678]],[[1.17920792]],[[0.98384685]],[[1.28603767]],[[0.74773563]],[[1.20875718]],[[1.11374052]]
['YIPF1'],[[1.03931697]],[[1.27574677]],[[1.24973709]],[[1.34751175]],[[2.26045198]],[[1.71828433]],[[1.58302853]],[[1.45753671]],[[1.0687074]],[[1.17202269]],[[0.95871956]],[[1.28917395]],[[1.09070318]]
['MXD1'],[[1.17391865]],[[1.46498262]],[[1.51213315]],[[1.63191624]],[[2.32183848]],[[1.54599797]],[[1.61108262]],[[1.45617728]],[[1.00748211]],[[1.44946972]],[[0.9712386]],[[1.25107225]],[[1.0801764]]
['CTDP1'],[[1.04287658]],[[1.10400427]],[[1.21753434]],[[1.37273979]],[[1.94624507]],[[1.37711029]],[[1.37826514]],[[1.2409479]],[[0.94100606]],[[1.2222548]],[[0.88368495]],[[1.17344831]],[[0.99235049]]
['ELMO2'],[[1.02486915]],[[1.1008352]],[[1.0459362]],[[1.09613693]],[[2.02564557]],[[1.3653463]],[[1.41788977]],[[1.32522404]],[[1.01596161]],[[1.02371312]],[[0.9369954]],[[0.89805806]],[[0.94422967]]
['VMP1'],[[1.05219611]],[[1.26108311]],[[1.24440091]],[[1.39146878]],[[2.06872156]],[[1.35042733]],[[1.47691272]],[[1.51466928]],[[1.0754376]],[[1.40757628]],[[0.9802642]],[[1.27536903]],[[1.08320889]]
['HIPK2'],[[1.05558044]],[[1.22289122]],[[1.25507086]],[[1.35719114]],[[2.49265401]],[[1.24993001]],[[1.37313779]],[[1.57532836]],[[1.25761244]],[[1.32745687]],[[1.27094447]],[[1.13012972]],[[1.11518439]]
['TNPO3'],[[1.05256596]],[[1.24595921]],[[1.20541302]],[[1.26057012]],[[2.12494012]],[[1.25238083]],[[1.25452586]],[[1.3719388]],[[1.06372393]],[[1.0587191]],[[0.99162001]],[[1.043509]],[[1.03482119]]
['ANKS1A'],[[1.03915074]],[[1.16081839]],[[1.19016965]],[[1.33414606]],[[2.15675159]],[[1.38501718]],[[1.46790074]],[[1.43608794]],[[1.09842619]],[[1.25913357]],[[1.05485288]],[[1.14323734]],[[1.05469806]]
['SEC61A2'],[[1.05910228]],[[0.96340656]],[[1.05137096]],[[1.14748881]],[[2.02514932]],[[1.17111172]],[[0.80582873]],[[1.30984543]],[[0.95894517]],[[1.01989896]],[[1.04698351]],[[1.38458562]],[[1.20302212]]
['PPP2R5A'],[[1.02853207]],[[1.35142409]],[[1.40936317]],[[1.38745668]],[[2.02087364]],[[1.31965354]],[[1.23457587]],[[1.36227622]],[[1.00164986]],[[1.28042784]],[[1.04246155]],[[0.95858219]],[[0.94638318]]
