['MSL3'],[[1.13558698]],[[1.31831736]],[[1.42258402]],[[1.52614476]],[[2.63835086]],[[1.9106647]],[[1.48103137]],[[1.57100517]],[[1.03998682]],[[1.06200358]],[[0.91273664]],[[1.394662]],[[0.98439699]]
['GAS7'],[[1.18430725]],[[1.18617407]],[[1.18747391]],[[1.3099543]],[[2.43213723]],[[2.01441648]],[[2.14153598]],[[1.66994758]],[[1.12693601]],[[1.25006013]],[[0.82526717]],[[1.25755852]],[[1.15379287]]
['SERPINB1'],[[1.20150356]],[[1.4216435]],[[1.40655455]],[[1.54645614]],[[2.87189231]],[[2.05593696]],[[1.82962966]],[[1.717253]],[[1.13871242]],[[1.10761816]],[[0.92087833]],[[1.30987939]],[[0.92917924]]
['IFNGR1'],[[1.0565686]],[[1.27453694]],[[1.2401375]],[[1.38589667]],[[2.36286625]],[[1.42001973]],[[1.397493]],[[1.42466383]],[[1.01815061]],[[1.239492]],[[0.8512204]],[[1.09021816]],[[0.88087229]]
['KIF1B'],[[1.3228629]],[[1.58328534]],[[1.58301827]],[[1.73297368]],[[2.80629833]],[[2.20237158]],[[1.78738355]],[[1.76979375]],[[1.22762043]],[[1.30581566]],[[1.10353417]],[[1.30924799]],[[1.06361862]]
['ATP9A'],[[1.13171154]],[[1.68790222]],[[1.60734666]],[[1.73259225]],[[2.88979684]],[[2.71254991]],[[1.9663508]],[[1.68579221]],[[1.43986011]],[[1.28132075]],[[1.16567046]],[[1.41235222]],[[0.88050582]]
['SLC2A3'],[[1.35820934]],[[1.91370147]],[[1.8972878]],[[2.01464776]],[[2.52225968]],[[2.36153391]],[[2.07680935]],[[1.60800849]],[[1.03810471]],[[1.27682315]],[[0.91589648]],[[1.45751231]],[[1.11680203]]
['BCAT1'],[[0.90939617]],[[0.88414682]],[[0.90388557]],[[0.96063276]],[[3.60183777]],[[1.60417234]],[[2.17767143]],[[2.75193507]],[[2.19276449]],[[1.16837257]],[[1.76929336]],[[0.91482385]],[[0.7446313]]
['DGAT2'],[[1.0434736]],[[1.1608382]],[[1.1496018]],[[1.29556404]],[[2.09716515]],[[1.61466272]],[[1.53348283]],[[1.28348676]],[[0.94475764]],[[1.21553741]],[[0.79813194]],[[1.28094996]],[[0.88140594]]
['SBNO2'],[[1.10910616]],[[1.34666995]],[[1.45509007]],[[1.63164966]],[[2.18884044]],[[1.6995601]],[[1.65516575]],[[1.3804274]],[[1.02302584]],[[1.31094394]],[[0.83589931]],[[1.31457142]],[[1.05963964]]
['MEF2A'],[[1.06096732]],[[1.15787774]],[[1.13917774]],[[1.22277595]],[[2.40593932]],[[1.92382915]],[[1.57968477]],[[1.57011354]],[[1.12501091]],[[0.98905883]],[[0.95844931]],[[1.28479248]],[[0.97712323]]
['ACSL4'],[[1.13837506]],[[1.3501552]],[[1.38312399]],[[1.51999993]],[[3.18183292]],[[1.74692068]],[[1.60003092]],[[1.5822353]],[[1.13539244]],[[1.3314451]],[[1.08307661]],[[1.38582751]],[[1.13818952]]
['BCL3'],[[1.12850382]],[[1.42442435]],[[1.45868475]],[[1.61593185]],[[2.5859997]],[[1.76818468]],[[1.77604708]],[[1.45902219]],[[1.02911331]],[[1.39787141]],[[0.92763111]],[[1.48542041]],[[1.1361647]]
['TMEM260'],[[1.18220923]],[[1.42055768]],[[1.55312833]],[[1.63793697]],[[2.64744013]],[[1.86789332]],[[1.47047832]],[[1.49888411]],[[1.10204492]],[[1.03269924]],[[0.99646347]],[[1.49952049]],[[1.08723133]]
['MRVI1'],[[1.41136661]],[[1.52423218]],[[1.51287318]],[[1.68086447]],[[2.60598362]],[[2.19093257]],[[1.84747826]],[[1.78971102]],[[1.22818098]],[[1.27551106]],[[1.2104524]],[[1.58196147]],[[1.11698357]]
['DHRS9'],[[1.23639582]],[[1.47493846]],[[1.56984389]],[[1.61863698]],[[3.89150416]],[[0.84490926]],[[1.41750804]],[[1.92128479]],[[1.51346489]],[[2.27185406]],[[1.37956542]],[[1.25188552]],[[1.81292588]]
['IL4R'],[[1.0386529]],[[1.10174871]],[[1.16512041]],[[1.32042358]],[[2.49174727]],[[2.0805823]],[[1.57242459]],[[1.22471193]],[[0.84530053]],[[0.7841578]],[[0.68829439]],[[1.30344459]],[[0.84854304]]
['CST7'],[[1.03181503]],[[1.45527266]],[[1.44115386]],[[1.54848604]],[[2.13930303]],[[2.51403183]],[[2.029306]],[[1.48753405]],[[0.99327518]],[[0.72417237]],[[0.71417733]],[[1.37610404]],[[0.78386169]]
['SMAP2'],[[0.90591242]],[[1.03086098]],[[1.17244285]],[[1.42080568]],[[2.69999989]],[[1.17255183]],[[1.57746307]],[[1.43925857]],[[1.06538047]],[[1.69477212]],[[0.99415433]],[[1.36044427]],[[0.98550862]]
['CD59'],[[0.90530381]],[[1.05609033]],[[1.05564716]],[[1.16522687]],[[2.72838063]],[[1.59938018]],[[1.29279306]],[[1.30952677]],[[1.04465643]],[[1.04754387]],[[0.78889144]],[[1.27429285]],[[0.99931788]]
['NME8'],[[1.54954252]],[[2.01305765]],[[1.95479555]],[[2.21748285]],[[2.92651489]],[[2.20279326]],[[1.58534324]],[[1.67727964]],[[1.15449593]],[[1.28018653]],[[1.2470026]],[[1.5813042]],[[1.26264082]]
['PGS1'],[[1.15537497]],[[1.38441716]],[[1.49063455]],[[1.72639323]],[[2.82512938]],[[1.93076572]],[[1.46014152]],[[1.49625841]],[[1.06648572]],[[1.04316062]],[[0.82666451]],[[1.5127981]],[[1.0482833]]
['GRAMD1A'],[[1.03580925]],[[1.16600418]],[[1.23827059]],[[1.36631462]],[[2.08795386]],[[1.77400215]],[[1.56316712]],[[1.22030456]],[[0.86164495]],[[1.06517987]],[[0.7631614]],[[1.27619841]],[[0.93989088]]
['NLRC4'],[[1.43712104]],[[1.6836772]],[[1.68371261]],[[1.94249988]],[[2.78767789]],[[2.49023075]],[[2.40056517]],[[2.12240039]],[[1.44167886]],[[1.3298612]],[[1.0598458]],[[1.37845467]],[[1.00852735]]
