['FGR'],[[1.06218909]],[[1.12642334]],[[1.11578368]],[[1.23754477]],[[1.59787468]],[[1.7259599]],[[1.70796745]],[[1.39946097]],[[0.96274823]],[[1.21881816]],[[0.84527637]],[[1.1281363]],[[0.88784245]]
['PYGM'],[[1.46344123]],[[1.52218779]],[[1.49756735]],[[1.58241811]],[[1.48260045]],[[1.57195407]],[[1.60192536]],[[1.63661103]],[[1.22212703]],[[1.1202225]],[[0.92847276]],[[1.13888394]],[[1.24908313]]
['NEDD4'],[[1.23468506]],[[1.54636409]],[[1.44046246]],[[1.55186591]],[[2.33497282]],[[2.02558926]],[[1.8052283]],[[1.68696622]],[[1.33716245]],[[1.07705736]],[[1.14842146]],[[1.29583733]],[[1.26900101]]
['CLTCL1'],[[1.38773369]],[[1.46635259]],[[1.55903425]],[[1.72996166]],[[1.70315198]],[[1.61003073]],[[1.54726341]],[[1.47258733]],[[1.28383071]],[[0.99079379]],[[1.04293609]],[[0.91457503]],[[0.92748228]]
['WIPI1'],[[1.16304873]],[[1.43911154]],[[1.39421569]],[[1.51779602]],[[1.81034333]],[[1.52071619]],[[1.68269455]],[[1.67242994]],[[1.46430769]],[[1.36801117]],[[1.24628438]],[[1.07717869]],[[0.97386218]]
['NDST1'],[[1.12150399]],[[1.5297293]],[[1.52722338]],[[1.6646141]],[[1.75132581]],[[1.30192213]],[[1.46181529]],[[1.285777]],[[1.16241185]],[[1.72354712]],[[1.06084755]],[[0.97828042]],[[0.99797673]]
['ST6GALNAC2'],[[1.23489746]],[[1.2189467]],[[1.34282681]],[[1.53858802]],[[1.89032918]],[[1.58497506]],[[1.50741307]],[[1.46165899]],[[1.05342214]],[[1.52878192]],[[1.11655342]],[[1.28343224]],[[1.1612239]]
['CYBRD1'],[[0.77084047]],[[0.8888292]],[[0.94689974]],[[0.9921805]],[[1.9207604]],[[1.20737034]],[[1.33741148]],[[1.4576289]],[[1.41496248]],[[1.40672847]],[[1.27350212]],[[1.17497595]],[[1.11752487]]
['ACTN1'],[[1.07015617]],[[1.15640706]],[[1.19264345]],[[1.27809778]],[[1.76848705]],[[1.55393637]],[[1.63851618]],[[1.57042242]],[[1.27260792]],[[1.3674257]],[[1.04688421]],[[1.21013972]],[[1.03574072]]
['P4HA2'],[[1.138656]],[[1.00441804]],[[1.15080649]],[[1.38628314]],[[1.33426116]],[[1.86789348]],[[1.33004923]],[[1.67948639]],[[1.23259993]],[[1.02112946]],[[0.65595056]],[[1.21457359]],[[1.13567798]]
['TMEM38A'],[[1.11302818]],[[1.60085433]],[[1.4696519]],[[1.67667051]],[[1.71962733]],[[1.50315037]],[[1.75094954]],[[1.43898028]],[[1.29910683]],[[1.15419691]],[[0.82329118]],[[0.88382555]],[[0.81710414]]
