['NDUFAF7'],[[1.09114321]],[[1.24234436]],[[1.25996178]],[[1.43014898]],[[1.93793956]],[[1.42644792]],[[0.96634989]],[[1.28246022]],[[0.96925688]],[[0.8433337]],[[1.10055187]],[[1.14872393]],[[1.07510961]]
['CREBBP'],[[1.10537458]],[[1.21696041]],[[1.25220708]],[[1.36915361]],[[1.63031939]],[[1.22102894]],[[1.3340154]],[[1.32195668]],[[1.0453215]],[[1.31783794]],[[1.02203337]],[[1.16727374]],[[1.15100296]]
['NADK'],[[1.17764981]],[[1.27689127]],[[1.27602689]],[[1.37633563]],[[1.46305192]],[[1.43750995]],[[1.52410705]],[[1.2864101]],[[0.95411109]],[[1.34983308]],[[0.87821542]],[[1.16145343]],[[1.0485635]]
['ZNF200'],[[1.15130113]],[[1.19179707]],[[1.18356155]],[[1.24202544]],[[1.84666884]],[[1.28430398]],[[1.3180977]],[[1.45704899]],[[1.07169699]],[[1.33174103]],[[1.14295995]],[[1.32078727]],[[1.22350211]]
['MVP'],[[1.01542171]],[[1.08358498]],[[1.07858967]],[[1.20051609]],[[1.50163303]],[[1.4027373]],[[1.42032567]],[[1.2220136]],[[0.90849607]],[[1.1725922]],[[0.82022624]],[[1.08718047]],[[0.96940824]]
['ZC3H3'],[[1.04517496]],[[0.99866926]],[[1.07206462]],[[1.18985453]],[[1.48497147]],[[1.34010303]],[[1.28977782]],[[1.21617594]],[[0.96377508]],[[1.12351707]],[[0.88051801]],[[1.06791126]],[[0.91279091]]
['SLC45A4'],[[1.1711079]],[[1.2150437]],[[1.30505734]],[[1.42346358]],[[1.58439354]],[[1.20908997]],[[1.41556686]],[[1.24662924]],[[1.0416429]],[[1.3936038]],[[0.95425027]],[[1.15312215]],[[1.12965727]]
['RB1CC1'],[[1.08630553]],[[1.28373284]],[[1.32288786]],[[1.33277777]],[[2.06007345]],[[1.31095444]],[[1.1323796]],[[1.35701825]],[[1.02297348]],[[1.21613142]],[[1.05014305]],[[1.22776912]],[[1.12901629]]
['NSMAF'],[[1.04473375]],[[1.13308011]],[[1.18375392]],[[1.18577794]],[[1.60689456]],[[1.23453921]],[[1.03922564]],[[1.14949002]],[[0.93352492]],[[0.93099583]],[[0.94359132]],[[1.08049773]],[[0.93843428]]
['CELF2'],[[1.08128608]],[[1.16234689]],[[1.17220099]],[[1.29288502]],[[1.81910996]],[[1.21091283]],[[1.10354956]],[[1.22629778]],[[0.96263654]],[[1.15766424]],[[0.95781298]],[[1.10720593]],[[1.05156379]]
['H6PD'],[[0.87032754]],[[0.89397915]],[[0.89820407]],[[0.97137715]],[[1.72584213]],[[1.09063389]],[[0.98206925]],[[1.17621226]],[[0.84202817]],[[0.98066899]],[[0.9321179]],[[0.89311123]],[[0.8400168]]
['VAMP3'],[[1.0167037]],[[1.2000928]],[[1.21684122]],[[1.20184597]],[[1.79109327]],[[1.36899763]],[[1.52430639]],[[1.37960951]],[[1.0188507]],[[1.20633691]],[[0.94631129]],[[1.06255618]],[[0.99708784]]
['RFC2'],[[0.95115065]],[[1.09214012]],[[1.04950067]],[[1.17149869]],[[1.95199621]],[[1.13570673]],[[1.32863803]],[[1.36539394]],[[1.11054381]],[[1.08227249]],[[1.10272097]],[[1.18788428]],[[0.93325117]]
['ARID4B'],[[1.04749793]],[[1.1021548]],[[1.10408963]],[[1.12119382]],[[1.69068711]],[[1.24906631]],[[1.07193543]],[[1.22901926]],[[0.92572895]],[[1.08664417]],[[0.96928918]],[[1.22637776]],[[1.0982492]]
['ITIH4'],[[0.98324937]],[[0.74772279]],[[0.73031825]],[[1.24606555]],[[1.93371187]],[[0.71555386]],[[0.54025918]],[[1.48788601]],[[1.02880948]],[[0.91259986]],[[0.95196215]],[[0.65127144]],[[0.98516647]]
['PRDM1'],[[0.96145211]],[[1.11955321]],[[1.18098633]],[[1.09092959]],[[1.85358128]],[[1.01717345]],[[0.99108588]],[[0.98718775]],[[0.7969877]],[[1.26165275]],[[0.86875137]],[[1.15556591]],[[1.12765968]]
['ATP2B4'],[[0.95970917]],[[0.9863944]],[[0.98296365]],[[0.93137249]],[[1.59281065]],[[1.42850784]],[[1.20904667]],[[1.23669607]],[[0.8969628]],[[0.76981883]],[[0.924204]],[[1.14381414]],[[1.04382039]]
['ZC3H11A'],[[1.08166139]],[[1.04014932]],[[1.57386652]],[[1.47272044]],[[1.94916016]],[[1.75915286]],[[1.70980618]],[[1.64889731]],[[1.33599201]],[[1.16053859]],[[1.18283494]],[[0.81617829]],[[1.24571372]]
