['MEOX1'],[[1.260381]],[[1.39778512]],[[0.9375589]],[[1.05382648]],[[0.60276523]],[[1.33847672]],[[1.21713666]],[[1.58416408]],[[1.30383925]],[[1.61306691]],[[1.66943578]],[[1.61368516]],[[2.03628602]]
['ITGA3'],[[0.96063232]],[[0.75757902]],[[0.87791559]],[[0.80925662]],[[0.24612501]],[[0.47372309]],[[0.54787682]],[[0.78881868]],[[0.66858773]],[[0.83004361]],[[0.74729596]],[[0.98779676]],[[1.05599809]]
['IL32'],[[0.85343799]],[[0.77904844]],[[0.76468554]],[[0.62813042]],[[0.20692954]],[[0.4566709]],[[0.54446683]],[[0.61977226]],[[0.52099663]],[[0.6506222]],[[0.66059752]],[[0.70048799]],[[0.80202485]]
['SLC18A1'],[[0.43178071]],[[1.09214012]],[[1.06924962]],[[0.85361377]],[[0.36967514]],[[0.54463623]],[[0]],[[0.81786222]],[[1.28936302]],[[1.21639409]],[[1.66753097]],[[0.56116457]],[[0.98516647]]
['MYO16'],[[1.50570872]],[[1.0207692]],[[1.06924963]],[[0.59794512]],[[0.34253737]],[[0.32212901]],[[0.49869997]],[[1.14073373]],[[0.95051633]],[[0.56689117]],[[1.19975052]],[[1.14421687]],[[0.9187621]]
['FOXP3'],[[0.99987422]],[[0.87455241]],[[0.71310914]],[[0.65824781]],[[0.24168288]],[[0.53784962]],[[0.40275643]],[[0.77567864]],[[0.57471025]],[[0.6229279]],[[0.73216246]],[[0.76166704]],[[1.31686553]]
['RASGRF1'],[[0.58344687]],[[0]],[[0.70276731]],[[0.15741734]],[[0.04420072]],[[0.17765451]],[[0.21689106]],[[0.5275194]],[[0.40545502]],[[0.58904285]],[[0.56265121]],[[0.86002826]],[[0.87939774]]
['GPC1'],[[0.76366226]],[[0.46184302]],[[0.5254041]],[[0.40360439]],[[0.20416423]],[[0.71555386]],[[0.42295988]],[[0.74031819]],[[0.64357015]],[[0.61302318]],[[0.65928378]],[[0.89206267]],[[0.66696108]]
['CDON'],[[1.37571228]],[[0.97834241]],[[1.01427581]],[[0.75850173]],[[0.2436206]],[[0.88891522]],[[0.64873434]],[[1.07330069]],[[0.71331397]],[[0.75987303]],[[0.84503358]],[[1.19568374]],[[0.87939773]]
['LMCD1'],[[2.04965786]],[[0]],[[0.63149617]],[[0.48904028]],[[0.38016505]],[[0.93908005]],[[0]],[[1.12128545]],[[1.26680782]],[[0.52728818]],[[1.63315025]],[[1.27880519]],[[1.56515055]]
['SPEG'],[[0.68093527]],[[0.53370707]],[[0.81824061]],[[0.42433987]],[[0.23793051]],[[0.61222638]],[[0.29979132]],[[0.78511534]],[[0.68167297]],[[0.78065691]],[[0.57156607]],[[0.82670456]],[[0.83213082]]
['CELSR1'],[[0.77524183]],[[0.39577549]],[[0.68078435]],[[0.46443286]],[[0.23870982]],[[0.41764523]],[[0.40770431]],[[0.54061063]],[[0.63417735]],[[0.58667024]],[[0.67948761]],[[0.88382537]],[[0.85334187]]
['ITM2A'],[[0.81496765]],[[0.79335173]],[[0.74116497]],[[0.62824206]],[[0.29949087]],[[0.40402624]],[[0.54782761]],[[0.72317477]],[[0.6900038]],[[0.70370109]],[[0.65746598]],[[0.73991544]],[[0.85762698]]
['EPB41L2'],[[0.78750296]],[[0.49875211]],[[0.5679152]],[[0.58131204]],[[0.39825837]],[[0.62220554]],[[0.45238213]],[[0.97909338]],[[0.80839326]],[[0.98826344]],[[0.92552847]],[[0.84536295]],[[1.00433298]]
['MID2'],[[0.97473711]],[[0.80076425]],[[0.74614994]],[[0.77641491]],[[0.32954415]],[[0.46697725]],[[0.55891425]],[[0.85168099]],[[0.6778309]],[[0.55643616]],[[0.9059277]],[[0.85461932]],[[1.18485425]]
['IGSF9B'],[[1.08858189]],[[0.89280735]],[[0.8669129]],[[0.74925511]],[[0.2055015]],[[0.60931958]],[[0.39986362]],[[0.90655731]],[[0.67716197]],[[0.73276958]],[[0.95713534]],[[1.28468281]],[[1.26176429]]
['COL4A4'],[[0.81905634]],[[0.51722551]],[[0.59032495]],[[0.57218625]],[[0.18419734]],[[0.38489894]],[[0.26096106]],[[0.40437117]],[[0.44944503]],[[0.38752992]],[[0.49475974]],[[0.96415423]],[[1.06238401]]
['C3orf18'],[[0.84702823]],[[0.77811167]],[[0.78458223]],[[0.73896552]],[[0.22536496]],[[0.50837108]],[[0.47351624]],[[0.73362862]],[[0.54921367]],[[0.49199109]],[[0.75943405]],[[0.73391091]],[[0.70624037]]
